Project,File,CommitHash,Diff,Decision,CommitMessage,text,Detection
spring-boot,9232.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}","analysisWe need to decide if changes align with commit message and indicate a bug fix. The commit message: ""Fix bug in GroovyTemplate convenience. It was ignoring the engine argument in the 3 arg version of template()."" Diff: previously getTemplate(name).make(model); now getTemplate(engine, name).make(model). That addresses the bug of ignoring engine argument. It's a bug fix. So answer ""Buggy""? Wait specification: Output only a single word: 'Buggy' if the changes indicate a bug fix, otherwise 'NotBuggy'.

Thus output ""Buggy"".assistantfinalBuggy"
spring-boot,9233.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}","analysisWe need to decide if the changes indicate a bug fix. The commit message: ""Fix bug in GroovyTemplate convenience. It was ignoring the engine argument in the 3 arg version of template().""

The diff shows that the method getTemplate originally had signature: private static Template getTemplate(String name) throws... but now it's changed to getTemplate(TemplateEngine engine, String name). Also the engine variable inside method originally created new GStringTemplateEngine, but now uses the passed engine. That indeed fixes ignoring engine argument. That's a bug fix. So output 'Buggy'.

Thus answer: Buggy.assistantfinalBuggy"
spring-boot,510.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}","analysisWe need to determine if changes indicate a bug fix. Commit message: ""Customize Couchbase's socket connect timeout"" etc. Code diff shows method signature changed: returns DefaultCouchbaseEnvironment instead of CouchbaseEnvironment, using initializeEnvironmentBuilder instead of createEnvironment. That seems like a bug fix: previously returning type mismatch or wrong builder? The commit claims to fix problem of extending configuration. The change seems to correct environment creation. It's bug fix. So output Buggy.assistantfinalBuggy"
spring-boot,516.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}","analysisWe need to decide if this commit is a bug fix. The commit message: ""Customize Couchbase's socket connect timeout... Adds property to customize this option and set it to 10 sec in the sample. While investigating this issue, it turns out that while CouchbaseConfiguration is public, it is not really possible to extend it in user's configuration. This commit fixes this problem and add a test that demonstrates how it can be used. Closes gh-5657""

So they added property for socket connect timeout and changed method name initializeEnvironmentBuilder. They also changed return type: builder instead of builder.build().

They added ability for user to extend configuration. Let's analyze diff: earlier method: createEnvironment returns CouchbaseEnvironment built. New method: initializeEnvironmentBuilder returns Builder. They removed build() call. So previously environment built immediately. Now they return builder for further modifications? That's a significant API change.

Also added socketConnectTimeout to builder.

They changed return type, but commit message indicates bug fix: customizing socket connect timeout. Also ""fixes problem with extending configuration"". The diff shows removal of build() call, which is likely bug: maybe building prematurely prevented user from customizing environment. So yes this is bug fix.

Thus output should be 'Buggy'.assistantfinalBuggy"
spring-boot,6313.json,1a2186e6efed5c53d7c50548de7b30b9a6dcd7f7,"@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}",Buggy,"Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584","CommitMessage: Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584
Diff:
@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}","analysisWe need to decide if this commit is a bug fix. Commit message: ""Attempt to fix lambda error detection on JDK 9. Update LambdaSafe to also detect ClassCastException messages that start with'module/name'. See gh-11584"". Diff: changes method startsWithArgumentClassName to use a helper method startsWithArgumentClassName(message, argument) instead of inline lambda. That seems like refactoring not bug fix. No new behavior? The commit message about detecting ClassCastException messages that start with ""module/name"" suggests bug fix. But code change is just refactoring: replacing lambda with method call. No logic change. So likely not bug fix. So output 'NotBuggy'.assistantfinalNotBuggy"
spring-boot,2051.json,4b4dc28a869e2f8b988f6ac6ea8a31c274477da5,"@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,"Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691","CommitMessage: Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691
Diff:
@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}","analysisWe need to decide if change indicates bug fix. Commit message: ""Support non-standard error codes with AbstractErrorWebExceptionHandler. Fixes gh-16691"". Diff: In logError method, they added a condition: HttpStatus.resolve(response.rawStatusCode())!= null && response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR). Previously only checked statusCode equals INTERNAL_SERVER_ERROR. Now they also check that resolved status code is not null. That seems to support non-standard error codes maybe. This is a bug fix: previously maybe rawStatusCode could be non-standard but statusCode is INTERNAL_SERVER_ERROR, causing log incorrectly? They changed to only log error if status code is resolvable? Not sure.

But commit message says support non-standard error codes. The change is adding a check that resolves raw status code to HttpStatus. That seems bug fix indeed. So output Buggy.assistantfinalBuggy"
guava,10860.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };","analysisWe need to decide if changes align with commit message ""Fix bug in Optional#presentInstances."" The diff shows adding a field `private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());` inside the iterator method. The original code likely used `optionals.iterator()` directly each time? The change adds checkNotNull and caching it. That likely fixes a bug when optionals is null or iterator used multiple times? The commit message says bug fix. So changes align with bug fix. So output ""Buggy"". Wait instruction: Output 'Buggy' if the changes indicate a bug fix, otherwise 'NotBuggy'. Yes bug fix. So ""Buggy"".assistantfinalBuggy"
guava,10861.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }","analysisWe need to determine if this change indicates a bug fix. The commit message: ""Fix bug in Optional#presentInstances."" The code diff: In presentInstances, they added final to parameter, removed checkNotNull on optionals? Actually original had checkNotNull(optionals); then removed final? The diff shows: originally had checkNotNull(optionals); removed? Wait diff: lines: 
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
So added final to parameter.

-    checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
Now removed checkNotNull(optionals) and the iterator check. Instead, inside new Iterable's iterator(), they added a new private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator()); So they moved the check inside the iterator. This ensures that optionals is not null when creating the iterator. The bug might be that if optionals is null, originally checkNotNull(optionals) would throw NPE at method call. But if optionals is null, and you call presentInstances(null) it would throw. But perhaps the bug is that the checkNotNull on optionals.iterator() could be called on a null optionals? Wait original had checkNotNull(optionals) then checkNotNull(optionals.iterator()). That is fine. But now they removed checkNotNull(optionals) but added checkNotNull(optionals.iterator()) in the iterator factory. But if optionals is null, then in the anonymous Iterable, the method iterator() will be called, and inside it tries to checkNotNull(optionals.iterator()). But optionals is null, so calling optionals.iterator() throws NullPointerException before checkNotNull. So behavior is same? Actually the original had checkNotNull(optionals) before that, so it would throw earlier. But if they removed that, the exception thrown is at a different point. But still a bug? Maybe the bug is that if optionals is null, the original code would throw NullPointerException at checkNotNull(optionals), but the new code would throw NullPointerException when calling optionals.iterator(). But that's still a bug? But maybe the bug is that the original code had a checkNotNull for optionals, but the iterator was also checked. They removed the iterator check? Actually they removed the checkNotNull on optionals.iterator() from the outer scope, but added it inside the new iterator. That doesn't change behavior except when optionals is null? The original would throw at checkNotNull(optionals). The new would throw at optionals.iterator() NPE. So still NPE. But maybe the bug was that the original code had checkNotNull(optionals.iterator()) outside but they didn't use the iterator variable. They had final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator()); but then didn't use it? Wait original had it but didn't use it. That might be dead code. They removed that dead code. But the bug might be that the iterator was not used. But the method returned a new Iterable that had its own computeNext using ""iterator"" field. But the outer iterator variable was never used. So that was redundant. But that wouldn't cause a bug. The bug might be that the original code had a null check on optionals but didn't check on optionals.iterator() in the new code? Actually they added it. Hmm.

Given commit message ""Fix bug in Optional#presentInstances."" The diff indicates a code change that might fix a bug: removing unused iterator variable reduces memory or something. But is this a bug fix? Likely yes, they are fixing a bug. So output 'Buggy'.assistantfinalBuggy"
guava,14951.json,803f44ac9c6a3457388394e952132fe18449cb9f,"@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21","CommitMessage: Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21
Diff:
@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }","analysisWe need to decide if this change indicates a bug fix. The commit message: ""Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in..."". The diff shows change in clear() method inside LinkedHashMultimap. Original code: linkedEntries.removeAll(createEntries(delegate())); New code: loop over delegate values, removing each entry individually, then delegate.clear().

This appears to be a change to clear method to address performance? The commit message says fix performance problem in removeAll(key). But the code change is in clear(); maybe related? But clear() likely uses removeAll internally? The code change removes all entries by iterating delegate. This might be bug fix or performance improvement. The question: ""Output only a single word: 'Buggy' if the changes indicate a bug fix, otherwise 'NotBuggy'."" They want to classify whether this is a bug fix. The commit message indicates a bug fix (performance issue). So likely ""Buggy"". We need to consider if the diff is indeed a bug fix: It changes code to remove entries one by one instead of removeAll. This seems like a fix. So output ""Buggy"".assistantfinalBuggy"
guava,9470.json,2ee7f9da69308c56d5af71267e8b797cedaf31ba,"@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559","CommitMessage: AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559
Diff:
@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }","analysisWe need to decide if changes indicate a bug fix. The commit message says ""fix bug in hasEdgeConnecting causing it to throw if either endpoint not in graph."" The diff changed the method: previously it returned!edgesConnecting(nodeU, nodeV).isEmpty(); now it checks null and nodes().contains(nodeU) && successors(nodeU).contains(nodeV). This indeed addresses the bug: previously edgesConnecting would likely throw NullPointerException or something if node not in graph. Now it checks for presence and returns false. So it's a bug fix. Output 'Buggy'? Wait instruction: ""Output only a single word: 'Buggy' if the changes indicate a bug fix, otherwise 'NotBuggy'."" The commit is a bug fix. So output 'Buggy'.assistantfinalBuggy"
