Project,File,CommitHash,Diff,Decision,CommitMessage,text,Detection,Explanation
spring-boot,9232.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}","  Based on the commit message and the diff, it appears that the bug fix is related to a method named `template` that takes three arguments: `TemplateEngine engine`, `String name`, and `Map<String,?> model`. The diff only modifies the third argument, which is used to specify the engine to use for the template.

The commit message mentions that the 3-arg version of `template()` was ignoring the `engine` argument, which suggests that the fix is related to a bug in the implementation of this method. The diff shows that the method was modified to use the `engine` argument when calling `getTemplate()`, which suggests that the fix is related to the implementation of the `getTemplate()` method.

Based on this analysis, it is likely that the changes in the diff are related to a bug fix for the `template()` method and that the commit message accurately describes the changes. Therefore, I conclude that the changes align with the commit message and indicate a bug fix.","  Based on the commit message and the diff, it appears that the bug fix is related to a method named `template` that takes three arguments: `TemplateEngine engine`, `String name`, and `Map<String,?> model`. The diff only modifies the third argument, which is used to specify the engine to use for the template.

The commit message mentions that the 3-arg version of `template()` was ignoring the `engine` argument, which suggests that the fix is related to a bug in the implementation of this method. The diff shows that the method was modified to use the `engine` argument when calling `getTemplate()`, which suggests that the fix is related to the implementation of the `getTemplate()` method.

Based on this analysis, it is likely that the changes in the diff are related to a bug fix for the `template()` method and that the commit message accurately describes the changes. Therefore, I conclude that the changes align with the commit message and indicate a bug fix."
spring-boot,9233.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}","  Based on the commit message and diff, it appears that the changes are related to a bug fix in the `GroovyTemplate` class. The commit message mentions that the 3-arg version of the `template()` method was ignoring the `engine` argument, which is a critical part of the method's functionality.

The diff shows that the `getTemplate()` method has been modified to accept an additional `TemplateEngine` argument, which is now used to create the `Template` object. This change fixes the bug by ensuring that the `engine` argument is properly used.

The commit message and diff both indicate that the changes are related to a bug fix, and the error-handling and exception-handling updates in the diff align with the commit message. Therefore, I conclude that the changes are related to a bug fix and should be included in the codebase.","  Based on the commit message and diff, it appears that the changes are related to a bug fix in the `GroovyTemplate` class. The commit message mentions that the 3-arg version of the `template()` method was ignoring the `engine` argument, which is a critical part of the method's functionality.

The diff shows that the `getTemplate()` method has been modified to accept an additional `TemplateEngine` argument, which is now used to create the `Template` object. This change fixes the bug by ensuring that the `engine` argument is properly used.

The commit message and diff both indicate that the changes are related to a bug fix, and the error-handling and exception-handling updates in the diff align with the commit message. Therefore, I conclude that the changes are related to a bug fix and should be included in the codebase."
spring-boot,510.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",NotBuggy,"  Based on the commit message and the Git diff, this change appears to be related to the socket connect timeout for Couchbase. Specifically, the commit message mentions ""Customize Couchbase's socket connect timeout"" and the diff includes changes to the `CouchbaseConfiguration` class.

However, the diff also includes changes to the `CouchbaseEnvironment` class, which is not mentioned in the commit message. This suggests that the changes may not be limited to the socket connect timeout, but may also include other changes related to the Couchbase configuration.

To determine if the changes align with the commit message, we need to look at the actual changes made to the code. The diff includes the following changes:

* Changes to the `CouchbaseConfiguration` class to make it possible to extend it in user's configuration.
* Changes to the `CouchbaseEnvironment` class to initialize the environment builder with the customized properties.
* Changes to the `CouchbaseClient` class to use the customized environment builder.

Based on these changes, it appears that the commit message is not entirely accurate. The changes do not just focus on the socket connect timeout, but also include other changes related to the Couchbase configuration.

Therefore, based on the information provided, we can conclude that the changes align with the commit message partially, but not entirely. The changes do not just focus on the socket connect timeout, but also include other changes related to the Couchbase configuration. Therefore, this is not a bug fix as the commit message suggests. Instead, this is a feature implementation that adds additional functionality to the Couchbase configuration.

Therefore, the assessment for this commit is **NotBuggy**."
spring-boot,516.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"  Based on the commit message and diff, the changes align with the commit message and indicate a bug fix. The changes made to the `CouchbaseConfiguration` class fix a problem where the couchbase server does not handle a socket connection within a second (the default), which is mentioned in the commit message. The changes also add a new property to customize the socket connect timeout and add a test to demonstrate how it can be used.

The diff shows that the method `createEnvironment` has been modified to return a `DefaultCouchbaseEnvironment.Builder` instead of a `CouchbaseEnvironment`. This is relevant to the bug fix, as it allows the user to customize the socket connect timeout.

The diff also shows that a new property has been added to the `CouchbaseProperties` class called `socketConnectTimeout`, which is used to set the socket connect timeout. This is also relevant to the bug fix, as it allows the user to set the socket connect timeout to a value other than the default.

Overall, the changes made to the `CouchbaseConfiguration` class and the new property added to the `CouchbaseProperties` class indicate a bug fix. The changes align with the commit message and demonstrate a clear understanding of the problem and the solution.

Therefore, I conclude that the changes in this commit align with the commit message and indicate a bug fix. The changes made in this commit are **Buggy**."
spring-boot,6313.json,1a2186e6efed5c53d7c50548de7b30b9a6dcd7f7,"@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}",Buggy,"Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584","CommitMessage: Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584
Diff:
@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}","  Based on the commit message and diff, it appears that the changes align with a bug fix. The commit message mentions ""lambda error detection on JDK 9"" and the diff specifically mentions ""detect `ClassCastException` messages that start with'module/name'."" This suggests that the changes are related to improving the detection of errors in lambda expressions in Java 9.

The diff also includes a new method called `startsWithArgumentClassName` that is used to detect `ClassCastException` messages that start with ""module/name."" This method is called from the `LambdaSafe` class, which is responsible for detecting errors in lambda expressions.

Based on the changes made in the diff, it appears that the bug fix involves improving the detection of `ClassCastException` messages that start with ""module/name."" This is consistent with the commit message and suggests that the changes are related to a bug fix.

Therefore, I conclude that the changes align with a bug fix and indicate that the commit message and diff are relevant to the same issue.","  Based on the commit message and diff, it appears that the changes align with a bug fix. The commit message mentions ""lambda error detection on JDK 9"" and the diff specifically mentions ""detect `ClassCastException` messages that start with'module/name'."" This suggests that the changes are related to improving the detection of errors in lambda expressions in Java 9.

The diff also includes a new method called `startsWithArgumentClassName` that is used to detect `ClassCastException` messages that start with ""module/name."" This method is called from the `LambdaSafe` class, which is responsible for detecting errors in lambda expressions.

Based on the changes made in the diff, it appears that the bug fix involves improving the detection of `ClassCastException` messages that start with ""module/name."" This is consistent with the commit message and suggests that the changes are related to a bug fix.

Therefore, I conclude that the changes align with a bug fix and indicate that the commit message and diff are relevant to the same issue."
spring-boot,2051.json,4b4dc28a869e2f8b988f6ac6ea8a31c274477da5,"@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,"Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691","CommitMessage: Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691
Diff:
@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}","  Based on the commit message and diff, it appears that the changes align with the commit message. The commit message mentions supporting non-standard error codes, and the diff shows updates to the `logError` method to handle non-standard error codes. Specifically, the diff adds a check for the `HttpStatus` object to resolve the status code, and then checks if the status code is equal to `HttpStatus.INTERNAL_SERVER_ERROR`. This indicates that the changes are related to handling non-standard error codes.

Based on the diff alone, it's not possible to determine with certainty whether the changes are related to a bug fix or not. However, based on the commit message, it seems likely that the changes are related to a bug fix. The commit message mentions ""fixes gh-16691,"" which suggests that the changes are related to a bug reported on GitHub issue #16691.

Therefore, I would conclude that the changes align with the commit message and indicate a bug fix.","  Based on the commit message and diff, it appears that the changes align with the commit message. The commit message mentions supporting non-standard error codes, and the diff shows updates to the `logError` method to handle non-standard error codes. Specifically, the diff adds a check for the `HttpStatus` object to resolve the status code, and then checks if the status code is equal to `HttpStatus.INTERNAL_SERVER_ERROR`. This indicates that the changes are related to handling non-standard error codes.

Based on the diff alone, it's not possible to determine with certainty whether the changes are related to a bug fix or not. However, based on the commit message, it seems likely that the changes are related to a bug fix. The commit message mentions ""fixes gh-16691,"" which suggests that the changes are related to a bug reported on GitHub issue #16691.

Therefore, I would conclude that the changes align with the commit message and indicate a bug fix."
guava,10860.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"  Based on the commit message and Git diff, this change appears to be a bug fix for the `Optional#presentInstances` method. The commit message indicates that the bug was related to the `Optional#presentInstances` method, and the Git diff shows that the change modifies the `Optional` class and its internal data structures.

The Git diff also shows that the change adds a new field `private final Iterator<Optional<T>> iterator` and a new method `computeNext()` to the `AbstractIterator` class. These changes suggest that the bug fix involves updating the internal data structures of the `Optional` class to handle the new `Iterator` correctly.

Based on the above, I conclude that the changes in this commit align with the commit message and indicate a bug fix in the `Optional#presentInstances` method. The bug fix involves updating the internal data structures of the `Optional` class to handle the new `Iterator` correctly, which aligns with the commit message.

Therefore, I conclude that this commit is **Buggy**."
guava,10861.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }","  Based on the given commit message and Git diff, it appears that the changes align with a bug fix for the `Optional#presentInstances` method. The commit message mentions fixing a bug in the method, and the diff contains updates to the method itself.

Significant changes in the diff include adding a `final` modifier to the `optionals` parameter, and adding a `checkNotNull` call to the `iterator` field. These changes suggest that the method is now handling null or empty input values more robustly. Additionally, the diff includes an improvement to the exception-handling logic, with the addition of a `checkNotNull` call to the `iterator` field in the `computeNext` method. This suggests that the method is now better able to handle unexpected input values and exceptions.

Relevant error-handling updates include the addition of a `checkNotNull` call to the `iterator` field in the `computeNext` method, which ensures that the method is now handling null or empty input values more robustly. Additionally, the diff includes a `checkNotNull` call to the `optionals` parameter, which suggests that the method is now handling null or empty input values more robustly.

Overall, the changes in the Git diff and the commit message suggest that the changes align with a bug fix for the `Optional#presentInstances` method. The changes include significant improvements to the exception-handling logic, and the diff includes updates to the method itself to ensure that it is now handling null or empty input values more robustly.

Based on this analysis, I conclude that the changes align with a bug fix and indicate a buggy commit.","  Based on the given commit message and Git diff, it appears that the changes align with a bug fix for the `Optional#presentInstances` method. The commit message mentions fixing a bug in the method, and the diff contains updates to the method itself.

Significant changes in the diff include adding a `final` modifier to the `optionals` parameter, and adding a `checkNotNull` call to the `iterator` field. These changes suggest that the method is now handling null or empty input values more robustly. Additionally, the diff includes an improvement to the exception-handling logic, with the addition of a `checkNotNull` call to the `iterator` field in the `computeNext` method. This suggests that the method is now better able to handle unexpected input values and exceptions.

Relevant error-handling updates include the addition of a `checkNotNull` call to the `iterator` field in the `computeNext` method, which ensures that the method is now handling null or empty input values more robustly. Additionally, the diff includes a `checkNotNull` call to the `optionals` parameter, which suggests that the method is now handling null or empty input values more robustly.

Overall, the changes in the Git diff and the commit message suggest that the changes align with a bug fix for the `Optional#presentInstances` method. The changes include significant improvements to the exception-handling logic, and the diff includes updates to the method itself to ensure that it is now handling null or empty input values more robustly.

Based on this analysis, I conclude that the changes align with a bug fix and indicate a buggy commit."
guava,14951.json,803f44ac9c6a3457388394e952132fe18449cb9f,"@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21","CommitMessage: Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21
Diff:
@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"  Based on the information provided, the changes made to the Java source code appear to be related to the fix for a performance problem in the `LinkedHashMultimap.removeAll(key)` method, as documented in the commit message. Specifically, the changes include the following:

* Removing the `linkedEntries.removeAll(createEntries(delegate()));` line, which appears to be the source of the performance problem.
* Adding two new lines to replace the removed line: `for (V value : delegate) { linkedEntries.remove(createEntry(value)); }`

These changes appear to be related to the commit message because they both address the same issue, which is a performance problem in the `removeAll` method. The changes also seem to be consistent with the goal of fixing the bug, as they include additional error handling and exception-handling improvements.

Therefore, based on the information provided, it is likely that the changes made to the Java source code are related to a bug fix. Therefore, I would conclude that the changes are **Buggy**."
guava,9470.json,2ee7f9da69308c56d5af71267e8b797cedaf31ba,"@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559","CommitMessage: AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559
Diff:
@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"  Based on the commit message and the Git diff, the changes made align with the bug fix identified in the commit message. The changes include:

* Adding checks for null nodes in the method `hasEdgeConnecting()` to prevent the method from throwing an exception if either endpoint is not in the graph.
* Updating the logic of the method to use the `nodes()` and `successors()` methods to ensure that the endpoints are in the graph before returning a result.

The changes are relevant to the bug fix because they address the error-handling aspect of the issue. The addition of null checks and the update to the logic of the method are both designed to prevent the method from throwing an exception if either endpoint is not in the graph. This aligns with the original bug report and the commit message.

Therefore, I conclude that this commit fix is indeed a bug fix, and I label it as **Buggy**."
