Project,File,CommitHash,Diff,Decision,CommitMessage,text,Detection,Explanation
spring-boot,9232.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"- The method template(TemplateEngine engine, String name, Map<String, ?> model) previously called getTemplate(name), ignoring the provided engine parameter.
- The change updates it to call getTemplate(engine, name), ensuring the specified TemplateEngine is used.
- This directly aligns with the commit message stating the 3-arg version was ignoring the engine argument.
- This is a logical correction fixing incorrect parameter usage; no error-handling changes involved.

**Buggy**"
spring-boot,9233.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}",Buggy,"- Commit message says the 3-arg template() was ignoring the provided engine.
- Previously, getTemplate(String name) always instantiated a new GStringTemplateEngine and used it, which would ignore any engine passed by the caller of the higher-level method.
- The change updates getTemplate to accept a TemplateEngine engine parameter and removes the hardcoded instantiation, using the provided engine for createTemplate calls.
- Exception handling remains unchanged; the logical correction directly addresses the bug described.

Buggy"
spring-boot,510.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",NotBuggy,"- Commit message summary: Allow customizing Couchbase socket connect timeout (to address Windows build failures due to 1s default) and make CouchbaseConfiguration truly extensible.
- Code diff: Changes couchbaseEnvironment() to return DefaultCouchbaseEnvironment and constructs it via initializeEnvironmentBuilder(properties).build() instead of createEnvironment(properties).

Analysis:
- The switch to using a builder (initializeEnvironmentBuilder(...).build()) aligns with enabling customization of environment options like socket connect timeout.
- Changing the return type to DefaultCouchbaseEnvironment suggests exposing the concrete type, likely to facilitate extension/customization, which matches the extensibility part of the message.
- There are no explicit error-handling updates, logical corrections, or exception-handling improvements. The change is an API/construct refactor to support configurability.

Conclusion: The change aligns with the commit message but does not indicate a direct bug fix; it enables configuration rather than correcting faulty logic.

NotBuggy"
spring-boot,516.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"- The commit message states two goals: allow customizing Couchbase’s socket connect timeout (to address a Windows build failure due to the 1s default), and make CouchbaseConfiguration truly extensible.
- The diff:
  - Adds socketConnectTimeout(timeouts.getSocketConnect()) to the environment builder, exposing a new property for socket connect timeout. This directly addresses the timeout issue described.
  - Changes the method to return DefaultCouchbaseEnvironment.Builder (initializeEnvironmentBuilder) instead of a built environment, enabling further customization/extension by users. This aligns with making the configuration extensible.

These changes are functionally motivated to resolve an operational failure (build failing due to too-short timeout) and fix an extensibility issue. They are not mere refactoring; they address concrete problems.

Buggy"
spring-boot,6313.json,1a2186e6efed5c53d7c50548de7b30b9a6dcd7f7,"@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}",Buggy,"Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584","CommitMessage: Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584
Diff:
@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}",Buggy,"The commit message says the goal is to fix lambda error detection on JDK 9 by also detecting ClassCastException messages that start with ""module/name"".

In the diff, the method startsWithArgumentClassName(String message) previously inlined the check:
- It tested whether the exception message starts with the argument’s class name.

It now delegates the check to a new overloaded helper method startsWithArgumentClassName(message, argument). This suggests the logic has been expanded beyond a simple startsWith(className) to handle additional formats—likely including JDK 9’s module-prefixed class names (e.g., ""module/name.Class"").

This change aligns with the commit message: it centralizes and likely augments the detection logic to accommodate JDK 9’s ClassCastException message format. It’s a corrective change to error-detection logic, indicative of a bug fix.

Buggy"
spring-boot,2051.json,4b4dc28a869e2f8b988f6ac6ea8a31c274477da5,"@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,"Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691","CommitMessage: Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691
Diff:
@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,"Step-by-step reasoning:
- The commit message says: ""Support non-standard error codes with AbstractErrorWebExceptionHandler"" and references a fixed issue.
- The code change modifies the condition in logError to add a guard:
  - Previously: response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)
  - Now: HttpStatus.resolve(response.rawStatusCode()) != null && response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)
- HttpStatus.resolve returns null for non-standard/unknown status codes, whereas accessing response.statusCode() likely attempts to convert to a HttpStatus enum and can fail for non-standard codes (e.g., throwing an exception).
- The added check prevents calling response.statusCode() when the raw status code does not map to a standard HttpStatus, thus avoiding a potential exception during error logging.
- This directly aligns with the commit message: it enables handling non-standard error codes by avoiding failures in the logging path, which is an error-handling/logical correction indicative of a bug fix.

Conclusion: **Buggy**"
guava,10860.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"Analysis:
- The commit message references a bug fix in Optional#presentInstances, which returns an Iterator that yields only present values.
- The diff adds a private final Iterator<Optional<T>> iterator field inside the anonymous AbstractIterator, initialized with checkNotNull(optionals.iterator()).
- Previously, computeNext() referenced an iterator variable without a corresponding field/closure-visible declaration in the shown snippet. This would either:
  - Not compile (if there was no enclosing final variable named iterator), or
  - Accidentally capture an unintended variable, leading to incorrect behavior.
- Moving the iterator initialization into the anonymous class as a field ensures the computeNext() method uses the correct iterator instance.
- Adding checkNotNull(optionals.iterator()) also improves error handling by failing fast if the Iterable returns null, preventing a later NullPointerException.

Conclusion: The change aligns with the commit message and corrects a real defect in presentInstances, with added defensive null checking.

Buggy"
guava,10861.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }",Buggy,"The changes align with the commit message and clearly indicate a bug fix.

Reasoning:
- Previously, the method created a single Iterator<Optional<T>> at method entry and closed over it in the returned Iterable. This meant every call to iterable.iterator() shared the same underlying iterator, violating the Iterable contract. Subsequent iterators would resume from the same position (often already exhausted), leading to incorrect behavior.
- The fix moves creation of the underlying iterator into the AbstractIterator instance returned by each iterator() call, ensuring a fresh traversal each time.
- The method parameter is made final so it can be safely captured by the inner class. The null checks remain, with checkNotNull(optionals.iterator()) now performed per iterator creation.

This is a logical correction to ensure proper iteration semantics and matches “Fix bug in Optional#presentInstances.”

Conclusion: **Buggy**"
guava,14951.json,803f44ac9c6a3457388394e952132fe18449cb9f,"@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21","CommitMessage: Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21
Diff:
@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"- Commit message claims a performance fix for LinkedHashMultimap.removeAll(key).
- The clear() method here is likely used to implement removeAll for the value-collection associated with a key.
- Original code called linkedEntries.removeAll(createEntries(delegate())), which likely triggers AbstractCollection.removeAll semantics: iterate over linkedEntries and call contains on the created entries collection, resulting in O(n*m) behavior (and extra allocation), causing poor performance.
- New code iterates over the delegate values and removes each corresponding linked entry directly via linkedEntries.remove(createEntry(value)), then clears the delegate. This avoids the expensive removeAll/contains pattern and reduces complexity to roughly linear, matching a performance fix.
- Behavior is preserved; only performance is improved, aligning with the commit message.

Conclusion: Buggy"
guava,9470.json,2ee7f9da69308c56d5af71267e8b797cedaf31ba,"@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559","CommitMessage: AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559
Diff:
@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"Analysis:
- Original implementation: return !edgesConnecting(nodeU, nodeV).isEmpty();
  - Likely throws if either node is not present in the graph, since edgesConnecting typically requires both endpoints to exist.
- New implementation:
  - Adds checkNotNull(nodeU) and checkNotNull(nodeV) to preserve NPE behavior on null inputs.
  - Returns nodes().contains(nodeU) && successors(nodeU).contains(nodeV), which:
    - Short-circuits to false if nodeU is not in the graph, avoiding a call to successors(nodeU) that could throw.
    - For directed graphs, successors(nodeU) correctly represents outbound connections; for undirected, successors equals adjacent nodes, so this still works.
- This directly addresses the commit message: avoids throwing when either endpoint is not in the graph and instead returns false.

Conclusion: Buggy"
