Project,File,CommitHash,Diff,Decision,CommitMessage,text,Detection
spring-boot,9232.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}","analysisWe need to determine if the changes align with commit message and indicate a bug fix. The commit message says: ""Fix bug in GroovyTemplate convenience. It was ignoring the engine argument in the 3 arg version of template()."" The code diff shows that previously getTemplate(name) was used, now getTemplate(engine, name). That indeed addresses the bug: the engine argument was ignored. So this is a bug fix. We must output ""Buggy"" (meaning change indicates a bug fix). The instructions: Output only a single word: 'Buggy' if the changes indicate a bug fix, otherwise 'NotBuggy'. So answer: Buggy.assistantfinalBuggy"
spring-boot,9233.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}","analysisWe need to decide if this change is bug fix. Commit message: ""Fix bug in GroovyTemplate convenience It was ignoring the engine argument in the 3 arg version of template()."" The diff: change method signature to accept TemplateEngine engine param, and earlier code created GStringTemplateEngine inside method. So bug fixed: previously 3 arg version ignored engine param. Now uses engine passed. So yes bug fix. Output ""Buggy"".assistantfinalBuggy"
spring-boot,510.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}","analysisWe need determine if changes indicate a bug fix. Commit message: ""Customize Couchbase's socket connect timeout"" describes adding property to customize timeout, also fix inability to extend CouchbaseConfiguration. The diff changes method signature: return type changed to DefaultCouchbaseEnvironment and uses initializeEnvironmentBuilder. This likely fixes ability to extend config. That is bug fix. So output 'Buggy'.assistantfinalBuggy"
spring-boot,516.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}","analysisWe need to decide if changes indicate a bug fix. Commit message: ""Customize Couchbase's socket connect timeout... While investigating this issue, it turns out that while `CouchbaseConfiguration` is public, it is not really possible to extend it in user's configuration. This commit fixes this problem and add a test that demonstrates how it can be used."" So commit is addressing bug: customizing socket connect timeout and ability to extend CouchbaseConfiguration. In diff, they changed method name from createEnvironment to initializeEnvironmentBuilder? They changed builder building: originally returned builder.build(); now returns builder. They added socketConnectTimeout to builder and changed the method name. This is a bug fix: previously builder.build() might not allow later modifications? The commit message indicates bug fix: customizing socket connect timeout and extending configuration. So output should be ""Buggy"".assistantfinalBuggy"
spring-boot,6313.json,1a2186e6efed5c53d7c50548de7b30b9a6dcd7f7,"@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}",Buggy,"Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584","CommitMessage: Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584
Diff:
@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}","analysisWe need to decide if changes align with commit message and indicate bug fix. Commit message: ""Attempt to fix lambda error detection on JDK 9 Update LambdaSafe to also detect ClassCastException messages that start with'module/name'."" So bug fix. Diff: changed lambda to call startsWithArgumentClassName(message, argument) instead of using message.startsWith(argument.getClass().getName()). That may add handling of module names? The commit message says to detect ClassCastException messages that start with ""module/name"". The change seems to modify logic but unclear if bug fix. It's a change to detection logic; likely a bug fix. So output ""Buggy"".assistantfinalBuggy"
spring-boot,2051.json,4b4dc28a869e2f8b988f6ac6ea8a31c274477da5,"@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,"Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691","CommitMessage: Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691
Diff:
@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}","analysisWe need to assess if changes align with commit message and indicate a bug fix. The commit message: ""Support non-standard error codes with AbstractErrorWebExceptionHandler. Fixes gh-16691"". The diff: It changes the logError method: previously it logged error only if response.statusCode() equals INTERNAL_SERVER_ERROR. Now it changes to: if HttpStatus.resolve(response.rawStatusCode())!= null && response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR). So it adds check that the raw status code resolves to a known HttpStatus, presumably to avoid logging errors for non-standard codes? Actually commit message says support non-standard error codes with handler. The code adds condition to only log if status code resolves to a known HttpStatus AND is INTERNAL_SERVER_ERROR. That aligns: they want to handle non-standard error codes. It ensures that if the status code is non-standard but still 500? Wait: rawStatusCode might be e.g., 501? But that would resolve to HttpStatus.NOT_IMPLEMENTED etc. The change: They only log if status code resolves to a known HttpStatus AND equals INTERNAL_SERVER_ERROR. So they still only log 500s but only if status code is known. For non-standard 500? Actually HttpStatus.resolve returns null for non-standard codes. So if code is 500 with custom reason phrase? That resolves to INTERNAL_SERVER_ERROR. So maybe they want to handle unknown codes. The change is a bug fix? Maybe if rawStatusCode didn't match known status, the equals check might fail? But equals still would be true if response.statusCode().equals(INTERNAL_SERVER_ERROR). But if statusCode is INTERNAL_SERVER_ERROR but rawStatusCode doesn't resolve? That seems contradictory. The change ensures that the resolved status code is not null. That might address a bug where response.statusCode() was INTERNAL_SERVER_ERROR but rawStatusCode was something else, causing a mismatch? It seems to be bug fix. So output 'Buggy'.

But we need to decide: The commit message says support non-standard error codes. The code change is adding a check for known status codes, but still only logs INTERNAL_SERVER_ERROR. That seems to restrict logging, not support non-standard. But maybe earlier the code logged errors for all 500s, including non-standard ones? The change might be to avoid logging if status code isn't recognized. That could be bug fix. The commit says ""Support non-standard error codes with AbstractErrorWebExceptionHandler"". That implies they want to handle non-standard codes differently. The code change seems to add condition to avoid logging? Could be bug fix. So I think it's a bug fix. Output 'Buggy'.

Given the instructions: Output only 'Buggy' if changes indicate bug fix, else 'NotBuggy'. So answer: 'Buggy'.assistantfinalBuggy"
guava,10860.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };","analysisWe need to decide if changes align with commit message and indicate a bug fix. Commit message: ""Fix bug in Optional#presentInstances."" The code diff: added a private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator()); inside iterator method. Previously, computeNext used optionals.iterator() directly each time? Let's examine: The diff adds a field 'iterator' to the anonymous class to hold the iterator. This ensures that the iterator is not recreated each time computeNext is called? Actually computeNext is called each time next() is invoked by the iterator. In original, inside computeNext, they had while (iterator.hasNext())? Wait: In original diff, before change, the code probably had:

public Iterator<T> iterator() {
  return new AbstractIterator<T>() {
    @Override protected T computeNext() {
      while (optionals.iterator().hasNext()) {
        Optional<T> optional = optionals.iterator().next();
        if (optional.isPresent()) {
          return optional.get();
        }
      }
      return endOfData();
    }
  };
}

But that would create a new iterator each time computeNext is called, causing infinite loop or wrong behavior. The fix adds a final iterator field so that the same iterator is used across computeNext calls. This is indeed a bug fix.

Thus output 'Buggy'.assistantfinalBuggy"
guava,10861.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }","analysisWe need to determine if changes indicate bug fix. Commit message: ""Fix bug in Optional#presentInstances."" The diff changed method signature to add final and moved iterator definition to inner class. The original had iterator declared in method body but not used? Actually original: checkNotNull(optionals); final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator()); return new Iterable<T>() {... }. In new code: removed that iterator variable, added final to method param, and inside create iterator variable inside iterator() method. This may fix bug about stale iterator or null pointer? The bug may be that the iterator is checked on optionals.iterator() but if optionals is null, checkNotNull called earlier but maybe iteration returns null? The new code ensures null check is inside iterator() each call. This seems like a bug fix. So output 'Buggy'.

But the instruction says output 'Buggy' if changes indicate a bug fix, otherwise 'NotBuggy'. So output 'Buggy'.

Check if code changes align with commit message. Yes. So output 'Buggy'.

assistantfinalBuggy"
guava,14951.json,803f44ac9c6a3457388394e952132fe18449cb9f,"@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21","CommitMessage: Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21
Diff:
@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }","analysisWe need to decide if changes reflect bug fix. Commit message: ""Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in..."". Diff shows modification to clear() method: previously it called linkedEntries.removeAll(createEntries(delegate())); Now instead iterates over delegate values and removes each entry individually: for (V value : delegate) { linkedEntries.remove(createEntry(value)); } Then delegate.clear().

This change is about performance of removeAll(key). The clear() method may be used to remove all entries of a key. The change probably fixes bug/performance. So yes bug fix. Output 'Buggy'.assistantfinalBuggy"
guava,9470.json,2ee7f9da69308c56d5af71267e8b797cedaf31ba,"@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559","CommitMessage: AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559
Diff:
@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }","analysisWe need to decide if changes align with commit message and indicate a bug fix. The commit message: ""AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph."" The change: originally return!edgesConnecting(nodeU, nodeV).isEmpty(); now it adds checkNotNull for nodeU and nodeV, then return nodes().contains(nodeU) && successors(nodeU).contains(nodeV); This seems to address the bug: previously, edgesConnecting might throw if nodes not in graph; now it checks containment. So yes, bug fix. Output ""Buggy"".assistantfinalBuggy"
