Project,File,CommitHash,Diff,Decision,CommitMessage,text,Detection,Explanation
spring-boot,9232.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"analysisWe need to decide if this change is a bug fix. Commit message: ""Fix bug in GroovyTemplate convenience. It was ignoring the engine argument in the 3 arg version of template().""

Diff: method template(TemplateEngine engine, String name, Map model) previously called getTemplate(name).make(model); now calls getTemplate(engine, name).make(model); So previously ignored the engine argument, using default engine, which is a bug. Now passes engine correctly. This matches commit message, and it's a bug fix. So answer Buggy.assistantfinalThe change updates the three‑argument `template` method so that it now forwards the supplied `TemplateEngine` to `getTemplate`.  
Previously the method ignored the `engine` parameter and always used the default engine, which is exactly the bug described in the commit message. The modification directly fixes that logical error.

**Conclusion: Buggy**"
spring-boot,9233.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}",Buggy,"analysisWe need to determine if this change is a bug fix. Commit message: ""Fix bug in GroovyTemplate convenience. It was ignoring the engine argument in the 3 arg version of template().""

Diff: method signature changed from private static Template getTemplate(String name) throws... to private static Template getTemplate(TemplateEngine engine, String name) throws... Also removed line that created a new GStringTemplateEngine engine = new GStringTemplateEngine(); So previously the method ignored the passed engine argument (maybe there was an overload with engine param but they didn't use it). Now they accept engine param and use it.

Thus it's fixing a bug. So Buggy.

We should explain reasoning: change aligns with commit message, fixing ignored argument, which is bug. So output Buggy.assistantfinalThe diff changes the `getTemplate` helper so that it now receives a `TemplateEngine` argument and **uses that engine** instead of always creating a new `GStringTemplateEngine`.  
The previous implementation ignored the caller‑provided engine (the method signature even lacked the engine parameter), which matches the described bug: the 3‑argument `template()` overload could never make use of the supplied engine.  

By adding the `engine` parameter to the method signature and removing the hard‑coded creation of a new `GStringTemplateEngine`, the code now correctly respects the caller’s engine choice. This is a direct fix of the reported bug, not merely a refactor or performance tweak.

**Conclusion: Buggy**."
spring-boot,510.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",Buggy,"analysisWe need to determine if this change is a bug fix. Commit message: ""Customize Couchbase's socket connect timeout... Windows build failing because couchbase server does not handle a socket connection within a second (the default). This commit adds a property to customize this option and set it to 10 sec in the sample. While investigating this issue, it turns out that while CouchbaseConfiguration is public, it is not really possible to extend... This commit fixes this problem and add a test that demonstrates how it can be used.""

Diff: method return type changed from CouchbaseEnvironment to DefaultCouchbaseEnvironment, and implementation changed from createEnvironment(this.properties) to initializeEnvironmentBuilder(this.properties).build();

So code modifications likely address bug: earlier method returned generic interface and perhaps couldn't customize timeout; now returns specific builder with ability to set property, allowing subclassing. This seems to be fixing inability to extend configuration (a bug). Also customizing timeout is a functional change.

Thus bug fix. Conclude Buggy.assistantfinalThe change modifies the way the Couchbase environment is created: the method now returns a concrete `DefaultCouchbaseEnvironment` built via an `initializeEnvironmentBuilder` call instead of directly calling `createEnvironment`. This adjustment allows callers to customize the socket‑connect timeout (and other settings) and makes the configuration class actually extensible—issues that the commit message describes as bugs. The code change directly addresses those functional problems, not merely refactoring.

**Buggy**"
spring-boot,516.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"analysisWe need to assess if changes align with commit message and indicate a bug fix. Commit message: ""Customize Couchbase's socket connect timeout... Windows build failing because couchbase server does not handle a socket connection within a second (the default). This commit adds a property to customize this option and set it to 10 sec in the sample. While investigating, it turns out that while CouchbaseConfiguration is public, it is not really possible to extend it in user's configuration. This commit fixes this problem and add a test that demonstrates how it can be used.""

Diff: method rename from createEnvironment to initializeEnvironmentBuilder, returns a Builder instead of built environment. Adds socketConnectTimeout(timeouts.getSocketConnect()) to builder. Also returns builder instead of builder.build().

Thus changes are adding new property handling, fixing inability to extend config (by returning builder rather than built object?), that seems like bug fix / functional change. So yes, bug fix.

We need to explain reasoning: The diff adds socketConnectTimeout handling, addressing timeout bug. Also changes method to return builder, enabling subclass to customize further, fixing extension limitation. Therefore aligns with commit message, indicates bug fix. Conclude Buggy.assistantfinal**Step‑by‑step analysis**

1. **Commit message intent**  
   - Add a configurable socket‑connect timeout (the default of 1 s is too short on Windows).  
   - Make the `CouchbaseConfiguration` class actually extensible by users.  
   - Provide a test that shows the extension works.

2. **What the diff changes**  
   - **Method signature**: `createEnvironment` → `initializeEnvironmentBuilder`.  
   - **Return type**: now returns the **builder** instead of a built `CouchbaseEnvironment`. This lets subclasses keep the builder, add their own settings, and finally build the environment themselves – exactly what the message describes as “making it possible to extend”.  
   - **New builder call**: `socketConnectTimeout(timeouts.getSocketConnect())` – this wires a new property (`socketConnectTimeout`) into the environment, allowing the timeout to be increased from the default 1 s to the desired 10 s.  
   - The final `return builder;` replaces the previous `return builder.build();`, preserving the ability for callers to finish the build after applying extra customizations.

3. **Alignment with the message**  
   - The added `socketConnectTimeout` line directly addresses the reported Windows‑specific timeout bug.  
   - Changing the method to return the builder solves the “public but not extensible” problem, because callers can now subclass `CouchbaseConfiguration`, invoke the protected method, add their own builder options, and then build the environment.  
   - Both changes are functional fixes, not just cosmetic refactorings.

4. **Bug‑fix indicators**  
   - Introduction of a previously missing configuration option that caused failures.  
   - Modification of method behavior to allow proper subclassing, fixing a usability bug.  
   - The commit message explicitly says “Fix bug …” and the code changes implement concrete fixes.

**Conclusion**

The code modifications directly implement the bug‑fixes described in the commit message (timeout handling and extensibility). Therefore the change should be classified as a bug fix.

**Result:** **Buggy**."
spring-boot,6313.json,1a2186e6efed5c53d7c50548de7b30b9a6dcd7f7,"@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}",Buggy,"Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584","CommitMessage: Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584
Diff:
@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}",Buggy,"analysisWe need to determine if changes align with commit message and indicate a bug fix. Commit message: ""Attempt to fix lambda error detection on JDK 9. Update LambdaSafe to also detect ClassCastException messages that start with'module/name'."" The diff shows modification of startsWithArgumentClassName method: previously it defined a Predicate that checks argument!= null && message.startsWith(argument.getClass().getName()); Now it calls startsWithArgumentClassName(message, argument). So presumably there is an overloaded method that handles the new logic (detecting module/name prefix). The change replaces direct check with a call to a method that likely handles both cases. This is a bug fix: earlier detection missed ClassCastException messages with module/name prefix; now they added support.

Thus the diff aligns with commit message, indicating bug fix. So answer Buggy.assistantfinalThe change updates the lambda that checks whether an exception message starts with the class name of an argument.  
Instead of directly using `message.startsWith(argument.getClass().getName())`, it now delegates to a helper `startsWithArgumentClassName(message, argument)`. This helper can implement the additional logic needed for JDK 9 where `ClassCastException` messages may begin with a “module/name” prefix rather than a plain class name.

The commit message explicitly says the change is to *detect `ClassCastException` messages that start with ""module/name""* on JDK 9. Replacing the direct `startsWith` check with a call to a more sophisticated method matches that intention, fixing a detection bug.

**Conclusion: Buggy**."
spring-boot,2051.json,4b4dc28a869e2f8b988f6ac6ea8a31c274477da5,"@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,"Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691","CommitMessage: Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691
Diff:
@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,"analysisWe need to decide if this change indicates a bug fix. Commit message: ""Support non-standard error codes with AbstractErrorWebExceptionHandler Fixes gh-16691"". The diff adds a check: previously, it checked if response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR). Now it adds condition HttpStatus.resolve(response.rawStatusCode())!= null && response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR). So they added a guard to ensure status code resolves to a known HttpStatus before comparing? Actually response.statusCode() returns HttpStatus enum? If rawStatusCode is non-standard (like 599), HttpStatus.resolve returns null, but response.statusCode() may be something else? The original code may have thrown exception when status code is non-standard because response.statusCode() could be null? The new guard ensures resolve exists before equality check, preventing NPE. That aligns with bug fix for handling non-standard error codes. So it's a bug fix. Conclude Buggy.assistantfinalThe change adds a defensive check before comparing the response status to `HttpStatus.INTERNAL_SERVER_ERROR`.  
The original code assumed that `response.statusCode()` would always be a known `HttpStatus` value; when a non‑standard status code is returned, `response.statusCode()` can be `null` or the lookup can fail, leading to a `NullPointerException` or incorrect logging behavior.  

By first resolving the raw status code (`HttpStatus.resolve(response.rawStatusCode())!= null`) the code now safely handles custom or non‑standard status codes, logging the error only when the status is truly an internal‑server error. This directly addresses the bug described in the commit message (“Support non‑standard error codes …”).

**Conclusion:** **Buggy**."
guava,10860.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"analysisWe need to determine if changes align with bug fix. Commit message: ""Fix bug in Optional#presentInstances."" The diff shows addition of a field: private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator()); inside an anonymous class extending AbstractIterator<T>. Previously, code likely used optionals.iterator() directly inside computeNext without caching? Let's think: The original code probably had something like while (optionals.iterator().hasNext())... which would create a new iterator each loop, causing infinite loop or skipping elements. The fix introduces a cached iterator, fixing bug. That aligns with bug fix. So Buggy.

Thus answer Buggy.assistantfinalThe change introduces a cached iterator for the `optionals` collection and uses `checkNotNull` to ensure it’s not null. Previously the code likely called `optionals.iterator()` repeatedly inside `computeNext()`, which could create a fresh iterator on each loop iteration, leading to incorrect behavior (e.g., an infinite loop or missing elements). Adding a single, stored iterator fixes that logic error, directly addressing a bug in `Optional#presentInstances`.  

**Buggy**"
guava,10861.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }",Buggy,"analysisWe need to determine if this change aligns with bug fix. The commit message: ""Fix bug in Optional#presentInstances."" The diff: method signature now has final parameter, removes redundant iterator variable creation outside and moves iterator into AbstractIterator as a private final field. Also adds checkNotNull on iterator within computeNext? Actually they removed earlier creation of iterator variable in outer method and now create it inside anonymous class. The change likely fixes a bug where iterator was consumed incorrectly? The original code: 

public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
  checkNotNull(optionals);
  final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
  return new Iterable<T>() {
    @Override public Iterator<T> iterator() {
      return new AbstractIterator<T>() {
        @Override protected T computeNext() {
          while (iterator.hasNext()) {
            Optional<T> optional = iterator.next();
            if (optional.isPresent()) {
              return optional.get();
            }
          }
          return endOfData();
        }
      };
    };
  };
}

But that code used iterator defined in outer method; however each call to presentInstances().iterator() would share same iterator across multiple iterators, causing bug if multiple iterators are requested. Also the outer iterator is created only once, so subsequent calls to iterator() would start where previous left off or be empty. The fix moves iterator creation inside each iterator instance, ensuring each Iterable's iterator has its own underlying iterator. That is definitely a bug fix.

Thus align with commit message. So answer Buggy.assistantfinalThe change modifies **`Optional.presentInstances`** so that the underlying iterator is created inside each returned iterator rather than being shared across all iterators.  

* **Bug indication:**  
  * The original version stored `final Iterator<Optional<T>> iterator = optionals.iterator()` in the outer method scope. Every call to `presentInstances(...).iterator()` would reuse that same iterator, causing incorrect behavior (e.g., only the first iterator would work, later ones would be empty or start mid‑stream).  
  * Moving the iterator creation into the anonymous `AbstractIterator` instance ensures each call gets a fresh iterator, which fixes the logical error.

* **Commit message alignment:** The message explicitly says “Fix bug in Optional#presentInstances.” The code change directly addresses a functional bug, not just a style or performance tweak.

Therefore, the diff reflects a bug‑fix change.

**Conclusion: Buggy**."
guava,14951.json,803f44ac9c6a3457388394e952132fe18449cb9f,"@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21","CommitMessage: Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21
Diff:
@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"analysisWe need to decide if this change is a bug fix. Commit message: ""Fix performance problem in LinkedHashMultimap.removeAll(key), as documented..."". Diff shows change in clear() method of some class (maybe LinkedHashMultimap). Original code: `linkedEntries.removeAll(createEntries(delegate()));` which presumably removed a collection of entries in bulk. New code iterates over each value in delegate and calls `linkedEntries.remove(createEntry(value));` This seems to change behavior perhaps for performance? The original removeAll likely creates a collection of entries and removes them all at once, maybe O(n) but with large overhead. The new code does per-element removal, maybe cheaper due to underlying data structure. That's a performance fix, not necessarily a bug fix. However, commit says ""Fix performance problem"". It's a bug fix in sense of performance bug. The diff changes clear() method, not removeAll(key). But clear() uses delegate (collection of values) and linkedEntries. The change is to avoid calling removeAll on linkedEntries with a collection that may allocate. This is performance-oriented. The commit message indicates bug fix. So we should label as Buggy because it's a fix for a performance bug. Also we need to assess relevance: code changes match performance fix, indeed they replace bulk removal with per-element removal, presumably faster. So yes Buggy.

assistantfinalThe commit message says the change is to fix a **performance problem** in `LinkedHashMultimap.removeAll(key)`.  
The diff modifies the `clear()` implementation (which is used by `removeAll`) by replacing a single call to `linkedEntries.removeAll(...)` with an explicit loop that removes each entry one‑by‑one:

* **Before:** `linkedEntries.removeAll(createEntries(delegate()));` – bulk removal that can be costly because it creates an intermediate collection and may trigger expensive internal operations.  
* **After:**  
  ```java
  for (V value : delegate) {
      linkedEntries.remove(createEntry(value));
  }
  ```  
  This avoids the extra collection allocation and leverages the underlying linked‑entry removal logic directly, addressing the reported performance issue.

The code change directly targets the problem described in the commit message, and it is a fix (albeit for a performance‑related bug).  

**Conclusion:** **Buggy**."
guava,9470.json,2ee7f9da69308c56d5af71267e8b797cedaf31ba,"@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559","CommitMessage: AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559
Diff:
@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"analysisWe need to determine if changes align with commit message and indicate bug fix. Commit message: fix bug in hasEdgeConnecting causing it to throw if either endpoint not in graph. Original code: return!edgesConnecting(nodeU, nodeV).isEmpty(); This likely throws if nodeU or nodeV not present because edgesConnecting probably expects both nodes present. The fix adds null checks and then returns nodes().contains(nodeU) && successors(nodeU).contains(nodeV); This avoids throwing and returns false if nodes missing. This matches bug fix. Also adds null checks which is defensive. So it's a bug fix. Conclude Buggy.assistantfinalThe change replaces the previous implementation of `hasEdgeConnecting` with a safer check:

* **Original code** called `edgesConnecting(nodeU, nodeV).isEmpty()`.  
  `edgesConnecting` assumes both endpoints are present in the graph, so if either `nodeU` or `nodeV` is missing it throws an exception – exactly the bug described in the commit message.

* **New code** first validates that the arguments are non‑null (`checkNotNull`).  
  It then explicitly checks that `nodeU` is a node in the graph and that `nodeV` is a successor of `nodeU`. If either endpoint is absent the method simply returns `false` instead of throwing.

This modification directly addresses the reported issue and aligns perfectly with the commit message. It is a clear bug‑fix change, not merely a refactor or performance tweak.

**Conclusion:** **Buggy**."
