SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
3,0.7958027720451355,0.848285645466681,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,104.json,NotBuggy
21,0.008962912485003471,9.7393672333782E-5,1,1,2,4,7.19,2,9,106.0,87.564453125,0,0,2,0,0,1843.json,NotBuggy
14,0.01780790090560913,5.385403757122959E-6,3,2,5,3,7.23,2,9,107.0,94.43236541748047,0,0,3,0,0,474.json,Buggy
9,0.013474694453179836,0.0010147900759350113,0,0,0,2,5.33,1,5,69.0,104.30687713623047,0,5,2,0,0,922.json,NotBuggy
4,0.8197059631347656,0.7454832062279829,0,0,0,1,3.46,0,0,19.0,125.79222106933594,0,1,0,0,0,260.json,NotBuggy
3,0.3733134865760803,0.8185731883518758,0,0,0,1,3.77,0,0,17.0,131.28770446777344,0,1,0,0,0,2527.json,NotBuggy
3,0.7067021727561951,0.811623862139658,0,0,0,1,3.77,0,1,15.0,132.25152587890625,0,0,0,0,0,26.json,NotBuggy
4,0.7991421818733215,0.7200822203104785,0,0,0,1,3.46,0,0,19.0,125.79222106933594,0,1,0,0,0,326.json,NotBuggy
8,0.02071489952504635,0.016106732494254365,0,0,0,2,2.4,1,5,58.0,107.41751861572266,0,1,2,0,0,2812.json,Buggy
11,0.7560816407203674,0.9540636510128094,0,0,0,2,5.34,1,2,27.0,107.13067626953125,0,0,0,0,0,1454.json,NotBuggy
9,0.4301929175853729,0.2098599714015398,2,2,4,2,5.03,1,3,43.0,107.27902221679688,0,1,1,0,0,1731.json,NotBuggy
3,0.41790494322776794,0.8562440674557581,0,0,0,1,3.77,0,0,13.0,133.18099975585938,0,0,0,0,0,2546.json,NotBuggy
4,0.7495469450950623,0.68911952576217,0,0,0,1,3.46,0,0,19.0,125.79222106933594,0,1,0,0,0,2121.json,NotBuggy
4,0.20976465940475464,0.5033781617351842,0,0,0,1,3.46,0,0,25.0,123.96263122558594,0,3,0,0,0,2094.json,NotBuggy
93,0.0,7.145221850732863E-37,30,36,66,28,8.78,3,52,577.0,48.42460632324219,0,2,11,0,0,1475.json,NotBuggy
16,0.005055613815784454,5.589321620211846E-5,3,2,5,3,5.27,1,7,100.0,92.71894073486328,0,4,1,0,0,88.json,Buggy
3,0.7026416659355164,0.7685609922980716,0,0,0,1,3.77,0,1,18.0,130.99049377441406,0,1,0,0,0,2742.json,NotBuggy
9,0.5500848889350891,0.3783542346046642,1,1,2,2,5.03,1,3,40.0,107.84432220458984,0,1,1,0,0,1747.json,NotBuggy
10,0.0013349358923733234,3.5518132767311877E-4,1,1,2,2,4.8,1,8,78.0,102.04037475585938,0,3,1,0,0,1581.json,NotBuggy
3,0.880047619342804,0.9652493406970664,0,0,0,1,0.0,0,0,9.0,135.83412170410156,0,0,0,0,0,194.json,NotBuggy
5,0.511682391166687,0.6493447694059781,1,1,2,2,1.96,0,1,32.0,118.92383575439453,0,1,0,0,0,1268.json,NotBuggy
4,0.45073339343070984,0.7023943536564529,0,0,0,1,3.46,0,1,19.0,125.67974090576172,0,0,0,0,0,1871.json,NotBuggy
4,0.9360744953155518,0.9488075485273544,0,0,0,1,3.46,0,0,12.0,128.936767578125,0,0,0,0,0,188.json,NotBuggy
3,0.15586312115192413,0.659671179003286,0,0,0,1,3.77,0,1,20.0,130.30841064453125,0,2,0,0,0,632.json,NotBuggy
4,0.9673378467559814,0.9228662104090474,0,0,0,1,3.46,0,0,13.0,128.335205078125,0,0,0,0,0,1404.json,NotBuggy
4,0.8077273368835449,0.7594608486830777,0,0,0,1,3.46,0,0,19.0,125.79222106933594,0,1,0,0,0,366.json,NotBuggy
21,0.0010532161686569452,6.154101091861322E-8,0,0,0,2,4.88,1,7,148.0,86.1091079711914,0,4,6,0,0,154.json,NotBuggy
3,0.7683966755867004,0.9366786700695267,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,2739.json,NotBuggy
10,9.214032907038927E-4,5.193329058901248E-4,1,1,2,2,4.8,1,4,74.0,102.12874603271484,0,4,1,0,0,908.json,NotBuggy
6,0.6567857265472412,0.1830861954848651,0,0,0,1,3.77,0,2,41.0,114.6588134765625,0,1,2,0,0,2710.json,NotBuggy
18,0.002505055395886302,0.0012165110358183537,2,2,4,4,3.58,2,13,99.0,90.77888488769531,0,2,1,0,0,799.json,NotBuggy
5,0.1801479011774063,0.44528351804085814,0,0,0,1,3.92,0,2,29.0,119.57592010498047,0,1,0,0,0,544.json,NotBuggy
4,0.02215450070798397,0.3131927381307832,0,0,0,1,3.46,0,2,30.0,123.10436248779297,0,2,0,0,0,1605.json,NotBuggy
44,0.0,2.2272086585060316E-15,7,5,12,6,8.76,4,19,259.0,69.90885162353516,0,0,7,0,0,1556.json,NotBuggy
4,0.3005369305610657,0.5237018081584436,0,0,0,1,3.46,0,1,24.0,124.4649429321289,0,2,0,0,0,629.json,NotBuggy
4,0.8134622573852539,0.9420431811026633,0,0,0,1,3.46,0,0,12.0,128.936767578125,0,0,0,0,0,1646.json,NotBuggy
13,0.09354725480079651,0.12464985896877141,2,2,4,3,6.15,1,4,57.0,99.68614196777344,0,0,0,0,0,1402.json,NotBuggy
4,0.5307674407958984,0.8195451237702243,0,0,0,1,3.46,0,0,18.0,126.19583892822266,0,1,0,0,0,884.json,NotBuggy
