SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
9,0.9132406711578369,2,3,107.86027526855469,2249.json,Buggy
21,0.7002503275871277,5,3,88.16680908203125,922.json,Buggy
2,0.9973500370979309,1,0,142.4026641845703,6177.json,NotBuggy
7,0.31930673122406006,2,0,111.41020202636719,6926.json,NotBuggy
33,0.09449027478694916,3,9,78.3741683959961,8305.json,NotBuggy
55,3.670109435915947E-4,5,21,66.8055419921875,5280.json,NotBuggy
6,0.002246759133413434,1,1,113.39401245117188,4586.json,Buggy
18,0.26451388001441956,3,7,90.52351379394531,7450.json,NotBuggy
16,0.6731811761856079,5,1,93.11372375488281,6617.json,Buggy
19,0.7974371910095215,3,4,90.13299560546875,8155.json,Buggy
7,0.0015722350217401981,1,4,108.91719055175781,7302.json,NotBuggy
3,0.3741116225719452,1,1,127.76728820800781,3729.json,NotBuggy
4,0.8094661831855774,1,2,124.361083984375,884.json,Buggy
3,0.0,1,1,125.07545471191406,7379.json,NotBuggy
11,0.17254480719566345,4,4,101.86613464355469,5821.json,Buggy
3,1.0534217290114611E-4,1,5,126.67426300048828,8248.json,NotBuggy
3,0.36615628004074097,1,1,128.31268310546875,5213.json,NotBuggy
7,0.23641687631607056,2,3,112.68669891357422,5152.json,Buggy
10,0.12330368161201477,2,3,103.40232849121094,4568.json,Buggy
35,0.6560288667678833,5,10,77.44761657714844,4136.json,Buggy
4,6.619711057282984E-4,1,2,120.46957397460938,7287.json,NotBuggy
15,0.3137419521808624,4,5,94.62648010253906,3546.json,Buggy
35,0.058986466377973557,2,7,77.22217559814453,387.json,NotBuggy
7,0.002775051863864064,2,2,108.57231903076172,7119.json,NotBuggy
8,0.5788800120353699,2,3,111.30977630615234,6132.json,NotBuggy
7,0.01006605476140976,1,4,108.20762634277344,7951.json,Buggy
6,0.2923327386379242,2,3,116.30582427978516,5052.json,NotBuggy
49,0.01565290428698063,13,7,68.04703521728516,2789.json,Buggy
16,0.8676989674568176,5,3,94.09302520751953,1856.json,Buggy
15,0.86402827501297,4,5,96.87604522705078,5903.json,Buggy
42,0.08635281771421432,11,11,71.14346313476562,3587.json,Buggy
3,0.44082170724868774,1,1,128.8092498779297,6990.json,Buggy
29,0.5211208462715149,6,15,80.27429962158203,1730.json,Buggy
6,0.7248459458351135,1,4,114.84461975097656,3872.json,Buggy
3,0.9538560509681702,1,1,132.25152587890625,3871.json,Buggy
3,0.321124792098999,1,1,127.51214599609375,2903.json,NotBuggy
29,0.5211208462715149,6,15,80.27429962158203,1736.json,Buggy
3,0.32915374636650085,1,0,125.8741455078125,7332.json,NotBuggy
4,0.22659704089164734,1,2,123.02798461914062,5975.json,NotBuggy
3,0.09985435754060745,1,1,127.26738739013672,4485.json,NotBuggy
5,0.17852260172367096,1,2,118.90401458740234,4927.json,NotBuggy
32,0.017936663702130318,8,7,79.16378784179688,2503.json,Buggy
14,0.46022340655326843,3,5,96.09947204589844,5084.json,NotBuggy
16,0.6171371936798096,1,5,94.56570434570312,5451.json,Buggy
3,0.010316465981304646,1,0,128.0337677001953,2273.json,NotBuggy
7,0.15073198080062866,3,3,112.60318756103516,2489.json,NotBuggy
