SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
8,0.20740219950675964,2,3,108.5035629272461,104.json,NotBuggy
15,0.5179192423820496,2,2,97.95835876464844,9640.json,NotBuggy
8,0.9325079917907715,2,3,109.82251739501953,761.json,NotBuggy
3,0.981898307800293,1,0,130.30841064453125,2260.json,NotBuggy
3,0.919175386428833,1,0,131.1535186767578,4953.json,NotBuggy
3,0.8273112773895264,1,1,130.85629272460938,7289.json,NotBuggy
3,0.6264088749885559,1,1,131.43582153320312,6599.json,NotBuggy
3,0.8896102905273438,1,0,131.1535186767578,3678.json,NotBuggy
3,0.890204906463623,1,0,133.59722900390625,5747.json,NotBuggy
4,0.6393063068389893,1,2,127.25547790527344,2810.json,NotBuggy
1,0.10416589677333832,1,0,150.24295043945312,2294.json,NotBuggy
3,0.9359841346740723,1,0,132.086669921875,1843.json,NotBuggy
3,0.29718416929244995,1,1,130.07347106933594,2249.json,NotBuggy
3,0.9755241870880127,1,0,132.25152587890625,3815.json,NotBuggy
8,0.19683662056922913,3,6,107.61434936523438,3173.json,NotBuggy
6,0.7420373558998108,2,0,117.25019073486328,5277.json,NotBuggy
3,0.20616599917411804,1,0,131.28770446777344,4587.json,NotBuggy
21,0.5924891829490662,6,0,86.81819915771484,474.json,NotBuggy
3,0.7779819369316101,1,1,132.086669921875,5352.json,NotBuggy
3,0.3363671898841858,2,2,127.80377197265625,5916.json,NotBuggy
3,0.8703433871269226,1,0,133.59722900390625,6394.json,NotBuggy
3,0.6277514100074768,1,1,132.25152587890625,3848.json,NotBuggy
3,0.6335418820381165,1,0,131.28770446777344,4535.json,NotBuggy
3,0.9347658157348633,1,0,132.086669921875,6177.json,NotBuggy
1,0.9828649759292603,1,0,151.39474487304688,274.json,NotBuggy
3,0.7232423424720764,1,0,131.28770446777344,9750.json,NotBuggy
3,0.8237512707710266,1,0,131.1535186767578,3599.json,NotBuggy
9,0.49799975752830505,2,2,107.9144287109375,260.json,NotBuggy
8,0.565126359462738,2,0,110.08924102783203,5181.json,NotBuggy
3,0.8937327265739441,1,0,132.9956512451172,3511.json,NotBuggy
6,0.7018588781356812,2,0,116.21601867675781,8103.json,NotBuggy
7,0.20664440095424652,1,4,112.24042510986328,2527.json,NotBuggy
5,0.09590227156877518,1,4,117.56597137451172,9731.json,NotBuggy
5,0.5972012281417847,1,1,120.54627227783203,3466.json,NotBuggy
3,0.9387786388397217,1,0,133.59722900390625,794.json,NotBuggy
3,0.9239391088485718,1,0,132.086669921875,3191.json,NotBuggy
17,0.031759295612573624,5,11,89.62113189697266,26.json,NotBuggy
7,0.11533649265766144,2,3,112.11737823486328,326.json,NotBuggy
4,0.8937329649925232,1,0,126.94251251220703,2812.json,NotBuggy
2,0.9974009990692139,1,0,140.82913208007812,2253.json,NotBuggy
3,0.8453620076179504,1,1,129.57785034179688,5045.json,NotBuggy
29,0.005701781250536442,8,8,79.19369506835938,3686.json,NotBuggy
3,0.8011731505393982,1,0,133.59722900390625,1454.json,NotBuggy
3,0.8355254530906677,1,2,131.28770446777344,4917.json,NotBuggy
55,0.0,13,56,61.34115219116211,4180.json,Buggy
3,0.9205869436264038,1,0,132.086669921875,2013.json,NotBuggy
3,0.9021100997924805,1,0,132.9956512451172,4795.json,NotBuggy
48,0.001290336949750781,13,11,68.2271499633789,1731.json,NotBuggy
3,0.6927354335784912,1,1,130.18594360351562,2546.json,NotBuggy
10,0.807465136051178,3,3,104.60588836669922,6926.json,NotBuggy
7,0.4005739390850067,2,3,112.60784912109375,8473.json,NotBuggy
3,0.7137029767036438,1,0,131.1535186767578,2121.json,NotBuggy
6,0.8079479932785034,2,6,115.4541244506836,2953.json,NotBuggy
3,0.718948483467102,1,2,130.30841064453125,2094.json,NotBuggy
3,0.9511016607284546,1,0,133.59722900390625,2942.json,NotBuggy
3,0.9727267026901245,1,0,132.086669921875,1475.json,NotBuggy
13,0.10949788242578506,4,5,99.39625549316406,8464.json,NotBuggy
3,0.8840023875236511,1,0,133.59722900390625,7870.json,NotBuggy
6,0.7308679223060608,2,0,117.6890869140625,4376.json,NotBuggy
6,0.47056281566619873,2,0,118.35382080078125,88.json,NotBuggy
3,0.7731881737709045,1,0,130.7338104248047,2742.json,NotBuggy
3,0.8328110575675964,1,0,132.9956512451172,9125.json,NotBuggy
3,0.7020045518875122,1,0,130.57513427734375,4257.json,NotBuggy
14,0.002143272664397955,2,9,94.92481231689453,7284.json,NotBuggy
3,0.9426633715629578,1,0,132.086669921875,3156.json,NotBuggy
15,0.0683799758553505,4,6,94.13238525390625,9701.json,NotBuggy
6,0.5016608238220215,2,1,117.77888488769531,8305.json,NotBuggy
3,0.7545806765556335,1,0,132.9956512451172,858.json,NotBuggy
14,0.32926633954048157,4,6,98.1957015991211,8351.json,NotBuggy
