SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
8,0.023010099306702614,1,5,107.18914031982422,10057.json,Buggy
3,0.7374414801597595,1,0,130.57513427734375,14362.json,NotBuggy
10,0.0039344411343336105,1,7,100.1139144897461,8751.json,Buggy
3,0.43576496839523315,1,3,130.30841064453125,2234.json,NotBuggy
3,0.4803664982318878,1,3,129.93223571777344,2730.json,NotBuggy
3,0.01643284596502781,1,1,128.8092498779297,2331.json,NotBuggy
3,0.9824535846710205,1,1,132.25152587890625,10108.json,NotBuggy
30,3.234968171454966E-4,8,21,77.87913513183594,12821.json,NotBuggy
3,0.9352436065673828,1,0,132.086669921875,2768.json,NotBuggy
7,0.7962996959686279,2,4,112.77070617675781,2710.json,NotBuggy
8,0.18768365681171417,2,2,109.59954833984375,14475.json,NotBuggy
8,0.05528890714049339,2,6,108.69711303710938,10913.json,NotBuggy
3,0.4493550658226013,1,2,129.93223571777344,2447.json,NotBuggy
12,0.006258510984480381,2,8,98.66179656982422,5541.json,NotBuggy
27,0.0013557152124121785,6,15,81.73021697998047,12804.json,NotBuggy
31,2.2045239165890962E-4,8,27,76.52607727050781,10793.json,NotBuggy
8,0.01676422730088234,2,9,108.15971374511719,14327.json,NotBuggy
6,0.9160430431365967,1,3,115.71329498291016,14305.json,NotBuggy
3,0.7374414801597595,1,0,130.57513427734375,14316.json,NotBuggy
36,0.0,10,30,71.73561096191406,5375.json,NotBuggy
5,0.04771316796541214,1,2,117.53816986083984,5559.json,NotBuggy
10,0.13422882556915283,3,7,101.8719482421875,12016.json,NotBuggy
14,0.008106909692287445,1,9,95.04024505615234,2677.json,NotBuggy
3,0.6358444094657898,1,0,132.61029052734375,14039.json,NotBuggy
4,0.23386582732200623,1,2,124.92120361328125,9685.json,NotBuggy
35,6.184010999277234E-4,13,21,72.63506317138672,11806.json,NotBuggy
6,0.2774063050746918,1,2,115.63230895996094,12755.json,NotBuggy
12,0.7037940621376038,3,0,101.7093505859375,12737.json,NotBuggy
3,0.7415075302124023,1,0,133.59722900390625,9366.json,NotBuggy
3,1.0139725054614246E-4,1,0,128.8216552734375,9438.json,NotBuggy
7,0.05751064792275429,1,5,110.63600158691406,378.json,NotBuggy
4,0.010613717138767242,1,0,123.94486236572266,10007.json,NotBuggy
29,0.004531858954578638,7,9,79.05233001708984,10339.json,NotBuggy
3,0.6317352652549744,1,2,131.91592407226562,11595.json,Buggy
3,0.8134962916374207,1,0,132.9956512451172,7338.json,NotBuggy
3,0.8447726964950562,1,0,132.4454345703125,1065.json,NotBuggy
3,0.9216117858886719,1,1,132.25152587890625,2099.json,NotBuggy
3,0.45599502325057983,1,0,133.59722900390625,1968.json,NotBuggy
1,0.6365274786949158,1,0,153.63165283203125,6550.json,NotBuggy
3,0.8270647525787354,1,3,129.2428436279297,2123.json,NotBuggy
2,0.9955825209617615,1,0,140.82913208007812,2290.json,NotBuggy
3,0.5443600416183472,1,1,130.57513427734375,5441.json,NotBuggy
2,0.999470055103302,1,0,140.82913208007812,6228.json,Buggy
3,0.8957316875457764,1,0,132.4454345703125,1956.json,NotBuggy
15,0.02848765440285206,2,5,92.43018341064453,2473.json,NotBuggy
3,0.5263962745666504,1,1,132.086669921875,7248.json,NotBuggy
3,0.12400584667921066,1,3,128.4090576171875,11688.json,Buggy
2,0.99458909034729,1,0,140.82913208007812,9693.json,NotBuggy
17,0.49673885107040405,5,6,92.3915023803711,14478.json,NotBuggy
8,0.7430547475814819,2,3,108.613037109375,14513.json,NotBuggy
12,0.10186060518026352,4,7,99.38724517822266,2692.json,NotBuggy
3,0.5631921887397766,1,1,131.43582153320312,5055.json,NotBuggy
5,4.204811411909759E-4,1,5,118.03533935546875,5624.json,NotBuggy
5,0.809403657913208,2,1,121.54933166503906,12312.json,NotBuggy
3,0.7251215577125549,1,0,131.28770446777344,8739.json,NotBuggy
3,0.9866454601287842,1,0,131.46876525878906,13739.json,NotBuggy
3,0.8075018525123596,1,0,132.086669921875,3024.json,NotBuggy
3,0.785441517829895,1,0,133.59722900390625,7688.json,NotBuggy
3,0.8232488632202148,1,1,132.086669921875,12369.json,NotBuggy
11,0.0,1,17,100.15076446533203,2711.json,NotBuggy
7,0.35817793011665344,1,3,109.40082550048828,10657.json,NotBuggy
4,0.5682252049446106,1,2,124.25267028808594,9248.json,NotBuggy
11,0.13204047083854675,2,11,101.98942565917969,2041.json,NotBuggy
12,0.05008311569690704,1,1,104.1061019897461,10614.json,NotBuggy
3,0.8390551209449768,1,0,132.4454345703125,11519.json,NotBuggy
2,0.9760125279426575,1,0,138.00436401367188,6551.json,NotBuggy
3,0.8709997534751892,1,1,130.85629272460938,12767.json,NotBuggy
3,0.8441904187202454,1,1,131.43582153320312,14559.json,NotBuggy
3,0.27172669768333435,1,4,128.60531616210938,2231.json,NotBuggy
6,0.4021955132484436,2,2,115.12547302246094,11813.json,NotBuggy
3,0.891723096370697,1,0,132.79563903808594,14330.json,NotBuggy
3,0.5374756455421448,1,0,131.1535186767578,5750.json,NotBuggy
17,0.4586750864982605,4,1,93.90249633789062,12514.json,NotBuggy
21,0.007728219032287598,5,9,84.99720764160156,1791.json,NotBuggy
3,0.9128450751304626,1,0,133.59722900390625,1917.json,NotBuggy
9,0.024834245443344116,3,5,103.50160217285156,7963.json,NotBuggy
28,0.029058033600449562,7,14,80.62828063964844,11721.json,NotBuggy
33,0.0,10,22,74.09281921386719,13898.json,NotBuggy
15,0.0029172683134675026,4,11,93.59022521972656,2380.json,NotBuggy
2,0.9671555757522583,1,0,139.1788330078125,2876.json,NotBuggy
10,0.004511039238423109,3,9,102.67742156982422,10638.json,NotBuggy
3,0.9427883625030518,1,0,132.9956512451172,1998.json,NotBuggy
8,0.5979814529418945,1,4,110.69502258300781,5371.json,NotBuggy
3,0.8880078196525574,1,0,133.59722900390625,10118.json,NotBuggy
11,0.0019310192437842488,2,5,100.99617767333984,6402.json,Buggy
6,0.408608615398407,2,4,116.6823501586914,1804.json,NotBuggy
10,0.28908777236938477,3,5,103.13654327392578,93.json,Buggy
3,0.9404751062393188,1,0,133.59722900390625,1991.json,NotBuggy
15,0.17272980511188507,2,3,98.73035430908203,12485.json,Buggy
3,0.4976802468299866,1,1,130.34019470214844,3106.json,NotBuggy
12,0.4528169333934784,3,3,100.99057006835938,8369.json,Buggy
3,0.23874881863594055,1,2,131.91592407226562,9644.json,NotBuggy
8,0.591973066329956,2,3,109.82251739501953,2773.json,NotBuggy
14,0.14013180136680603,6,0,98.78144836425781,1997.json,NotBuggy
10,0.05852799862623215,3,9,102.82249450683594,2167.json,NotBuggy
7,0.6295793056488037,2,0,113.98487091064453,2668.json,NotBuggy
6,0.2912343442440033,2,4,115.97023010253906,9809.json,Buggy
24,6.240956718102098E-4,7,12,82.4039306640625,10447.json,NotBuggy
2,0.9964359998703003,1,0,142.4026641845703,12378.json,Buggy
6,0.6400657296180725,2,3,115.88042449951172,9103.json,NotBuggy
17,0.0,5,14,89.4881820678711,1880.json,NotBuggy
27,0.0,1,45,81.0356674194336,14419.json,NotBuggy
3,0.5603030323982239,1,0,132.61029052734375,643.json,NotBuggy
12,0.393982470035553,3,4,100.57026672363281,14363.json,NotBuggy
15,0.007079588249325752,4,12,93.76087951660156,2383.json,NotBuggy
22,0.002542916452512145,1,9,88.81273651123047,9527.json,NotBuggy
3,0.5872646570205688,1,0,133.59722900390625,9367.json,NotBuggy
3,0.2625466585159302,1,1,130.99049377441406,5734.json,NotBuggy
6,0.7732528448104858,4,0,114.40888214111328,7957.json,NotBuggy
5,0.09702372550964355,1,3,117.61241912841797,11990.json,NotBuggy
15,0.13450887799263,5,10,93.60588073730469,11805.json,NotBuggy
3,0.42006170749664307,1,2,129.34671020507812,2409.json,NotBuggy
3,0.5184663534164429,1,1,132.79563903808594,2173.json,NotBuggy
14,0.2020488977432251,3,5,95.89629364013672,13276.json,NotBuggy
3,0.752038836479187,1,0,132.25152587890625,2607.json,NotBuggy
4,0.5618824362754822,1,5,124.57742309570312,2273.json,NotBuggy
6,0.4458831250667572,2,5,116.86482238769531,2192.json,NotBuggy
5,0.18129174411296844,1,1,120.85002136230469,8115.json,NotBuggy
3,0.7548624277114868,1,0,132.9956512451172,12088.json,NotBuggy
3,0.8530109524726868,1,0,134.26058959960938,11777.json,NotBuggy
5,0.5190696716308594,2,5,119.81843566894531,2207.json,NotBuggy
2,0.871168315410614,1,0,140.82913208007812,2397.json,NotBuggy
3,0.02427074871957302,1,0,130.70933532714844,1694.json,NotBuggy
6,0.18553775548934937,2,8,115.21527862548828,2450.json,NotBuggy
13,0.08526097238063812,7,6,94.1584701538086,12090.json,Buggy
6,0.5235737562179565,2,3,116.13532257080078,9517.json,NotBuggy
3,0.6926518678665161,1,0,132.61029052734375,863.json,NotBuggy
3,0.9152606725692749,1,0,132.9956512451172,8488.json,NotBuggy
3,0.3335295021533966,1,1,130.07347106933594,3107.json,NotBuggy
3,0.9152606725692749,1,0,132.9956512451172,8502.json,NotBuggy
8,0.12338902056217194,1,7,108.55174255371094,12262.json,NotBuggy
2,0.9959244728088379,1,0,140.82913208007812,10443.json,NotBuggy
10,0.005625935271382332,2,7,102.01516723632812,9511.json,NotBuggy
4,0.0,1,1,121.84000396728516,9255.json,NotBuggy
9,0.050474949181079865,4,12,103.329345703125,7979.json,NotBuggy
3,0.3334672152996063,1,3,128.92515563964844,2366.json,NotBuggy
6,0.0,1,7,113.73191833496094,5613.json,NotBuggy
7,0.2546347975730896,2,5,111.14713287353516,1796.json,NotBuggy
4,0.20437727868556976,1,2,126.1969985961914,10576.json,NotBuggy
3,0.8263971209526062,1,0,134.26058959960938,1923.json,NotBuggy
3,0.9926369190216064,1,0,132.4454345703125,13753.json,NotBuggy
9,0.9429334998130798,3,3,106.1617660522461,7935.json,NotBuggy
7,0.34173834323883057,2,5,112.83319091796875,1801.json,NotBuggy
5,0.6479155421257019,1,1,120.3299331665039,9924.json,NotBuggy
4,0.9042244553565979,1,1,126.33003997802734,7750.json,NotBuggy
4,0.12045926600694656,1,6,122.36370849609375,2206.json,NotBuggy
4,0.846867024898529,1,1,123.37332153320312,1427.json,NotBuggy
3,0.9847152233123779,1,0,133.59722900390625,329.json,NotBuggy
3,0.2949877679347992,1,0,133.59722900390625,1960.json,NotBuggy
12,0.3926938474178314,5,2,100.6148681640625,9276.json,NotBuggy
13,0.9171572327613831,3,3,98.96623229980469,11538.json,NotBuggy
3,0.7991840839385986,1,0,133.59722900390625,2350.json,NotBuggy
3,0.5405009388923645,1,0,132.61029052734375,644.json,NotBuggy
3,0.5443600416183472,1,1,130.57513427734375,5423.json,NotBuggy
6,0.02378181926906109,2,4,114.74968719482422,5611.json,NotBuggy
17,0.16188858449459076,4,9,90.34405517578125,11907.json,NotBuggy
7,0.7220256328582764,1,5,112.2157211303711,14672.json,NotBuggy
3,0.6171813607215881,1,0,131.9385528564453,12743.json,NotBuggy
3,0.9316548705101013,1,0,132.086669921875,8942.json,NotBuggy
3,0.9713621735572815,1,0,131.03103637695312,3039.json,NotBuggy
80,0.0,16,42,55.13248062133789,11635.json,Buggy
12,0.034893959760665894,2,7,100.12922668457031,8235.json,NotBuggy
3,0.8441193103790283,1,0,133.59722900390625,12444.json,NotBuggy
3,0.9022001028060913,1,0,131.9385528564453,12752.json,NotBuggy
6,0.786627471446991,2,2,116.86482238769531,2130.json,NotBuggy
13,0.04791766032576561,3,9,96.77322387695312,330.json,NotBuggy
1,0.986227810382843,1,0,151.39474487304688,6465.json,Buggy
6,0.5235742926597595,1,2,115.216796875,9252.json,NotBuggy
3,0.9062103629112244,1,0,133.59722900390625,1873.json,NotBuggy
5,0.012869768775999546,1,2,117.40169525146484,12797.json,NotBuggy
10,0.23379793763160706,4,4,103.39248657226562,10444.json,NotBuggy
11,0.0,1,17,100.15076446533203,2712.json,NotBuggy
3,0.9399890899658203,1,0,132.4454345703125,1958.json,NotBuggy
7,0.9361146688461304,2,4,113.00700378417969,14641.json,NotBuggy
4,0.12385842949151993,1,6,122.36370849609375,2034.json,NotBuggy
3,0.9713621735572815,1,0,131.03103637695312,2945.json,NotBuggy
5,0.092087522149086,1,3,117.61241912841797,12057.json,NotBuggy
39,1.5406677266582847E-4,8,14,71.7511215209961,11636.json,NotBuggy
6,0.5635817646980286,2,2,116.7609634399414,6263.json,NotBuggy
2,0.5335844159126282,1,0,139.0139617919922,11502.json,NotBuggy
14,0.034694939851760864,2,8,97.03886413574219,5510.json,Buggy
18,0.0795334056019783,2,16,89.63671112060547,10124.json,NotBuggy
3,0.47179707884788513,1,1,130.7338104248047,10554.json,NotBuggy
7,0.8561232686042786,1,2,113.77827453613281,14697.json,NotBuggy
3,0.7846232056617737,1,3,130.18594360351562,14615.json,NotBuggy
6,0.22301074862480164,2,2,116.4021987915039,12672.json,NotBuggy
7,0.8174393773078918,3,1,110.12152099609375,12000.json,NotBuggy
4,0.0168113112449646,1,4,122.20084381103516,11410.json,NotBuggy
3,0.753381073474884,1,0,132.61029052734375,856.json,NotBuggy
10,0.40584585070610046,3,6,103.53359985351562,2158.json,NotBuggy
3,0.7764756083488464,1,0,134.26058959960938,12890.json,NotBuggy
3,0.0707867369055748,1,1,129.57785034179688,5605.json,NotBuggy
22,3.4006856731139123E-4,4,10,84.7911376953125,11093.json,Buggy
7,0.06382707506418228,2,2,110.67108917236328,2827.json,NotBuggy
22,0.0,4,0,85.98004913330078,12360.json,NotBuggy
2,0.8945096731185913,1,0,140.82913208007812,12659.json,NotBuggy
3,0.86045241355896,1,0,133.59722900390625,9435.json,NotBuggy
3,0.8467384576797485,1,0,132.61029052734375,860.json,NotBuggy
3,0.9130358695983887,1,1,133.18099975585938,14677.json,NotBuggy
3,0.9184675812721252,1,0,131.60296630859375,13484.json,NotBuggy
8,0.018615754321217537,3,6,107.92971801757812,14492.json,NotBuggy
3,0.8240249156951904,1,1,132.086669921875,2294.json,NotBuggy
63,0.0,6,43,61.09033966064453,14084.json,NotBuggy
3,0.691649854183197,1,3,130.18594360351562,14414.json,NotBuggy
19,2.0481609681155533E-4,2,21,88.06835174560547,12356.json,Buggy
3,0.9327583909034729,1,0,133.59722900390625,3105.json,NotBuggy
4,0.529399037361145,1,5,124.57742309570312,2256.json,NotBuggy
3,0.6689108610153198,1,1,131.43582153320312,1853.json,NotBuggy
40,1.4796690084040165E-4,9,20,72.17913055419922,6832.json,Buggy
3,0.7787159085273743,1,0,134.26058959960938,14520.json,NotBuggy
3,0.8350610136985779,1,0,133.59722900390625,12665.json,NotBuggy
6,0.8121979832649231,2,2,117.25019073486328,1943.json,NotBuggy
5,0.024410782381892204,2,1,118.20518493652344,2306.json,NotBuggy
5,0.03702809661626816,1,1,118.82000732421875,12913.json,NotBuggy
13,0.02165602333843708,2,9,96.30880737304688,2804.json,NotBuggy
8,0.591973066329956,2,3,109.82251739501953,2197.json,NotBuggy
3,0.5949040055274963,1,0,132.25152587890625,2434.json,NotBuggy
2,0.9686267375946045,1,0,139.1788330078125,350.json,NotBuggy
4,0.12353456765413284,1,6,122.36370849609375,2391.json,NotBuggy
6,0.0460985042154789,1,2,114.7745132446289,10151.json,NotBuggy
7,0.7524165511131287,2,1,114.16735076904297,8508.json,NotBuggy
3,0.8545360565185547,1,1,131.75106811523438,400.json,NotBuggy
3,0.862061083316803,1,0,133.59722900390625,14489.json,NotBuggy
3,0.6608560681343079,1,0,131.03103637695312,9959.json,NotBuggy
3,0.9081394672393799,1,0,134.26058959960938,5370.json,NotBuggy
3,0.2016739398241043,1,0,132.61029052734375,854.json,NotBuggy
3,0.9360849857330322,1,0,131.28770446777344,13744.json,NotBuggy
10,0.0015888770576566458,1,7,101.65406799316406,10077.json,NotBuggy
9,0.24287675321102142,2,8,107.66072082519531,14324.json,NotBuggy
22,0.016140412539243698,4,15,85.20831298828125,10115.json,NotBuggy
3,0.5030698776245117,1,1,132.25152587890625,7419.json,NotBuggy
8,0.16585266590118408,2,4,109.82251739501953,14328.json,NotBuggy
7,0.24335454404354095,2,2,111.3536376953125,14395.json,NotBuggy
7,0.7815824747085571,2,4,112.77070617675781,2592.json,NotBuggy
3,0.9169864058494568,1,1,132.25152587890625,2100.json,NotBuggy
38,0.0,12,10,70.7950439453125,13899.json,NotBuggy
3,0.7567249536514282,1,1,132.086669921875,14537.json,NotBuggy
3,0.6981631517410278,1,0,133.59722900390625,10436.json,NotBuggy
3,0.7215635776519775,1,0,132.25152587890625,9722.json,NotBuggy
8,0.6039665937423706,1,2,107.69010162353516,10497.json,NotBuggy
3,0.8467565774917603,1,0,132.4454345703125,12718.json,NotBuggy
10,0.29446613788604736,3,5,103.81948852539062,6396.json,NotBuggy
5,0.239143505692482,2,2,119.25943756103516,14470.json,NotBuggy
3,0.9152606725692749,1,0,132.9956512451172,8492.json,NotBuggy
3,0.9121705293655396,1,0,132.9956512451172,12887.json,NotBuggy
20,0.03632446378469467,7,8,86.70108795166016,8962.json,NotBuggy
5,0.5334458351135254,2,5,119.81843566894531,2242.json,NotBuggy
3,0.374058336019516,1,1,133.80813598632812,2288.json,NotBuggy
5,0.7141042947769165,2,3,118.43477630615234,9100.json,NotBuggy
8,0.5476727485656738,2,5,107.19337463378906,11852.json,NotBuggy
5,0.5602022409439087,1,3,117.61241912841797,14452.json,NotBuggy
3,0.7754278182983398,1,0,131.28770446777344,759.json,NotBuggy
9,0.4364868402481079,2,2,107.64955139160156,1702.json,Buggy
3,0.9713621735572815,1,0,131.03103637695312,2870.json,NotBuggy
4,0.06364353746175766,1,3,124.58238983154297,10535.json,NotBuggy
3,0.6070436835289001,1,1,131.1535186767578,1967.json,NotBuggy
4,0.23590141534805298,1,4,124.25267028808594,2260.json,NotBuggy
10,0.2871047854423523,3,4,103.66303253173828,2181.json,NotBuggy
3,0.07425016164779663,1,1,129.4591827392578,4630.json,NotBuggy
3,0.3692452609539032,1,3,130.05470275878906,13619.json,NotBuggy
4,0.7907584309577942,1,0,125.79222106933594,1081.json,NotBuggy
22,6.322219269350171E-4,5,15,86.39107513427734,2514.json,NotBuggy
15,0.08072686195373535,3,10,95.5736083984375,2731.json,NotBuggy
3,0.6700461506843567,1,2,129.93223571777344,2776.json,NotBuggy
4,0.11031407117843628,1,3,124.16120147705078,2179.json,NotBuggy
55,0.0,17,18,62.15262222290039,6336.json,Buggy
16,0.04333370923995972,3,6,93.75629425048828,10058.json,Buggy
50,0.0,7,36,66.11112213134766,6018.json,Buggy
3,0.9713621735572815,1,0,131.03103637695312,2910.json,NotBuggy
9,0.015653982758522034,1,2,107.8907241821289,2407.json,NotBuggy
3,0.6993741393089294,1,1,130.99049377441406,4373.json,NotBuggy
6,0.7872207164764404,2,1,116.86482238769531,12574.json,NotBuggy
15,0.010830767452716827,5,3,94.03771209716797,9379.json,NotBuggy
21,0.0,4,16,86.10913848876953,1868.json,NotBuggy
5,0.08327803015708923,1,3,117.61241912841797,12055.json,NotBuggy
3,0.7016936540603638,1,0,131.03103637695312,9238.json,NotBuggy
7,0.6101667881011963,2,1,110.56603240966797,8233.json,NotBuggy
6,0.0934336856007576,2,3,117.48513793945312,9842.json,NotBuggy
4,0.6446412205696106,1,4,123.94486236572266,2540.json,NotBuggy
7,0.15002025663852692,2,6,111.07701873779297,2541.json,NotBuggy
9,0.29469606280326843,2,9,105.72296142578125,2043.json,NotBuggy
7,0.49942171573638916,1,4,113.70298767089844,1717.json,NotBuggy
3,0.6832998991012573,1,1,130.70933532714844,4632.json,NotBuggy
3,0.25396543741226196,1,4,128.60531616210938,2321.json,NotBuggy
3,0.68024080991745,1,0,132.61029052734375,858.json,NotBuggy
2,0.9671555757522583,1,0,139.1788330078125,2961.json,NotBuggy
4,0.5322566032409668,1,2,125.39425659179688,1909.json,NotBuggy
3,0.2469860315322876,1,0,132.79563903808594,1895.json,NotBuggy
3,0.9713621735572815,1,0,131.03103637695312,2863.json,NotBuggy
8,0.0215393528342247,1,7,108.01136779785156,481.json,NotBuggy
6,0.5175091028213501,2,6,116.231689453125,2720.json,NotBuggy
26,8.826206903904676E-4,5,15,81.21653747558594,9667.json,NotBuggy
3,0.5695577263832092,1,0,130.57513427734375,1129.json,NotBuggy
10,0.011569061316549778,1,9,102.96090698242188,5305.json,NotBuggy
2,0.999466598033905,1,0,140.82913208007812,8055.json,Buggy
5,0.0016707157483324409,1,4,118.03533935546875,12917.json,NotBuggy
15,0.14076173305511475,4,5,93.4808349609375,6598.json,NotBuggy
