SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
4,0.6871771216392517,1,1,127.59107971191406,20080.json,NotBuggy
4,0.6026736497879028,1,1,127.59107971191406,2260.json,NotBuggy
4,0.315885066986084,1,2,124.26470947265625,4953.json,NotBuggy
4,0.1265767365694046,1,1,124.58238983154297,17071.json,NotBuggy
4,0.8424636721611023,1,2,125.39425659179688,3678.json,NotBuggy
18,0.003878022776916623,4,14,88.86896514892578,17141.json,NotBuggy
11,0.8049401044845581,1,1,106.89271545410156,22852.json,NotBuggy
5,0.5026252865791321,1,2,121.91352844238281,16005.json,NotBuggy
13,0.0029372666031122208,3,18,95.8128433227539,5747.json,NotBuggy
8,0.08314821124076843,4,2,107.32136535644531,17150.json,NotBuggy
10,0.04584093764424324,1,4,104.31705474853516,20560.json,NotBuggy
4,0.16182832419872284,1,1,127.42622375488281,13847.json,NotBuggy
4,0.5610849261283875,1,0,127.27810668945312,2810.json,NotBuggy
16,2.622648607939482E-4,2,11,93.52581787109375,2294.json,NotBuggy
4,0.31723135709762573,1,1,125.41301727294922,2249.json,NotBuggy
4,0.03638574108481407,1,2,124.361083984375,5277.json,NotBuggy
6,0.8345206379890442,2,1,116.48211669921875,12309.json,NotBuggy
8,8.628642535768449E-4,2,5,106.36589050292969,4587.json,NotBuggy
4,0.70870041847229,1,0,127.27810668945312,5352.json,NotBuggy
8,0.024341540411114693,2,3,106.56436157226562,5916.json,NotBuggy
6,0.7933357954025269,2,3,116.4021987915039,18538.json,NotBuggy
4,0.5865478515625,1,2,124.91740417480469,922.json,NotBuggy
4,0.8907104730606079,1,0,129.6001434326172,13704.json,NotBuggy
11,0.7498205900192261,5,7,101.18846893310547,12067.json,NotBuggy
7,0.026580728590488434,1,4,109.71691131591797,4535.json,NotBuggy
5,0.49943143129348755,1,2,122.74693298339844,6177.json,NotBuggy
6,0.06608020514249802,1,3,114.64286041259766,19690.json,NotBuggy
4,6.794868386350572E-4,1,1,124.25267028808594,13200.json,NotBuggy
4,0.16746078431606293,1,0,128.936767578125,21211.json,NotBuggy
6,0.002645670436322689,1,4,113.84972381591797,19360.json,NotBuggy
7,0.38970106840133667,2,2,114.95689392089844,10899.json,NotBuggy
4,0.1121596246957779,1,0,128.936767578125,3599.json,NotBuggy
30,0.0013376310234889388,4,14,78.3017807006836,7920.json,NotBuggy
7,0.048361971974372864,2,5,110.19845581054688,15933.json,NotBuggy
4,0.49120032787323,1,1,125.91468811035156,5181.json,NotBuggy
4,0.6840554475784302,1,0,128.936767578125,15918.json,NotBuggy
4,0.6163428425788879,1,1,123.94486236572266,18919.json,NotBuggy
3,0.2960066497325897,1,0,130.07347106933594,11064.json,NotBuggy
4,0.12940849363803864,1,2,124.361083984375,17016.json,NotBuggy
4,0.3182007670402527,1,1,123.5933609008789,7453.json,NotBuggy
10,0.004646733868867159,2,8,102.23625183105469,794.json,NotBuggy
6,0.21070705354213715,1,7,112.82794952392578,20412.json,NotBuggy
3,0.5812550187110901,1,0,134.26058959960938,11590.json,NotBuggy
6,0.7316044569015503,1,3,117.0948257446289,15807.json,NotBuggy
18,0.0,1,28,88.69596862792969,20134.json,NotBuggy
4,0.5117958784103394,1,1,125.91468811035156,326.json,NotBuggy
4,0.551423192024231,1,1,125.41301727294922,21242.json,NotBuggy
4,0.02150687389075756,1,0,128.936767578125,2812.json,NotBuggy
5,0.038508087396621704,2,1,116.93729400634766,15187.json,NotBuggy
4,0.6655188202857971,1,2,127.25547790527344,2253.json,NotBuggy
4,0.8424636721611023,1,2,125.39425659179688,3686.json,NotBuggy
4,0.16933302581310272,1,2,123.94486236572266,16446.json,NotBuggy
11,0.06645385175943375,1,3,102.81463623046875,2013.json,NotBuggy
4,0.3918305039405823,2,1,123.52867889404297,18744.json,NotBuggy
4,0.3312181532382965,1,0,126.37059020996094,16315.json,NotBuggy
8,0.17070713639259338,2,3,111.219970703125,1731.json,Buggy
6,0.46665629744529724,1,3,116.62230682373047,15772.json,NotBuggy
5,0.6136545538902283,2,2,120.30387878417969,6926.json,NotBuggy
6,0.007481220178306103,1,5,111.73953247070312,11728.json,NotBuggy
5,0.06084267795085907,1,3,118.07797241210938,11685.json,NotBuggy
4,0.9370942711830139,1,1,129.14767456054688,22714.json,NotBuggy
4,0.8935133814811707,1,2,126.33003997802734,2773.json,NotBuggy
5,0.12080077826976776,1,2,120.03731536865234,22625.json,NotBuggy
12,0.0,1,6,98.67999267578125,20567.json,NotBuggy
6,0.7102896571159363,1,3,117.0948257446289,19092.json,NotBuggy
4,0.584255576133728,1,1,127.09062194824219,12972.json,NotBuggy
6,6.526290671899915E-4,2,3,113.12316131591797,22768.json,NotBuggy
4,0.5719621777534485,1,0,127.27810668945312,16469.json,NotBuggy
4,0.9387233257293701,1,0,128.936767578125,2953.json,NotBuggy
4,0.7472864389419556,1,0,126.4930648803711,2094.json,NotBuggy
7,0.3080782890319824,6,0,109.28168487548828,18592.json,NotBuggy
