SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
4,0.7512565851211548,1,1,126.19583892822266,3815.json,NotBuggy
3,0.347249299287796,1,0,131.28770446777344,3511.json,NotBuggy
8,0.5609995722770691,2,0,110.15780639648438,794.json,Buggy
4,0.8053211569786072,1,0,128.335205078125,3191.json,Buggy
18,0.2719666361808777,6,4,92.79053497314453,1454.json,Buggy
18,0.03454045578837395,2,6,116.50724792480469,2546.json,NotBuggy
12,0.7411203980445862,3,4,102.1607437133789,2773.json,Buggy
4,0.538820207118988,1,2,124.91740417480469,2953.json,NotBuggy
3,0.9417726397514343,1,0,133.59722900390625,2942.json,NotBuggy
4,0.6442633867263794,1,1,126.19583892822266,1475.json,Buggy
6,0.3196620047092438,1,4,115.94755554199219,2742.json,NotBuggy
10,0.6909192800521851,2,3,104.52688598632812,3743.json,Buggy
4,0.6336440443992615,1,1,127.94984436035156,839.json,NotBuggy
14,0.09449616074562073,3,6,96.42109680175781,2297.json,NotBuggy
10,0.11496451497077942,2,3,104.87416076660156,2301.json,NotBuggy
11,0.4764673709869385,2,6,104.59346008300781,2710.json,Buggy
4,0.9109201431274414,1,0,127.42622375488281,799.json,NotBuggy
3,0.5975646376609802,1,1,131.43582153320312,3846.json,NotBuggy
12,2.567024785093963E-4,2,8,98.74243927001953,3045.json,Buggy
3,0.9326223731040955,1,0,133.59722900390625,3127.json,NotBuggy
4,0.9458140730857849,1,0,126.62725830078125,3799.json,NotBuggy
4,0.9307262301445007,1,0,127.42622375488281,1646.json,NotBuggy
15,0.025708366185426712,4,2,93.89090728759766,884.json,NotBuggy
3,0.161168172955513,1,0,131.60296630859375,681.json,NotBuggy
4,0.7979804277420044,1,0,128.936767578125,3776.json,NotBuggy
3,0.5663295388221741,1,1,130.34019470214844,2944.json,NotBuggy
15,0.05165398493409157,3,7,94.70579528808594,3255.json,NotBuggy
4,0.636830747127533,1,0,127.42622375488281,1805.json,NotBuggy
4,0.5819938778877258,1,0,127.42622375488281,1469.json,NotBuggy
7,0.3632502257823944,1,1,112.21089935302734,2816.json,NotBuggy
4,0.6291235685348511,1,1,127.42622375488281,2785.json,NotBuggy
7,0.2652929127216339,1,5,113.54297637939453,3453.json,NotBuggy
10,0.1329602301120758,3,3,104.06228637695312,1051.json,NotBuggy
5,0.24376295506954193,1,2,120.96249389648438,2635.json,NotBuggy
33,2.987622865475714E-4,7,11,77.70635223388672,1813.json,Buggy
9,0.014755930751562119,1,7,106.12340545654297,2801.json,NotBuggy
4,0.4034862220287323,1,0,126.4930648803711,3197.json,NotBuggy
4,0.06353820860385895,1,2,122.3560791015625,2481.json,NotBuggy
13,0.271261990070343,3,8,97.62165069580078,2566.json,Buggy
3,0.7092029452323914,1,1,131.28770446777344,767.json,NotBuggy
4,0.5877751708030701,1,1,126.62725830078125,2714.json,Buggy
5,0.17063653469085693,1,2,123.32530975341797,2789.json,NotBuggy
6,0.15173019468784332,1,3,114.98188781738281,1239.json,Buggy
14,0.0,1,6,95.51445770263672,3296.json,NotBuggy
4,0.4705789387226105,1,0,128.936767578125,3190.json,NotBuggy
4,0.7008339762687683,1,1,128.73146057128906,3485.json,Buggy
4,0.831341564655304,1,1,126.19583892822266,1066.json,NotBuggy
4,0.9075614809989929,1,0,124.48601531982422,2344.json,NotBuggy
4,0.6078895330429077,1,0,125.91468811035156,716.json,NotBuggy
15,0.17534789443016052,4,4,94.7723617553711,1049.json,NotBuggy
8,0.2972845733165741,2,5,108.613037109375,2579.json,Buggy
4,0.7433620691299438,1,0,127.42622375488281,972.json,NotBuggy
47,0.0,8,25,69.18727111816406,2503.json,Buggy
10,0.023633526638150215,2,5,105.25951385498047,899.json,NotBuggy
9,0.028516922146081924,1,0,109.79678344726562,1904.json,NotBuggy
4,0.8866028785705566,1,0,127.42622375488281,3051.json,NotBuggy
12,0.041683439165353775,2,6,99.92803192138672,2103.json,Buggy
19,3.232882882002741E-4,4,17,87.4957275390625,1666.json,NotBuggy
11,0.5664061307907104,2,2,102.77725219726562,1054.json,NotBuggy
4,0.8013161420822144,1,0,127.42622375488281,2273.json,NotBuggy
4,0.14006228744983673,1,1,125.02987670898438,828.json,NotBuggy
13,0.5209015607833862,5,3,100.35858917236328,1064.json,NotBuggy
8,0.07635899633169174,1,0,112.51962280273438,1644.json,NotBuggy
7,0.38964781165122986,2,3,111.17379760742188,2750.json,NotBuggy
4,0.021928628906607628,1,2,121.87513732910156,3312.json,NotBuggy
31,4.403598723001778E-4,7,15,78.5093994140625,1754.json,NotBuggy
4,0.7608674764633179,1,1,128.13519287109375,2630.json,NotBuggy
12,0.25209060311317444,2,1,100.33709716796875,2549.json,Buggy
3,0.7643868327140808,1,0,133.59722900390625,2354.json,NotBuggy
4,0.7754533886909485,1,0,128.936767578125,1342.json,NotBuggy
3,0.9908121228218079,1,0,135.83412170410156,2723.json,NotBuggy
15,0.00400045420974493,3,12,94.3994140625,2111.json,Buggy
12,0.17861932516098022,6,2,101.20858001708984,1093.json,NotBuggy
5,0.1857309192419052,1,2,123.32530975341797,2671.json,NotBuggy
3,0.5596054792404175,1,2,129.93223571777344,3598.json,NotBuggy
18,0.07648079842329025,3,7,89.85126495361328,783.json,Buggy
4,0.9514790773391724,1,0,128.335205078125,3798.json,NotBuggy
10,0.3155350685119629,2,4,106.00907897949219,2730.json,Buggy
8,0.06121859699487686,2,4,108.94869232177734,3463.json,NotBuggy
4,0.6074831485748291,1,1,126.19583892822266,2717.json,NotBuggy
6,0.07474206387996674,1,0,119.34615325927734,2996.json,NotBuggy
4,0.3563527464866638,1,0,127.42622375488281,1979.json,NotBuggy
4,0.5906170606613159,1,1,126.19583892822266,2649.json,NotBuggy
9,0.024401241913437843,1,0,109.79678344726562,3107.json,NotBuggy
3,0.6797986030578613,1,1,130.05470275878906,845.json,NotBuggy
5,0.102230004966259,1,2,121.07132720947266,1232.json,NotBuggy
8,0.6056401133537292,3,3,108.89744567871094,1614.json,NotBuggy
4,0.8609198927879333,1,0,127.42622375488281,3181.json,NotBuggy
3,0.7189555168151855,1,0,132.4454345703125,598.json,NotBuggy
3,0.7815108299255371,1,0,132.4454345703125,529.json,NotBuggy
3,0.8422347903251648,1,2,130.18594360351562,3557.json,NotBuggy
4,0.29127243161201477,1,3,122.4349365234375,1853.json,NotBuggy
3,0.018636520951986313,1,3,127.59099578857422,2119.json,NotBuggy
35,7.749481592327356E-4,13,9,75.00713348388672,1417.json,Buggy
4,0.6675601601600647,1,1,127.42622375488281,2786.json,NotBuggy
3,0.10827614367008209,1,3,128.22288513183594,918.json,NotBuggy
5,0.8557252287864685,1,1,122.58091735839844,2486.json,NotBuggy
7,0.1281462460756302,1,4,113.06318664550781,3323.json,Buggy
9,0.02981530874967575,3,5,105.06708526611328,500.json,NotBuggy
3,0.8043752908706665,1,0,133.59722900390625,536.json,NotBuggy
22,0.0291889701038599,2,11,86.1025161743164,3041.json,NotBuggy
8,0.6567973494529724,2,1,108.83641052246094,2845.json,NotBuggy
4,0.7923370003700256,1,1,128.5205535888672,2633.json,NotBuggy
4,0.29127243161201477,1,3,122.4349365234375,1866.json,NotBuggy
3,0.46764078736305237,1,1,132.25152587890625,3479.json,NotBuggy
11,0.2930033504962921,3,3,102.21104431152344,2925.json,NotBuggy
50,0.0,10,34,65.91661071777344,3258.json,Buggy
4,0.522602379322052,1,0,126.94251251220703,2007.json,NotBuggy
3,0.7501014471054077,1,1,130.45266723632812,1840.json,NotBuggy
20,9.91680077277124E-4,3,20,91.9876708984375,3560.json,NotBuggy
3,0.6246797442436218,1,1,132.086669921875,533.json,NotBuggy
4,0.9344408512115479,1,0,127.42622375488281,797.json,NotBuggy
3,0.7664092183113098,1,1,133.80813598632812,1099.json,NotBuggy
8,0.046648211777210236,1,6,108.73788452148438,2689.json,NotBuggy
14,0.017825299873948097,3,8,95.15113067626953,3834.json,NotBuggy
3,0.6233307123184204,1,0,131.28770446777344,666.json,NotBuggy
3,0.5519450306892395,1,1,130.34019470214844,559.json,NotBuggy
3,0.06173443794250488,1,0,133.59722900390625,1553.json,NotBuggy
4,0.4365830719470978,1,0,128.936767578125,3773.json,NotBuggy
3,0.06173443794250488,1,0,133.59722900390625,2328.json,NotBuggy
4,0.6860044598579407,1,0,127.42622375488281,1804.json,NotBuggy
6,0.5273672342300415,1,3,115.11836242675781,1677.json,NotBuggy
8,0.6764518618583679,2,2,110.60749816894531,1318.json,NotBuggy
8,0.08408854901790619,2,11,108.2890625,2588.json,NotBuggy
4,0.45705217123031616,1,0,128.936767578125,2616.json,NotBuggy
28,0.0,4,10,80.56867218017578,2931.json,NotBuggy
9,0.05333603546023369,2,4,106.58100128173828,3464.json,NotBuggy
9,0.8995743989944458,2,2,106.70701599121094,3828.json,Buggy
3,0.890204906463623,1,0,133.59722900390625,3471.json,NotBuggy
