SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
3,0.9682111740112305,1,0,129.7158966064453,260.json,NotBuggy
34,0.0035720637533813715,9,9,75.7410659790039,188.json,Buggy
4,0.6500200629234314,1,1,124.361083984375,544.json,NotBuggy
6,0.017594605684280396,2,1,112.12055206298828,681.json,NotBuggy
3,0.7986206412315369,1,0,133.59722900390625,572.json,NotBuggy
12,0.07108888030052185,3,2,99.30610656738281,754.json,NotBuggy
10,0.11496398597955704,2,1,105.6418685913086,1136.json,NotBuggy
3,8.561416761949658E-4,1,1,127.76728820800781,680.json,NotBuggy
3,0.49917641282081604,1,2,130.05470275878906,549.json,NotBuggy
3,0.7568941116333008,1,0,131.9385528564453,359.json,NotBuggy
16,0.2769352197647095,4,0,96.13129425048828,258.json,NotBuggy
3,0.04801766574382782,1,1,128.92515563964844,409.json,NotBuggy
8,0.12239616364240646,3,1,110.15101623535156,634.json,NotBuggy
31,0.001361279864795506,5,13,78.50892639160156,1093.json,Buggy
4,0.12292540073394775,1,2,123.65223693847656,1137.json,NotBuggy
3,0.9063408374786377,1,0,133.59722900390625,598.json,NotBuggy
9,0.1273856908082962,1,4,106.61320495605469,1084.json,NotBuggy
8,0.825911819934845,3,1,111.15506744384766,638.json,NotBuggy
18,0.5746665596961975,5,4,89.72483825683594,439.json,Buggy
17,0.25534936785697937,6,4,93.16205596923828,536.json,NotBuggy
3,0.7905893325805664,2,0,127.8935775756836,625.json,NotBuggy
11,0.4153692126274109,3,5,101.71847534179688,1140.json,NotBuggy
14,0.14219661056995392,4,0,96.89000701904297,1099.json,NotBuggy
9,0.43020662665367126,1,2,107.21821594238281,921.json,Buggy
9,0.21319225430488586,1,2,107.21821594238281,559.json,NotBuggy
6,0.7755808234214783,2,1,113.28334045410156,704.json,NotBuggy
8,0.020490137860178947,3,2,105.56037139892578,581.json,NotBuggy
19,0.38779416680336,6,3,90.55107879638672,1143.json,NotBuggy
7,0.5754796266555786,1,2,111.2868423461914,883.json,NotBuggy
6,0.11904338747262955,2,1,115.25157928466797,542.json,NotBuggy
8,0.4370615482330322,3,2,108.43216705322266,1061.json,NotBuggy
3,0.7299456596374512,1,1,130.18594360351562,288.json,NotBuggy
1,0.9643955826759338,1,0,151.39474487304688,343.json,NotBuggy
10,0.01886039972305298,2,2,103.32474517822266,801.json,NotBuggy
9,0.39497560262680054,1,2,107.51984405517578,1162.json,NotBuggy
4,0.810599684715271,1,1,125.5254898071289,545.json,NotBuggy
3,0.7113365530967712,1,1,130.85629272460938,548.json,NotBuggy
17,0.08107957988977432,5,4,92.36883544921875,352.json,NotBuggy
3,0.8474212884902954,1,0,133.59722900390625,604.json,NotBuggy
6,0.4734523296356201,2,1,115.63639831542969,1182.json,NotBuggy
3,0.7771810293197632,2,0,128.17906188964844,700.json,NotBuggy
3,0.9014391303062439,1,0,133.59722900390625,806.json,NotBuggy
24,0.0,6,4,83.15106964111328,662.json,NotBuggy
3,0.8421732783317566,2,0,127.8935775756836,627.json,NotBuggy
4,0.810599684715271,1,1,125.5254898071289,546.json,NotBuggy
3,0.6123688817024231,1,1,129.81976318359375,732.json,NotBuggy
13,0.052242573350667953,4,0,96.96737670898438,480.json,NotBuggy
5,0.4097426235675812,2,2,119.61820220947266,357.json,NotBuggy
9,0.39497560262680054,1,2,107.51984405517578,1163.json,NotBuggy
7,0.43094131350517273,2,2,109.80904388427734,679.json,NotBuggy
4,0.48135480284690857,1,2,125.52845764160156,259.json,NotBuggy
31,0.001361279864795506,5,13,78.50892639160156,1077.json,Buggy
3,0.6123688817024231,1,1,129.81976318359375,731.json,NotBuggy
4,0.8109356164932251,1,1,126.62725830078125,437.json,Buggy
10,0.7929934859275818,3,1,105.43936920166016,385.json,NotBuggy
24,0.0,6,4,83.15106964111328,658.json,NotBuggy
21,0.23956353962421417,6,3,89.49170684814453,257.json,NotBuggy
3,0.6629847884178162,1,1,129.47398376464844,690.json,NotBuggy
15,0.14650702476501465,4,0,95.11937713623047,477.json,NotBuggy
3,0.6016711592674255,1,0,133.59722900390625,415.json,NotBuggy
34,0.004315891768783331,7,4,76.00953674316406,478.json,NotBuggy
6,0.11904338747262955,2,1,115.25157928466797,541.json,NotBuggy
7,0.9413385987281799,3,2,109.16801452636719,691.json,NotBuggy
10,0.01782236620783806,2,2,103.32474517822266,800.json,NotBuggy
5,0.5119628310203552,2,1,119.71456909179688,633.json,NotBuggy
9,0.8388221859931946,3,1,106.8724136352539,361.json,NotBuggy
15,0.02482367679476738,4,1,93.99124908447266,675.json,NotBuggy
6,0.13705922663211823,2,1,115.04146575927734,414.json,NotBuggy
3,0.0018350587924942374,1,1,128.0337677001953,289.json,NotBuggy
6,0.048544991761446,2,2,113.85087585449219,540.json,NotBuggy
3,0.6036704778671265,1,1,131.43582153320312,349.json,NotBuggy
3,0.6557933688163757,1,1,130.07347106933594,1180.json,NotBuggy
11,0.22419747710227966,3,5,103.20310974121094,41.json,Buggy
3,0.7398160696029663,1,1,131.75106811523438,382.json,NotBuggy
7,0.0015344505663961172,1,2,109.29884338378906,269.json,NotBuggy
5,0.3918742537498474,2,2,119.52839660644531,356.json,NotBuggy
4,0.6500200629234314,1,1,124.361083984375,543.json,NotBuggy
16,0.4411107301712036,5,4,93.71111297607422,1145.json,NotBuggy
3,0.6530789136886597,1,1,131.75106811523438,476.json,NotBuggy
10,0.29515066742897034,2,1,104.9107666015625,256.json,NotBuggy
3,0.8311567902565002,2,1,129.01284790039062,204.json,NotBuggy
3,7.424189243465662E-4,1,1,127.51214599609375,674.json,NotBuggy
12,0.04541373625397682,4,4,98.9155044555664,1082.json,NotBuggy
9,0.39497560262680054,1,2,107.51984405517578,1164.json,NotBuggy
3,8.772698347456753E-4,1,1,127.76728820800781,676.json,NotBuggy
12,0.5213002562522888,4,0,103.21380615234375,1179.json,NotBuggy
3,0.6123688817024231,1,1,129.81976318359375,729.json,NotBuggy
3,7.181444671005011E-4,1,1,127.51214599609375,671.json,NotBuggy
10,0.09705560654401779,3,4,103.39630889892578,673.json,NotBuggy
1,0.9620882272720337,1,0,152.79727172851562,345.json,NotBuggy
6,0.4268690347671509,3,0,113.4410400390625,622.json,NotBuggy
17,0.37164729833602905,5,5,91.14337921142578,1091.json,NotBuggy
10,0.03597572445869446,2,1,104.128662109375,479.json,NotBuggy
3,0.6123688817024231,1,1,129.81976318359375,728.json,NotBuggy
6,0.7838649153709412,3,0,114.25296783447266,621.json,NotBuggy
4,0.007474654354155064,1,2,122.3560791015625,1115.json,NotBuggy
22,0.049207646399736404,6,9,86.2057113647461,159.json,Buggy
32,0.0023396452888846397,5,17,77.33304595947266,494.json,Buggy
3,0.8384780883789062,1,1,129.81976318359375,805.json,NotBuggy
3,0.9674354195594788,1,0,133.59722900390625,277.json,NotBuggy
3,0.5405538082122803,1,2,128.712890625,709.json,NotBuggy
5,0.01665152609348297,1,1,116.97151184082031,678.json,NotBuggy
13,0.16759093105793,4,0,98.06991577148438,1098.json,NotBuggy
25,0.0,6,16,80.97855377197266,579.json,NotBuggy
15,0.023353734984993935,4,1,93.99124908447266,672.json,NotBuggy
13,0.010763263329863548,2,7,96.85379028320312,1120.json,NotBuggy
8,0.8751665353775024,3,1,111.15506744384766,631.json,NotBuggy
6,0.015596533194184303,2,1,112.12055206298828,677.json,NotBuggy
5,0.010364835150539875,2,2,117.56682586669922,354.json,NotBuggy
18,0.006157114170491695,6,9,88.48958587646484,1192.json,NotBuggy
24,0.0,6,4,83.15106964111328,663.json,NotBuggy
24,0.0,6,4,83.15106964111328,657.json,NotBuggy
17,0.3304464817047119,4,4,93.69478607177734,351.json,NotBuggy
39,1.642066490603611E-4,4,13,74.90068817138672,492.json,Buggy
3,0.6109685301780701,1,1,132.61029052734375,350.json,NotBuggy
9,0.0711938887834549,3,2,105.4619140625,175.json,NotBuggy
3,0.1296623796224594,2,0,126.78652954101562,628.json,NotBuggy
3,0.09911033511161804,2,0,126.78652954101562,701.json,NotBuggy
20,0.04632791504263878,1,8,87.64424896240234,128.json,Buggy
1,0.9644527435302734,1,0,152.79727172851562,346.json,NotBuggy
11,0.05332864448428154,4,5,101.04846954345703,1190.json,NotBuggy
9,0.009498094208538532,1,7,107.45893859863281,75.json,NotBuggy
17,0.02173224464058876,5,4,91.7060775756836,353.json,NotBuggy
12,0.5382703542709351,4,2,99.4859390258789,160.json,NotBuggy
8,0.0,1,2,105.60325622558594,271.json,NotBuggy
7,0.23874646425247192,2,3,113.31297302246094,1139.json,NotBuggy
3,0.5953538417816162,1,1,129.14646911621094,686.json,NotBuggy
3,0.9394420385360718,1,0,130.07347106933594,420.json,NotBuggy
9,0.20786307752132416,3,1,104.76754760742188,696.json,NotBuggy
5,0.5263112783432007,1,2,121.91352844238281,419.json,NotBuggy
9,0.1822090744972229,2,2,106.98821258544922,1181.json,NotBuggy
7,0.19383776187896729,2,4,112.32669830322266,1141.json,NotBuggy
4,0.8246158361434937,1,0,123.28931427001953,466.json,NotBuggy
3,0.9343355298042297,1,0,130.57513427734375,786.json,NotBuggy
3,0.12062496691942215,1,1,128.22288513183594,699.json,NotBuggy
4,0.11149663478136063,1,3,122.37174224853516,538.json,NotBuggy
10,0.1510886698961258,1,2,104.4285888671875,561.json,NotBuggy
