SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
13,0.01730286329984665,3,2,96.96248626708984,104.json,NotBuggy
8,0.6306480765342712,3,0,110.3248291015625,2260.json,NotBuggy
24,0.002942540915682912,4,11,85.51647186279297,2810.json,NotBuggy
3,0.8514681458473206,2,1,128.69515991210938,1843.json,NotBuggy
8,0.5764971375465393,3,0,110.3248291015625,2249.json,NotBuggy
5,0.6638404130935669,1,2,118.82000732421875,474.json,NotBuggy
3,0.42387014627456665,1,0,131.28770446777344,922.json,NotBuggy
3,0.683078408241272,1,0,131.60296630859375,274.json,NotBuggy
3,0.9378864765167236,1,0,133.59722900390625,260.json,NotBuggy
3,0.9538164138793945,1,0,133.59722900390625,2527.json,NotBuggy
6,0.3490368127822876,2,3,115.41443634033203,794.json,NotBuggy
3,0.5948706865310669,1,0,130.85629272460938,26.json,NotBuggy
3,0.8653441071510315,1,0,131.46876525878906,326.json,NotBuggy
11,0.2667098343372345,3,3,103.39551544189453,2812.json,NotBuggy
8,0.6570855975151062,3,0,110.3248291015625,2253.json,NotBuggy
4,0.9614552855491638,1,0,128.936767578125,2013.json,NotBuggy
6,0.033396217972040176,2,3,114.5076675415039,1731.json,NotBuggy
3,0.7434009313583374,1,1,130.18594360351562,2546.json,NotBuggy
3,0.8503571152687073,1,0,133.59722900390625,2773.json,NotBuggy
4,0.004542055074125528,1,1,123.37702178955078,2953.json,NotBuggy
14,1.2751967005897313E-4,3,7,94.39238739013672,2094.json,Buggy
18,0.0030278556514531374,5,3,89.89591979980469,2942.json,NotBuggy
6,0.041228003799915314,1,4,115.2608413696289,1475.json,NotBuggy
14,0.0030855766963213682,3,15,94.53230285644531,88.json,NotBuggy
4,0.16754047572612762,1,1,124.361083984375,858.json,NotBuggy
6,0.08804377168416977,2,1,115.18394470214844,1747.json,NotBuggy
3,0.5588051080703735,1,1,130.85629272460938,1581.json,NotBuggy
3,0.8954967856407166,1,0,133.59722900390625,194.json,NotBuggy
3,0.9165397882461548,1,1,133.18099975585938,839.json,NotBuggy
3,0.9685025811195374,1,0,130.18594360351562,1871.json,NotBuggy
3,0.8104073405265808,1,1,130.18594360351562,469.json,NotBuggy
3,0.7721955180168152,1,0,131.28770446777344,188.json,NotBuggy
4,0.01664019376039505,1,1,122.30278015136719,632.json,NotBuggy
7,0.4848060607910156,4,0,110.06295013427734,821.json,NotBuggy
8,0.015782231464982033,2,2,107.46741485595703,1528.json,NotBuggy
7,0.00834344420582056,2,2,110.3525161743164,1404.json,NotBuggy
3,0.9273913502693176,1,0,133.59722900390625,366.json,NotBuggy
1,0.9491963386535645,1,0,147.3753662109375,154.json,NotBuggy
3,0.06169414520263672,1,1,128.60531616210938,129.json,NotBuggy
50,0.0,8,28,65.09860229492188,2739.json,Buggy
3,0.3576064705848694,1,2,129.12539672851562,908.json,NotBuggy
3,0.4654594361782074,1,2,130.85745239257812,799.json,NotBuggy
19,1.4197810378391296E-4,6,6,87.10839080810547,152.json,NotBuggy
3,0.027989918366074562,1,0,128.70916748046875,452.json,NotBuggy
19,3.9107532938942313E-4,6,7,88.67993927001953,84.json,NotBuggy
4,0.05305054783821106,1,1,123.8484878540039,855.json,NotBuggy
