SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
3,0.8525925278663635,1,0,131.1535186767578,10057.json,NotBuggy
3,0.8039015531539917,1,0,133.59722900390625,22900.json,NotBuggy
3,0.8906223177909851,1,0,133.59722900390625,21329.json,NotBuggy
3,0.8094629645347595,1,0,131.1535186767578,28873.json,NotBuggy
7,0.6927333474159241,2,0,115.62542724609375,9065.json,NotBuggy
3,0.7528676986694336,1,0,133.59722900390625,27771.json,NotBuggy
7,0.9274856448173523,2,0,115.62542724609375,22601.json,NotBuggy
3,0.6800901293754578,1,0,131.1535186767578,14871.json,NotBuggy
3,0.7784205675125122,1,0,132.4454345703125,34059.json,NotBuggy
3,0.8184661865234375,1,0,131.1535186767578,8422.json,NotBuggy
3,0.813483476638794,1,0,133.59722900390625,33327.json,NotBuggy
3,0.9005928039550781,1,0,133.59722900390625,31058.json,NotBuggy
3,0.7555317878723145,1,0,131.1535186767578,14362.json,NotBuggy
3,0.3332524001598358,1,1,130.45266723632812,6857.json,NotBuggy
3,0.8849456906318665,1,0,132.4454345703125,3393.json,NotBuggy
3,0.5193129181861877,1,1,130.85629272460938,23288.json,NotBuggy
7,0.9738975763320923,2,0,115.62542724609375,8751.json,NotBuggy
3,0.5523322224617004,1,0,132.43687438964844,20566.json,NotBuggy
3,0.7784205675125122,1,0,132.4454345703125,10461.json,NotBuggy
3,0.7744444012641907,1,0,133.59722900390625,10068.json,NotBuggy
3,0.9207181334495544,1,0,133.59722900390625,31829.json,NotBuggy
3,0.8080093860626221,1,0,131.1535186767578,28183.json,NotBuggy
3,0.5193129181861877,1,1,130.85629272460938,10148.json,NotBuggy
3,0.7908466458320618,1,0,132.4454345703125,29194.json,NotBuggy
18,0.0,5,5,88.33048248291016,2234.json,NotBuggy
3,0.9296814799308777,1,0,132.43687438964844,29641.json,NotBuggy
3,0.945192277431488,1,0,133.59722900390625,34164.json,NotBuggy
16,0.24053159356117249,1,13,91.24637603759766,2730.json,NotBuggy
3,0.7678368091583252,1,0,133.59722900390625,7980.json,NotBuggy
11,0.05175897851586342,2,3,100.69126892089844,14726.json,NotBuggy
3,0.17369450628757477,1,0,132.43687438964844,9743.json,NotBuggy
3,0.8484291434288025,1,0,131.1535186767578,28435.json,NotBuggy
6,0.25116240978240967,2,0,115.63639831542969,16031.json,NotBuggy
3,0.5431168079376221,1,0,133.59722900390625,23473.json,NotBuggy
3,0.7209778428077698,1,0,131.1535186767578,31906.json,NotBuggy
3,0.3894765079021454,1,0,132.43687438964844,9829.json,NotBuggy
3,0.9448555707931519,1,0,133.59722900390625,24219.json,NotBuggy
3,0.5523322224617004,1,0,132.43687438964844,20603.json,NotBuggy
4,5.715920124202967E-4,1,1,124.7987289428711,2331.json,NotBuggy
3,0.3840278387069702,1,2,130.99049377441406,5738.json,NotBuggy
7,0.8050420880317688,2,0,115.62542724609375,11107.json,NotBuggy
3,0.9420103430747986,1,0,133.59722900390625,8903.json,NotBuggy
3,0.49755698442459106,1,0,132.43687438964844,18876.json,NotBuggy
3,0.7794705629348755,1,0,132.43687438964844,25822.json,NotBuggy
3,0.5523322224617004,1,0,132.43687438964844,20651.json,NotBuggy
3,0.7784205675125122,1,0,132.4454345703125,32619.json,NotBuggy
3,0.8957158327102661,1,0,133.59722900390625,7774.json,NotBuggy
6,0.021370725706219673,2,5,112.70321655273438,14858.json,NotBuggy
3,0.5193129181861877,1,1,130.85629272460938,12072.json,NotBuggy
38,3.502389299683273E-4,8,26,72.15428161621094,7923.json,NotBuggy
3,0.954287052154541,1,0,133.59722900390625,33602.json,NotBuggy
3,0.9394422173500061,1,0,133.59722900390625,33137.json,NotBuggy
3,0.7253397107124329,1,0,131.1535186767578,10108.json,NotBuggy
3,0.7318397760391235,1,0,131.1535186767578,12821.json,NotBuggy
3,0.8338639140129089,1,0,131.1535186767578,33045.json,NotBuggy
7,0.20415110886096954,1,2,111.11779022216797,14947.json,NotBuggy
3,0.0028869693633168936,1,0,133.59722900390625,32759.json,NotBuggy
3,0.9205911755561829,1,0,133.59722900390625,31891.json,NotBuggy
11,0.06717751175165176,3,2,102.04166412353516,8039.json,NotBuggy
3,0.7111845016479492,1,0,131.28770446777344,11601.json,NotBuggy
8,0.046204064041376114,2,4,105.60725402832031,15286.json,NotBuggy
7,0.53084397315979,2,0,114.95689392089844,17080.json,NotBuggy
11,0.056809499859809875,3,4,99.98430633544922,76.json,NotBuggy
3,0.9076341986656189,1,0,133.59722900390625,13585.json,NotBuggy
3,0.7912760972976685,1,0,131.1535186767578,13256.json,NotBuggy
3,0.7961452603340149,1,0,131.1535186767578,28532.json,NotBuggy
11,0.0865074098110199,1,10,98.48265075683594,15429.json,NotBuggy
7,0.8877368569374084,2,2,113.80858612060547,14988.json,NotBuggy
42,0.0,5,30,70.77546691894531,6321.json,NotBuggy
3,0.7096946239471436,1,0,132.4454345703125,8574.json,NotBuggy
3,0.7853091955184937,1,0,131.1535186767578,20392.json,NotBuggy
7,0.9169402122497559,2,0,115.62542724609375,9459.json,NotBuggy
3,0.7784205675125122,1,0,132.4454345703125,30959.json,NotBuggy
3,0.7837218642234802,1,0,131.1535186767578,27762.json,NotBuggy
3,0.7535465955734253,1,0,131.1535186767578,9020.json,NotBuggy
3,0.7453650236129761,1,0,131.1535186767578,19246.json,NotBuggy
3,0.8814806342124939,1,0,131.75106811523438,7725.json,NotBuggy
3,0.7306181192398071,1,0,133.59722900390625,22771.json,NotBuggy
3,0.9233471155166626,1,0,133.59722900390625,32697.json,NotBuggy
3,0.773535430431366,1,0,131.1535186767578,31527.json,NotBuggy
7,0.20400221645832062,2,0,115.62542724609375,8958.json,NotBuggy
3,0.450138658285141,1,0,133.59722900390625,30784.json,NotBuggy
3,0.877490758895874,1,0,133.59722900390625,7044.json,NotBuggy
3,0.7621405124664307,1,0,131.1535186767578,20490.json,NotBuggy
3,0.6133993864059448,1,0,131.1535186767578,29178.json,NotBuggy
3,0.45465952157974243,1,0,133.59722900390625,22795.json,NotBuggy
3,0.732477068901062,1,0,133.59722900390625,33176.json,NotBuggy
3,0.8400018215179443,1,0,133.59722900390625,10049.json,NotBuggy
3,0.8799688816070557,1,0,133.59722900390625,10153.json,NotBuggy
3,0.7784205675125122,1,0,132.4454345703125,32949.json,NotBuggy
35,0.0,8,34,72.41960906982422,2768.json,NotBuggy
10,0.3514542579650879,3,0,105.723876953125,6395.json,NotBuggy
3,0.8693165183067322,1,0,133.59722900390625,29124.json,NotBuggy
3,0.5693529844284058,1,0,133.59722900390625,22358.json,NotBuggy
3,0.7746080756187439,1,0,131.1535186767578,33784.json,NotBuggy
3,0.8234824538230896,1,0,132.43687438964844,9732.json,NotBuggy
3,0.9052870869636536,1,0,132.43687438964844,25611.json,NotBuggy
7,0.8062800765037537,2,0,114.95689392089844,9137.json,NotBuggy
3,0.8537298440933228,1,0,133.59722900390625,6382.json,NotBuggy
3,0.7829461693763733,1,0,131.1535186767578,20382.json,NotBuggy
3,0.4299675226211548,1,2,129.2428436279297,1394.json,NotBuggy
3,0.8445813059806824,1,0,131.1535186767578,16943.json,NotBuggy
3,0.9063717126846313,1,0,133.59722900390625,27901.json,NotBuggy
16,0.002480719704180956,1,11,90.42831420898438,15370.json,NotBuggy
3,0.40751513838768005,1,0,130.85745239257812,29612.json,NotBuggy
3,0.7912760972976685,1,0,131.1535186767578,13966.json,NotBuggy
3,0.9509691596031189,1,0,133.59722900390625,27041.json,NotBuggy
17,0.8806726336479187,2,2,92.11283111572266,5665.json,NotBuggy
3,0.7111845016479492,1,0,131.28770446777344,22812.json,NotBuggy
3,0.20754361152648926,1,0,132.43687438964844,9751.json,NotBuggy
3,0.5193129181861877,1,1,130.85629272460938,11578.json,NotBuggy
3,0.8690066933631897,1,0,131.1535186767578,25723.json,NotBuggy
3,0.8168507218360901,1,0,131.1535186767578,31656.json,NotBuggy
3,0.6991241574287415,1,0,131.1535186767578,23135.json,NotBuggy
3,0.793849766254425,1,0,131.1535186767578,14475.json,NotBuggy
3,0.7191184759140015,1,0,133.59722900390625,10042.json,NotBuggy
3,0.8979825377464294,1,0,133.59722900390625,32590.json,NotBuggy
3,0.9463393688201904,1,0,133.59722900390625,8570.json,NotBuggy
7,0.7204077839851379,2,0,114.95689392089844,16198.json,NotBuggy
3,0.31348323822021484,1,0,132.9956512451172,10913.json,NotBuggy
3,0.7843471169471741,1,0,133.59722900390625,33224.json,NotBuggy
3,0.7111845016479492,1,0,131.28770446777344,33047.json,NotBuggy
82,1.928254059748724E-4,14,15,58.05683898925781,2447.json,NotBuggy
3,0.8757731318473816,1,0,133.59722900390625,12131.json,NotBuggy
18,0.0,2,17,88.29022979736328,7472.json,NotBuggy
1,0.9844342470169067,1,0,152.05810546875,5541.json,NotBuggy
3,0.3091373145580292,1,0,131.28770446777344,116.json,NotBuggy
3,0.7691181898117065,1,0,131.1535186767578,12474.json,NotBuggy
3,0.9579161405563354,1,0,133.59722900390625,10245.json,NotBuggy
3,0.9234369397163391,1,0,133.59722900390625,11583.json,NotBuggy
3,0.7839878797531128,1,0,131.1535186767578,12804.json,NotBuggy
7,0.09929165244102478,2,0,115.62542724609375,13472.json,NotBuggy
3,0.7784205675125122,1,0,132.4454345703125,26092.json,NotBuggy
3,0.8514084815979004,1,0,131.1535186767578,9014.json,NotBuggy
7,0.17258909344673157,2,0,115.62542724609375,13552.json,NotBuggy
3,0.5218772292137146,1,0,130.45266723632812,24203.json,NotBuggy
3,0.8737919926643372,1,0,133.59722900390625,10793.json,NotBuggy
3,0.9146080017089844,1,0,133.59722900390625,19267.json,NotBuggy
3,0.8116079568862915,1,0,131.1535186767578,23117.json,NotBuggy
3,3.040281299035996E-4,1,0,127.02415466308594,18936.json,NotBuggy
3,0.8412820100784302,1,0,131.1535186767578,21343.json,NotBuggy
7,0.030037634074687958,2,0,115.62542724609375,13155.json,NotBuggy
3,0.9031455516815186,1,0,133.59722900390625,28969.json,NotBuggy
3,0.8451966047286987,1,0,131.1535186767578,13265.json,NotBuggy
3,0.9509691596031189,1,0,133.59722900390625,13515.json,NotBuggy
3,0.8797896504402161,1,0,133.59722900390625,14327.json,NotBuggy
3,0.7415727972984314,1,0,133.59722900390625,18603.json,NotBuggy
3,0.8133086562156677,1,0,132.43687438964844,29649.json,NotBuggy
3,0.7748177647590637,1,0,133.59722900390625,14305.json,NotBuggy
19,3.873050445690751E-4,3,3,89.64227294921875,480.json,NotBuggy
3,0.7584331035614014,1,0,131.1535186767578,13653.json,NotBuggy
3,0.537638783454895,1,1,130.85629272460938,32140.json,NotBuggy
3,0.7894213199615479,1,0,131.1535186767578,16434.json,NotBuggy
3,0.7912760972976685,1,0,131.1535186767578,9985.json,NotBuggy
3,0.7260541915893555,1,0,131.28770446777344,31700.json,NotBuggy
5,0.6054537892341614,1,2,117.61241912841797,5856.json,NotBuggy
3,0.8412820100784302,1,0,131.1535186767578,20093.json,NotBuggy
3,0.8239109516143799,1,0,131.1535186767578,14316.json,NotBuggy
3,0.7784205675125122,1,0,132.4454345703125,32605.json,NotBuggy
7,0.9238446950912476,2,0,115.62542724609375,10179.json,NotBuggy
3,0.8510117530822754,1,0,131.1535186767578,11205.json,NotBuggy
3,0.8106481432914734,1,0,131.1535186767578,23870.json,NotBuggy
3,0.7072902917861938,1,0,131.1535186767578,17177.json,NotBuggy
