SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
3,0.7731126546859741,1,1,132.25152587890625,104.json,NotBuggy
3,0.45311239361763,1,1,132.25152587890625,21852.json,NotBuggy
3,0.484132319688797,1,0,132.4454345703125,21746.json,NotBuggy
8,0.5180313587188721,2,2,109.30997467041016,20080.json,NotBuggy
14,0.020584598183631897,5,3,96.27725219726562,2260.json,NotBuggy
3,0.12837199866771698,1,2,129.69032287597656,14843.json,NotBuggy
46,0.0,13,10,66.78131103515625,4953.json,Buggy
5,0.4492529034614563,1,2,117.03116607666016,9801.json,NotBuggy
18,0.011680935509502888,1,17,89.20122528076172,27723.json,NotBuggy
5,0.025398261845111847,2,2,118.60858917236328,3678.json,NotBuggy
9,1.0554407344898209E-4,3,5,103.90274810791016,17141.json,NotBuggy
14,0.0,6,5,92.6630859375,16005.json,Buggy
14,0.0,3,7,94.5658950805664,17150.json,Buggy
3,0.16338561475276947,1,0,132.4454345703125,20560.json,NotBuggy
16,0.0015667793340981007,5,8,92.97576904296875,13847.json,NotBuggy
8,0.0028369673527777195,2,4,106.1551284790039,2810.json,NotBuggy
3,0.9138447046279907,1,0,132.4454345703125,15403.json,NotBuggy
3,0.18104998767375946,1,0,132.4454345703125,21931.json,NotBuggy
3,0.0014745242660865188,1,2,127.25540161132812,2249.json,NotBuggy
22,0.0017081779660657048,7,9,86.12118530273438,3815.json,Buggy
1,0.9501954913139343,1,0,152.05810546875,4587.json,NotBuggy
3,0.5822879076004028,1,1,131.43582153320312,474.json,NotBuggy
4,0.13797079026699066,1,1,124.48601531982422,24799.json,NotBuggy
22,0.0,5,6,83.86018371582031,24811.json,NotBuggy
4,0.5077204704284668,1,1,125.64796447753906,15594.json,NotBuggy
9,0.2593573331832886,3,2,107.3419189453125,5916.json,NotBuggy
4,0.32760000228881836,2,1,122.2889404296875,922.json,NotBuggy
3,0.8589105010032654,1,1,132.25152587890625,13704.json,NotBuggy
19,0.0,7,9,87.24920654296875,3848.json,Buggy
30,1.9751595391426235E-4,3,18,80.20469665527344,4535.json,Buggy
3,0.8322917222976685,1,0,133.59722900390625,6177.json,NotBuggy
3,0.7487116456031799,1,0,132.9956512451172,19690.json,NotBuggy
3,0.3089136481285095,1,1,129.81976318359375,25228.json,NotBuggy
17,0.003753150347620249,4,18,88.30218505859375,24383.json,Buggy
5,0.13839823007583618,2,1,117.91622161865234,21211.json,NotBuggy
7,0.304946631193161,2,1,112.98392486572266,15691.json,NotBuggy
6,0.7322108745574951,2,1,115.79641723632812,12836.json,NotBuggy
10,0.06812649965286255,3,4,103.17794799804688,26916.json,NotBuggy
3,0.8533183336257935,1,0,133.59722900390625,22468.json,NotBuggy
9,0.10227762907743454,3,1,107.2382583618164,19360.json,NotBuggy
8,0.002778588095679879,1,4,107.55863189697266,21413.json,NotBuggy
2,0.9972320795059204,1,0,140.82913208007812,21510.json,NotBuggy
66,0.0,5,5,64.28632354736328,3599.json,NotBuggy
3,0.8279224634170532,1,1,132.25152587890625,27362.json,NotBuggy
3,0.11996468901634216,1,1,129.2428436279297,14296.json,NotBuggy
7,0.005716318264603615,1,10,109.53719329833984,15933.json,NotBuggy
3,0.6448227167129517,1,0,132.4454345703125,21469.json,NotBuggy
3,0.4384029507637024,1,1,131.43582153320312,3511.json,NotBuggy
8,0.008311484009027481,3,3,108.4822998046875,3985.json,NotBuggy
2,0.9419869780540466,1,0,143.36026000976562,18919.json,NotBuggy
10,0.004595662467181683,3,1,101.16539001464844,11064.json,NotBuggy
3,0.9242963194847107,1,0,133.59722900390625,26626.json,NotBuggy
3,0.5590627193450928,1,0,132.4454345703125,22211.json,NotBuggy
3,0.6650146245956421,1,0,130.7338104248047,10773.json,NotBuggy
3,0.5956489443778992,1,0,131.9385528564453,21521.json,NotBuggy
3,0.9668331742286682,1,1,131.28770446777344,9731.json,NotBuggy
3,0.3413081765174866,1,1,130.70933532714844,3466.json,NotBuggy
3,0.8257077932357788,1,0,131.9385528564453,25101.json,NotBuggy
8,0.2031431943178177,1,5,110.53216552734375,21319.json,Buggy
3,0.03460558131337166,1,0,129.0215301513672,25798.json,NotBuggy
8,0.07049845159053802,2,1,109.30997467041016,794.json,NotBuggy
3,0.43797361850738525,1,0,133.59722900390625,20412.json,NotBuggy
5,0.49524596333503723,1,5,117.72811889648438,27760.json,NotBuggy
4,0.5667524933815002,1,0,125.64796447753906,3191.json,NotBuggy
1,0.9630111455917358,1,0,151.39474487304688,26342.json,NotBuggy
1,0.9081260561943054,1,1,149.88418579101562,26803.json,NotBuggy
16,0.027987100183963776,3,10,93.30967712402344,26.json,NotBuggy
9,0.17899765074253082,3,3,106.28463745117188,15807.json,NotBuggy
3,0.5645781755447388,1,1,129.9696044921875,326.json,NotBuggy
14,0.07121005654335022,4,2,94.90763092041016,21242.json,NotBuggy
3,0.8264957666397095,1,1,132.25152587890625,2812.json,NotBuggy
4,2.839176740963012E-4,1,1,122.27970123291016,27151.json,NotBuggy
5,0.6020627021789551,1,1,121.08496856689453,15187.json,NotBuggy
13,8.32216814160347E-4,5,4,96.3036117553711,5045.json,NotBuggy
3,0.5668315887451172,1,0,132.4454345703125,19558.json,NotBuggy
3,0.010081164538860321,1,0,131.9385528564453,3686.json,NotBuggy
3,0.7498369812965393,1,1,133.80813598632812,10336.json,NotBuggy
4,0.8131487965583801,1,0,128.936767578125,26594.json,NotBuggy
3,0.24436970055103302,1,0,131.9385528564453,4917.json,NotBuggy
3,0.5150432586669922,1,1,127.94976043701172,4180.json,NotBuggy
3,0.8181297779083252,1,0,133.59722900390625,16446.json,NotBuggy
8,2.751423744484782E-4,2,4,106.65180206298828,24571.json,NotBuggy
3,0.8611099720001221,1,1,131.60067749023438,2013.json,Buggy
3,0.5074304938316345,1,3,129.93223571777344,18744.json,NotBuggy
3,0.5642331838607788,1,1,130.45266723632812,4795.json,NotBuggy
5,0.8178156018257141,1,1,120.3299331665039,16315.json,Buggy
3,0.732208251953125,1,1,130.57513427734375,1731.json,Buggy
5,0.46073123812675476,1,1,119.59552764892578,2546.json,NotBuggy
4,0.4642264246940613,1,2,126.77537536621094,25411.json,NotBuggy
3,0.07411415129899979,1,0,128.0337677001953,15772.json,NotBuggy
12,0.13668687641620636,3,1,99.79756927490234,6926.json,NotBuggy
3,0.659972071647644,1,2,131.28770446777344,20283.json,NotBuggy
9,0.5812836289405823,3,3,106.6463851928711,22714.json,NotBuggy
24,0.03933384269475937,5,9,83.88007354736328,2773.json,NotBuggy
3,0.0,1,2,126.56407165527344,25946.json,NotBuggy
2,0.9925793409347534,1,0,142.4026641845703,27621.json,NotBuggy
3,0.424762099981308,1,1,131.43582153320312,20567.json,NotBuggy
7,0.1510307341814041,2,1,112.11737823486328,15842.json,Buggy
6,0.31180065870285034,2,0,115.18394470214844,19092.json,NotBuggy
8,0.07413965463638306,2,3,107.55785369873047,2121.json,NotBuggy
8,0.027041256427764893,2,4,108.61510467529297,12972.json,NotBuggy
6,0.5627810955047607,1,2,133.37442016601562,22768.json,NotBuggy
3,0.7515769004821777,1,2,131.28770446777344,2953.json,NotBuggy
3,0.6930068731307983,1,0,133.59722900390625,2094.json,NotBuggy
3,0.39006659388542175,1,1,129.7158966064453,2942.json,NotBuggy
2,0.9765734076499939,1,0,140.82913208007812,18592.json,NotBuggy
3,0.6179681420326233,1,0,131.03103637695312,18219.json,NotBuggy
4,0.45390912890434265,1,0,127.78498840332031,9290.json,NotBuggy
4,0.5074172019958496,2,1,120.06814575195312,1475.json,NotBuggy
3,0.799354612827301,1,0,132.4454345703125,21471.json,NotBuggy
3,0.12213841825723648,1,0,132.4454345703125,21231.json,NotBuggy
10,0.20504724979400635,3,2,103.89632415771484,18638.json,Buggy
3,0.31293076276779175,1,1,130.18594360351562,22101.json,NotBuggy
4,0.6993534564971924,1,2,125.78216552734375,18293.json,NotBuggy
9,0.05427183583378792,2,5,103.88709259033203,4376.json,Buggy
26,2.943658910226077E-4,4,13,81.37825012207031,20871.json,Buggy
18,0.0034742385614663363,5,2,89.48098754882812,88.json,Buggy
4,0.6113541722297668,1,0,128.936767578125,26547.json,NotBuggy
3,0.9722354412078857,1,0,132.4454345703125,20289.json,NotBuggy
6,0.13404525816440582,2,1,111.6373519897461,2742.json,NotBuggy
13,4.408358072396368E-4,3,11,94.30653381347656,4257.json,Buggy
3,0.7516452074050903,1,1,131.75106811523438,14755.json,NotBuggy
2,0.41884297132492065,1,0,139.1788330078125,24223.json,NotBuggy
37,0.0,8,27,69.2787857055664,14124.json,Buggy
11,0.02085159905254841,4,4,99.10684967041016,22044.json,Buggy
9,0.196527898311615,3,4,106.20767974853516,18132.json,NotBuggy
3,0.3771494925022125,1,1,130.7338104248047,26449.json,NotBuggy
6,0.39625683426856995,2,2,113.55674743652344,20690.json,NotBuggy
3,0.221267431974411,1,2,129.81976318359375,3156.json,NotBuggy
28,0.0026514295022934675,11,5,78.98196411132812,22239.json,Buggy
4,0.17026717960834503,1,0,128.936767578125,26601.json,NotBuggy
4,0.6180174350738525,1,2,127.09062194824219,26539.json,NotBuggy
7,0.15493187308311462,2,3,111.73201751708984,12625.json,NotBuggy
3,0.9014343619346619,1,0,133.59722900390625,20488.json,NotBuggy
10,0.9468686580657959,2,3,104.37336730957031,20282.json,NotBuggy
3,0.7480584383010864,1,0,132.4454345703125,20671.json,NotBuggy
5,0.013363098725676537,1,2,118.14434051513672,20361.json,NotBuggy
81,0.0,21,60,51.423362731933594,23482.json,Buggy
12,0.013824500143527985,1,1,102.73503112792969,15054.json,NotBuggy
3,0.8725230693817139,1,0,132.61029052734375,12011.json,NotBuggy
17,0.00802078191190958,5,6,90.53741455078125,858.json,NotBuggy
3,0.04106791317462921,1,2,127.17654418945312,22832.json,Buggy
4,0.04362194612622261,2,1,122.05183410644531,12806.json,NotBuggy
186,0.0,38,62,29.748519897460938,1747.json,Buggy
14,0.10225585848093033,4,2,96.37451171875,14257.json,NotBuggy
3,0.059452589601278305,1,2,130.18594360351562,24829.json,NotBuggy
2,0.9842766523361206,1,0,139.56419372558594,22610.json,NotBuggy
3,0.9532850980758667,1,0,132.9956512451172,25999.json,NotBuggy
9,0.03860383480787277,2,6,105.40365600585938,16713.json,NotBuggy
24,1.271667133551091E-4,1,2,88.95482635498047,24510.json,NotBuggy
19,0.09381240606307983,5,5,91.19878387451172,14399.json,NotBuggy
15,0.058555375784635544,7,6,94.60160827636719,27206.json,NotBuggy
3,0.4292498230934143,1,0,133.59722900390625,3743.json,NotBuggy
5,0.7260002493858337,2,0,119.34591674804688,1268.json,NotBuggy
7,0.8023861646652222,2,0,111.18668365478516,10732.json,NotBuggy
82,0.0,13,22,55.16905975341797,27893.json,Buggy
8,0.1427547037601471,2,5,107.8910903930664,17858.json,NotBuggy
13,0.05569601431488991,3,1,98.0518569946289,24813.json,NotBuggy
19,0.03435194492340088,5,4,89.39838409423828,27079.json,NotBuggy
6,0.1714830994606018,2,1,115.10722351074219,17365.json,NotBuggy
10,0.3549084961414337,2,1,102.92760467529297,24994.json,Buggy
6,0.09306899458169937,2,2,115.17733001708984,469.json,NotBuggy
2,0.9065678715705872,1,0,140.82913208007812,24304.json,NotBuggy
3,0.252555787563324,1,2,129.69032287597656,17694.json,NotBuggy
15,0.08800282329320908,4,2,93.85621643066406,3881.json,NotBuggy
21,0.155386283993721,5,8,87.61603546142578,26240.json,Buggy
9,0.05822378024458885,2,8,106.65110778808594,16489.json,NotBuggy
3,0.6194814443588257,1,0,133.59722900390625,28019.json,Buggy
1,0.9906169176101685,1,0,150.24295043945312,6135.json,NotBuggy
20,0.0077794576063752174,5,8,87.28355407714844,26367.json,NotBuggy
4,0.7194122672080994,1,0,125.52845764160156,15126.json,NotBuggy
3,0.5070984363555908,1,0,130.18594360351562,25578.json,NotBuggy
3,0.9088017344474792,1,0,133.59722900390625,26811.json,NotBuggy
5,0.23364782333374023,1,0,121.91352844238281,15168.json,NotBuggy
33,0.0,8,15,75.16883087158203,14119.json,Buggy
3,0.6434621214866638,1,2,130.59072875976562,20253.json,NotBuggy
11,0.15724870562553406,4,9,99.67031860351562,27665.json,NotBuggy
6,0.7583674192428589,1,4,118.35266876220703,25826.json,NotBuggy
7,0.06906449049711227,2,3,112.01042175292969,20042.json,NotBuggy
3,0.6558783650398254,1,0,132.9956512451172,17718.json,NotBuggy
3,0.8301504850387573,1,0,130.85629272460938,5846.json,NotBuggy
17,0.009628267027437687,5,6,91.26888275146484,632.json,NotBuggy
6,0.19128677248954773,2,0,116.66458892822266,821.json,NotBuggy
3,0.861011266708374,1,0,132.61029052734375,5029.json,NotBuggy
17,6.133441347628832E-4,4,10,90.6821060180664,13865.json,NotBuggy
3,0.001766841160133481,1,3,128.0374755859375,3986.json,NotBuggy
3,0.8589105010032654,1,1,132.25152587890625,13694.json,NotBuggy
4,0.23165009915828705,1,2,122.21172332763672,2297.json,NotBuggy
11,0.3844796121120453,3,1,103.85804748535156,1528.json,NotBuggy
17,0.0,4,7,89.52472686767578,14176.json,NotBuggy
3,0.9056026339530945,1,0,133.59722900390625,15624.json,NotBuggy
4,0.3453388214111328,1,0,124.39620971679688,1404.json,NotBuggy
3,0.18104998767375946,1,0,132.4454345703125,25599.json,NotBuggy
3,0.4693749248981476,1,0,130.18594360351562,366.json,NotBuggy
3,0.8919430375099182,1,0,131.9385528564453,24868.json,NotBuggy
3,0.40413954854011536,1,0,131.9385528564453,21179.json,NotBuggy
14,0.07475971430540085,3,6,97.04727935791016,5126.json,Buggy
3,0.8679887652397156,1,0,133.59722900390625,15995.json,NotBuggy
3,0.9141928553581238,1,0,130.85629272460938,6951.json,NotBuggy
40,0.0,14,11,69.33407592773438,154.json,Buggy
3,0.7987945675849915,1,0,132.4454345703125,5034.json,NotBuggy
8,0.14861592650413513,2,2,108.98391723632812,20225.json,NotBuggy
27,0.03259860351681709,8,6,81.83402252197266,21627.json,NotBuggy
3,0.32339686155319214,1,1,129.81976318359375,25233.json,NotBuggy
3,0.0,1,3,127.8611831665039,16152.json,NotBuggy
20,8.284492651000619E-4,2,2,90.57520294189453,11425.json,NotBuggy
7,0.06811338663101196,3,0,110.17599487304688,9891.json,NotBuggy
3,0.7317048907279968,1,0,131.03103637695312,4685.json,Buggy
3,0.7098082304000854,1,1,129.2428436279297,14918.json,NotBuggy
15,0.015473863109946251,5,2,93.58724212646484,5517.json,Buggy
10,0.08606883138418198,2,8,103.02535247802734,13195.json,Buggy
7,0.003116041421890259,1,1,112.55669403076172,908.json,NotBuggy
9,0.0,2,8,102.96926879882812,17303.json,NotBuggy
6,0.124514639377594,2,1,115.26795196533203,14247.json,NotBuggy
64,0.0,22,14,57.27836990356445,6326.json,NotBuggy
3,0.8983624577522278,1,0,132.4454345703125,18323.json,NotBuggy
8,0.2031431943178177,1,5,110.53216552734375,21374.json,Buggy
40,0.0,8,11,71.0102310180664,4550.json,Buggy
5,0.24386122822761536,3,0,116.81883239746094,27494.json,NotBuggy
3,0.7619369029998779,1,0,132.4454345703125,25706.json,NotBuggy
3,0.7516452074050903,1,1,131.75106811523438,14302.json,NotBuggy
6,6.581767229363322E-4,1,2,112.20218658447266,2301.json,NotBuggy
3,0.8762238025665283,1,0,132.9956512451172,3418.json,Buggy
17,0.0,5,7,90.74879455566406,22543.json,NotBuggy
3,0.9070783257484436,1,1,131.75106811523438,13740.json,NotBuggy
21,4.295880498830229E-4,7,17,83.69075012207031,12198.json,NotBuggy
6,0.04592275246977806,2,3,114.55721282958984,5784.json,NotBuggy
5,0.001654531341046095,2,4,116.18183135986328,5280.json,Buggy
14,0.0,1,2,93.37632751464844,10368.json,Buggy
17,0.0,4,11,89.96517944335938,152.json,NotBuggy
11,0.040330920368433,4,1,101.02132415771484,19427.json,NotBuggy
9,0.027194051072001457,2,4,104.27720642089844,452.json,NotBuggy
11,0.3104628324508667,2,5,102.08228302001953,14487.json,Buggy
12,0.016829892992973328,3,4,100.54560089111328,3846.json,NotBuggy
11,0.020235618576407433,3,1,100.82905578613281,84.json,Buggy
20,0.0017218934372067451,9,14,84.92916107177734,3976.json,Buggy
3,0.7942510843276978,1,1,132.086669921875,6162.json,NotBuggy
6,0.16175925731658936,1,3,115.05393981933594,13912.json,NotBuggy
46,0.0,10,10,69.00198364257812,13907.json,NotBuggy
7,0.08544649928808212,2,3,110.94767761230469,16721.json,NotBuggy
4,0.9727820158004761,1,1,125.91468811035156,855.json,NotBuggy
82,0.0,13,22,55.16905975341797,544.json,Buggy
2,0.8893701434135437,1,0,140.82913208007812,15481.json,NotBuggy
3,0.38782936334609985,1,0,132.4454345703125,21730.json,NotBuggy
5,0.6907587647438049,2,2,117.30888366699219,17639.json,NotBuggy
1,0.9603111147880554,1,0,152.05810546875,4586.json,NotBuggy
3,0.6016444563865662,1,0,130.85629272460938,1423.json,NotBuggy
93,0.0,24,28,51.871009826660156,4052.json,Buggy
3,0.06984137743711472,1,3,129.34671020507812,3127.json,NotBuggy
3,0.047167129814624786,1,1,128.8092498779297,6617.json,NotBuggy
19,4.706243344116956E-4,3,12,87.11531066894531,574.json,NotBuggy
3,0.12270868569612503,1,2,129.0215301513672,2191.json,NotBuggy
3,0.6974903345108032,1,0,130.45266723632812,25618.json,NotBuggy
6,0.42228126525878906,2,2,114.89436340332031,26420.json,NotBuggy
10,0.007401487790048122,2,1,103.20895385742188,17692.json,NotBuggy
11,0.0017297505401074886,3,4,100.70150756835938,24638.json,NotBuggy
6,0.00757363997399807,1,3,113.87437438964844,4898.json,NotBuggy
3,0.0891166478395462,1,0,128.0337677001953,15696.json,NotBuggy
14,5.497497622855008E-4,6,4,94.49630737304688,1075.json,NotBuggy
9,0.05658896267414093,3,1,106.1617660522461,25358.json,Buggy
3,0.8362649083137512,1,0,132.9956512451172,16518.json,NotBuggy
11,0.261392205953598,3,6,100.91266632080078,614.json,NotBuggy
28,0.038973137736320496,10,4,81.42021942138672,27820.json,NotBuggy
5,0.6570190191268921,1,3,119.94457244873047,26653.json,NotBuggy
3,0.9135845303535461,1,1,130.34019470214844,12636.json,NotBuggy
5,0.8177133202552795,3,1,115.89193725585938,25676.json,NotBuggy
3,0.7516452074050903,1,1,131.75106811523438,16424.json,NotBuggy
3,0.798982560634613,1,0,133.59722900390625,12821.json,NotBuggy
3,0.9870006442070007,1,0,131.9385528564453,13421.json,NotBuggy
22,2.2012861154507846E-4,3,11,84.50532531738281,13938.json,NotBuggy
3,0.9689788222312927,1,0,131.46876525878906,21891.json,NotBuggy
2,0.996479332447052,1,0,140.82913208007812,15472.json,NotBuggy
5,0.0379878431558609,2,0,116.99040222167969,21560.json,NotBuggy
5,0.1965445578098297,1,1,119.75839233398438,27119.json,NotBuggy
7,0.8351149559020996,3,3,110.76962280273438,26546.json,NotBuggy
92,0.0,22,34,50.65971374511719,9822.json,Buggy
2,0.9919638633728027,1,0,142.4026641845703,23575.json,NotBuggy
3,0.22400237619876862,1,1,130.99049377441406,25941.json,NotBuggy
10,0.02570446953177452,2,9,102.65640258789062,16645.json,Buggy
11,0.45364290475845337,4,0,102.9390869140625,26913.json,NotBuggy
2,0.9683411121368408,1,0,136.64199829101562,5053.json,NotBuggy
4,0.09558280557394028,1,1,124.6862564086914,1605.json,NotBuggy
35,0.004150170832872391,9,9,77.48353576660156,15582.json,NotBuggy
3,0.5536221265792847,1,0,130.45266723632812,25089.json,NotBuggy
4,0.5436115860939026,2,3,120.48577880859375,20394.json,NotBuggy
38,3.3021203125827014E-4,10,24,71.55265045166016,1556.json,Buggy
6,0.18498030304908752,3,3,113.09796142578125,16872.json,NotBuggy
3,0.7549734711647034,1,0,132.4454345703125,16585.json,NotBuggy
3,0.18685990571975708,1,1,127.25540161132812,5661.json,NotBuggy
7,0.04462685063481331,3,4,109.22433471679688,14655.json,NotBuggy
3,0.22869984805583954,1,1,131.28770446777344,4623.json,NotBuggy
2,0.8628426194190979,1,0,140.82913208007812,27727.json,NotBuggy
60,0.0,12,57,61.55718994140625,3711.json,Buggy
4,0.9815630316734314,1,0,126.37059020996094,21892.json,NotBuggy
10,0.3993837833404541,4,1,103.24877166748047,5249.json,Buggy
3,0.8333858847618103,1,0,132.25152587890625,18134.json,NotBuggy
102,0.0,23,62,48.341278076171875,27879.json,NotBuggy
3,0.22560536861419678,1,0,131.9385528564453,24874.json,NotBuggy
8,0.060090918093919754,3,2,107.20061492919922,24608.json,NotBuggy
11,0.336913138628006,3,3,102.16670989990234,26834.json,Buggy
12,0.027542486786842346,3,4,98.53973388671875,26467.json,NotBuggy
15,0.011333685368299484,6,2,93.18196868896484,1646.json,NotBuggy
3,0.8194071054458618,1,0,128.50894165039062,16023.json,NotBuggy
6,0.7959116697311401,2,1,113.97042083740234,11177.json,NotBuggy
3,0.39536619186401367,1,0,133.59722900390625,3729.json,NotBuggy
3,0.6930068731307983,1,0,133.59722900390625,3793.json,Buggy
24,5.410931771621108E-4,7,13,83.64745330810547,25600.json,NotBuggy
3,0.7051372528076172,1,0,133.59722900390625,19713.json,NotBuggy
20,0.014965624548494816,6,7,87.08348846435547,12639.json,NotBuggy
3,0.25932276248931885,1,1,131.43582153320312,5769.json,NotBuggy
2,0.9953216910362244,1,0,140.82913208007812,15528.json,NotBuggy
3,0.539034903049469,1,0,132.4454345703125,23360.json,NotBuggy
2,0.991834282875061,1,0,140.82913208007812,21882.json,NotBuggy
4,0.4456784129142761,1,0,124.39620971679688,1402.json,NotBuggy
5,0.15017865598201752,1,3,118.5968017578125,13140.json,NotBuggy
5,0.30566465854644775,1,3,119.23677062988281,26419.json,NotBuggy
11,0.19486570358276367,2,5,100.61941528320312,27099.json,Buggy
3,0.435994416475296,1,2,130.99049377441406,21009.json,NotBuggy
6,0.012181701138615608,2,4,113.12316131591797,10090.json,NotBuggy
3,0.8485592603683472,1,0,132.9956512451172,10762.json,NotBuggy
11,0.4814557135105133,3,3,102.73654174804688,15941.json,Buggy
3,0.9932690858840942,1,0,132.4454345703125,9896.json,NotBuggy
6,0.5393266677856445,2,2,115.97023010253906,17584.json,NotBuggy
3,0.07644974440336227,1,3,127.05960083007812,1601.json,NotBuggy
10,0.05835859477519989,3,6,103.35611724853516,12564.json,Buggy
12,0.011886261403560638,2,1,101.4615478515625,18709.json,NotBuggy
3,0.7516452074050903,1,1,131.75106811523438,13530.json,NotBuggy
3,0.4264669120311737,1,1,130.85629272460938,16001.json,NotBuggy
13,0.0075187599286437035,3,1,97.699951171875,2850.json,Buggy
11,0.014822605066001415,2,10,100.76788330078125,20961.json,NotBuggy
2,0.9890204668045044,1,0,142.4026641845703,3537.json,NotBuggy
6,6.252250168472528E-4,2,3,113.33544158935547,6844.json,NotBuggy
3,0.6974903345108032,1,0,130.45266723632812,25598.json,NotBuggy
20,0.0013479649787768722,2,13,87.15809631347656,2310.json,NotBuggy
16,8.616867125965655E-4,3,7,94.37242889404297,26189.json,NotBuggy
2,0.9967734217643738,1,0,140.82913208007812,3661.json,NotBuggy
3,0.4770996570587158,1,1,130.57513427734375,13905.json,NotBuggy
15,0.0,2,22,92.85569763183594,16678.json,Buggy
7,0.12647785246372223,4,1,108.27680969238281,18945.json,NotBuggy
3,0.8956595063209534,1,0,132.4454345703125,4570.json,NotBuggy
3,0.08771388232707977,1,0,133.59722900390625,6185.json,NotBuggy
3,0.6022908687591553,1,1,131.75106811523438,21507.json,NotBuggy
13,0.0021221900824457407,3,3,96.49519348144531,5713.json,Buggy
3,0.8889366984367371,1,0,131.9385528564453,25286.json,NotBuggy
1,0.9865931272506714,1,0,151.39474487304688,27131.json,NotBuggy
21,0.0,7,11,84.82719421386719,16954.json,NotBuggy
3,0.8193777203559875,1,0,132.4454345703125,4350.json,NotBuggy
8,0.20123954117298126,1,5,110.53216552734375,21316.json,NotBuggy
3,0.6549808382987976,1,0,131.9385528564453,18727.json,NotBuggy
3,0.5421392321586609,1,0,133.59722900390625,16815.json,NotBuggy
3,0.06541560590267181,1,2,128.92515563964844,3121.json,NotBuggy
3,0.9883678555488586,1,0,132.9956512451172,21886.json,NotBuggy
3,0.02022753283381462,1,1,128.1235809326172,572.json,NotBuggy
16,0.04900354892015457,6,0,91.26854705810547,22104.json,NotBuggy
3,0.8396183252334595,1,1,132.61029052734375,27721.json,NotBuggy
3,0.36597687005996704,1,2,128.60531616210938,22774.json,NotBuggy
3,0.6164641380310059,1,0,130.7338104248047,3625.json,NotBuggy
8,0.015419760718941689,3,1,106.49503326416016,15047.json,NotBuggy
3,0.5387683510780334,1,0,129.81976318359375,5669.json,NotBuggy
11,0.0994730219244957,3,6,100.61084747314453,19987.json,NotBuggy
3,0.6024386882781982,1,0,132.4454345703125,22380.json,NotBuggy
3,0.17403332889080048,1,2,129.34671020507812,17192.json,NotBuggy
3,0.9150625467300415,1,0,131.9385528564453,16090.json,NotBuggy
3,0.5084932446479797,1,1,131.1535186767578,754.json,Buggy
37,0.0,6,21,72.8945083618164,19077.json,Buggy
10,0.0,1,2,101.19816589355469,18777.json,NotBuggy
3,0.6779704689979553,1,1,130.99049377441406,25629.json,NotBuggy
3,0.9895662069320679,1,0,133.59722900390625,20287.json,NotBuggy
14,0.3044682443141937,3,1,96.07747650146484,21981.json,NotBuggy
11,0.3844796121120453,3,1,103.85804748535156,1136.json,Buggy
3,0.8026342988014221,1,0,131.1535186767578,18427.json,NotBuggy
3,0.39084184169769287,1,0,131.9385528564453,21227.json,NotBuggy
10,0.0022509763948619366,2,12,101.81511688232422,16681.json,Buggy
6,0.38583841919898987,1,6,115.05393981933594,18409.json,NotBuggy
6,0.30626603960990906,2,0,116.7609634399414,15211.json,NotBuggy
3,0.8558635115623474,1,1,132.25152587890625,13651.json,NotBuggy
3,0.9375259876251221,1,0,132.086669921875,19866.json,NotBuggy
3,0.6202884912490845,1,0,131.1535186767578,14986.json,NotBuggy
6,0.8644006252288818,2,2,115.10722351074219,19248.json,NotBuggy
4,0.2274531126022339,2,0,124.3523941040039,3776.json,NotBuggy
39,0.0,9,4,72.5116195678711,25646.json,NotBuggy
