SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
3,0.8735559582710266,0.9618590516937602,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,104.json,NotBuggy
3,0.3278059959411621,0.929290322575436,0,0,0,1,1.89,0,1,17.0,131.1535186767578,0,0,0,0,0,2260.json,NotBuggy
3,0.9323808550834656,0.983322520131356,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,3678.json,NotBuggy
13,4.968908615410328E-4,1.4634274245223305E-6,3,3,6,2,2.81,1,10,115.0,95.39812469482422,1,0,4,0,0,2294.json,NotBuggy
3,0.9351360201835632,0.9803147397043273,0,0,0,1,1.89,0,1,13.0,133.18099975585938,0,0,0,0,0,2249.json,NotBuggy
5,0.7054272890090942,0.7615344950916492,0,0,0,1,1.96,0,4,27.0,120.237548828125,0,0,0,0,0,3815.json,NotBuggy
15,0.013255108147859573,5.707997426020854E-5,3,2,5,2,3.23,1,11,109.0,93.30255126953125,0,2,4,0,0,3173.json,NotBuggy
3,0.8987113833427429,0.932411035234807,0,0,0,1,1.89,0,0,19.0,130.70933532714844,0,1,0,0,0,474.json,NotBuggy
3,0.7196447849273682,0.9430187429889062,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,922.json,NotBuggy
12,0.030057664960622787,0.16373011242001784,0,0,0,1,4.71,0,3,59.0,101.03998565673828,0,1,2,0,0,3848.json,NotBuggy
4,0.16499225795269012,0.7139913338643826,0,0,0,1,2.0,0,2,25.0,124.36514282226562,0,0,0,0,0,260.json,NotBuggy
3,0.7371817231178284,0.9097000996669957,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,3511.json,NotBuggy
18,0.03780193626880646,0.015840791973521864,1,1,2,3,6.24,1,5,87.0,91.60552215576172,0,2,1,0,0,2527.json,NotBuggy
3,0.15838423371315002,0.9017976365679561,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,794.json,NotBuggy
6,0.7670981287956238,0.7058111648395005,1,1,2,2,2.75,1,1,31.0,116.04551696777344,0,0,0,0,0,3191.json,NotBuggy
4,0.3607279360294342,0.8899653320756102,0,0,0,1,2.0,0,0,18.0,126.19583892822266,0,1,0,0,0,26.json,NotBuggy
8,0.36245623230934143,0.24452528615254113,1,2,3,3,3.12,2,2,46.0,108.79564666748047,0,2,0,0,0,326.json,NotBuggy
14,0.724189817905426,0.1150442522799918,4,4,8,4,2.37,1,3,69.0,96.98869323730469,0,1,2,0,0,2812.json,NotBuggy
5,0.03591086342930794,0.7370250803296914,0,0,0,2,2.99,1,1,30.0,119.3558120727539,0,1,1,0,0,3686.json,NotBuggy
3,0.6991968154907227,0.9072828120835787,0,0,0,1,1.89,0,0,17.0,131.28770446777344,0,1,0,0,0,1454.json,NotBuggy
9,0.27138856053352356,0.05303355265441541,2,1,3,2,5.59,1,5,60.0,105.43512725830078,0,2,2,0,0,2013.json,NotBuggy
3,0.703364908695221,0.9533731650030953,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,1731.json,NotBuggy
6,0.563037633895874,0.9048143096150775,2,2,4,2,2.75,1,0,25.0,117.45413208007812,0,0,0,0,0,2546.json,NotBuggy
10,0.15474602580070496,0.056516552360877555,3,3,6,3,2.67,1,5,61.0,103.31035614013672,0,1,1,0,0,2773.json,NotBuggy
3,0.0,0.06375327836554034,0,0,0,1,1.89,0,2,37.0,126.34735107421875,0,3,0,0,0,2094.json,NotBuggy
3,0.6596358418464661,0.9182953669055286,0,0,0,1,1.89,0,0,15.0,131.9385528564453,0,0,0,0,0,2942.json,NotBuggy
7,0.029075277969241142,0.4736634856225236,1,1,2,2,3.02,1,2,38.0,112.48956298828125,0,2,0,0,0,1475.json,NotBuggy
19,0.009453841485083103,3.1763076236099026E-4,0,0,0,3,4.91,2,2,101.0,89.72454071044922,0,2,1,0,0,88.json,NotBuggy
3,0.906355082988739,0.9140918467204051,0,0,0,1,3.77,0,0,15.0,131.9385528564453,0,1,0,0,0,2742.json,NotBuggy
3,0.081022709608078,0.8900995016836207,0,0,0,1,1.89,0,0,16.0,131.91592407226562,0,0,0,0,0,858.json,NotBuggy
6,0.3540840148925781,0.8233602427539338,0,0,0,1,4.42,0,1,27.0,117.08370208740234,0,2,0,0,0,1747.json,NotBuggy
7,0.1672811508178711,0.09491533837362404,0,0,0,2,2.83,1,2,48.0,110.56478881835938,0,1,2,0,0,1581.json,NotBuggy
4,0.6266914010047913,0.8706208075379328,0,0,0,1,2.0,0,1,19.0,125.91468811035156,0,1,0,0,0,1268.json,NotBuggy
3,0.9026831388473511,0.9247675232561114,0,0,0,1,1.89,0,0,18.0,130.85629272460938,0,1,0,0,0,839.json,NotBuggy
33,0.0,1.296277113276809E-23,1,4,5,5,2.05,1,21,428.0,72.78308868408203,1,5,2,0,0,469.json,NotBuggy
3,0.7096608281135559,0.8908080763691062,0,0,0,1,1.89,0,1,16.0,131.60296630859375,0,1,0,0,0,3881.json,NotBuggy
3,0.8924878835678101,0.9823860435767566,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,188.json,NotBuggy
4,0.30279091000556946,0.8309227142631788,0,0,0,1,2.0,0,0,22.0,125.02987670898438,0,1,0,0,0,632.json,NotBuggy
8,0.3412972688674927,0.64890643028137,1,1,2,2,8.49,0,2,41.0,109.5576400756836,0,1,0,0,0,821.json,NotBuggy
5,0.48004165291786194,0.3764642197454825,0,0,0,1,1.96,0,3,36.0,118.14434051513672,0,0,2,0,0,2297.json,NotBuggy
3,0.890437126159668,0.9653869870865462,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,1528.json,NotBuggy
4,0.08131259679794312,0.5174163913240731,0,0,0,1,2.0,0,3,29.0,123.19084167480469,0,2,0,0,0,1404.json,NotBuggy
9,0.037403710186481476,0.5600938695854182,0,0,0,1,4.62,0,3,37.0,108.47972106933594,0,2,0,0,0,366.json,NotBuggy
3,0.7276448607444763,0.7554558436965931,0,0,0,1,1.89,0,0,18.0,130.7338104248047,0,1,0,0,0,154.json,NotBuggy
4,0.6258825063705444,0.9132804337277636,0,0,0,1,2.0,0,0,20.0,125.64796447753906,0,1,0,0,0,129.json,NotBuggy
3,0.04531949758529663,0.7274270275922539,0,0,0,1,5.66,0,0,21.0,129.7158966064453,0,2,0,0,0,2739.json,NotBuggy
3,0.19942255318164825,0.9795089725350128,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,908.json,NotBuggy
3,0.10377071797847748,0.9523363313459916,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,2301.json,NotBuggy
3,0.005944863893091679,0.3095842106291107,0,0,0,1,1.89,0,1,29.0,127.94110107421875,0,3,0,0,0,2710.json,NotBuggy
4,0.13205890357494354,0.8339232893060831,0,0,0,1,2.0,0,0,21.0,125.27178192138672,0,1,0,0,0,799.json,NotBuggy
3,0.7414596080780029,0.8902689071416324,0,0,0,1,1.89,0,0,17.0,131.1535186767578,0,1,0,0,0,152.json,NotBuggy
6,0.13008667528629303,0.714834784792558,1,1,2,2,2.75,1,0,28.0,116.7609634399414,0,0,0,0,0,452.json,NotBuggy
15,0.08436035364866257,0.022053625934293806,1,1,2,2,3.81,1,5,72.0,95.8880615234375,0,2,2,0,0,3846.json,NotBuggy
4,0.704922080039978,0.9274770246178269,0,0,0,1,2.0,0,0,20.0,125.64796447753906,0,1,0,0,0,855.json,NotBuggy
32,0.0,2.635439906221058E-12,4,3,7,5,3.69,2,15,216.0,76.291259765625,0,2,5,0,0,544.json,NotBuggy
19,0.05150831863284111,4.1964400727391996E-6,3,3,6,5,4.27,2,4,120.0,88.22992706298828,0,1,4,0,0,1423.json,NotBuggy
4,0.1790732592344284,0.6343504692369858,0,0,0,1,2.0,0,1,27.0,123.56243133544922,0,2,0,0,0,898.json,NotBuggy
17,0.005732166580855846,0.005315911617739004,4,4,8,5,4.9,1,5,91.0,91.9526138305664,0,1,0,0,0,574.json,NotBuggy
3,0.17382289469242096,0.8233976251425777,0,0,0,1,1.89,0,1,19.0,130.70933532714844,0,0,0,0,0,1075.json,NotBuggy
3,0.22346168756484985,0.8812589751145175,0,0,0,1,1.89,0,1,17.0,131.28770446777344,0,0,0,0,0,614.json,NotBuggy
3,0.7426425814628601,0.9759974723548805,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,1605.json,NotBuggy
29,0.08757420629262924,3.092514138997454E-7,3,3,6,5,3.8,2,14,158.0,79.6001968383789,0,1,4,0,0,1556.json,NotBuggy
4,0.5693768262863159,0.8802253443312685,0,0,0,1,2.0,0,0,22.0,125.02987670898438,0,1,0,0,0,629.json,NotBuggy
3,0.8057711124420166,0.9265343226509339,0,0,0,1,1.89,0,2,17.0,131.28770446777344,0,1,0,0,0,3711.json,NotBuggy
3,0.9876420497894287,0.8605677407144358,0,0,0,1,2.0,0,1,17.0,131.1535186767578,0,1,0,0,0,3799.json,NotBuggy
3,0.00210087513551116,0.4725726785340379,0,0,0,1,1.89,0,1,27.0,128.51292419433594,0,3,0,0,0,3729.json,NotBuggy
4,0.6513165235519409,0.9471041167824645,0,0,0,1,2.0,0,2,17.0,126.94023132324219,0,0,0,0,0,3793.json,NotBuggy
7,0.23378118872642517,0.2505876229835351,1,1,2,2,2.56,1,0,44.0,111.29065704345703,0,2,1,0,0,1402.json,NotBuggy
3,0.8425434231758118,0.9402355597497962,0,0,0,1,1.89,0,0,16.0,131.91592407226562,0,0,0,0,0,884.json,NotBuggy
10,0.05839760601520538,0.706887213693636,1,1,2,2,4.75,1,6,45.0,105.5951156616211,0,1,0,0,0,885.json,NotBuggy
3,0.838780403137207,0.8909853334095853,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,1601.json,NotBuggy
3,0.887287437915802,0.9039650300819729,0,0,0,1,1.89,0,0,19.0,130.70933532714844,0,1,0,0,0,681.json,NotBuggy
3,0.7460660934448242,0.9139615563755946,0,0,0,1,1.89,0,0,15.0,131.9385528564453,0,0,0,0,0,2850.json,NotBuggy
6,0.015952562913298607,0.018921535677759827,0,0,0,1,1.89,0,4,50.0,113.12964630126953,0,2,2,0,0,3537.json,NotBuggy
11,0.483102023601532,0.0031902533450942736,3,3,6,3,3.53,2,3,78.0,100.1884765625,0,1,4,0,0,2310.json,NotBuggy
3,0.00210087513551116,0.4725726785340379,0,0,0,1,1.89,0,1,27.0,128.51292419433594,0,3,0,0,0,3661.json,NotBuggy
30,0.027930457144975662,1.729686435784162E-8,5,4,9,5,3.01,2,10,175.0,78.57656860351562,0,1,7,0,0,3121.json,Buggy
17,0.005732166580855846,0.005315911617739004,4,4,8,5,4.9,1,5,91.0,91.9526138305664,0,1,0,0,0,572.json,NotBuggy
3,0.8405749201774597,0.948418518267231,0,0,0,1,1.89,0,1,15.0,132.25152587890625,0,1,0,0,0,3625.json,NotBuggy
3,0.5099133849143982,0.9146023778208219,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,754.json,NotBuggy
5,0.6547514796257019,0.4528774615211857,0,0,0,1,1.96,0,1,35.0,118.5140380859375,0,0,1,0,0,1790.json,NotBuggy
6,0.2619885802268982,0.7514425783857853,0,0,0,1,4.99,0,2,28.0,116.89459228515625,0,2,0,0,0,1136.json,NotBuggy
7,0.022769954055547714,0.03328778800325449,1,1,2,2,5.11,1,6,52.0,110.30502319335938,0,1,0,0,0,3823.json,NotBuggy
23,0.04206232726573944,7.625833613791561E-4,2,2,4,5,8.17,4,5,105.0,85.90999603271484,0,3,5,0,0,319.json,NotBuggy
3,0.7232409715652466,0.829808645217018,0,0,0,1,1.89,0,0,19.0,130.70933532714844,0,1,0,0,0,925.json,NotBuggy
7,0.32840681076049805,0.013635485563534227,2,1,3,2,2.56,1,3,59.0,109.44398498535156,0,1,2,0,0,2906.json,NotBuggy
4,2.641209866851568E-4,0.2359582440656685,0,0,0,1,2.0,0,2,37.0,122.11019134521484,0,3,0,0,0,3821.json,NotBuggy
10,0.5476338863372803,0.917309539001557,2,1,3,3,3.53,2,2,35.0,106.74620056152344,0,0,0,0,0,59.json,NotBuggy
5,0.17049065232276917,0.5365579644634928,0,0,0,1,3.58,0,1,31.0,119.1451187133789,0,2,0,0,0,1805.json,NotBuggy
30,0.0,0.6087790067141399,5,5,10,3,6.6,1,9,115.0,81.74244689941406,0,0,3,0,0,1469.json,NotBuggy
11,0.5837119817733765,0.12046631141374661,1,2,3,3,2.41,1,3,58.0,102.18502807617188,0,1,1,0,0,3395.json,NotBuggy
11,0.0760420560836792,0.5922096593965539,1,2,3,3,3.0,1,1,45.0,103.62164306640625,0,3,0,0,0,370.json,NotBuggy
