SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
3,0.8452727794647217,0.8156591581442174,0,0,0,1,0.94,0,1,18.0,130.85629272460938,0,1,0,0,0,104.json,NotBuggy
3,0.3795568346977234,0.9316796806545795,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,20823.json,NotBuggy
3,0.6298864483833313,0.8444691879340928,0,0,0,1,0.94,0,2,16.0,131.91592407226562,0,0,0,0,0,21746.json,NotBuggy
3,0.6750948429107666,0.836067001444932,0,0,0,1,0.98,0,3,24.0,129.2378692626953,0,0,0,0,0,761.json,NotBuggy
8,0.008498412556946278,0.045162974727803736,0,0,0,1,2.6,0,5,57.0,108.21082305908203,0,1,0,0,0,20080.json,NotBuggy
3,0.0012251861626282334,0.45273444043650574,0,0,0,1,0.94,0,1,28.0,128.21994018554688,0,3,0,0,0,2260.json,NotBuggy
7,0.04047676920890808,0.030343265358538898,1,1,2,2,1.51,1,3,55.0,109.9588851928711,0,1,1,0,0,14843.json,NotBuggy
3,0.9674601554870605,0.9635253099185546,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,7760.json,NotBuggy
5,0.0026267357170581818,0.1409193073679178,0,0,0,1,0.98,0,3,39.0,117.66175079345703,0,1,0,0,0,4953.json,NotBuggy
10,0.14287278056144714,0.17700920699290354,0,0,0,1,2.05,1,5,55.0,104.64515686035156,0,1,0,0,0,13448.json,NotBuggy
3,0.9240196347236633,0.9339723990603577,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,7289.json,NotBuggy
3,0.546697735786438,0.6936176791455277,0,0,0,1,0.94,0,1,21.0,129.7158966064453,0,1,0,0,0,9801.json,NotBuggy
13,0.009379517287015915,0.00792924293411871,2,2,4,3,3.2,2,3,78.0,97.52046203613281,0,2,2,0,0,10470.json,NotBuggy
4,0.5475952625274658,0.5794031996968497,0,0,0,1,1.0,0,2,26.0,123.75868225097656,0,1,0,0,0,16880.json,NotBuggy
4,0.1226806566119194,0.7425022177780816,0,0,0,1,1.66,0,0,24.0,124.361083984375,0,1,0,0,0,17071.json,NotBuggy
3,0.0015450030332431197,0.4957148329915182,0,0,0,1,0.94,0,1,27.0,128.4090576171875,0,3,0,0,0,20426.json,NotBuggy
3,0.5935533046722412,0.9637524463742415,0,0,0,1,0.94,0,0,11.0,134.26058959960938,0,0,0,0,0,3678.json,NotBuggy
4,0.9495622515678406,0.24219240563696498,1,1,2,2,0.98,0,0,38.0,121.47132873535156,0,0,1,0,0,22852.json,NotBuggy
3,0.006279556546360254,0.04540295390636836,0,0,0,1,0.94,0,2,41.0,125.74343872070312,0,1,0,0,0,5747.json,NotBuggy
3,0.0,0.020218467245238906,0,0,0,1,0.94,0,0,48.0,124.9938735961914,0,0,0,0,0,17150.json,NotBuggy
3,0.10273506492376328,0.4699878573845517,0,0,0,1,0.94,0,3,27.0,128.1388702392578,0,0,0,0,0,13847.json,NotBuggy
6,0.7436435222625732,0.7005206722835462,0,0,0,1,0.94,0,4,31.0,116.36531829833984,0,0,1,0,0,2810.json,NotBuggy
3,0.44239553809165955,0.8844472997922596,0,0,0,1,0.94,0,0,15.0,132.25152587890625,0,0,0,0,0,2294.json,NotBuggy
3,0.34765198826789856,0.7619611953582267,0,0,0,1,0.94,0,1,21.0,129.93223571777344,0,1,0,0,0,15403.json,NotBuggy
3,0.9639779329299927,0.6571952273726805,0,0,0,1,0.94,0,3,24.0,129.36033630371094,0,0,0,0,0,2249.json,NotBuggy
5,0.17799703776836395,0.19529290955132925,4,3,7,2,2.71,0,3,36.0,117.84797668457031,0,0,0,0,0,3815.json,NotBuggy
8,0.14234815537929535,0.022100186097739703,1,1,2,2,1.56,1,0,62.0,107.22718048095703,0,1,1,0,0,3173.json,NotBuggy
5,0.2720218300819397,0.4264045059593524,0,0,0,1,1.5,1,3,32.0,118.90116882324219,0,1,0,0,0,5277.json,NotBuggy
8,0.038192883133888245,0.31467847929801596,0,0,0,1,1.98,1,0,46.0,109.4000015258789,0,0,0,0,0,12309.json,NotBuggy
9,0.8055264353752136,0.46385529454431595,3,2,5,3,2.13,2,1,44.0,106.92947387695312,0,1,1,0,0,4587.json,NotBuggy
9,3.634402819443494E-4,0.009083404790625894,2,2,4,3,1.47,2,2,67.0,104.74285888671875,0,3,0,0,0,474.json,NotBuggy
6,0.0017871955642476678,0.04836834752391965,0,0,0,1,1.63,1,3,48.0,113.56543731689453,0,4,0,0,0,5352.json,NotBuggy
3,0.7311904430389404,0.7727406344621536,0,0,0,1,0.94,0,1,19.0,130.57513427734375,0,1,0,0,0,15594.json,NotBuggy
12,0.5640605688095093,0.8182360601599598,2,2,4,3,1.37,1,4,48.0,102.31301879882812,0,1,1,0,0,5916.json,NotBuggy
4,0.002752066822722554,0.15618832163531784,0,0,0,1,1.0,0,2,37.0,121.68689727783203,0,1,0,0,0,18965.json,NotBuggy
3,0.024478569626808167,0.7210024244041773,0,0,0,1,0.94,0,0,24.0,129.49453735351562,0,0,0,0,0,6394.json,NotBuggy
3,0.7099959254264832,0.8681113465521686,0,0,0,1,0.94,0,1,17.0,131.43582153320312,0,1,0,0,0,8517.json,NotBuggy
6,0.1457214057445526,0.11791176076380784,2,1,3,2,1.37,1,2,45.0,113.80038452148438,0,1,1,0,0,922.json,Buggy
3,0.7367488145828247,0.8437404944220849,0,0,0,1,0.94,0,2,16.0,131.91592407226562,0,0,0,0,0,13704.json,NotBuggy
3,0.0066739278845489025,0.502080614444084,0,0,0,1,0.94,0,2,25.0,128.53907775878906,0,0,0,0,0,12174.json,NotBuggy
3,0.14762939512729645,0.7376852815292559,0,0,0,1,0.94,0,3,25.0,128.8092498779297,0,1,0,0,0,3848.json,NotBuggy
3,0.6522930264472961,0.776544517559024,0,0,0,1,0.94,0,1,19.0,130.34019470214844,0,0,0,0,0,12067.json,NotBuggy
3,0.0030801997054368258,0.2450680342325249,0,0,0,1,0.94,0,2,29.0,127.76728820800781,0,2,0,0,0,4535.json,NotBuggy
9,0.0,6.557178771284264E-4,0,0,0,1,1.91,1,3,79.0,104.08475494384766,0,2,0,0,0,6177.json,NotBuggy
8,0.0,8.759553816313734E-5,0,0,0,1,3.12,1,5,93.0,105.2942886352539,0,0,0,0,0,13200.json,NotBuggy
13,0.011738850735127926,3.582148489215536E-4,0,0,0,3,1.44,1,7,86.0,96.90167236328125,0,3,0,0,0,21211.json,NotBuggy
3,0.78392493724823,0.661067274356413,0,0,0,1,0.94,0,1,20.0,130.07347106933594,0,1,0,0,0,15691.json,NotBuggy
5,0.0033296255860477686,0.08928318269566467,0,0,0,1,2.19,0,4,44.0,116.97151184082031,0,0,1,0,0,12836.json,NotBuggy
3,0.8207865953445435,0.9548155616948382,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,19018.json,NotBuggy
3,0.0026119514368474483,0.22988367236359605,0,0,0,1,0.94,0,0,33.0,127.17938995361328,0,1,0,0,0,274.json,NotBuggy
7,0.31641045212745667,0.15680849566873806,1,1,2,2,1.28,1,3,42.0,111.53256225585938,0,3,1,0,0,9750.json,NotBuggy
10,0.06136171519756317,0.17501189897936445,1,1,2,2,2.23,1,2,55.0,104.55162811279297,0,0,1,0,0,22468.json,NotBuggy
3,0.5588507652282715,0.7300337258165979,0,0,0,1,0.94,0,1,18.0,130.85629272460938,0,1,0,0,0,19360.json,NotBuggy
3,0.610572874546051,0.6942379799821489,0,0,0,1,0.94,0,0,18.0,130.621337890625,0,0,0,0,0,10899.json,NotBuggy
4,0.017190665006637573,0.047943187981078494,0,0,0,1,1.66,0,1,42.0,120.82833862304688,0,1,0,0,0,21413.json,NotBuggy
3,0.0030056301038712263,0.33157714550128553,0,0,0,1,0.94,0,1,28.0,128.1235809326172,0,3,0,0,0,21510.json,Buggy
9,0.0,3.48524485141144E-5,0,0,0,1,1.13,0,6,96.0,103.07127380371094,0,8,1,0,0,3599.json,NotBuggy
3,0.25844141840934753,0.763372007999831,0,0,0,1,0.94,0,2,23.0,129.4591827392578,0,1,0,0,0,260.json,NotBuggy
4,0.052352748811244965,0.20074007562808485,0,0,0,1,1.0,0,1,35.0,121.90575408935547,0,1,0,0,0,14296.json,NotBuggy
3,0.09652337431907654,0.9292373057389453,0,0,0,1,0.94,0,0,11.0,134.26058959960938,0,0,0,0,0,7920.json,NotBuggy
19,0.19864320755004883,0.0013065093259341399,4,5,9,6,2.01,3,3,99.0,89.40473175048828,0,1,3,0,0,6974.json,NotBuggy
3,0.9364368915557861,0.969188454280976,0,0,0,1,0.94,0,0,14.0,132.4454345703125,0,0,0,0,0,15933.json,NotBuggy
5,0.8215252757072449,0.8936775198351236,0,0,0,1,1.5,1,2,21.0,121.91352844238281,0,0,0,0,0,5181.json,NotBuggy
6,0.6747978925704956,0.24829937569734972,2,1,3,2,1.37,1,2,38.0,114.82393646240234,0,1,0,0,0,15918.json,NotBuggy
3,0.7234928011894226,0.9033076512270801,0,0,0,1,0.94,0,1,18.0,130.99049377441406,0,1,0,0,0,3985.json,NotBuggy
4,0.2576148509979248,0.25173960177474136,0,0,0,1,1.66,0,2,33.0,122.3560791015625,0,1,0,0,0,22191.json,NotBuggy
2,0.9554787874221802,0.9739502358873596,0,0,0,1,0.0,0,0,9.0,142.4026641845703,0,0,0,0,0,18919.json,NotBuggy
3,0.45764127373695374,0.8690084644030902,0,0,0,1,0.94,0,0,17.0,131.03103637695312,0,0,0,0,0,17016.json,NotBuggy
6,0.2189917415380478,0.16415624595694575,0,0,0,1,1.16,0,2,52.0,112.97779083251953,0,1,1,0,0,22211.json,NotBuggy
18,0.0,3.8305350182330405E-9,0,0,0,2,1.57,1,18,151.0,88.55028533935547,0,3,6,0,0,8103.json,NotBuggy
