SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
7,0.04965473711490631,2,4,109.71534729003906,104.json,NotBuggy
6,0.8140212893486023,2,1,116.57478332519531,58709.json,NotBuggy
3,0.544666051864624,1,0,133.59722900390625,21852.json,NotBuggy
3,0.00993816927075386,1,4,127.25540161132812,48547.json,NotBuggy
4,0.10780538618564606,1,1,123.75868225097656,54818.json,NotBuggy
6,0.6716088056564331,1,1,115.04825592041016,20823.json,NotBuggy
7,0.1277834177017212,2,5,109.31124114990234,21746.json,NotBuggy
3,0.8806297183036804,1,0,133.59722900390625,9640.json,NotBuggy
3,0.7127098441123962,1,0,132.4454345703125,23917.json,NotBuggy
3,0.385569304227829,1,3,129.81976318359375,70329.json,NotBuggy
4,0.0,1,2,119.42608642578125,761.json,NotBuggy
3,0.5383654236793518,1,1,131.28770446777344,40899.json,NotBuggy
3,0.8641944527626038,1,0,133.59722900390625,72448.json,NotBuggy
3,0.8844341039657593,2,0,128.4791717529297,20080.json,NotBuggy
3,0.3209988474845886,1,1,130.07347106933594,40884.json,NotBuggy
3,0.53144770860672,1,0,131.75106811523438,72347.json,NotBuggy
14,0.0025026474613696337,3,5,95.1702651977539,74650.json,NotBuggy
38,0.0,6,29,73.39063262939453,39296.json,NotBuggy
1,0.9802452921867371,1,0,151.39474487304688,76645.json,NotBuggy
6,0.22679859399795532,1,3,115.04825592041016,34508.json,NotBuggy
3,0.8969882726669312,1,0,134.26058959960938,32082.json,NotBuggy
5,0.3243776261806488,1,2,116.80007934570312,14843.json,NotBuggy
3,0.8632985949516296,1,0,134.26058959960938,7760.json,NotBuggy
6,0.08113592118024826,2,3,113.9074478149414,31542.json,NotBuggy
3,0.27920401096343994,1,0,133.59722900390625,7289.json,NotBuggy
10,1.920337090268731E-4,2,8,101.66545104980469,71820.json,NotBuggy
3,0.32552260160446167,1,3,128.8092498779297,50620.json,NotBuggy
3,0.6337012648582458,1,1,130.99049377441406,80812.json,NotBuggy
7,4.5194258564151824E-4,1,3,108.87757873535156,75146.json,NotBuggy
3,0.824286937713623,1,0,132.4454345703125,78033.json,NotBuggy
30,0.0,5,17,77.60858154296875,36022.json,Buggy
3,0.012409506365656853,1,1,128.31268310546875,82583.json,NotBuggy
3,0.9939265847206116,1,0,133.59722900390625,78369.json,NotBuggy
3,0.4000767767429352,1,0,131.28770446777344,43539.json,NotBuggy
8,0.6062870025634766,2,2,107.87340545654297,76044.json,NotBuggy
11,0.15309345722198486,3,2,104.2648696899414,77749.json,NotBuggy
3,0.7482175230979919,1,0,131.9385528564453,68076.json,NotBuggy
3,0.5300852656364441,1,1,129.05665588378906,31928.json,NotBuggy
3,0.7102911472320557,1,1,129.57785034179688,6599.json,NotBuggy
3,0.5324049592018127,1,0,131.9385528564453,10470.json,NotBuggy
1,0.9865509867668152,1,0,150.7931671142578,68717.json,NotBuggy
6,0.22019076347351074,1,4,116.40045928955078,44567.json,NotBuggy
4,0.32310962677001953,1,2,124.58238983154297,47978.json,NotBuggy
12,0.30128881335258484,2,4,102.87791442871094,37266.json,NotBuggy
3,0.3249516785144806,1,3,128.8092498779297,48397.json,NotBuggy
11,0.017877858132123947,2,6,101.7582778930664,65511.json,NotBuggy
3,0.009013091214001179,1,4,127.17654418945312,52903.json,NotBuggy
8,3.53426905348897E-4,1,6,108.031494140625,20426.json,NotBuggy
3,0.10803042352199554,1,1,131.28770446777344,35771.json,NotBuggy
11,0.18716290593147278,2,5,104.61441040039062,64677.json,NotBuggy
3,0.8094428777694702,1,0,133.59722900390625,3678.json,NotBuggy
3,0.2422465831041336,1,1,130.45266723632812,22852.json,NotBuggy
3,0.11616383492946625,1,2,129.2428436279297,49548.json,NotBuggy
8,0.7025684714317322,2,2,111.219970703125,16005.json,NotBuggy
3,0.6835407614707947,1,0,134.26058959960938,5747.json,NotBuggy
6,0.1267157942056656,1,5,113.05016326904297,72665.json,NotBuggy
3,0.299882709980011,1,2,129.47398376464844,48188.json,NotBuggy
4,0.26730719208717346,1,2,124.58238983154297,50196.json,NotBuggy
3,0.36939847469329834,1,1,132.61029052734375,29871.json,NotBuggy
3,0.01076597347855568,1,4,127.25540161132812,52563.json,NotBuggy
10,0.43409794569015503,2,1,106.13978576660156,75332.json,NotBuggy
6,0.5973484516143799,1,0,115.68412780761719,39530.json,NotBuggy
3,0.7736184000968933,1,0,131.9385528564453,77580.json,NotBuggy
4,0.9424726963043213,1,1,123.96263122558594,80364.json,NotBuggy
3,0.31300002336502075,1,0,133.59722900390625,2810.json,NotBuggy
3,3.0487947515212E-4,1,5,126.07360076904297,54010.json,NotBuggy
3,0.009714224375784397,1,4,127.25540161132812,47602.json,NotBuggy
8,0.3125336766242981,3,2,109.93348693847656,15403.json,NotBuggy
11,0.008556250482797623,3,4,102.67356872558594,38954.json,NotBuggy
4,0.960241436958313,1,1,123.75868225097656,37198.json,NotBuggy
3,0.30372628569602966,1,2,129.47398376464844,54243.json,NotBuggy
3,0.5862751603126526,1,0,130.34019470214844,36747.json,NotBuggy
5,0.1147158294916153,2,1,119.16963195800781,29353.json,NotBuggy
13,0.028176426887512207,2,6,99.02880859375,44784.json,NotBuggy
17,0.11661102622747421,3,3,94.48567199707031,72967.json,NotBuggy
20,4.4852052815258503E-4,3,6,88.08967590332031,21931.json,NotBuggy
3,0.5956166386604309,1,0,133.59722900390625,1843.json,NotBuggy
16,0.1454131007194519,3,9,93.79045104980469,45891.json,NotBuggy
4,0.6636725068092346,1,2,123.87862396240234,3815.json,NotBuggy
3,0.35077983140945435,1,3,128.8092498779297,53026.json,NotBuggy
3,0.002001573797315359,1,1,127.43789672851562,82602.json,NotBuggy
24,0.022840971127152443,4,13,84.48934173583984,3173.json,NotBuggy
159,0.0,34,66,35.577911376953125,70364.json,NotBuggy
3,0.408068984746933,1,1,130.18594360351562,5277.json,NotBuggy
5,0.7711461186408997,2,1,119.80731201171875,60962.json,NotBuggy
18,0.04452710598707199,4,6,91.51090240478516,37689.json,NotBuggy
9,0.2112232744693756,2,4,106.65968322753906,12309.json,NotBuggy
11,0.048049625009298325,2,5,102.92738342285156,4587.json,NotBuggy
24,0.009609613567590714,6,5,84.93115997314453,474.json,NotBuggy
3,0.8415566086769104,1,1,132.25152587890625,81869.json,NotBuggy
3,0.793246865272522,1,0,133.59722900390625,36359.json,NotBuggy
3,0.015568230301141739,1,1,129.14646911621094,82764.json,NotBuggy
4,0.13398867845535278,1,1,123.1068344116211,24799.json,NotBuggy
3,0.9743629693984985,1,0,131.1535186767578,72969.json,NotBuggy
4,0.6684280633926392,1,1,125.27178192138672,41433.json,NotBuggy
7,0.38401705026626587,3,3,111.95233917236328,24811.json,NotBuggy
3,0.6976962089538574,1,0,131.28770446777344,79781.json,NotBuggy
11,0.5080291628837585,2,6,102.80815124511719,81238.json,NotBuggy
3,0.5945990085601807,1,1,131.28770446777344,5352.json,NotBuggy
3,0.5602192878723145,1,1,130.99049377441406,15594.json,NotBuggy
5,0.4954775273799896,2,2,119.26190948486328,77948.json,NotBuggy
3,0.5726526379585266,1,1,131.28770446777344,30505.json,NotBuggy
2,0.5374945402145386,1,0,140.82913208007812,5916.json,NotBuggy
4,0.5934793949127197,1,2,124.91740417480469,43160.json,NotBuggy
4,0.9083948135375977,1,0,124.6862564086914,75049.json,NotBuggy
3,0.666678249835968,1,0,131.28770446777344,44204.json,NotBuggy
10,0.14548243582248688,4,2,102.73455047607422,18538.json,NotBuggy
3,0.2910623848438263,1,2,129.47398376464844,48185.json,NotBuggy
5,0.0024082702584564686,1,3,116.13842010498047,18965.json,NotBuggy
7,0.08005602657794952,2,3,110.50897216796875,71416.json,NotBuggy
9,0.03377458453178406,1,6,106.63188171386719,6394.json,NotBuggy
7,0.07316804677248001,2,5,110.09941101074219,38729.json,NotBuggy
4,0.9948960542678833,1,2,127.59107971191406,72315.json,NotBuggy
3,0.17652380466461182,1,1,130.57513427734375,62372.json,NotBuggy
3,0.20060136914253235,1,0,132.9956512451172,23870.json,NotBuggy
3,0.9428439140319824,1,0,131.9385528564453,82654.json,NotBuggy
3,0.0,1,4,127.25540161132812,49923.json,NotBuggy
3,0.745085597038269,1,2,131.28770446777344,27970.json,NotBuggy
15,0.00725324172526598,4,12,93.40325164794922,32781.json,NotBuggy
4,0.5748708844184875,1,2,124.6862564086914,52848.json,NotBuggy
5,3.335447108838707E-4,1,0,123.01233673095703,28773.json,NotBuggy
4,0.6636725068092346,1,2,123.87862396240234,3848.json,NotBuggy
3,0.6101151704788208,1,3,129.94700622558594,53675.json,NotBuggy
7,0.11188384145498276,2,1,112.53359985351562,33857.json,NotBuggy
3,0.3249865770339966,1,3,128.8092498779297,52873.json,NotBuggy
10,0.03445575386285782,2,6,101.9923324584961,4535.json,NotBuggy
3,0.03027922660112381,1,4,128.14134216308594,49453.json,NotBuggy
3,0.17788797616958618,1,3,128.712890625,56265.json,NotBuggy
4,0.7962334752082825,1,1,128.13519287109375,6177.json,NotBuggy
3,0.12853945791721344,1,2,129.2428436279297,54799.json,NotBuggy
4,0.6349444389343262,1,0,125.57588195800781,34035.json,NotBuggy
3,0.8353855013847351,1,0,133.59722900390625,28415.json,NotBuggy
9,0.033474572002887726,1,4,105.30944061279297,29904.json,NotBuggy
3,0.12364634871482849,1,2,129.2428436279297,49928.json,NotBuggy
3,0.2267899513244629,1,0,131.28770446777344,63787.json,NotBuggy
11,0.686119019985199,3,2,104.71832275390625,19690.json,NotBuggy
3,0.30017948150634766,1,3,128.8092498779297,47373.json,NotBuggy
4,0.5748708844184875,1,2,124.6862564086914,56227.json,NotBuggy
3,0.32327672839164734,1,3,128.8092498779297,52858.json,NotBuggy
3,0.7663178443908691,1,1,130.05470275878906,24383.json,NotBuggy
4,0.21171920001506805,1,1,123.47842407226562,78851.json,NotBuggy
1,0.0,1,2,147.8522186279297,21211.json,NotBuggy
10,0.04696817323565483,2,9,103.08283996582031,26190.json,NotBuggy
18,0.02387913502752781,5,3,89.07304382324219,15691.json,NotBuggy
3,0.7242304086685181,1,0,133.59722900390625,12836.json,NotBuggy
2,0.9554787874221802,1,0,142.4026641845703,81802.json,NotBuggy
3,0.36773449182510376,1,1,130.57513427734375,29840.json,NotBuggy
3,0.010228795930743217,1,4,127.25540161132812,56030.json,NotBuggy
7,0.7055408358573914,2,1,112.53359985351562,19018.json,NotBuggy
7,0.02878763899207115,2,3,112.46537017822266,66867.json,NotBuggy
3,0.12046266347169876,1,2,128.91311645507812,78089.json,NotBuggy
4,0.5748708844184875,1,2,124.58238983154297,55895.json,NotBuggy
3,0.3519657254219055,1,3,128.8092498779297,56864.json,NotBuggy
11,0.13733018934726715,4,3,101.92320251464844,60586.json,NotBuggy
15,6.797715905122459E-4,3,9,94.36238098144531,73693.json,NotBuggy
3,0.925599992275238,1,0,133.59722900390625,78894.json,NotBuggy
3,0.3519657254219055,1,3,128.8092498779297,56570.json,NotBuggy
15,0.020573806017637253,4,5,95.38957214355469,274.json,NotBuggy
3,0.20728538930416107,1,0,133.59722900390625,38212.json,NotBuggy
3,0.9439288377761841,1,0,132.9956512451172,73503.json,NotBuggy
4,0.578101396560669,1,0,125.64796447753906,9750.json,NotBuggy
10,0.010143029503524303,2,4,101.4930419921875,67954.json,NotBuggy
8,0.2059166133403778,2,1,109.1904296875,35484.json,NotBuggy
1,0.9998384118080139,1,0,148.65380859375,22468.json,NotBuggy
7,0.5342723727226257,2,1,112.39112091064453,79928.json,NotBuggy
3,0.2700131833553314,1,1,130.7338104248047,19360.json,NotBuggy
4,0.3844487965106964,1,2,124.58238983154297,54301.json,NotBuggy
35,0.0,4,22,74.99156951904297,10899.json,NotBuggy
3,0.9381090402603149,1,0,133.59722900390625,74979.json,NotBuggy
3,0.2787151038646698,1,2,129.47398376464844,54418.json,NotBuggy
1,0.9875651597976685,1,0,151.39474487304688,21413.json,NotBuggy
36,0.0,6,17,73.75464630126953,3599.json,NotBuggy
3,0.6107768416404724,2,2,127.90887451171875,27362.json,NotBuggy
3,0.5823192596435547,1,3,129.94700622558594,46695.json,NotBuggy
3,0.30017948150634766,1,3,128.8092498779297,50345.json,NotBuggy
10,9.499064763076603E-4,3,6,101.79476165771484,30597.json,NotBuggy
3,0.7494373917579651,1,0,132.4454345703125,260.json,NotBuggy
3,0.9643493294715881,1,0,133.59722900390625,77660.json,NotBuggy
14,0.03871225565671921,2,10,96.30619049072266,14296.json,NotBuggy
26,0.0021155718713998795,5,1,81.41473388671875,76196.json,NotBuggy
4,0.3531748950481415,1,2,124.58238983154297,53320.json,NotBuggy
6,0.8252024054527283,2,1,116.57478332519531,59800.json,NotBuggy
4,0.46666887402534485,2,1,121.67362213134766,66125.json,NotBuggy
3,0.1818818747997284,1,0,133.59722900390625,7920.json,NotBuggy
3,0.7185011506080627,1,0,131.28770446777344,73449.json,NotBuggy
3,0.19569149613380432,1,0,130.45266723632812,80459.json,NotBuggy
3,0.9176151156425476,1,0,132.9956512451172,6974.json,NotBuggy
10,0.5524817705154419,1,3,105.07778930664062,75797.json,NotBuggy
4,0.5803430676460266,1,0,125.57588195800781,31435.json,NotBuggy
3,0.0,1,4,127.25540161132812,48133.json,NotBuggy
3,0.2203282117843628,1,1,131.43582153320312,39097.json,NotBuggy
6,0.38756659626960754,2,1,114.35456085205078,5181.json,NotBuggy
16,0.24367718398571014,3,3,94.84263610839844,27694.json,NotBuggy
5,0.4683178961277008,1,3,118.0075454711914,73434.json,NotBuggy
4,0.7423660159111023,1,2,125.27178192138672,67091.json,NotBuggy
1,0.8697429895401001,1,0,148.37266540527344,21469.json,NotBuggy
