SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
3,0.21142295002937317,0.6911340570224815,0,0,0,1,1.89,0,1,19.0,130.45266723632812,0,1,0,0,0,21852.json,NotBuggy
3,0.476007878780365,0.8098159019224396,0,0,0,1,1.89,0,1,17.0,131.28770446777344,0,0,0,0,0,20823.json,NotBuggy
3,0.5555664300918579,0.7822362302226369,0,0,0,1,1.89,0,0,18.0,130.85629272460938,0,0,0,0,0,9640.json,NotBuggy
3,0.20306620001792908,0.6284165446948321,0,0,0,1,1.89,0,2,22.0,129.57785034179688,0,1,0,0,0,23917.json,NotBuggy
2,0.9488450884819031,0.9824055382210023,0,0,0,1,1.89,0,0,9.0,142.4026641845703,0,0,0,0,0,20080.json,Buggy
3,0.45973777770996094,0.9327778966685321,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,39296.json,NotBuggy
3,0.7176187634468079,0.8748553957939229,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,34508.json,NotBuggy
26,0.00625523691996932,7.295924373077981E-6,3,5,8,7,5.99,3,8,131.0,82.11035919189453,0,3,2,0,0,32082.json,NotBuggy
5,1.884735975181684E-4,0.004628680844207437,0,0,0,1,1.96,0,2,58.0,115.2137222290039,0,3,2,0,0,7760.json,NotBuggy
3,0.6866081357002258,0.9040247244313725,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,4953.json,NotBuggy
15,0.007448168937116861,9.352073848778744E-6,2,2,4,4,3.83,3,15,110.0,92.9408950805664,0,1,6,0,0,27723.json,NotBuggy
4,0.5001185536384583,0.7763476588216652,0,0,0,1,2.0,0,2,21.0,125.27178192138672,0,1,0,0,0,39257.json,NotBuggy
3,0.9195706844329834,0.7451915543193021,0,0,0,1,1.89,0,0,15.0,132.086669921875,0,0,0,0,0,6599.json,NotBuggy
5,0.7177274227142334,0.15681978431454133,0,0,0,1,1.96,0,4,39.0,117.66175079345703,0,1,2,0,0,10470.json,Buggy
3,0.9440113306045532,0.9667014658589871,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,37266.json,NotBuggy
3,0.7291566729545593,0.8689690869528491,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,16880.json,NotBuggy
3,0.940879762172699,0.9730821289410828,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,20426.json,NotBuggy
3,0.5855357646942139,0.7772957539099917,0,0,0,1,1.89,0,0,21.0,129.7158966064453,0,2,0,0,0,3678.json,NotBuggy
7,0.1268766075372696,0.26086928143995847,0,0,0,1,1.81,0,5,43.0,111.91390228271484,0,4,0,0,0,22852.json,NotBuggy
