SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
12,0.02254922315478325,4,6,97.94405364990234,10057.json,NotBuggy
3,0.7074722051620483,1,0,131.28770446777344,28873.json,NotBuggy
20,0.0012332770274952054,3,4,88.11459350585938,9065.json,NotBuggy
3,0.7698478698730469,1,0,132.4454345703125,27771.json,NotBuggy
3,0.0,1,1,123.9578857421875,22601.json,NotBuggy
14,0.0611199252307415,3,4,97.22820281982422,14871.json,NotBuggy
3,0.5150939226150513,1,0,132.4454345703125,8422.json,NotBuggy
3,0.36812031269073486,1,0,133.59722900390625,33327.json,NotBuggy
3,0.03509962186217308,1,2,127.50450134277344,14362.json,NotBuggy
3,0.9468249082565308,1,0,132.9956512451172,40749.json,NotBuggy
4,2.799463109113276E-4,1,1,122.05010986328125,6857.json,NotBuggy
3,0.6033800840377808,1,1,132.61029052734375,37656.json,NotBuggy
9,0.8089172840118408,2,3,108.53655242919922,8751.json,NotBuggy
27,0.0,3,21,80.36763000488281,39166.json,NotBuggy
15,0.04425970837473869,4,6,92.70136260986328,10461.json,NotBuggy
3,0.7212031483650208,1,1,132.25152587890625,38566.json,NotBuggy
4,0.0019585161935538054,1,5,123.19084167480469,4321.json,NotBuggy
3,0.8304350972175598,1,0,132.4454345703125,10148.json,NotBuggy
3,0.8658666610717773,1,0,131.46876525878906,34164.json,NotBuggy
6,0.48266056180000305,2,2,115.55754852294922,2730.json,NotBuggy
3,0.5903434753417969,1,1,132.25152587890625,14726.json,NotBuggy
3,0.3011641204357147,1,0,133.59722900390625,40174.json,NotBuggy
3,0.740273118019104,1,0,132.4454345703125,9743.json,NotBuggy
6,0.23068788647651672,2,2,114.63607025146484,28435.json,NotBuggy
5,0.43456539511680603,2,0,121.4268569946289,31906.json,NotBuggy
3,0.7372429370880127,1,0,133.59722900390625,9829.json,NotBuggy
3,0.5837186574935913,1,1,131.28770446777344,14934.json,NotBuggy
11,0.10350620746612549,2,7,102.04621887207031,8903.json,NotBuggy
5,0.003457827027887106,1,2,115.931396484375,18876.json,NotBuggy
3,0.5245535969734192,1,1,130.7338104248047,32619.json,NotBuggy
9,4.631222109310329E-4,1,1,104.21612548828125,7774.json,NotBuggy
3,0.016433900222182274,1,2,127.8512954711914,38297.json,NotBuggy
5,0.0188093651086092,2,3,118.51878356933594,7923.json,NotBuggy
5,0.0026441840454936028,1,1,118.2244644165039,33602.json,NotBuggy
4,0.0,1,3,122.4349365234375,33137.json,NotBuggy
3,0.5240015983581543,1,1,131.75106811523438,10108.json,NotBuggy
3,0.24806925654411316,1,0,129.57785034179688,12821.json,NotBuggy
5,0.9492204189300537,3,0,118.63019561767578,33045.json,NotBuggy
3,0.24510087072849274,1,1,130.18594360351562,14947.json,NotBuggy
20,0.008089127950370312,5,5,88.01296997070312,31891.json,NotBuggy
6,0.03214437514543533,2,2,114.03678894042969,8039.json,NotBuggy
29,0.03532929718494415,6,11,80.84530639648438,35379.json,NotBuggy
3,0.8543671369552612,1,0,133.59722900390625,76.json,NotBuggy
12,0.39989352226257324,4,1,101.70787811279297,28532.json,NotBuggy
8,0.0,1,0,105.5103759765625,6321.json,NotBuggy
7,0.0,1,3,107.24393463134766,40333.json,NotBuggy
3,0.21597477793693542,1,1,129.47398376464844,8574.json,NotBuggy
5,0.37906333804130554,2,2,120.0075454711914,9459.json,NotBuggy
43,0.0,10,14,71.28228759765625,39161.json,NotBuggy
14,0.017566891387104988,4,5,95.00859069824219,30959.json,NotBuggy
18,0.003498090896755457,4,10,89.41661834716797,27762.json,NotBuggy
6,0.6990492939949036,2,1,116.21601867675781,7725.json,NotBuggy
23,0.0,4,12,82.33485412597656,32697.json,NotBuggy
1,0.980230987071991,1,0,151.39474487304688,39811.json,NotBuggy
3,0.8403804898262024,1,0,133.59722900390625,38010.json,NotBuggy
3,0.7517504096031189,1,1,130.30841064453125,30784.json,NotBuggy
41,0.0,10,21,70.25257110595703,7044.json,NotBuggy
6,0.2083841860294342,1,3,112.49031829833984,33176.json,NotBuggy
3,0.04693550989031792,1,0,133.59722900390625,450.json,NotBuggy
8,0.1819143295288086,2,1,109.13702392578125,10049.json,NotBuggy
3,0.5042706727981567,1,0,129.14646911621094,39967.json,NotBuggy
4,0.5629433989524841,1,3,122.05648803710938,39684.json,NotBuggy
3,0.27920401096343994,1,0,133.59722900390625,10153.json,NotBuggy
3,0.43854036927223206,1,2,128.62307739257812,40086.json,NotBuggy
3,0.9106999635696411,1,0,132.4454345703125,2768.json,NotBuggy
12,0.11488263309001923,2,5,99.43125915527344,6395.json,NotBuggy
5,0.556595504283905,1,2,120.7502212524414,9732.json,NotBuggy
3,0.920715868473053,1,1,130.7338104248047,9137.json,NotBuggy
13,0.10964860022068024,4,4,98.12712860107422,6382.json,NotBuggy
10,0.006070592440664768,1,4,101.38373565673828,13966.json,Buggy
9,0.1467987298965454,3,3,107.05233764648438,9751.json,NotBuggy
8,0.09818202257156372,2,6,107.83899688720703,11578.json,NotBuggy
5,0.01536239217966795,1,1,118.6647720336914,31656.json,NotBuggy
3,0.7681697010993958,1,0,131.1535186767578,36493.json,NotBuggy
3,0.5700313448905945,1,0,132.4454345703125,2710.json,NotBuggy
7,0.24633991718292236,1,3,110.95415496826172,10042.json,NotBuggy
17,0.1259775459766388,4,8,91.1600570678711,27583.json,NotBuggy
13,0.0012673961464315653,3,6,96.365478515625,8570.json,NotBuggy
6,0.04308750852942467,1,4,114.6588134765625,33224.json,NotBuggy
3,0.6971036195755005,1,3,129.0215301513672,2447.json,NotBuggy
3,0.7629556059837341,2,1,129.01284790039062,12131.json,NotBuggy
44,0.0,7,30,68.06615447998047,7472.json,NotBuggy
3,0.6473701000213623,1,0,131.1535186767578,116.json,NotBuggy
3,0.29386818408966064,1,2,130.99049377441406,12474.json,Buggy
3,0.8246431350708008,1,0,132.4454345703125,11583.json,NotBuggy
