SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
8,0.005015731323510408,0.0039802557178004044,3,2,5,3,1.41,1,4,64.0,106.5818099975586,0,3,0,0,0,104.json,NotBuggy
3,0.3257022798061371,0.6600129713444679,0,0,0,1,0.94,0,2,21.0,129.81976318359375,0,1,0,0,0,2260.json,NotBuggy
46,0.0,8.967501765461842E-12,7,7,14,11,12.04,5,15,281.0,67.61479187011719,0,0,8,0,0,2810.json,NotBuggy
27,0.0,4.1372231487253146E-13,2,2,4,4,3.29,3,12,206.0,79.5721206665039,0,3,4,0,0,2294.json,NotBuggy
5,0.4678407907485962,0.5140389185198786,0,0,0,1,0.98,0,0,29.0,119.57592010498047,0,1,0,0,0,1843.json,NotBuggy
3,0.950273871421814,0.7314512745527656,0,0,0,1,1.0,0,0,19.0,130.34019470214844,0,1,0,0,0,2249.json,NotBuggy
4,0.4598338007926941,0.9431345021238144,0,0,0,1,1.73,0,1,15.0,127.42622375488281,0,0,0,0,0,922.json,NotBuggy
4,0.24182355403900146,0.510765712356931,0,0,0,1,1.0,0,1,25.0,123.87862396240234,0,1,0,0,0,2527.json,NotBuggy
3,0.13333909213542938,0.5028587621298043,0,0,0,1,1.89,0,0,24.0,128.7513427734375,0,1,0,0,0,26.json,NotBuggy
10,0.4615934193134308,0.49774302512598234,4,3,7,3,6.9,2,5,45.0,105.43936920166016,0,0,0,0,0,2812.json,NotBuggy
4,0.13384617865085602,0.4114533809607164,0,0,0,1,1.0,0,1,28.0,123.28931427001953,0,1,0,0,0,2253.json,NotBuggy
3,0.6491664052009583,0.8245366965006895,0,0,0,1,3.77,0,1,15.0,132.086669921875,0,0,0,0,0,1454.json,NotBuggy
4,0.07565971463918686,0.4014338185197775,0,0,0,1,1.0,0,1,27.0,123.39956665039062,0,1,0,0,0,1731.json,NotBuggy
3,0.667165219783783,0.876490504702133,0,0,0,1,0.94,0,0,17.0,131.28770446777344,0,1,0,0,0,2773.json,NotBuggy
3,0.4760749638080597,0.8908893946690806,0,0,0,1,0.94,0,1,13.0,133.18099975585938,0,0,0,0,0,2742.json,NotBuggy
3,0.4029526710510254,0.9203977619641034,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,858.json,NotBuggy
3,0.5182741284370422,0.8380948629692581,0,0,0,1,3.77,0,1,15.0,132.25152587890625,0,0,0,0,0,1747.json,NotBuggy
