SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
3,0.654025673866272,1,0,133.59722900390625,104.json,NotBuggy
3,0.5260826349258423,1,0,133.59722900390625,21746.json,NotBuggy
6,0.189106747508049,2,4,113.96991729736328,23917.json,NotBuggy
11,0.037794794887304306,3,3,101.10059356689453,2260.json,NotBuggy
3,0.29677724838256836,1,0,133.59722900390625,14843.json,NotBuggy
3,0.5435603260993958,1,0,133.59722900390625,7760.json,NotBuggy
4,0.25574344396591187,1,0,124.91740417480469,4953.json,NotBuggy
3,0.8831312656402588,1,0,133.59722900390625,13448.json,NotBuggy
3,0.4890746772289276,1,0,132.4454345703125,9801.json,NotBuggy
3,0.5204674601554871,1,2,130.99049377441406,6599.json,NotBuggy
3,0.6016161441802979,1,1,130.85629272460938,10470.json,NotBuggy
4,0.6725901365280151,1,0,128.936767578125,16880.json,NotBuggy
3,0.8513831496238708,1,0,133.59722900390625,17071.json,NotBuggy
4,0.8444754481315613,2,2,122.96084594726562,20426.json,NotBuggy
3,0.1537298560142517,1,2,131.1385955810547,17141.json,NotBuggy
3,0.4290115535259247,1,0,131.03103637695312,22852.json,NotBuggy
16,4.5713421422988176E-4,2,9,91.87138366699219,16005.json,NotBuggy
8,0.173176571726799,2,5,108.80433654785156,5747.json,NotBuggy
3,0.8273748159408569,1,0,131.28770446777344,17150.json,NotBuggy
19,0.04318520054221153,9,1,90.74292755126953,20560.json,NotBuggy
7,0.472714364528656,2,2,113.2991714477539,2810.json,NotBuggy
6,0.4848284125328064,3,1,113.16763305664062,15403.json,NotBuggy
3,0.0985480397939682,1,1,128.92515563964844,29353.json,NotBuggy
16,0.012754014693200588,4,13,93.32321166992188,1843.json,NotBuggy
35,0.0,7,35,73.05079650878906,2249.json,NotBuggy
3,0.7305947542190552,1,1,132.086669921875,3815.json,NotBuggy
3,0.25101739168167114,1,0,129.0215301513672,29594.json,NotBuggy
3,0.7808510661125183,2,1,129.4603271484375,12309.json,NotBuggy
4,0.32212308049201965,1,0,125.41301727294922,4587.json,NotBuggy
42,0.0018179273465648293,10,13,71.1529541015625,24799.json,NotBuggy
4,0.5548067092895508,1,2,125.39425659179688,5352.json,NotBuggy
14,0.18139304220676422,4,6,97.70198822021484,30505.json,NotBuggy
6,0.08956993371248245,2,0,117.25019073486328,5916.json,NotBuggy
1,0.14965951442718506,1,2,148.7880096435547,18538.json,NotBuggy
3,0.5499808192253113,1,1,130.99049377441406,18965.json,NotBuggy
3,0.8675531148910522,1,0,133.59722900390625,6394.json,NotBuggy
3,0.158576101064682,1,1,129.47398376464844,29478.json,NotBuggy
4,0.5204862356185913,1,1,125.5254898071289,23870.json,NotBuggy
3,0.22514688968658447,1,1,132.25152587890625,27970.json,NotBuggy
3,0.5009825229644775,1,0,131.28770446777344,12174.json,NotBuggy
3,0.800011157989502,1,0,133.59722900390625,3848.json,NotBuggy
3,0.8965228199958801,1,0,133.59722900390625,12067.json,NotBuggy
3,0.31745898723602295,1,0,133.59722900390625,6177.json,NotBuggy
3,0.8271123766899109,1,0,134.26058959960938,28920.json,NotBuggy
9,0.0013817580183967948,1,8,104.97371673583984,28415.json,NotBuggy
4,0.6638079285621643,1,0,125.64796447753906,29904.json,NotBuggy
3,0.9131861329078674,1,0,133.59722900390625,19690.json,NotBuggy
3,0.6259955763816833,1,0,132.4454345703125,13200.json,NotBuggy
3,0.537678062915802,1,0,131.28770446777344,25228.json,NotBuggy
