SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
3,0.2730526626110077,1,0,131.75106811523438,2260.json,NotBuggy
7,0.3061619699001312,2,0,112.68008422851562,6599.json,NotBuggy
3,0.8644483089447021,1,0,131.28770446777344,3678.json,NotBuggy
3,0.16412495076656342,1,0,130.30841064453125,2810.json,NotBuggy
4,0.6340047717094421,1,1,125.64796447753906,2294.json,NotBuggy
16,0.24569757282733917,6,8,93.62435913085938,3815.json,NotBuggy
3,0.2298726737499237,1,0,129.69032287597656,3173.json,NotBuggy
3,0.6426613926887512,1,0,133.59722900390625,474.json,NotBuggy
15,7.885851664468646E-4,1,15,93.52503967285156,6394.json,NotBuggy
3,0.9060086607933044,1,0,133.59722900390625,922.json,NotBuggy
4,0.013337771408259869,1,0,124.6862564086914,4535.json,NotBuggy
42,0.0,9,19,69.53547668457031,260.json,NotBuggy
3,0.3553406894207001,1,1,129.05665588378906,3511.json,NotBuggy
3,0.2892139256000519,1,0,129.2428436279297,2930.json,NotBuggy
15,0.0,3,11,91.04972839355469,2527.json,NotBuggy
24,9.590142290107906E-4,5,4,83.8655776977539,3466.json,NotBuggy
2,0.9101169109344482,1,0,140.82913208007812,3191.json,NotBuggy
3,0.03664866089820862,1,0,127.51214599609375,2812.json,NotBuggy
4,0.4215434193611145,1,0,123.67467498779297,3686.json,NotBuggy
3,0.013214454986155033,1,0,133.59722900390625,2546.json,NotBuggy
12,0.011581942439079285,2,9,100.12738037109375,5570.json,NotBuggy
5,0.3966011106967926,2,0,120.40774536132812,1475.json,NotBuggy
3,0.7284708023071289,1,1,130.85629272460938,4376.json,NotBuggy
9,0.3389783203601837,2,2,107.2193603515625,88.json,NotBuggy
5,0.06262592226266861,1,3,118.07197570800781,6292.json,NotBuggy
3,0.7932525873184204,1,0,133.59722900390625,858.json,NotBuggy
10,0.009651451371610165,3,2,104.37776947021484,469.json,NotBuggy
3,0.36332806944847107,1,1,131.43582153320312,3881.json,NotBuggy
8,0.07555550336837769,2,1,109.62400817871094,188.json,NotBuggy
3,0.2003680169582367,1,0,131.03103637695312,632.json,NotBuggy
3,0.39381423592567444,1,1,132.25152587890625,821.json,NotBuggy
20,0.015060246922075748,5,11,87.61071014404297,2297.json,NotBuggy
3,0.6018252372741699,1,1,132.79563903808594,1528.json,NotBuggy
6,0.7902657985687256,2,2,116.30582427978516,154.json,NotBuggy
12,0.011581942439079285,2,9,100.12738037109375,4685.json,NotBuggy
8,0.00454449700191617,2,2,108.52569580078125,129.json,NotBuggy
3,0.9413757920265198,1,0,133.59722900390625,2739.json,NotBuggy
14,0.04078409820795059,3,4,97.31181335449219,908.json,NotBuggy
6,0.5711170434951782,2,3,116.7638931274414,3846.json,NotBuggy
3,0.945729672908783,1,0,133.59722900390625,855.json,NotBuggy
3,0.032816626131534576,1,0,127.51214599609375,3045.json,NotBuggy
4,0.5081188082695007,1,2,125.78216552734375,1423.json,NotBuggy
3,0.12530003488063812,1,0,129.37762451171875,3127.json,NotBuggy
3,0.19431887567043304,1,1,132.25152587890625,898.json,NotBuggy
3,0.6294942498207092,1,0,131.03103637695312,6617.json,NotBuggy
7,0.07254446297883987,2,2,111.3503189086914,574.json,NotBuggy
10,0.0022695092484354973,3,8,100.97367095947266,1075.json,NotBuggy
3,0.3560681939125061,1,0,133.59722900390625,629.json,NotBuggy
8,0.12983538210391998,2,2,109.89676666259766,3711.json,NotBuggy
3,0.28779056668281555,1,0,129.1480712890625,3729.json,NotBuggy
11,0.03231202811002731,2,2,100.12142181396484,3793.json,NotBuggy
3,0.3755119740962982,1,3,128.22288513183594,5769.json,NotBuggy
3,0.5197023153305054,1,1,132.61029052734375,1402.json,NotBuggy
6,0.0065094600431621075,2,3,111.94122314453125,884.json,NotBuggy
6,0.007310948334634304,2,3,111.94122314453125,885.json,NotBuggy
3,0.5324433445930481,1,0,133.59722900390625,681.json,NotBuggy
3,0.1490258127450943,1,0,130.30841064453125,2850.json,NotBuggy
14,0.012593677267432213,2,3,97.22705078125,3537.json,NotBuggy
3,0.6041299104690552,1,1,131.28770446777344,3661.json,NotBuggy
13,0.008465933613479137,1,16,97.23326110839844,5776.json,NotBuggy
3,0.7567108273506165,1,1,130.45266723632812,5713.json,NotBuggy
3,0.13148163259029388,1,0,129.37762451171875,3121.json,NotBuggy
7,0.16131316125392914,3,5,109.96328735351562,572.json,NotBuggy
3,0.3280736804008484,1,1,132.25152587890625,754.json,NotBuggy
2,0.9718604683876038,1,0,142.4026641845703,3559.json,NotBuggy
6,0.1417706459760666,1,2,115.11836242675781,6562.json,NotBuggy
15,0.4186630845069885,4,4,95.4593734741211,3823.json,NotBuggy
3,0.6287928819656372,1,0,131.9385528564453,319.json,NotBuggy
3,0.6251868605613708,1,0,132.43687438964844,3255.json,NotBuggy
5,0.8430169224739075,2,1,117.3687744140625,925.json,NotBuggy
6,0.031777892261743546,1,2,113.3419189453125,2906.json,NotBuggy
12,0.572581946849823,5,0,101.40898132324219,3821.json,NotBuggy
20,0.0025313678197562695,4,11,87.5444107055664,1805.json,NotBuggy
4,0.41971057653427124,1,1,123.96263122558594,1469.json,NotBuggy
3,0.7132600545883179,1,0,131.1535186767578,7043.json,NotBuggy
3,0.6827034950256348,1,1,132.25152587890625,3395.json,NotBuggy
34,0.0,9,10,75.14753723144531,370.json,NotBuggy
8,0.7377426624298096,2,1,111.1359634399414,6507.json,NotBuggy
3,0.032816626131534576,1,0,127.51214599609375,2971.json,NotBuggy
3,0.03471529856324196,1,0,133.59722900390625,969.json,NotBuggy
4,0.546146035194397,1,3,122.68119049072266,6266.json,NotBuggy
4,0.21460963785648346,1,0,125.64796447753906,651.json,NotBuggy
3,0.1340564340353012,1,0,128.1388702392578,3149.json,NotBuggy
3,0.648614227771759,1,0,133.59722900390625,876.json,NotBuggy
3,0.0290265753865242,1,0,127.61418151855469,2816.json,NotBuggy
7,0.08214537054300308,1,1,114.12506866455078,5852.json,NotBuggy
3,0.6438423991203308,1,0,133.59722900390625,680.json,NotBuggy
13,0.02259330078959465,3,2,97.7942123413086,2785.json,NotBuggy
9,0.26101183891296387,3,3,106.8211898803711,549.json,NotBuggy
3,0.5702248811721802,1,0,131.03103637695312,6509.json,NotBuggy
3,0.7344842553138733,1,0,130.07347106933594,3453.json,NotBuggy
3,0.7496599555015564,1,0,133.59722900390625,387.json,NotBuggy
3,0.7215040326118469,1,0,133.59722900390625,1051.json,NotBuggy
6,0.012962649576365948,1,2,113.448486328125,3055.json,NotBuggy
3,0.6622630953788757,1,1,132.086669921875,1813.json,NotBuggy
3,0.9213776588439941,1,0,133.59722900390625,4430.json,NotBuggy
22,0.15289461612701416,8,0,85.7179183959961,3901.json,NotBuggy
3,0.8463807106018066,1,0,133.59722900390625,248.json,NotBuggy
3,0.14690442383289337,1,0,128.1388702392578,2801.json,NotBuggy
3,0.0,1,1,127.25540161132812,120.json,NotBuggy
2,0.9259909391403198,1,0,137.7220458984375,1127.json,NotBuggy
3,0.4479394257068634,1,0,131.03103637695312,3129.json,NotBuggy
6,0.44915929436683655,2,0,117.36266326904297,1893.json,NotBuggy
3,0.7113732099533081,1,1,131.28770446777344,4344.json,NotBuggy
4,0.39858630299568176,1,1,124.4649429321289,2481.json,NotBuggy
13,0.25543689727783203,3,1,100.04100036621094,44.json,NotBuggy
3,0.47088560461997986,1,1,129.7158966064453,4367.json,NotBuggy
19,0.04148290678858757,3,2,91.28010559082031,2566.json,NotBuggy
19,0.015871835872530937,6,10,87.98666381835938,553.json,NotBuggy
5,0.09266842156648636,2,3,117.30009460449219,481.json,NotBuggy
3,0.07694466412067413,1,0,129.14646911621094,3929.json,NotBuggy
3,0.5526012182235718,1,1,131.43582153320312,6757.json,NotBuggy
3,0.9396759271621704,1,0,131.28770446777344,3765.json,NotBuggy
3,0.4232524335384369,1,0,131.28770446777344,2321.json,NotBuggy
3,0.970715343952179,1,0,129.7158966064453,6522.json,NotBuggy
2,0.9212726354598999,1,0,142.4026641845703,3296.json,NotBuggy
3,0.3257935643196106,1,1,132.25152587890625,827.json,NotBuggy
3,0.7402260899543762,1,0,131.75106811523438,2257.json,NotBuggy
2,0.787525475025177,1,0,140.82913208007812,3190.json,NotBuggy
3,0.42924273014068604,1,2,129.34671020507812,5903.json,NotBuggy
3,0.44252026081085205,1,0,133.59722900390625,1431.json,NotBuggy
4,0.4677131474018097,1,1,124.48601531982422,2809.json,NotBuggy
6,0.630500078201294,1,5,114.57649230957031,3485.json,NotBuggy
3,0.7749645113945007,1,1,130.45266723632812,485.json,NotBuggy
3,0.006762273143976927,1,0,128.4090576171875,2869.json,NotBuggy
4,0.9857262969017029,1,1,124.361083984375,3257.json,NotBuggy
3,0.4952312707901001,1,1,131.28770446777344,3587.json,NotBuggy
3,0.9522477388381958,1,0,132.9956512451172,3849.json,NotBuggy
6,0.7007828950881958,2,1,117.25019073486328,124.json,NotBuggy
6,0.2478337436914444,2,2,116.3923110961914,2523.json,NotBuggy
4,0.5855751037597656,1,0,125.64796447753906,2344.json,NotBuggy
49,0.0,13,4,66.65813446044922,3872.json,NotBuggy
8,0.301199734210968,3,2,110.7645263671875,6370.json,NotBuggy
10,0.5188672542572021,5,3,101.70773315429688,3871.json,NotBuggy
6,0.2917852997779846,1,3,113.78675079345703,6267.json,NotBuggy
3,0.9695464968681335,1,0,129.7158966064453,6518.json,NotBuggy
3,0.11356479674577713,1,1,129.9696044921875,716.json,NotBuggy
3,0.215644970536232,1,0,131.1535186767578,6719.json,NotBuggy
5,0.7370161414146423,2,1,120.96861267089844,47.json,NotBuggy
36,0.0,8,13,72.96427154541016,2569.json,NotBuggy
4,0.14844831824302673,1,1,123.75868225097656,2903.json,NotBuggy
3,0.7582662105560303,1,0,132.4454345703125,1315.json,NotBuggy
4,0.3632568120956421,1,0,125.02987670898438,2579.json,NotBuggy
3,0.14083732664585114,1,0,128.1388702392578,2803.json,NotBuggy
11,0.11171305924654007,3,4,102.54724884033203,3639.json,NotBuggy
3,0.9479117393493652,1,0,130.45266723632812,5406.json,NotBuggy
3,0.07690571993589401,1,0,133.59722900390625,972.json,NotBuggy
9,0.054471809417009354,2,5,105.31909942626953,7055.json,NotBuggy
3,0.5548505187034607,1,1,131.28770446777344,3660.json,NotBuggy
3,0.7225122451782227,1,1,130.99049377441406,2849.json,NotBuggy
4,0.6639098525047302,2,1,123.05065155029297,65.json,NotBuggy
3,0.31228384375572205,1,1,132.61029052734375,4530.json,NotBuggy
3,0.7204355597496033,1,0,133.59722900390625,250.json,NotBuggy
3,2.3847339616622776E-4,1,1,128.50894165039062,4485.json,NotBuggy
3,0.6032906770706177,1,0,131.75106811523438,2258.json,NotBuggy
9,0.8191211819648743,3,2,108.01972198486328,6413.json,NotBuggy
3,0.34295836091041565,1,0,133.59722900390625,1028.json,NotBuggy
11,0.310554563999176,3,2,104.54227447509766,449.json,NotBuggy
12,0.5797914266586304,5,0,101.40898132324219,3822.json,NotBuggy
3,0.04102272912859917,1,1,132.25152587890625,3650.json,NotBuggy
3,5.123833543621004E-4,1,0,127.8512954711914,2503.json,NotBuggy
27,0.0,6,16,79.59341430664062,1934.json,NotBuggy
5,0.6079922914505005,1,2,119.06403350830078,6268.json,NotBuggy
3,0.0013906245585530996,1,1,132.25152587890625,899.json,NotBuggy
17,0.019252251833677292,5,6,90.57546997070312,5907.json,NotBuggy
4,0.11701648682355881,1,1,124.91740417480469,3051.json,NotBuggy
3,0.5042181611061096,1,1,130.45266723632812,5622.json,NotBuggy
3,0.006762273143976927,1,0,128.4090576171875,3019.json,NotBuggy
8,0.18558180332183838,2,2,110.9759521484375,3487.json,NotBuggy
8,0.03625936061143875,2,2,108.63074493408203,1054.json,NotBuggy
6,0.4969044029712677,2,1,117.25019073486328,6763.json,NotBuggy
4,0.16565918922424316,1,1,123.1068344116211,2273.json,NotBuggy
3,0.9575949907302856,1,0,130.99049377441406,4347.json,NotBuggy
3,0.3791051506996155,1,1,130.70933532714844,6765.json,NotBuggy
5,0.2745371162891388,2,2,120.09993743896484,2489.json,NotBuggy
12,0.011581942439079285,2,9,100.12738037109375,5603.json,NotBuggy
3,0.16714103519916534,1,1,132.25152587890625,828.json,NotBuggy
4,0.17019657790660858,1,1,125.41301727294922,3007.json,NotBuggy
7,0.15991556644439697,1,4,111.58363342285156,327.json,NotBuggy
18,0.0010274738306179643,4,9,89.04100036621094,1064.json,NotBuggy
7,0.046797070652246475,2,3,110.72124481201172,2054.json,NotBuggy
4,0.5452949404716492,1,2,123.8484878540039,1135.json,NotBuggy
3,0.06247462332248688,1,0,128.712890625,2984.json,NotBuggy
3,0.3236904442310333,1,1,132.25152587890625,6800.json,NotBuggy
3,0.8945236206054688,1,0,132.086669921875,1129.json,NotBuggy
3,0.591988205909729,1,0,133.59722900390625,495.json,NotBuggy
3,0.6881976127624512,1,0,133.59722900390625,1488.json,NotBuggy
3,0.17989929020404816,1,0,130.07347106933594,1390.json,Buggy
3,0.3079225420951843,1,1,130.18594360351562,1222.json,NotBuggy
3,0.001352827181108296,1,1,127.42049407958984,71.json,NotBuggy
4,0.34853434562683105,1,1,125.02987670898438,463.json,NotBuggy
3,0.8237608671188354,1,0,132.4454345703125,620.json,NotBuggy
3,0.8200416564941406,1,2,129.34671020507812,4386.json,NotBuggy
3,0.09697025269269943,1,0,129.14646911621094,1336.json,NotBuggy
3,0.7183224558830261,1,0,132.4454345703125,2061.json,NotBuggy
3,0.2310812622308731,1,0,129.57785034179688,2502.json,NotBuggy
17,0.11982344090938568,3,6,93.54595947265625,6247.json,NotBuggy
3,0.06247462332248688,1,0,128.712890625,2855.json,NotBuggy
3,0.6552806496620178,1,1,132.25152587890625,1890.json,NotBuggy
23,3.02313914289698E-4,4,14,84.4638671875,2354.json,NotBuggy
3,0.5564314723014832,1,0,130.85629272460938,2430.json,NotBuggy
3,0.7583037614822388,1,3,128.712890625,2303.json,NotBuggy
3,0.9781249761581421,1,0,130.30841064453125,1298.json,NotBuggy
4,0.6644870042800903,1,0,125.64796447753906,2342.json,NotBuggy
3,0.6744675636291504,1,0,132.4454345703125,1320.json,NotBuggy
3,0.10463250428438187,1,1,128.22288513183594,3125.json,NotBuggy
3,0.3952855169773102,1,0,130.99049377441406,2917.json,NotBuggy
3,0.36739012598991394,1,1,132.79563903808594,6795.json,NotBuggy
18,0.0031662278342992067,2,8,89.62290954589844,6286.json,NotBuggy
4,0.2882251739501953,1,3,123.55950164794922,6553.json,NotBuggy
3,0.9369255900382996,1,0,131.28770446777344,5861.json,NotBuggy
3,0.006762273143976927,1,0,128.4090576171875,2912.json,NotBuggy
3,0.3079225420951843,1,1,130.18594360351562,1231.json,NotBuggy
17,0.0689176470041275,3,4,92.79893493652344,1093.json,NotBuggy
4,0.26534754037857056,1,3,122.05010986328125,6249.json,NotBuggy
5,0.14946728944778442,1,2,119.15383911132812,2563.json,NotBuggy
3,0.863433837890625,1,0,130.57513427734375,6632.json,NotBuggy
3,0.032816626131534576,1,0,127.51214599609375,2885.json,NotBuggy
3,0.970715343952179,1,0,129.7158966064453,6519.json,NotBuggy
3,0.17750714719295502,1,2,128.1235809326172,6261.json,NotBuggy
7,0.30157825350761414,2,3,112.91719818115234,2056.json,NotBuggy
3,0.2892139256000519,1,0,129.2428436279297,2798.json,NotBuggy
3,0.02525867521762848,1,2,128.50894165039062,783.json,NotBuggy
7,0.10296168178319931,1,4,111.76954650878906,3463.json,NotBuggy
7,0.37156420946121216,1,6,109.67398071289062,6244.json,NotBuggy
3,0.006762273143976927,1,0,128.4090576171875,3036.json,NotBuggy
3,0.9345464110374451,1,0,133.59722900390625,4314.json,NotBuggy
9,4.4368673115968704E-4,1,11,126.8058853149414,6275.json,NotBuggy
3,0.7973781824111938,1,1,132.25152587890625,1589.json,NotBuggy
3,0.006762273143976927,1,0,128.4090576171875,2996.json,NotBuggy
3,0.21848562359809875,1,0,131.28770446777344,1979.json,NotBuggy
3,0.6949987411499023,1,0,131.03103637695312,6633.json,NotBuggy
8,0.3106366991996765,2,4,107.00761413574219,3885.json,NotBuggy
10,0.17752400040626526,2,4,104.33064270019531,134.json,NotBuggy
3,0.24599289894104004,1,0,131.9385528564453,405.json,NotBuggy
3,0.10256882011890411,1,0,129.37762451171875,3107.json,NotBuggy
3,0.7580453753471375,1,1,130.99049377441406,6797.json,NotBuggy
3,0.04527561739087105,1,1,127.76480865478516,6257.json,NotBuggy
10,0.695561408996582,2,2,106.41349029541016,6411.json,NotBuggy
8,0.20632018148899078,2,1,111.47486877441406,4325.json,NotBuggy
3,0.2612670063972473,1,0,133.59722900390625,845.json,NotBuggy
3,0.13189652562141418,1,1,132.25152587890625,760.json,NotBuggy
4,0.019492531195282936,1,2,122.678955078125,6598.json,NotBuggy
3,0.8690212965011597,1,0,133.59722900390625,3294.json,NotBuggy
3,0.9355917572975159,1,0,133.59722900390625,1232.json,NotBuggy
6,0.006678915582597256,1,2,113.84972381591797,3057.json,NotBuggy
3,0.2363944947719574,1,0,129.69032287597656,2986.json,NotBuggy
3,0.006762273143976927,1,0,128.4090576171875,3062.json,NotBuggy
3,0.06684560328722,1,0,129.12539672851562,3060.json,NotBuggy
6,0.10678890347480774,1,3,114.6588134765625,2282.json,NotBuggy
4,0.8662425875663757,1,1,125.79222106933594,1426.json,NotBuggy
3,0.6596364378929138,1,0,132.4454345703125,58.json,NotBuggy
8,0.0021361992694437504,2,5,105.85924530029297,1084.json,NotBuggy
3,0.97633957862854,1,0,129.7158966064453,6524.json,NotBuggy
4,0.2714623808860779,1,0,125.64796447753906,6568.json,NotBuggy
10,0.5293896794319153,2,4,103.93721771240234,529.json,NotBuggy
3,0.45683732628822327,1,0,131.28770446777344,2358.json,NotBuggy
3,0.5124215483665466,1,0,132.4454345703125,4334.json,NotBuggy
3,0.9380372762680054,1,0,133.59722900390625,1246.json,NotBuggy
7,0.37550151348114014,2,2,112.11737823486328,6462.json,NotBuggy
8,0.12654970586299896,3,6,106.70967102050781,5877.json,NotBuggy
6,0.13602182269096375,2,2,115.33042907714844,7037.json,NotBuggy
3,0.8237608671188354,1,0,132.4454345703125,638.json,NotBuggy
2,0.05386374890804291,1,0,142.4026641845703,296.json,NotBuggy
5,0.24145236611366272,1,2,121.07132720947266,5854.json,NotBuggy
3,0.039961691945791245,1,0,129.37762451171875,2051.json,NotBuggy
6,0.4034801125526428,1,1,117.37632751464844,1417.json,NotBuggy
3,0.46463286876678467,1,1,130.7338104248047,4335.json,NotBuggy
13,0.49571412801742554,3,2,100.81858825683594,2044.json,NotBuggy
