SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
3,0.649228036403656,0.9455885186960388,0,0,0,1,1.89,0,1,14.0,132.61029052734375,0,0,0,0,0,104.json,NotBuggy
3,0.45002979040145874,0.9443765402372107,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,761.json,NotBuggy
3,0.8279268145561218,0.8809936006434955,0,0,0,1,1.89,0,1,16.0,131.60296630859375,0,0,0,0,0,6599.json,NotBuggy
6,0.20424744486808777,0.31980202512899664,0,0,0,1,1.89,0,3,42.0,114.78617095947266,0,0,1,0,0,5747.json,NotBuggy
3,0.18117117881774902,0.7220312036304326,0,0,0,1,1.89,0,1,22.0,129.69032287597656,0,2,0,0,0,2294.json,NotBuggy
3,0.7820066809654236,0.7989837340938787,0,0,0,1,1.89,0,0,20.0,130.07347106933594,0,2,0,0,0,1843.json,NotBuggy
3,0.18480709195137024,0.7354384247135362,0,0,0,1,1.89,0,1,22.0,129.69032287597656,0,2,0,0,0,2249.json,NotBuggy
3,0.28269803524017334,0.9060543257817707,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,3815.json,NotBuggy
3,0.3541962504386902,0.7894564386759154,0,0,0,1,1.89,0,1,18.0,130.7338104248047,0,0,0,0,0,3173.json,NotBuggy
3,0.1550312340259552,0.721418822054432,0,0,0,1,1.89,0,0,24.0,129.2378692626953,0,2,0,0,0,4587.json,NotBuggy
3,0.9876028895378113,0.8866277831692635,0,0,0,1,1.89,0,0,15.0,132.086669921875,0,0,0,0,0,5352.json,NotBuggy
15,0.005503632593899965,3.6556968821604204E-4,2,3,5,4,3.52,1,9,100.0,93.80345153808594,0,2,2,0,0,922.json,NotBuggy
3,0.7319387197494507,0.9313289576594986,0,0,0,1,1.89,0,0,14.0,132.61029052734375,0,0,0,0,0,3848.json,NotBuggy
3,0.3691707253456116,0.6851791283278573,0,0,0,1,1.89,0,1,20.0,130.07347106933594,0,1,0,0,0,4535.json,NotBuggy
3,0.6987584233283997,0.8029226652717406,0,0,0,1,1.89,0,0,17.0,131.28770446777344,0,1,0,0,0,6177.json,NotBuggy
5,9.414184023626149E-4,0.008190165227415095,0,0,0,1,1.96,0,4,55.0,115.69420623779297,0,4,2,0,0,274.json,NotBuggy
3,0.6966673135757446,0.9465439743910953,0,0,0,1,1.89,0,0,14.0,132.61029052734375,0,0,0,0,0,3599.json,NotBuggy
3,0.7016756534576416,0.9535885073918051,0,0,0,1,1.89,0,1,15.0,132.25152587890625,0,0,0,0,0,260.json,NotBuggy
3,0.005118012893944979,0.4922307735849459,0,0,0,1,1.89,0,1,28.0,128.1235809326172,0,2,0,0,0,3511.json,NotBuggy
3,0.005118012893944979,0.4922307735849459,0,0,0,1,1.89,0,1,28.0,128.1235809326172,0,2,0,0,0,3985.json,NotBuggy
