SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
4,0.6933075785636902,0.9432871778390278,0,0,0,1,1.5,0,0,20.0,125.64796447753906,0,1,0,0,0,9640.json,NotBuggy
6,5.375576438382268E-4,0.07976138388798201,0,0,0,1,1.41,0,4,44.0,114.08087921142578,0,1,0,0,0,23917.json,NotBuggy
4,0.6363412737846375,0.8292349902400846,0,0,0,1,1.5,0,1,21.0,125.27178192138672,0,1,0,0,0,761.json,NotBuggy
4,0.845005214214325,0.5695943170896444,1,1,2,2,1.5,0,5,28.0,123.23312377929688,0,0,0,0,0,20080.json,NotBuggy
5,0.03033890388906002,0.07902440987664144,2,1,3,2,2.24,1,2,41.0,116.99176788330078,0,4,0,0,0,2260.json,NotBuggy
4,0.4230302572250366,0.8888379028103058,0,0,0,1,1.5,0,0,20.0,125.64796447753906,0,1,0,0,0,14843.json,NotBuggy
4,0.47951486706733704,0.89399568097974,0,0,0,1,1.5,0,0,20.0,125.64796447753906,0,1,0,0,0,13448.json,NotBuggy
3,0.3597126305103302,0.4277774016077594,0,0,0,1,1.41,0,0,25.0,128.62307739257812,0,3,0,0,0,7289.json,NotBuggy
3,0.025194833055138588,0.2985041640472965,0,0,0,1,1.41,0,2,32.0,127.33940887451172,0,2,0,0,0,27723.json,NotBuggy
3,0.6911267042160034,0.8445302378795444,0,0,0,1,1.41,0,0,18.0,130.99049377441406,0,0,0,0,0,10470.json,NotBuggy
3,0.9553680419921875,0.7705972808296083,0,0,0,1,1.41,0,0,17.0,131.28770446777344,0,0,0,0,0,16880.json,NotBuggy
3,0.7019529342651367,0.9206096840166154,0,0,0,1,1.41,0,2,16.0,131.91592407226562,0,0,0,0,0,17141.json,NotBuggy
4,0.612019419670105,0.6038013867532163,0,0,0,1,1.5,0,1,27.0,123.85247039794922,0,1,1,0,0,16005.json,NotBuggy
3,0.8041414618492126,0.9460193383326249,0,0,0,1,1.41,0,0,12.0,133.59722900390625,0,0,0,0,0,5747.json,NotBuggy
3,0.01772361807525158,0.8370307372545687,0,0,0,1,1.41,0,1,19.0,130.85745239257812,0,0,0,0,0,17150.json,NotBuggy
15,0.0,2.6589582031699064E-13,10,10,20,11,1.02,0,9,217.0,88.08126068115234,0,0,2,0,0,13847.json,NotBuggy
3,0.6549341678619385,0.8346674343008506,0,0,0,1,1.41,0,2,17.0,131.28770446777344,0,0,0,0,0,2294.json,NotBuggy
9,0.30492159724235535,0.23858233749445565,0,0,0,2,2.36,1,4,46.0,106.87126159667969,0,1,1,0,0,15403.json,NotBuggy
3,0.01005786657333374,0.6310087058532081,0,0,0,1,1.41,0,1,22.0,129.57785034179688,0,0,0,0,0,5277.json,NotBuggy
3,0.19496245682239532,0.5830221572171934,0,0,0,1,1.41,0,2,24.0,129.2378692626953,0,1,0,0,0,12309.json,NotBuggy
10,0.011664516292512417,0.002955479119289667,0,0,0,3,2.7,2,7,72.0,102.35441589355469,0,1,4,0,0,4587.json,NotBuggy
6,0.006068678107112646,0.0011713871584670085,0,0,0,1,1.41,0,4,66.0,111.54225158691406,0,2,3,0,0,474.json,NotBuggy
3,0.8613207936286926,0.9672131310315698,0,0,0,1,1.41,0,0,12.0,133.59722900390625,0,0,0,0,0,5352.json,NotBuggy
4,0.6535928249359131,0.6791070852992125,0,0,0,1,1.5,0,1,27.0,123.85247039794922,0,1,1,0,0,15594.json,NotBuggy
4,0.08672352880239487,0.6841295624475565,0,0,0,1,1.5,0,1,23.0,124.48601531982422,0,1,0,0,0,5916.json,Buggy
4,0.4568827450275421,0.8968236216704462,0,0,0,1,1.5,0,0,20.0,125.64796447753906,0,1,0,0,0,18965.json,NotBuggy
3,0.758818507194519,0.9051166637257316,0,0,0,1,1.89,0,1,17.0,131.28770446777344,0,1,0,0,0,8517.json,NotBuggy
7,0.17935582995414734,0.1332505235538159,0,0,0,2,2.27,1,3,40.0,111.72637939453125,0,1,0,0,0,13704.json,NotBuggy
4,0.0021528895013034344,0.035028896275309494,0,0,0,1,1.5,0,6,45.0,120.59892272949219,0,1,1,0,0,4535.json,NotBuggy
3,0.007896238937973976,0.1766750496835501,0,0,0,1,1.41,0,3,29.0,127.68843078613281,0,1,0,0,0,6177.json,NotBuggy
4,0.3815121054649353,0.8282462907303313,0,0,0,1,1.5,0,1,24.0,124.4649429321289,0,1,0,0,0,19690.json,NotBuggy
3,0.8357557654380798,0.9199868163879557,0,0,0,1,1.41,0,0,14.0,132.4454345703125,0,0,0,0,0,13200.json,NotBuggy
4,0.6314100623130798,0.6800556956044135,0,0,0,1,1.5,0,1,27.0,123.85247039794922,0,1,1,0,0,15691.json,NotBuggy
3,0.1559181958436966,0.8191302866170614,0,0,0,1,1.41,0,0,20.0,130.30841064453125,0,0,0,0,0,12836.json,NotBuggy
3,0.3096684515476227,0.6094549399105123,0,0,0,1,1.89,0,1,21.0,129.7158966064453,0,1,0,0,0,26916.json,NotBuggy
13,0.0,3.1873185923614216E-7,3,3,6,4,3.03,0,11,131.0,94.6339340209961,0,1,1,0,0,9750.json,NotBuggy
7,0.0482596792280674,0.006720367060229914,0,0,0,2,2.12,1,8,63.0,109.10287475585938,1,0,2,0,0,19360.json,NotBuggy
3,0.006424952298402786,0.40975440724305934,0,0,0,1,1.41,0,0,29.0,127.94110107421875,0,3,0,0,0,260.json,NotBuggy
18,0.4365594685077667,0.0031505660185713047,0,0,0,1,1.95,0,0,98.0,91.83281707763672,0,0,0,0,0,14296.json,NotBuggy
4,0.5190767645835876,0.6010395788981705,0,0,0,1,1.5,0,1,27.0,123.85247039794922,0,1,1,0,0,15933.json,NotBuggy
9,0.012453045696020126,0.00290038331538467,0,0,0,1,3.2,1,3,68.0,104.8184814453125,0,1,1,0,0,5181.json,NotBuggy
3,0.8278688192367554,0.8793834543133521,0,0,0,1,1.41,0,0,16.0,131.75106811523438,0,0,0,0,0,27694.json,NotBuggy
4,0.08280185610055923,0.22066503959815684,0,0,0,1,1.5,0,2,32.0,122.5160903930664,0,1,0,0,0,15918.json,NotBuggy
4,0.9081739783287048,0.7227272343543707,0,0,0,1,2.49,0,0,26.0,123.94486236572266,0,2,0,0,0,3985.json,NotBuggy
3,0.034039583057165146,0.5330249117010291,0,0,0,1,1.41,0,2,27.0,128.31268310546875,0,1,0,0,0,22191.json,NotBuggy
3,0.009618930518627167,0.6393301385803158,0,0,0,1,1.41,0,1,22.0,129.57785034179688,0,0,0,0,0,17016.json,NotBuggy
7,0.0017119579715654254,9.056383035695764E-5,0,0,0,1,2.78,0,12,78.0,107.82949829101562,0,2,2,0,0,25468.json,NotBuggy
