SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
4,0.746491551399231,1,0,126.19583892822266,104.json,NotBuggy
29,0.0010109939612448215,5,15,80.30010223388672,9640.json,NotBuggy
4,0.2309723198413849,1,0,127.42622375488281,2260.json,NotBuggy
7,0.6529102325439453,2,1,114.35646057128906,4953.json,NotBuggy
5,0.45848485827445984,1,2,122.74693298339844,13448.json,NotBuggy
9,0.8414660096168518,2,2,108.84590148925781,9801.json,NotBuggy
4,0.7371699213981628,1,0,128.936767578125,10470.json,NotBuggy
6,0.9286176562309265,2,0,117.25389862060547,2810.json,NotBuggy
4,0.37188589572906494,1,0,128.936767578125,2294.json,NotBuggy
27,0.03732345253229141,4,7,82.12770080566406,2249.json,NotBuggy
19,0.17484420537948608,5,6,89.40869903564453,3173.json,NotBuggy
5,0.37845557928085327,1,2,120.96746826171875,5277.json,NotBuggy
4,0.2630867660045624,1,0,128.936767578125,12309.json,NotBuggy
4,0.08180836588144302,1,0,128.936767578125,5352.json,NotBuggy
3,0.574485719203949,1,0,132.4454345703125,5916.json,NotBuggy
4,4.089000285603106E-4,1,1,126.62725830078125,6394.json,NotBuggy
4,0.7048377394676208,1,0,128.936767578125,8517.json,NotBuggy
4,0.7808895707130432,1,0,128.936767578125,922.json,NotBuggy
4,0.6795369386672974,1,1,126.4781494140625,12174.json,NotBuggy
4,0.03254225477576256,1,4,123.8484878540039,3848.json,NotBuggy
14,0.25011029839515686,3,3,96.77574157714844,12067.json,NotBuggy
4,0.8464279174804688,1,0,127.42622375488281,4535.json,NotBuggy
4,0.5174344182014465,1,0,127.42622375488281,3599.json,NotBuggy
4,0.6856302618980408,1,1,126.77537536621094,14296.json,NotBuggy
4,0.8980556726455688,1,0,127.42622375488281,6974.json,NotBuggy
4,0.5519900321960449,1,2,124.91740417480469,11064.json,NotBuggy
4,0.36336269974708557,1,0,128.936767578125,8103.json,NotBuggy
14,0.11966290324926376,1,4,97.77181243896484,10773.json,NotBuggy
3,0.9948335289955139,1,0,134.26058959960938,11138.json,NotBuggy
29,0.32596856355667114,8,4,80.10342407226562,3466.json,NotBuggy
4,0.8220357894897461,1,1,126.77537536621094,26.json,NotBuggy
4,0.9333364963531494,1,0,128.936767578125,326.json,NotBuggy
12,0.6753794550895691,4,1,101.15978240966797,2812.json,NotBuggy
4,0.8122823238372803,1,0,128.335205078125,5045.json,NotBuggy
4,0.3803486227989197,1,0,128.335205078125,4917.json,NotBuggy
3,0.6487510800361633,1,0,132.4454345703125,2013.json,NotBuggy
4,0.5329918265342712,1,0,128.936767578125,4795.json,NotBuggy
3,0.8987840414047241,1,0,135.83412170410156,2546.json,NotBuggy
11,0.003397892927750945,2,6,100.31523132324219,6926.json,NotBuggy
4,0.8027678728103638,2,1,125.29549407958984,11728.json,NotBuggy
70,0.0,11,14,59.364864349365234,11685.json,NotBuggy
4,0.8468436002731323,1,1,125.5254898071289,2773.json,NotBuggy
11,0.12899325788021088,2,2,104.33570861816406,2121.json,NotBuggy
19,0.6061801314353943,3,4,94.38778686523438,2942.json,NotBuggy
4,0.9377694725990295,1,0,128.936767578125,10234.json,NotBuggy
4,0.881812572479248,1,0,128.936767578125,1475.json,NotBuggy
4,0.007473643869161606,1,1,124.04872131347656,4376.json,NotBuggy
4,0.7009488344192505,1,0,126.62725830078125,88.json,NotBuggy
5,0.7041900753974915,1,1,121.79808807373047,2742.json,NotBuggy
21,0.07999612390995026,5,8,88.8232650756836,4257.json,NotBuggy
4,0.7121073603630066,1,0,128.936767578125,14124.json,NotBuggy
6,0.08818139880895615,1,2,114.84461975097656,11890.json,NotBuggy
4,0.7862881422042847,1,1,125.41301727294922,12814.json,NotBuggy
4,0.8947298526763916,1,0,128.335205078125,14130.json,NotBuggy
4,0.8036959171295166,1,0,127.78498840332031,12011.json,NotBuggy
4,0.9285763502120972,1,0,128.335205078125,858.json,NotBuggy
5,0.35541704297065735,1,1,119.98089599609375,1747.json,NotBuggy
23,5.764835514128208E-4,4,17,83.71521759033203,14257.json,Buggy
4,0.6464821696281433,1,0,128.936767578125,194.json,NotBuggy
4,0.784650981426239,1,0,127.27810668945312,6816.json,NotBuggy
4,0.8885133266448975,1,0,128.936767578125,1871.json,NotBuggy
9,0.09444911777973175,3,4,104.6295166015625,3881.json,NotBuggy
4,0.5327420830726624,1,0,126.62725830078125,7625.json,NotBuggy
4,0.31312811374664307,1,0,127.42622375488281,6135.json,NotBuggy
4,0.4933786690235138,1,0,128.936767578125,188.json,NotBuggy
4,0.5229079723358154,1,1,127.59107971191406,12308.json,NotBuggy
4,0.9333364963531494,1,0,128.936767578125,7683.json,NotBuggy
11,0.29856905341148376,4,0,104.47029113769531,821.json,NotBuggy
3,0.6292086243629456,1,0,132.4454345703125,8813.json,NotBuggy
