SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
25,0.0015112629625946283,8,11,81.73638916015625,7760.json,NotBuggy
12,0.004020887427031994,3,6,98.63774871826172,4953.json,NotBuggy
4,0.36988502740859985,1,0,125.64796447753906,7289.json,NotBuggy
3,0.9660810232162476,1,0,133.59722900390625,9801.json,NotBuggy
10,0.035398099571466446,3,10,101.40451049804688,6599.json,NotBuggy
5,0.10802792012691498,1,2,118.69044494628906,5747.json,NotBuggy
3,0.572316586971283,1,1,132.79563903808594,2810.json,NotBuggy
3,0.10083722323179245,1,2,128.62307739257812,2294.json,NotBuggy
5,0.8031411170959473,1,0,121.6568603515625,1843.json,NotBuggy
13,0.024246161803603172,3,0,97.19678497314453,3173.json,NotBuggy
3,0.8826624155044556,1,0,133.59722900390625,5277.json,NotBuggy
3,0.6675768494606018,1,1,130.70933532714844,4587.json,NotBuggy
3,0.7460553646087646,1,0,132.4454345703125,474.json,NotBuggy
3,0.7443118095397949,1,1,130.85629272460938,5352.json,NotBuggy
3,0.9168313145637512,1,0,134.26058959960938,5916.json,NotBuggy
2,0.9529334306716919,1,0,141.56829833984375,6394.json,NotBuggy
3,0.9486474990844727,1,0,132.9956512451172,8517.json,NotBuggy
3,0.35424816608428955,1,0,130.99049377441406,3848.json,NotBuggy
3,0.8801743984222412,1,0,132.086669921875,6177.json,NotBuggy
42,0.0,2,17,72.94142150878906,3599.json,Buggy
3,0.7283334136009216,1,1,129.2428436279297,260.json,NotBuggy
3,0.9194406867027283,1,0,132.9956512451172,6974.json,NotBuggy
3,0.9618315696716309,1,0,129.12539672851562,5181.json,NotBuggy
3,0.6950467228889465,1,1,132.086669921875,3511.json,NotBuggy
6,0.22917571663856506,2,2,112.7602767944336,3985.json,NotBuggy
6,0.41066625714302063,1,3,115.71329498291016,2930.json,NotBuggy
7,0.6251636743545532,2,2,111.53256225585938,8103.json,Buggy
3,0.5721471309661865,1,1,130.70933532714844,7453.json,NotBuggy
3,0.9573522210121155,1,0,133.59722900390625,2527.json,NotBuggy
1,0.9873111844062805,1,0,151.39474487304688,9731.json,NotBuggy
3,0.6970959305763245,1,1,133.18099975585938,3191.json,NotBuggy
3,0.7057620882987976,1,0,131.91592407226562,9979.json,NotBuggy
17,0.03239813074469566,3,7,92.54732513427734,326.json,NotBuggy
4,0.5927073955535889,1,2,124.4649429321289,2812.json,NotBuggy
3,0.8810592889785767,1,0,132.43687438964844,2253.json,NotBuggy
16,0.28413355350494385,3,8,94.62442016601562,3686.json,Buggy
3,0.7344505190849304,1,1,130.45266723632812,10336.json,NotBuggy
12,0.03669263422489166,4,7,99.34935760498047,4917.json,NotBuggy
3,0.5353420972824097,1,0,133.59722900390625,4180.json,NotBuggy
3,0.6568334102630615,1,0,130.85629272460938,2013.json,NotBuggy
3,0.8019335269927979,1,1,130.7338104248047,4795.json,NotBuggy
13,0.0035017651971429586,5,10,95.02185821533203,1731.json,Buggy
4,0.6768544316291809,1,1,125.5254898071289,6926.json,NotBuggy
6,0.004308459814637899,1,4,114.3227767944336,2773.json,NotBuggy
3,0.6455662250518799,1,0,131.28770446777344,2121.json,NotBuggy
3,0.8406824469566345,1,0,131.9385528564453,5570.json,NotBuggy
49,0.0,11,31,65.7531967163086,2094.json,Buggy
3,0.8195472955703735,1,0,133.59722900390625,2942.json,NotBuggy
28,0.03474678844213486,2,5,82.77870178222656,10234.json,NotBuggy
9,0.9053469896316528,2,1,105.19512176513672,9290.json,NotBuggy
3,0.6657193899154663,1,0,132.9956512451172,7870.json,NotBuggy
3,0.7611333131790161,1,0,130.57513427734375,4376.json,NotBuggy
3,0.9838804006576538,1,0,129.93223571777344,88.json,NotBuggy
3,0.8515560030937195,1,0,134.26058959960938,2742.json,NotBuggy
4,0.5054821968078613,1,0,125.64796447753906,7284.json,NotBuggy
8,0.0,1,6,106.24907684326172,3156.json,NotBuggy
1,0.9873111844062805,1,0,151.39474487304688,9701.json,NotBuggy
11,0.12477678805589676,3,6,101.58573150634766,6292.json,NotBuggy
3,0.9462980628013611,1,0,132.9956512451172,8305.json,NotBuggy
7,0.17274333536624908,1,0,111.91390228271484,8351.json,NotBuggy
6,0.0788787379860878,2,4,115.03083801269531,194.json,NotBuggy
