SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
3,0.9145438075065613,1,0,132.4454345703125,3678.json,NotBuggy
4,0.985759973526001,1,1,125.15235137939453,2294.json,NotBuggy
3,0.5705069899559021,1,1,129.61952209472656,3173.json,NotBuggy
31,0.0,6,10,76.3013687133789,474.json,NotBuggy
3,0.0,1,1,124.6273193359375,922.json,NotBuggy
3,0.5328826308250427,1,1,130.57513427734375,3848.json,NotBuggy
3,0.778001070022583,1,1,129.34671020507812,274.json,NotBuggy
3,0.007386718410998583,1,1,128.2562713623047,3511.json,NotBuggy
13,0.5167984962463379,4,1,97.48078155517578,3191.json,NotBuggy
17,0.0,3,12,89.62840270996094,326.json,NotBuggy
3,0.9728851914405823,1,0,131.9385528564453,3686.json,NotBuggy
3,0.9413757920265198,1,0,133.59722900390625,2013.json,NotBuggy
6,0.17636209726333618,3,3,114.24813842773438,2546.json,NotBuggy
4,0.0,1,2,117.23735046386719,2121.json,Buggy
6,0.007309238892048597,1,4,111.87191772460938,2094.json,NotBuggy
7,0.3289291262626648,1,7,111.83965301513672,88.json,Buggy
3,0.6193150281906128,1,0,131.28770446777344,4257.json,NotBuggy
3,0.0,2,2,126.40631103515625,3156.json,NotBuggy
22,0.016310499981045723,3,4,86.29570770263672,858.json,NotBuggy
4,0.7439491152763367,1,3,122.21172332763672,194.json,NotBuggy
3,0.9481942057609558,1,0,133.59722900390625,3743.json,NotBuggy
3,0.6835629343986511,1,0,129.9696044921875,3881.json,NotBuggy
3,0.7577751874923706,1,2,129.93223571777344,188.json,NotBuggy
14,0.016559703275561333,3,10,94.82396697998047,366.json,NotBuggy
3,0.6569544672966003,1,1,131.28770446777344,908.json,NotBuggy
26,2.0825256069656461E-4,5,6,82.8055648803711,152.json,Buggy
11,0.1622689664363861,2,6,100.26049041748047,3846.json,NotBuggy
4,0.9230324029922485,1,1,129.14767456054688,3976.json,NotBuggy
6,0.0031676290091127157,2,3,112.21259307861328,855.json,NotBuggy
25,0.003473247168585658,2,12,82.88845825195312,3127.json,NotBuggy
3,0.6347107291221619,1,1,131.28770446777344,898.json,NotBuggy
6,0.6374872922897339,2,0,117.25389862060547,2191.json,NotBuggy
10,0.0018796251388266683,2,3,100.4263916015625,1556.json,NotBuggy
3,0.8856114745140076,1,0,132.9956512451172,3711.json,NotBuggy
3,0.902285099029541,1,0,128.92515563964844,3799.json,NotBuggy
3,0.5793925523757935,1,1,130.85629272460938,1646.json,NotBuggy
3,0.9853174090385437,1,0,132.61029052734375,3729.json,NotBuggy
3,0.6653255224227905,1,2,131.91592407226562,3793.json,NotBuggy
3,0.6468645930290222,1,1,131.28770446777344,884.json,NotBuggy
3,0.6300327181816101,1,1,131.28770446777344,885.json,NotBuggy
3,0.5854531526565552,1,1,130.85629272460938,1601.json,NotBuggy
55,3.4161226358264685E-4,13,24,63.220909118652344,3537.json,Buggy
4,1.715649850666523E-4,1,2,119.25147247314453,2310.json,NotBuggy
5,0.6048484444618225,2,1,121.4416275024414,3661.json,NotBuggy
25,0.003473247168585658,2,12,82.88845825195312,3121.json,NotBuggy
20,8.680449682287872E-4,4,10,86.87118530273438,3776.json,NotBuggy
6,0.0027159557212144136,1,5,111.84959411621094,4102.json,NotBuggy
5,7.095093606039882E-4,1,2,117.7408218383789,3991.json,NotBuggy
19,0.007818169891834259,4,7,87.27740478515625,319.json,NotBuggy
9,0.004766309633851051,1,3,105.613037109375,925.json,NotBuggy
3,0.616979718208313,1,1,131.28770446777344,969.json,NotBuggy
3,0.03208848461508751,1,2,129.57785034179688,651.json,NotBuggy
6,0.6040041446685791,2,1,114.47814178466797,510.json,NotBuggy
3,0.30412164330482483,1,1,129.34671020507812,3149.json,NotBuggy
12,0.07026572525501251,1,5,100.48534393310547,876.json,NotBuggy
3,0.6712987422943115,1,0,132.4454345703125,4136.json,NotBuggy
5,0.023550670593976974,1,2,117.93329620361328,3546.json,NotBuggy
5,0.0,2,1,114.957275390625,1051.json,NotBuggy
3,0.6835629343986511,1,0,129.9696044921875,3901.json,NotBuggy
3,0.2536424398422241,1,1,129.81976318359375,248.json,NotBuggy
8,0.02678864821791649,2,7,106.54252624511719,95.json,Buggy
4,0.4428981840610504,1,2,124.1749038696289,120.json,NotBuggy
4,0.9934231042861938,1,0,127.42622375488281,2224.json,NotBuggy
4,0.32131391763687134,1,3,122.84404754638672,3129.json,NotBuggy
6,0.07208896428346634,1,1,113.7378921508789,1893.json,NotBuggy
11,0.23397433757781982,3,1,101.46054077148438,3197.json,NotBuggy
3,0.8957082629203796,1,0,130.99049377441406,2481.json,NotBuggy
3,0.5280433893203735,1,1,129.47398376464844,44.json,NotBuggy
3,0.9465125203132629,1,0,133.59722900390625,2566.json,NotBuggy
