SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
3,0.23082654178142548,0.419821944241946,0,0,0,1,3.77,0,2,26.0,128.70916748046875,0,2,0,0,0,104.json,NotBuggy
3,0.3124442994594574,0.6614392489844355,0,0,0,1,3.77,0,1,20.0,130.18594360351562,0,1,0,0,0,761.json,NotBuggy
3,0.49174752831459045,0.09940709218398112,1,1,2,2,3.77,0,2,35.0,126.40631103515625,0,1,0,0,0,2294.json,Buggy
11,0.14498229324817657,0.00889652608181883,3,3,6,3,6.67,1,4,67.0,101.32836151123047,0,1,1,0,0,922.json,NotBuggy
8,0.3586467206478119,0.31413867247319943,0,0,0,2,5.66,1,1,38.0,110.01913452148438,0,1,0,0,0,794.json,NotBuggy
14,0.005874275229871273,2.0709743855988203E-5,3,3,6,4,6.49,2,15,105.0,94.54420471191406,0,1,3,0,0,1581.json,NotBuggy
3,1.2642951332964003E-4,0.8437312073482379,0,0,0,1,3.77,0,0,13.0,132.9956512451172,0,0,0,0,0,469.json,NotBuggy
3,0.5611368417739868,0.600229218344899,0,0,0,1,3.77,0,1,21.0,129.81976318359375,0,1,0,0,0,129.json,NotBuggy
3,0.7049697637557983,0.5911533151526175,0,0,0,1,3.77,0,0,22.0,129.57785034179688,0,1,0,0,0,908.json,NotBuggy
3,0.8745493292808533,0.7527008344819573,0,0,0,1,3.77,0,2,17.0,131.43582153320312,0,1,0,0,0,1423.json,NotBuggy
3,0.011466797441244125,0.14452593305473777,0,0,0,1,3.77,0,2,32.0,127.03218841552734,0,2,0,0,0,614.json,NotBuggy
9,0.011966722086071968,0.0021831914424125104,1,1,2,2,6.29,1,9,67.0,104.62130737304688,0,1,0,0,0,1556.json,NotBuggy
19,3.1913944985717535E-4,2.2801622064237824E-8,5,5,10,7,8.9,3,12,155.0,86.49224853515625,0,2,5,0,0,629.json,NotBuggy
3,0.06730113178491592,0.5528685963056427,0,0,0,1,3.77,0,1,24.0,129.0215301513672,0,2,0,0,0,1402.json,NotBuggy
3,0.8801499605178833,0.9202017645154369,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,1601.json,NotBuggy
3,0.025487717241048813,0.36947907054327206,0,0,0,1,3.77,0,1,24.0,128.83535766601562,0,1,0,0,0,681.json,NotBuggy
3,0.8514964580535889,0.7739909218989509,0,0,0,1,3.77,0,0,19.0,130.70933532714844,0,1,0,0,0,925.json,NotBuggy
7,0.00447947159409523,4.812628248517496E-6,0,0,0,1,3.61,0,9,94.0,106.8592529296875,0,2,2,0,0,370.json,NotBuggy
3,0.005339452996850014,0.2785962003621961,0,0,0,1,3.77,0,1,27.0,128.1388702392578,0,2,0,0,0,680.json,NotBuggy
3,0.0,0.05019749537419624,0,0,0,1,3.77,0,2,42.0,125.76248931884766,0,2,0,0,0,1051.json,NotBuggy
6,0.002193093067035079,0.0064953620191105215,0,0,0,1,5.5,0,3,57.0,112.44830322265625,0,3,1,0,0,120.json,NotBuggy
3,6.375542725436389E-4,0.24095762692257947,0,0,0,1,3.77,0,1,30.0,127.67500305175781,0,3,0,0,0,2224.json,NotBuggy
