SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
11,0.48860079050064087,0.08338098451823281,1,1,2,3,7.9,2,3,56.0,102.31302642822266,0,0,0,0,0,104.json,NotBuggy
3,0.28196001052856445,0.867554128720155,0,0,0,1,3.77,0,2,13.0,133.39190673828125,0,0,0,0,0,761.json,NotBuggy
6,0.02076513133943081,0.8035974130225374,0,0,0,1,10.99,0,0,23.0,118.48686981201172,0,0,0,0,0,2260.json,NotBuggy
68,0.0,1.8463141560078502E-28,13,15,28,18,8.54,4,32,431.0,57.047630310058594,0,1,14,0,0,1843.json,NotBuggy
7,0.32979732751846313,0.00827710817346159,3,1,4,3,5.11,1,3,60.0,109.1744384765625,0,1,2,0,0,3173.json,NotBuggy
3,0.5652111768722534,0.8257743055376346,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,922.json,NotBuggy
3,0.6625103950500488,0.8340904089736839,0,0,0,1,3.77,0,0,17.0,131.28770446777344,0,1,0,0,0,274.json,NotBuggy
2,0.9942559003829956,0.8107561804618245,0,0,0,1,3.77,0,0,14.0,139.0139617919922,0,1,0,0,0,260.json,NotBuggy
26,0.0,1.5485648341457893E-17,5,5,10,6,9.61,3,16,255.0,78.48089599609375,0,3,7,0,0,2930.json,Buggy
5,0.6143253445625305,0.12476318037842368,1,1,2,2,3.92,0,3,39.0,117.49811553955078,0,1,1,0,0,2527.json,NotBuggy
17,0.003680378431454301,3.438169764985114E-5,4,4,8,9,6.1,4,7,111.0,90.08313751220703,0,1,6,0,0,3191.json,NotBuggy
1,0.9536150693893433,0.5345927547264895,0,0,0,1,0.0,0,0,18.0,148.41885375976562,0,0,0,0,0,26.json,NotBuggy
20,0.0,7.00183820098665E-11,7,7,14,5,6.44,2,7,186.0,85.35074615478516,0,4,3,0,0,326.json,NotBuggy
13,1.1091727355960757E-4,2.0983844383890314E-6,1,1,2,2,5.77,1,4,116.0,95.61141967773438,0,2,2,0,0,2812.json,Buggy
7,1.613221684237942E-4,2.0809716834470617E-4,3,2,5,3,5.11,0,8,81.0,107.5660400390625,0,2,1,0,0,2121.json,NotBuggy
3,0.5582119822502136,0.6834102371880516,0,0,0,1,3.77,0,1,18.0,130.7338104248047,0,0,0,0,0,2094.json,NotBuggy
1,0.0,0.638246665762917,0,0,0,1,0.0,0,0,17.0,149.08523559570312,0,2,0,0,0,88.json,NotBuggy
24,0.0020065654534846544,2.9392104630556344E-7,7,8,15,8,11.77,6,6,144.0,82.75666809082031,0,2,3,0,0,3156.json,Buggy
1,0.10622367262840271,0.7106338821410122,0,0,0,1,0.0,0,0,17.0,148.95103454589844,0,2,0,0,0,858.json,NotBuggy
3,0.6096163392066956,0.7822066305492521,0,0,0,1,3.77,0,0,18.0,130.7338104248047,0,2,0,0,0,1581.json,NotBuggy
17,0.005658093374222517,3.237824824201226E-5,8,7,15,6,6.69,2,11,103.0,90.76437377929688,0,1,3,0,0,194.json,NotBuggy
3,0.0,0.13309316110992386,0,0,0,1,3.77,0,4,33.0,127.01653289794922,0,1,0,0,0,839.json,NotBuggy
7,0.15170317888259888,0.1821498631930925,0,0,0,2,6.05,1,3,41.0,111.8573226928711,0,1,0,0,0,1871.json,NotBuggy
7,0.11043845117092133,0.1304243650365612,0,0,0,1,7.84,1,1,44.0,111.58363342285156,0,1,0,0,0,469.json,NotBuggy
7,0.005385085009038448,0.004137880097671944,0,0,0,1,3.61,0,1,61.0,109.54849243164062,0,1,2,0,0,632.json,NotBuggy
9,0.01991090178489685,4.754727707015276E-4,2,2,4,3,3.33,0,1,79.0,103.672607421875,0,0,2,0,0,2297.json,NotBuggy
18,0.0,2.1617606711562587E-10,4,5,9,5,9.19,4,12,165.0,87.50303649902344,0,5,1,0,0,1528.json,NotBuggy
37,0.0,4.9380034886431046E-33,0,0,0,1,6.95,0,46,446.0,70.97749328613281,0,5,19,0,0,1404.json,NotBuggy
21,0.0025521176867187023,3.877098588774873E-8,2,2,4,5,7.05,2,2,153.0,85.60858917236328,0,1,7,0,0,2739.json,Buggy
3,0.007972425781190395,0.009251693673122936,0,0,0,1,3.77,0,0,53.0,124.63170623779297,0,1,0,0,0,908.json,NotBuggy
5,0.003948974888771772,0.13993519212273442,0,0,0,1,3.92,0,3,38.0,117.93329620361328,0,2,0,0,0,2710.json,NotBuggy
10,0.1877197027206421,0.0043323679597782995,0,0,0,3,5.99,1,5,64.0,102.92267608642578,0,3,1,0,0,452.json,NotBuggy
1,0.004632729105651379,0.476315115794105,0,0,0,1,0.0,0,0,20.0,147.87098693847656,0,2,0,0,0,84.json,NotBuggy
1,0.9934852719306946,0.7533707423979649,0,0,0,1,0.0,0,0,14.0,150.24295043945312,0,1,0,0,0,855.json,NotBuggy
3,0.03822178393602371,0.47000308199188773,0,0,0,1,3.77,0,1,24.0,129.2378692626953,0,2,0,0,0,544.json,NotBuggy
4,0.6158702373504639,0.3225727844534337,1,1,2,2,4.0,0,2,31.0,122.80022430419922,0,1,0,0,0,1423.json,NotBuggy
