SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
4,0.1002865731716156,1,2,122.4535140991211,104.json,NotBuggy
22,0.0,7,14,82.33800506591797,21852.json,Buggy
3,0.7954068779945374,1,0,133.59722900390625,20823.json,NotBuggy
59,0.0,13,67,59.47068405151367,21746.json,NotBuggy
6,0.08682331442832947,2,4,114.48296356201172,23917.json,NotBuggy
4,1.587780425325036E-4,1,2,121.97586059570312,40899.json,NotBuggy
4,0.2800658345222473,1,1,123.39956665039062,20080.json,NotBuggy
5,0.539497435092926,2,1,118.43690490722656,2260.json,NotBuggy
3,0.13233093917369843,1,0,130.18594360351562,40884.json,NotBuggy
3,0.013812093995511532,1,5,126.64292907714844,39296.json,NotBuggy
3,0.9267752766609192,1,0,130.45266723632812,32082.json,NotBuggy
7,1.6427815717179328E-4,1,4,108.3114013671875,7760.json,NotBuggy
3,0.7982035875320435,1,0,131.28770446777344,4953.json,NotBuggy
5,0.1316342055797577,1,0,118.99382781982422,13448.json,NotBuggy
3,0.15617206692695618,1,1,128.91311645507812,7289.json,NotBuggy
10,0.6549960374832153,4,1,105.42377471923828,50620.json,NotBuggy
8,0.05741638317704201,3,2,107.96186065673828,43539.json,NotBuggy
13,0.0019722655415534973,2,7,95.3041763305664,31928.json,NotBuggy
3,0.7257064580917358,1,0,134.26058959960938,44567.json,NotBuggy
3,0.9651172161102295,1,0,132.4454345703125,48397.json,NotBuggy
6,0.0038006913382560015,1,2,113.91609191894531,17071.json,NotBuggy
9,0.02626872807741165,3,4,104.6295166015625,20426.json,NotBuggy
17,0.05834988132119179,5,8,90.31819152832031,17141.json,NotBuggy
11,0.5196096897125244,3,2,102.07301330566406,49548.json,NotBuggy
3,0.6948850154876709,1,1,130.99049377441406,16005.json,NotBuggy
3,0.7285563945770264,1,1,131.75106811523438,5747.json,NotBuggy
3,0.6885570287704468,1,1,132.25152587890625,41415.json,NotBuggy
30,1.4816228940617293E-4,8,12,76.61705017089844,48188.json,NotBuggy
7,0.528936505317688,2,1,112.11737823486328,50196.json,NotBuggy
8,0.26088401675224304,1,4,108.78919219970703,20560.json,NotBuggy
3,0.7399399280548096,1,1,131.60296630859375,13847.json,NotBuggy
5,0.1739414483308792,1,3,118.21444702148438,2810.json,NotBuggy
3,0.41071683168411255,1,0,129.93223571777344,2294.json,NotBuggy
3,0.07107656449079514,1,1,129.81280517578125,47602.json,NotBuggy
4,0.0027706786058843136,1,1,122.76004028320312,15403.json,NotBuggy
8,0.0929163247346878,3,4,105.85340881347656,37198.json,NotBuggy
3,0.1311771422624588,1,1,128.712890625,44784.json,NotBuggy
3,0.5948234796524048,1,1,129.47398376464844,39124.json,NotBuggy
5,0.0016116948099806905,3,1,116.22047424316406,21931.json,NotBuggy
3,0.7285026907920837,1,0,133.59722900390625,1843.json,NotBuggy
3,0.8847673535346985,1,0,133.59722900390625,2249.json,NotBuggy
3,0.5129354596138,1,0,129.81976318359375,45891.json,NotBuggy
2,0.9229572415351868,1,0,140.82913208007812,5277.json,NotBuggy
22,0.01902231015264988,6,2,85.06641387939453,12309.json,NotBuggy
2,0.8905084729194641,1,0,136.90872192382812,4587.json,NotBuggy
7,0.29598870873451233,2,0,112.90506744384766,44636.json,NotBuggy
11,0.056559789925813675,4,5,101.4705581665039,5916.json,NotBuggy
8,0.5730894207954407,2,1,108.72457885742188,43160.json,NotBuggy
9,0.011747232638299465,2,3,104.437744140625,48185.json,NotBuggy
3,0.0030599955935031176,1,2,128.31268310546875,18965.json,NotBuggy
8,0.8853219151496887,2,0,112.70221710205078,43025.json,NotBuggy
