SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
3,0.6031265258789062,1,1,131.75106811523438,474.json,NotBuggy
14,0.0015376161318272352,3,5,94.9007797241211,922.json,Buggy
3,0.5348673462867737,1,1,132.25152587890625,794.json,NotBuggy
3,0.5164409279823303,1,2,129.14646911621094,26.json,NotBuggy
3,0.9158761501312256,1,0,133.59722900390625,1454.json,NotBuggy
4,0.4149397611618042,1,1,123.28931427001953,1731.json,NotBuggy
4,0.37787818908691406,1,1,123.28931427001953,1747.json,NotBuggy
3,0.9523630738258362,1,0,132.086669921875,1268.json,NotBuggy
14,0.0,3,5,93.27047729492188,839.json,NotBuggy
3,0.019219378009438515,1,1,127.01653289794922,469.json,NotBuggy
3,0.8750662803649902,1,0,133.59722900390625,1528.json,NotBuggy
6,0.11946189403533936,2,2,116.7609634399414,366.json,NotBuggy
3,0.5966835618019104,1,0,131.46876525878906,908.json,NotBuggy
3,0.463609516620636,1,2,129.81976318359375,452.json,NotBuggy
3,0.7283982634544373,1,0,131.75106811523438,84.json,NotBuggy
3,0.5620012879371643,1,1,132.25152587890625,855.json,NotBuggy
3,0.9225733876228333,1,0,130.45266723632812,544.json,NotBuggy
3,0.5573912262916565,1,2,131.1385955810547,1423.json,NotBuggy
7,0.47705262899398804,1,4,108.78500366210938,574.json,NotBuggy
6,0.4181642532348633,1,2,115.33721923828125,1075.json,NotBuggy
9,0.08316642791032791,3,2,106.41995239257812,1556.json,NotBuggy
3,0.7105062007904053,1,1,130.18594360351562,629.json,NotBuggy
3,0.07235956192016602,1,1,130.18594360351562,1646.json,NotBuggy
6,0.7182139754295349,2,1,117.66641235351562,1402.json,NotBuggy
9,0.0012374863727018237,1,6,105.66513061523438,681.json,NotBuggy
3,0.9264955520629883,1,0,131.28770446777344,572.json,NotBuggy
22,0.003473967080935836,3,8,86.52596282958984,319.json,NotBuggy
3,0.6658709645271301,1,0,131.9385528564453,925.json,NotBuggy
3,0.0030033753719180822,1,0,133.59722900390625,1469.json,NotBuggy
8,0.2309577912092209,3,2,109.39305877685547,370.json,NotBuggy
3,0.7388551235198975,1,1,131.28770446777344,969.json,NotBuggy
3,0.8013700246810913,1,0,131.9385528564453,651.json,NotBuggy
8,0.027920467779040337,1,2,107.16967010498047,680.json,NotBuggy
6,0.6685913801193237,1,1,117.69617462158203,1051.json,NotBuggy
3,0.49906718730926514,1,1,129.4591827392578,182.json,NotBuggy
3,0.9375364184379578,1,0,132.4454345703125,1276.json,NotBuggy
3,0.3249737620353699,1,1,132.61029052734375,767.json,NotBuggy
10,0.01658676750957966,2,4,102.48821258544922,553.json,NotBuggy
3,0.8797561526298523,1,0,132.4454345703125,481.json,NotBuggy
20,2.383282408118248E-4,1,3,90.03559875488281,1046.json,NotBuggy
3,0.6550913453102112,1,1,132.79563903808594,1431.json,NotBuggy
6,0.8434278964996338,1,1,118.46134185791016,1066.json,Buggy
3,0.10626682639122009,1,0,132.9956512451172,485.json,NotBuggy
12,0.18016718327999115,4,4,99.3812484741211,703.json,NotBuggy
4,0.3809899687767029,1,1,123.28931427001953,1730.json,NotBuggy
3,0.22687110304832458,1,1,129.2378692626953,226.json,NotBuggy
3,0.9350224733352661,1,0,130.30841064453125,972.json,NotBuggy
5,0.18461517989635468,1,5,116.56864166259766,768.json,NotBuggy
3,1.4824909158051014E-4,1,0,125.52058410644531,250.json,NotBuggy
7,0.8938512206077576,1,0,113.9644546508789,1028.json,NotBuggy
9,0.06428270787000656,3,4,106.62913513183594,449.json,NotBuggy
3,0.004779557231813669,1,1,127.42049407958984,1852.json,NotBuggy
36,0.0,8,27,73.16896057128906,409.json,NotBuggy
8,0.5512681007385254,2,5,107.83899688720703,634.json,NotBuggy
5,0.8277702331542969,1,0,121.91352844238281,1135.json,NotBuggy
4,0.7241662740707397,1,1,123.8484878540039,1754.json,NotBuggy
3,0.6504666805267334,1,0,132.25152587890625,495.json,NotBuggy
3,0.8735559582710266,1,0,133.59722900390625,1222.json,NotBuggy
33,0.0,10,11,73.56965637207031,1298.json,NotBuggy
3,0.6351832151412964,1,1,131.75106811523438,1320.json,NotBuggy
5,0.842656672000885,1,1,122.29976654052734,1093.json,NotBuggy
9,0.009704087860882282,2,6,106.49474334716797,1208.json,NotBuggy
3,0.4046132564544678,1,2,128.712890625,146.json,NotBuggy
9,0.1400577425956726,3,4,104.4256820678711,845.json,NotBuggy
8,0.080043263733387,2,6,108.38811492919922,760.json,NotBuggy
3,0.6948853731155396,1,1,132.25152587890625,1426.json,NotBuggy
