SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
9,0.21950198709964752,2,2,108.11104583740234,1843.json,NotBuggy
3,0.8134795427322388,1,1,129.7158966064453,474.json,NotBuggy
3,0.18729713559150696,1,1,128.8092498779297,274.json,NotBuggy
7,0.02363230660557747,2,5,109.59381866455078,260.json,NotBuggy
17,0.052583739161491394,3,2,90.61685180664062,1454.json,NotBuggy
6,0.007442705798894167,2,2,112.5515365600586,2013.json,NotBuggy
14,1.5184536459855735E-4,4,9,93.91866302490234,2094.json,NotBuggy
3,0.930927038192749,1,0,133.59722900390625,858.json,NotBuggy
3,0.9206228256225586,1,0,132.25152587890625,1581.json,NotBuggy
3,0.1113872230052948,1,1,129.34671020507812,839.json,NotBuggy
10,0.39965906739234924,2,2,102.79486083984375,1871.json,NotBuggy
4,0.6072773337364197,1,0,125.64796447753906,469.json,NotBuggy
12,0.0161916371434927,3,13,96.16060638427734,188.json,NotBuggy
4,0.29730597138404846,1,0,125.64796447753906,632.json,NotBuggy
3,0.9662848711013794,1,0,133.59722900390625,821.json,NotBuggy
3,0.8684820532798767,1,1,129.47398376464844,129.json,NotBuggy
4,0.6086417436599731,1,1,125.5254898071289,908.json,NotBuggy
23,0.019022485241293907,5,12,83.60607147216797,452.json,NotBuggy
3,0.5803623795509338,1,0,133.59722900390625,855.json,NotBuggy
3,0.4545881748199463,1,1,132.25152587890625,544.json,NotBuggy
3,0.0,1,1,127.59430694580078,1423.json,NotBuggy
4,0.2988359034061432,1,0,125.64796447753906,898.json,NotBuggy
4,0.6053467392921448,1,0,123.8484878540039,614.json,NotBuggy
3,0.8435655832290649,1,1,130.85629272460938,1556.json,NotBuggy
3,0.7301969528198242,1,0,133.59722900390625,629.json,NotBuggy
12,0.012912939302623272,4,1,99.17080688476562,1646.json,NotBuggy
10,0.040799789130687714,3,5,101.29867553710938,1402.json,NotBuggy
13,0.15258632600307465,4,1,98.2164077758789,884.json,NotBuggy
13,0.15258632600307465,4,1,98.2164077758789,885.json,NotBuggy
