SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
6,0.9900058507919312,2,1,115.18394470214844,104.json,NotBuggy
3,0.8099961280822754,1,0,131.9385528564453,761.json,NotBuggy
3,0.5558153986930847,1,0,131.28770446777344,7760.json,NotBuggy
4,0.018660789355635643,1,4,122.76004028320312,4953.json,NotBuggy
3,0.7541951537132263,1,0,132.25152587890625,3678.json,NotBuggy
4,0.055586472153663635,1,1,124.91740417480469,2294.json,NotBuggy
3,0.8434503674507141,1,0,133.59722900390625,1843.json,NotBuggy
9,0.22298522293567657,2,2,106.87638092041016,2249.json,NotBuggy
3,0.808982253074646,1,1,131.60067749023438,3815.json,NotBuggy
3,0.8189108371734619,1,0,133.59722900390625,3173.json,NotBuggy
6,0.16232770681381226,2,2,114.67958068847656,5277.json,NotBuggy
3,0.5519798994064331,1,0,131.28770446777344,474.json,NotBuggy
9,0.005699416622519493,2,9,103.02924346923828,5352.json,NotBuggy
3,0.8542812466621399,1,0,132.086669921875,6394.json,NotBuggy
3,0.6742832064628601,1,0,133.59722900390625,3848.json,NotBuggy
3,0.701296865940094,1,1,130.99049377441406,6177.json,NotBuggy
3,0.0010634663049131632,1,1,127.67500305175781,274.json,NotBuggy
3,0.7452064156532288,1,0,131.9385528564453,3599.json,NotBuggy
7,0.19236189126968384,2,4,111.1139144897461,6974.json,NotBuggy
4,0.017145635560154915,1,4,122.76004028320312,5181.json,NotBuggy
3,0.6117958426475525,1,0,131.28770446777344,2930.json,NotBuggy
3,0.006721627898514271,1,3,128.14134216308594,7453.json,NotBuggy
3,0.876050591468811,1,1,132.25152587890625,2527.json,NotBuggy
3,0.9077578783035278,1,1,133.18099975585938,794.json,NotBuggy
3,0.7289432883262634,1,0,131.28770446777344,3191.json,NotBuggy
3,0.838542103767395,1,0,132.61029052734375,26.json,NotBuggy
3,0.3311653733253479,1,0,131.28770446777344,326.json,NotBuggy
4,0.9512435793876648,1,3,123.65223693847656,5045.json,NotBuggy
5,0.97775799036026,2,2,121.07627868652344,3686.json,NotBuggy
4,0.8966023921966553,1,2,123.46312713623047,1454.json,NotBuggy
6,0.7075551152229309,1,2,114.14724731445312,4917.json,NotBuggy
3,0.6659894585609436,1,0,131.28770446777344,2013.json,NotBuggy
3,0.49880561232566833,1,2,131.43582153320312,4795.json,NotBuggy
3,0.5558153986930847,1,0,131.28770446777344,1731.json,NotBuggy
13,1.8165043729823083E-4,3,10,95.38134765625,2546.json,NotBuggy
3,0.6014142036437988,1,1,130.34019470214844,6926.json,NotBuggy
3,0.6195444464683533,1,0,131.28770446777344,2773.json,NotBuggy
