SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
3,0.08278468996286392,1,0,133.59722900390625,104.json,NotBuggy
3,0.2466956526041031,1,1,129.58164978027344,9640.json,NotBuggy
14,0.00656497199088335,3,9,93.34184265136719,761.json,Buggy
5,0.022613538429141045,1,7,117.09291076660156,2249.json,NotBuggy
3,0.9147071242332458,1,0,133.59722900390625,474.json,NotBuggy
7,0.9449180364608765,1,1,112.91008758544922,6394.json,NotBuggy
3,0.12999573349952698,1,1,128.4090576171875,4535.json,NotBuggy
3,0.8862366676330566,1,1,129.0255889892578,6177.json,NotBuggy
3,0.8483309745788574,1,0,133.59722900390625,274.json,NotBuggy
3,0.7166913151741028,1,1,132.25152587890625,260.json,NotBuggy
5,0.6072116494178772,1,2,120.7502212524414,7920.json,NotBuggy
4,0.037348438054323196,1,2,123.13409423828125,6974.json,NotBuggy
3,0.6956326961517334,2,1,129.8434600830078,7453.json,NotBuggy
3,0.36922237277030945,1,0,132.4454345703125,2527.json,NotBuggy
6,0.031327228993177414,1,4,113.87437438964844,9979.json,NotBuggy
3,0.9420111179351807,1,0,133.59722900390625,26.json,NotBuggy
3,0.3561488687992096,1,0,131.28770446777344,326.json,NotBuggy
3,0.6527080535888672,1,1,130.85629272460938,2812.json,NotBuggy
5,0.022613538429141045,1,7,117.09291076660156,2253.json,NotBuggy
3,0.6318097710609436,1,1,129.69032287597656,2013.json,NotBuggy
5,0.0572759285569191,1,3,118.99382781982422,4795.json,NotBuggy
3,0.6507353186607361,1,0,131.46876525878906,1731.json,NotBuggy
10,0.04722945764660835,2,9,102.24432373046875,2546.json,NotBuggy
4,0.05272137373685837,1,2,123.13409423828125,6926.json,NotBuggy
10,0.04110570251941681,4,4,101.15626525878906,2121.json,NotBuggy
3,0.9434171319007874,2,1,128.91647338867188,2094.json,NotBuggy
4,0.8999700546264648,1,0,124.25267028808594,2942.json,NotBuggy
3,0.3191550076007843,1,1,130.05470275878906,9290.json,NotBuggy
10,0.05520857498049736,3,6,102.64461517333984,7870.json,NotBuggy
8,0.7153182625770569,2,2,111.1359634399414,4257.json,NotBuggy
3,0.2563074827194214,1,0,131.9385528564453,7284.json,NotBuggy
3,0.224115788936615,1,1,129.58164978027344,9701.json,NotBuggy
3,0.9174214005470276,1,0,133.59722900390625,6292.json,NotBuggy
18,0.03881983086466789,4,9,88.62125396728516,858.json,NotBuggy
3,0.05723586678504944,1,0,128.92515563964844,1747.json,NotBuggy
3,0.8358423113822937,1,1,132.25152587890625,1581.json,NotBuggy
6,0.08686437457799911,2,2,115.48116302490234,194.json,NotBuggy
3,0.06759802997112274,1,1,129.34671020507812,6816.json,NotBuggy
3,0.7002913355827332,1,2,130.57513427734375,839.json,NotBuggy
