SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
4,0.4647303521633148,0.8607661592245311,0,0,0,1,1.73,0,1,18.0,126.0733642578125,0,0,0,0,0,104.json,NotBuggy
9,0.3042765259742737,0.11130107949473074,0,0,0,2,2.95,1,0,49.0,106.59980010986328,0,2,0,0,0,23917.json,NotBuggy
4,0.23649674654006958,0.9629709845622376,0,0,0,1,1.73,0,1,15.0,127.59107971191406,0,0,0,0,0,761.json,NotBuggy
15,0.01824840158224106,1.5931342282165538E-4,3,3,6,4,2.63,1,11,107.0,93.21733093261719,0,2,2,0,0,20080.json,NotBuggy
14,3.3859809627756476E-4,0.139530400295199,0,0,0,1,3.3,0,0,63.0,98.3082046508789,0,10,0,0,0,2260.json,NotBuggy
4,0.31773096323013306,0.8466233681941444,0,0,0,1,1.73,0,0,19.0,125.67974090576172,0,0,0,0,0,39296.json,NotBuggy
6,0.0,2.5653469890712043E-4,0,0,0,1,2.0,0,6,71.0,110.95682525634766,0,3,2,0,0,14843.json,NotBuggy
5,0.0411454476416111,0.6444552064470775,0,0,0,1,1.96,0,1,28.0,119.84819793701172,0,3,0,0,0,4953.json,NotBuggy
13,8.66543676238507E-4,9.985009240192817E-7,0,0,0,1,1.69,0,18,129.0,95.36432647705078,0,1,4,0,0,31542.json,Buggy
4,0.8631520867347717,0.9875421264005312,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,7289.json,NotBuggy
11,0.7816513180732727,0.21781840420660928,0,0,0,1,2.3,0,2,55.0,102.626708984375,0,2,0,0,0,36022.json,NotBuggy
7,0.13358965516090393,0.879037215234295,0,0,0,1,5.6,0,4,29.0,114.41510772705078,0,0,0,0,0,27723.json,NotBuggy
4,0.8841153979301453,0.9738759172505627,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,32217.json,NotBuggy
18,0.003960412926971912,1.8155481967556335E-4,4,3,7,4,2.63,3,16,109.0,90.49188995361328,0,1,1,0,0,31928.json,NotBuggy
5,0.050095248967409134,0.35818874570266335,0,0,0,1,1.96,0,3,31.0,119.2291259765625,0,1,0,0,0,37266.json,NotBuggy
6,1.6927834076341242E-4,0.03469109593316209,0,0,0,1,2.0,0,3,52.0,113.21219635009766,0,3,0,0,0,17071.json,NotBuggy
5,4.93814644869417E-4,0.02181117681480676,0,0,0,1,1.96,0,6,51.0,116.14391326904297,0,2,0,0,0,20426.json,NotBuggy
4,0.47757577896118164,0.8157375040906271,0,0,0,1,1.73,0,1,19.0,125.91468811035156,0,1,0,0,0,3678.json,NotBuggy
4,0.0684647336602211,0.5092306443597753,0,0,0,1,1.73,0,1,27.0,123.39956665039062,0,2,0,0,0,17141.json,NotBuggy
4,0.35057422518730164,0.9319368745531311,0,0,0,1,1.73,0,1,15.0,127.42622375488281,0,0,0,0,0,22852.json,NotBuggy
4,0.7553407549858093,0.9465290379779068,0,0,0,1,1.73,0,0,15.0,127.27810668945312,0,0,0,0,0,16005.json,NotBuggy
7,0.43242308497428894,0.7848178569337556,2,2,4,2,2.8,1,3,29.0,113.98487091064453,0,0,0,0,0,20560.json,NotBuggy
4,0.6062074303627014,0.9667630872042335,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,13847.json,NotBuggy
4,0.9200456738471985,0.9893464487575407,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,29871.json,NotBuggy
8,0.028641227632761,0.0022514911586140446,2,1,3,2,2.51,1,4,70.0,106.30162048339844,0,3,2,0,0,2810.json,NotBuggy
4,0.09711101651191711,0.7369024301943458,0,0,0,1,1.73,0,2,20.0,125.5254898071289,0,0,0,0,0,2294.json,NotBuggy
4,0.2443924844264984,0.9623488190373319,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,15403.json,NotBuggy
24,0.004742032382637262,6.174120624018688E-6,5,5,10,6,4.71,3,5,137.0,83.72543334960938,0,3,4,0,0,37198.json,NotBuggy
8,0.03510406240820885,0.6098369050123421,2,1,3,2,3.12,1,2,44.0,109.1904296875,0,1,0,0,0,36747.json,NotBuggy
4,0.0961289033293724,0.770539019840315,0,0,0,1,1.73,0,2,24.0,124.57742309570312,0,2,0,0,0,21931.json,NotBuggy
4,0.9583476185798645,0.9757406594988267,0,0,0,1,1.73,0,0,13.0,128.335205078125,0,0,0,0,0,1843.json,NotBuggy
7,0.003892017062753439,0.005858770276623663,0,0,0,1,1.98,0,4,64.0,109.40082550048828,0,2,2,0,0,2249.json,NotBuggy
4,0.660129725933075,0.9382246518293054,0,0,0,1,1.73,0,2,16.0,127.25547790527344,0,0,0,0,0,3815.json,NotBuggy
5,0.016610465943813324,0.11907317221032396,0,0,0,1,1.96,0,5,41.0,117.69127655029297,0,1,0,0,0,5277.json,NotBuggy
5,0.4363989233970642,0.9462653223933193,0,0,0,1,1.96,0,0,20.0,122.03304290771484,0,1,0,0,0,474.json,NotBuggy
27,1.3381702592596412E-4,8.044254430292774E-4,1,17,18,19,3.21,2,5,115.0,79.5648422241211,0,2,0,0,0,24799.json,NotBuggy
4,0.8305222988128662,0.8175202478701555,0,0,0,1,1.73,0,2,21.0,125.27178192138672,0,1,0,0,0,5352.json,NotBuggy
8,0.013035782612860203,0.02168992112468984,0,0,0,2,2.65,1,4,56.0,107.55213928222656,0,2,2,0,0,30505.json,NotBuggy
5,0.103086456656456,0.8842793177388187,0,0,0,1,1.96,0,0,20.0,122.03304290771484,0,1,0,0,0,5916.json,NotBuggy
12,0.2655923366546631,0.0015969932920134177,2,2,4,3,2.56,1,6,85.0,98.33199310302734,0,4,2,0,0,18538.json,NotBuggy
4,0.9386050701141357,0.9842958144377304,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,18965.json,NotBuggy
5,0.09022977948188782,0.8915356326372651,0,0,0,1,1.96,0,0,20.0,122.03304290771484,0,1,0,0,0,6394.json,NotBuggy
4,0.1891394406557083,0.9518312009079705,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,922.json,NotBuggy
14,0.003811451606452465,4.3928385578110483E-7,1,1,2,3,3.33,2,16,120.0,93.58647918701172,0,1,6,0,0,38729.json,NotBuggy
4,0.9342242479324341,0.9748890423000427,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,23870.json,NotBuggy
4,0.7817710638046265,0.9198170685500516,0,0,0,1,1.73,0,1,18.0,126.33003997802734,0,1,0,0,0,32781.json,NotBuggy
7,0.09838161617517471,0.794486879916572,0,0,0,1,5.6,0,4,31.0,113.9644546508789,0,0,0,0,0,12174.json,NotBuggy
4,0.7468987107276917,0.9332368315650015,0,0,0,1,1.73,0,0,15.0,127.27810668945312,0,0,0,0,0,28773.json,NotBuggy
4,0.0012870603241026402,0.29641484031365106,0,0,0,1,1.73,0,2,33.0,122.5189437866211,0,4,0,0,0,3848.json,NotBuggy
4,0.7405020594596863,0.9753035632958265,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,12067.json,NotBuggy
4,0.9376428723335266,0.9824610665893432,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,4535.json,NotBuggy
13,0.10401348769664764,0.016906181834822148,1,1,2,2,2.62,1,3,76.0,97.88553619384766,0,1,1,0,0,6177.json,NotBuggy
4,0.022496799007058144,0.20198363055785773,0,0,0,1,1.73,0,2,34.0,121.99011993408203,0,1,0,0,0,28920.json,NotBuggy
4,0.3756401836872101,0.8855227661839654,0,0,0,1,1.73,0,1,18.0,126.19583892822266,0,0,0,0,0,28415.json,NotBuggy
4,0.11802951991558075,0.6467261795687479,0,0,0,1,1.73,0,2,24.0,124.26470947265625,0,1,0,0,0,29904.json,NotBuggy
8,0.06354521214962006,0.14925007502677795,0,0,0,1,5.63,0,8,47.0,108.8430404663086,0,2,0,0,0,19690.json,NotBuggy
5,0.3451201617717743,0.4300071521095926,0,0,0,1,1.96,0,4,34.0,118.51167297363281,0,1,0,0,0,33049.json,NotBuggy
18,3.128157986793667E-4,2.3667571795968153E-6,1,1,2,3,3.82,2,8,120.0,89.59207153320312,0,6,3,0,0,13200.json,NotBuggy
4,0.008473509922623634,0.9615220561702281,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,24383.json,NotBuggy
4,0.8744810223579407,0.9688910288226019,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,26190.json,NotBuggy
4,0.6870615482330322,0.9202100158703318,0,0,0,1,1.73,0,1,16.0,127.09062194824219,0,0,0,0,0,37375.json,NotBuggy
16,0.2548457980155945,0.2623364111969444,1,5,6,6,4.36,2,1,62.0,94.7837142944336,0,1,0,0,0,26916.json,NotBuggy
4,0.12765942513942719,0.9251303726472444,0,0,0,1,1.73,0,1,15.0,127.59107971191406,0,0,0,0,0,9750.json,NotBuggy
10,0.004478068090975285,0.0010455586519973227,0,0,0,2,4.36,1,7,79.0,101.85926055908203,0,2,3,0,0,19360.json,NotBuggy
4,0.735842764377594,0.9318581742383966,0,0,0,1,1.73,0,0,15.0,127.27810668945312,0,0,0,0,0,10899.json,NotBuggy
4,0.33564093708992004,0.9669130450189954,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,21413.json,NotBuggy
4,0.7153075337409973,0.9573438501846909,0,0,0,1,1.73,0,1,15.0,127.59107971191406,0,0,0,0,0,3599.json,NotBuggy
16,3.4494290594011545E-4,2.650618386960692E-12,0,0,0,2,1.7,1,16,201.0,88.89942932128906,0,1,9,0,0,30597.json,NotBuggy
4,0.4139386713504791,0.9169357234963027,0,0,0,1,1.73,0,0,15.0,127.27810668945312,0,0,0,0,0,260.json,NotBuggy
13,0.17728029191493988,0.046878422994200294,3,3,6,3,3.89,1,4,67.0,98.62208557128906,0,1,1,0,0,6974.json,NotBuggy
4,0.14775845408439636,0.7003947271327791,0,0,0,1,1.73,0,2,26.0,123.8484878540039,0,1,0,0,0,15933.json,NotBuggy
