SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
8,0.0097630200907588,2,6,105.95664978027344,104.json,NotBuggy
11,1.7259114247281104E-4,1,14,100.85372161865234,21852.json,NotBuggy
3,0.5941070318222046,1,0,132.9956512451172,20823.json,NotBuggy
4,0.7119079828262329,1,0,125.27178192138672,21746.json,NotBuggy
4,0.6370430588722229,1,0,125.64796447753906,9640.json,NotBuggy
3,0.0,1,1,127.42049407958984,761.json,NotBuggy
12,0.001534141250886023,3,14,97.61248016357422,20080.json,NotBuggy
3,0.6709057688713074,1,0,132.4454345703125,14843.json,NotBuggy
12,0.0,1,16,97.20513153076172,7760.json,NotBuggy
3,0.693448007106781,1,0,131.9385528564453,4953.json,NotBuggy
3,0.12270952016115189,1,5,127.42049407958984,13448.json,NotBuggy
5,2.58967891568318E-4,1,8,114.74969482421875,7289.json,NotBuggy
3,0.18274641036987305,1,0,129.2378692626953,6599.json,NotBuggy
4,0.3173161745071411,1,0,125.64796447753906,10470.json,NotBuggy
5,0.13795621693134308,1,1,119.31562042236328,17071.json,NotBuggy
9,0.06338099390268326,1,7,106.72349548339844,20426.json,NotBuggy
10,0.0,1,21,100.03260040283203,3678.json,NotBuggy
10,0.7461551427841187,3,3,104.4138412475586,16005.json,NotBuggy
5,0.9493109583854675,1,0,121.18380737304688,13847.json,NotBuggy
7,0.11889147013425827,2,3,110.68890380859375,2810.json,NotBuggy
5,0.006325305439531803,1,2,116.85465240478516,2294.json,NotBuggy
3,0.08055282384157181,1,0,133.59722900390625,1843.json,NotBuggy
13,0.0021672670263797045,2,18,95.84281921386719,3815.json,NotBuggy
5,0.05194992199540138,1,4,118.99201202392578,5277.json,NotBuggy
17,0.01276578102260828,1,15,91.09235382080078,4587.json,NotBuggy
4,0.624666154384613,1,1,126.33003997802734,474.json,NotBuggy
3,0.8763893246650696,1,0,131.9385528564453,15594.json,NotBuggy
3,0.546362578868866,1,1,131.75106811523438,5916.json,NotBuggy
6,0.7184242606163025,2,1,116.13201141357422,18965.json,Buggy
3,0.09223374724388123,1,0,131.28770446777344,6394.json,NotBuggy
25,7.120888330973685E-4,6,19,80.64424896240234,8517.json,NotBuggy
3,0.6851436495780945,1,1,132.086669921875,922.json,NotBuggy
3,0.7399449348449707,1,0,131.9385528564453,13704.json,NotBuggy
8,0.08101017028093338,1,5,110.67463684082031,3848.json,NotBuggy
4,0.5014236569404602,1,0,125.27178192138672,4535.json,NotBuggy
8,0.17887258529663086,2,3,109.62306213378906,6177.json,NotBuggy
3,0.8893284201622009,1,0,133.59722900390625,19690.json,NotBuggy
3,0.8152434825897217,1,0,133.59722900390625,21211.json,NotBuggy
3,0.10382591187953949,1,2,128.50894165039062,12836.json,NotBuggy
3,0.9921855926513672,1,0,130.07347106933594,19018.json,NotBuggy
6,0.11201164871454239,1,3,116.4616928100586,9750.json,NotBuggy
11,0.0,1,15,100.47718048095703,22468.json,NotBuggy
7,0.023506004363298416,2,4,110.25054931640625,10899.json,NotBuggy
4,0.7256754636764526,1,0,125.27178192138672,21510.json,NotBuggy
