SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
3,0.03948966786265373,1,0,131.28770446777344,104.json,NotBuggy
3,0.850714921951294,1,0,132.4454345703125,761.json,NotBuggy
3,0.5020534992218018,1,0,131.28770446777344,2260.json,NotBuggy
3,0.7965564727783203,1,0,133.59722900390625,2294.json,NotBuggy
3,0.5578848719596863,1,0,131.28770446777344,3815.json,NotBuggy
7,0.20642584562301636,2,4,112.25244903564453,3173.json,NotBuggy
3,0.850714921951294,1,0,132.4454345703125,474.json,NotBuggy
3,0.23534293472766876,1,1,129.12539672851562,6394.json,NotBuggy
6,0.5722511410713196,1,4,113.62841796875,8517.json,NotBuggy
3,0.6405836939811707,1,0,131.28770446777344,922.json,NotBuggy
7,0.4171994924545288,2,2,112.13882446289062,6177.json,NotBuggy
3,0.6405836939811707,1,0,131.28770446777344,274.json,NotBuggy
3,0.4051317274570465,1,0,132.4454345703125,3599.json,NotBuggy
11,0.016040055081248283,2,6,101.17491912841797,260.json,NotBuggy
4,0.018728328868746758,1,1,121.69290161132812,7920.json,NotBuggy
5,0.47645121812820435,2,0,120.52021789550781,6974.json,NotBuggy
3,0.5361738801002502,1,0,131.75106811523438,11064.json,NotBuggy
3,0.8346750736236572,1,1,131.60296630859375,7453.json,NotBuggy
7,0.055653855204582214,1,4,111.95722198486328,9979.json,NotBuggy
3,0.9478926062583923,1,0,132.4454345703125,326.json,NotBuggy
7,0.10250073671340942,1,12,111.89190673828125,2812.json,NotBuggy
4,0.1997661143541336,1,3,122.68119049072266,5045.json,NotBuggy
4,0.13997143507003784,1,2,123.46312713623047,1454.json,NotBuggy
3,0.0031002520117908716,1,0,128.21994018554688,1731.json,NotBuggy
8,0.35668787360191345,2,1,112.48587799072266,2546.json,NotBuggy
3,0.15772369503974915,1,1,130.07347106933594,11685.json,NotBuggy
3,0.6405836939811707,1,0,131.28770446777344,2773.json,NotBuggy
3,0.8026396036148071,1,0,132.4454345703125,8473.json,NotBuggy
3,0.5693814754486084,1,0,131.28770446777344,2121.json,NotBuggy
3,0.5666608214378357,1,1,130.45266723632812,1475.json,NotBuggy
14,0.09633936733007431,5,6,96.89739990234375,7284.json,NotBuggy
3,0.25319957733154297,1,1,129.69032287597656,11890.json,NotBuggy
3,0.8402604460716248,1,0,132.4454345703125,8351.json,NotBuggy
5,0.0296008363366127,1,3,117.79822540283203,1581.json,NotBuggy
8,0.02887740731239319,2,7,107.29112243652344,10520.json,NotBuggy
3,0.6740363836288452,1,0,132.4454345703125,194.json,NotBuggy
12,0.9133234024047852,2,10,96.94022369384766,7962.json,NotBuggy
4,0.1359563022851944,1,0,124.39620971679688,1268.json,NotBuggy
6,0.037142131477594376,1,0,118.23019409179688,839.json,NotBuggy
14,0.006440465804189444,1,7,96.56790161132812,7625.json,NotBuggy
4,0.054127566516399384,1,0,124.92120361328125,6135.json,NotBuggy
3,0.2779242992401123,1,0,131.28770446777344,188.json,NotBuggy
5,0.1548272967338562,1,1,118.0445327758789,5846.json,NotBuggy
3,0.3051659166812897,1,0,131.28770446777344,821.json,NotBuggy
3,0.7995266318321228,1,1,129.34671020507812,7758.json,NotBuggy
3,0.29600971937179565,1,0,131.28770446777344,2297.json,NotBuggy
3,0.5789777040481567,1,0,132.4454345703125,366.json,NotBuggy
3,0.7321783304214478,1,0,132.4454345703125,5126.json,NotBuggy
8,0.030809538438916206,3,2,109.36955261230469,154.json,NotBuggy
3,0.14216309785842896,1,1,130.57513427734375,8312.json,NotBuggy
3,0.022179119288921356,1,1,130.18890380859375,9891.json,NotBuggy
7,0.24736878275871277,2,2,113.1577377319336,10582.json,NotBuggy
4,0.07824747264385223,1,2,124.04872131347656,4550.json,NotBuggy
7,0.1842682659626007,3,2,111.95233917236328,8864.json,NotBuggy
3,0.7646934390068054,1,1,130.99049377441406,8581.json,NotBuggy
7,0.032136064022779465,2,1,110.6667709350586,7548.json,NotBuggy
3,0.1711071878671646,1,0,132.4454345703125,84.json,NotBuggy
3,0.13557155430316925,1,1,129.7158966064453,7711.json,NotBuggy
3,0.6244064569473267,1,0,132.4454345703125,9134.json,NotBuggy
3,0.8192706108093262,1,1,131.1535186767578,7450.json,NotBuggy
3,0.009897254407405853,1,0,132.43687438964844,3127.json,NotBuggy
3,0.8849436640739441,1,0,132.4454345703125,8698.json,NotBuggy
3,0.7928205132484436,1,1,132.086669921875,9145.json,NotBuggy
3,0.6002156734466553,1,0,133.59722900390625,574.json,NotBuggy
3,0.4446139335632324,1,0,131.28770446777344,2191.json,NotBuggy
3,0.719641387462616,1,0,132.4454345703125,614.json,NotBuggy
3,0.2067074328660965,1,1,129.47398376464844,9822.json,NotBuggy
3,0.23583346605300903,1,1,130.07347106933594,5053.json,NotBuggy
18,0.024917718023061752,4,7,91.68330383300781,5249.json,NotBuggy
4,0.036803238093853,1,2,121.47811889648438,7676.json,NotBuggy
6,0.015297900885343552,2,4,114.5076675415039,7662.json,NotBuggy
