SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
3,0.9235057830810547,0.9082679409010616,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,2810.json,NotBuggy
17,0.01930048316717148,1.7106280656011627E-7,2,1,3,3,4.94,1,5,128.0,90.10555267333984,0,1,7,0,0,5277.json,Buggy
5,0.7601523995399475,0.8240151323775787,1,1,2,2,5.99,0,1,24.0,120.6200180053711,0,0,0,0,0,922.json,NotBuggy
19,0.006082402542233467,2.4671561894288697E-7,0,0,0,4,4.28,1,7,141.0,87.6475830078125,0,1,5,0,0,274.json,NotBuggy
4,0.5584523677825928,0.1202915961844672,0,0,0,1,4.9,0,4,42.0,120.95767974853516,0,1,0,0,0,3599.json,NotBuggy
7,0.309130996465683,0.01446672556388324,2,3,5,4,1.81,0,3,62.0,108.87591552734375,0,1,1,0,0,2930.json,NotBuggy
3,0.8175028562545776,0.7971853115227512,0,0,0,1,1.89,0,1,21.0,130.05470275878906,0,0,0,0,0,3191.json,NotBuggy
3,0.9235057830810547,0.9082679409010616,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,2812.json,NotBuggy
13,0.04278020188212395,0.004420207283330105,3,2,5,3,5.66,3,4,81.0,97.53760528564453,0,1,2,0,0,5045.json,NotBuggy
33,0.06202000379562378,0.0015361675221264453,1,1,2,2,5.28,2,1,146.0,79.03742218017578,0,0,2,0,0,4917.json,NotBuggy
3,0.5020562410354614,0.9485784741002395,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,4795.json,NotBuggy
3,0.7612021565437317,0.9476528303828204,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,2773.json,NotBuggy
3,0.27758485078811646,0.5410472838766989,0,0,0,1,3.77,0,1,22.0,129.47398376464844,0,0,0,0,0,2953.json,NotBuggy
4,0.14743997156620026,0.4615690298184291,0,0,0,1,2.0,0,2,29.0,123.19084167480469,0,1,0,0,0,4376.json,NotBuggy
3,0.5934724807739258,0.8857753517993264,1,1,2,2,1.89,0,1,17.0,130.9235076904297,0,0,0,0,0,2742.json,NotBuggy
13,0.033909671008586884,4.245952764581975E-6,3,2,5,4,3.2,2,4,108.0,95.1817855834961,0,3,4,0,0,194.json,Buggy
7,0.06998755037784576,0.041391519025797976,0,0,0,1,1.81,0,3,51.0,110.69306182861328,0,1,1,0,0,188.json,NotBuggy
3,0.6372058391571045,0.7685849910791266,0,0,0,1,1.89,0,0,16.0,131.46876525878906,0,0,0,0,0,5029.json,NotBuggy
13,0.09903869032859802,9.020625138176623E-4,0,0,0,4,4.18,2,4,88.0,96.35874938964844,0,2,3,0,0,5527.json,Buggy
2,0.9978325366973877,0.9907400745038032,0,0,0,1,0.0,0,0,9.0,142.4026641845703,0,0,0,0,0,1404.json,NotBuggy
13,0.009579287841916084,7.498687427834903E-4,0,0,0,2,3.34,2,5,84.0,97.2193374633789,0,0,2,0,0,3045.json,NotBuggy
3,0.5192803740501404,0.8539219883388569,0,0,0,1,1.89,0,2,18.0,130.99049377441406,0,0,0,0,0,1423.json,NotBuggy
5,0.005267550703138113,0.03770943792016932,3,2,5,2,2.99,0,4,47.0,116.22709655761719,0,1,0,0,0,3127.json,NotBuggy
5,0.012551709078252316,0.2860374479241739,0,0,0,1,5.43,0,3,36.0,118.54136657714844,0,1,0,0,0,898.json,NotBuggy
3,0.9277615547180176,0.9641530039307813,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,574.json,NotBuggy
3,0.9112564921379089,0.8443323006008158,0,0,0,1,1.89,0,0,21.0,130.05470275878906,0,1,0,0,0,4898.json,NotBuggy
15,0.004543530289083719,2.2046491559672676E-10,3,2,5,4,3.16,2,9,158.0,90.54759216308594,0,2,5,0,0,5053.json,Buggy
20,0.0,1.002862939228815E-11,2,3,5,4,12.58,1,22,189.0,84.7486801147461,0,2,5,0,0,5249.json,Buggy
3,0.07198993116617203,0.4333289986993898,0,0,0,1,1.89,0,1,24.0,129.0215301513672,0,1,0,0,0,2987.json,NotBuggy
3,0.9279651045799255,0.9804471999132195,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,1402.json,NotBuggy
3,0.35681262612342834,0.9736860765570017,0,0,0,1,1.89,0,0,13.0,132.9956512451172,0,0,0,0,0,1601.json,NotBuggy
6,0.28292781114578247,0.640503365308425,0,0,0,2,2.75,1,3,32.0,115.97023010253906,0,0,1,0,0,681.json,NotBuggy
3,0.07032320648431778,0.4818863028566822,0,0,0,1,1.89,0,4,27.0,128.51292419433594,0,1,0,0,0,4350.json,Buggy
65,0.0,1.3337572988169233E-29,10,11,21,12,7.46,5,41,467.0,59.065086364746094,0,0,6,0,0,3121.json,Buggy
4,0.2123926281929016,0.285961645697913,0,0,0,1,6.63,0,0,28.0,123.21045684814453,0,4,0,0,0,572.json,NotBuggy
3,0.695430338382721,0.9204839257696652,0,0,0,1,1.89,0,1,15.0,132.25152587890625,0,0,0,0,0,5187.json,NotBuggy
3,0.3106670379638672,0.774994275657224,0,0,0,1,1.89,0,2,19.0,130.70933532714844,0,0,0,0,0,4979.json,NotBuggy
4,0.6760580539703369,0.8682976145050428,0,0,0,1,2.0,0,1,20.0,125.5254898071289,0,1,0,0,0,3255.json,NotBuggy
3,0.7340269088745117,0.8636361029038452,0,0,0,1,1.89,0,1,18.0,130.85629272460938,0,1,0,0,0,3235.json,NotBuggy
3,0.785973310470581,0.8760592203439301,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,5213.json,NotBuggy
8,0.03010515309870243,0.06361165680154945,2,1,3,2,3.12,1,5,52.0,108.14181518554688,0,1,1,0,0,651.json,NotBuggy
4,0.011976090259850025,0.11399489712014894,1,1,2,2,2.0,0,2,41.0,120.78662109375,0,1,0,0,0,3149.json,NotBuggy
3,0.7758607864379883,0.9456843416498243,0,0,0,1,1.89,0,1,15.0,132.25152587890625,0,0,0,0,0,3225.json,NotBuggy
3,0.8469435572624207,0.7197675742887049,0,0,0,1,1.89,0,0,20.0,130.18594360351562,0,1,0,0,0,680.json,NotBuggy
4,0.29131263494491577,0.6976050391757957,0,0,0,1,3.32,0,1,23.0,124.48601531982422,0,0,0,0,0,5094.json,Buggy
3,0.7932906150817871,0.8282851226378686,0,0,0,1,1.89,0,0,17.0,131.03103637695312,0,1,0,0,0,4393.json,NotBuggy
3,0.8170433044433594,0.8183135541237788,0,0,0,1,3.77,0,1,15.0,132.25152587890625,0,0,0,0,0,3453.json,NotBuggy
10,0.002089907880872488,0.004060296525654049,0,0,0,1,3.69,1,2,71.0,102.88714599609375,0,2,0,0,0,1051.json,NotBuggy
3,0.05882079154253006,0.4762277584006915,0,0,0,1,1.89,0,1,24.0,128.83535766601562,0,0,0,0,0,3055.json,NotBuggy
4,0.9087103605270386,0.8632084568633319,0,0,0,1,1.0,0,1,18.0,126.19583892822266,0,0,0,0,0,3901.json,NotBuggy
8,0.0,4.89791642952391E-4,0,0,0,1,0.87,0,14,86.0,106.0019760131836,0,1,0,0,0,3957.json,NotBuggy
