SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
3,0.45973777770996094,0.9350724886418743,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,35375.json,NotBuggy
3,0.9114326238632202,0.9315331479962919,0,0,0,1,0.94,0,1,13.0,133.18099975585938,0,0,0,0,0,21852.json,NotBuggy
6,0.32753464579582214,0.6219477123627452,2,2,4,2,1.37,1,2,31.0,115.96150970458984,0,1,0,0,0,20823.json,NotBuggy
6,0.8772521615028381,0.7801881635251103,1,1,2,2,1.37,1,2,28.0,116.7609634399414,0,0,0,0,0,9640.json,NotBuggy
3,0.7976735234260559,0.8790591936882277,0,0,0,1,0.94,0,0,13.0,132.9956512451172,0,0,0,0,0,23917.json,NotBuggy
22,0.003731799777597189,2.9791268205785136E-5,4,3,7,5,2.06,2,17,129.0,85.81053924560547,0,1,0,0,0,20080.json,Buggy
3,0.7494975924491882,0.8863464182281361,0,0,0,1,1.89,0,0,17.0,131.28770446777344,0,1,0,0,0,34508.json,NotBuggy
29,0.06596702337265015,6.886726694387144E-5,7,6,13,6,4.68,5,8,131.0,80.86180114746094,0,2,4,0,0,14843.json,NotBuggy
3,0.9929409027099609,0.9409581963335819,0,0,0,1,0.98,0,0,12.0,133.59722900390625,1,0,0,0,0,7760.json,NotBuggy
3,0.9980562925338745,0.9684635254854917,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,4953.json,NotBuggy
3,0.03599361330270767,0.15964986589692637,0,0,0,1,0.94,0,3,32.0,127.25540161132812,0,0,0,0,0,31542.json,NotBuggy
3,0.8390688896179199,0.9266841566170804,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,13448.json,NotBuggy
22,0.004249553196132183,1.2384584195889703E-7,4,4,8,5,1.37,1,15,166.0,84.53504180908203,0,0,3,0,0,9801.json,NotBuggy
3,0.8728333115577698,0.5506165603105949,0,0,0,1,0.94,0,0,26.0,128.50894165039062,0,2,0,0,0,36022.json,NotBuggy
10,0.3037261366844177,0.11980266782496456,0,0,0,2,1.56,1,6,53.0,104.54479217529297,0,0,0,0,0,27723.json,NotBuggy
30,0.0012597385793924332,2.340832197560538E-10,7,8,15,9,3.37,5,6,202.0,77.17678833007812,0,2,3,0,0,32217.json,NotBuggy
3,0.8459007143974304,0.8710891250171037,0,0,0,1,1.41,0,1,15.0,132.086669921875,0,0,0,0,0,31928.json,NotBuggy
3,0.8113192319869995,0.917499276886746,0,0,0,1,0.94,0,0,13.0,132.9956512451172,0,0,0,0,0,6599.json,NotBuggy
6,0.2826177477836609,0.68776899244685,1,1,2,2,2.75,1,0,33.0,115.63639831542969,0,0,0,0,0,35437.json,NotBuggy
3,0.9471936225891113,0.8890145421684492,0,0,0,1,0.94,0,0,13.0,132.9956512451172,0,0,0,0,0,10470.json,NotBuggy
3,0.8813431262969971,0.9261939055986047,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,37266.json,NotBuggy
308,0.0,2.0866763473427546E-125,31,33,64,49,3.35,7,160,1740.0,17.42413330078125,1,0,53,0,0,16880.json,NotBuggy
3,0.7950810194015503,0.7844930275037492,0,0,0,1,0.94,0,1,17.0,131.28770446777344,0,1,0,0,0,17071.json,NotBuggy
23,0.0053323437459766865,2.9338417489332423E-6,6,8,14,9,2.17,3,6,138.0,83.7850341796875,0,1,2,0,0,20426.json,NotBuggy
3,0.6220393776893616,0.9368316191981269,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,35771.json,NotBuggy
