SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
4,0.8789423108100891,0.939257710840978,0,0,0,1,3.46,0,0,12.0,128.936767578125,0,0,0,0,0,104.json,NotBuggy
24,0.13727565109729767,0.005067547285605031,5,5,10,5,6.9,2,4,108.0,85.32489776611328,0,1,3,0,0,2260.json,NotBuggy
4,0.9871492981910706,0.9294289469375332,0,0,0,1,3.92,0,0,12.0,128.936767578125,0,0,0,0,0,4953.json,NotBuggy
60,0.0,8.676135935585406E-16,13,13,26,10,12.0,4,31,317.0,62.9973258972168,0,0,8,0,0,7289.json,Buggy
7,0.0028673759661614895,0.08342359566087226,0,0,0,1,3.96,0,2,46.0,111.41885375976562,0,3,1,0,0,6599.json,NotBuggy
4,0.8474931120872498,0.8964940843007645,0,0,0,1,3.46,0,0,13.0,128.335205078125,0,0,0,0,0,3678.json,NotBuggy
5,0.5718691349029541,0.6895193575466086,0,0,0,1,3.92,0,3,27.0,120.237548828125,0,1,0,0,0,2810.json,NotBuggy
10,0.1010248064994812,0.10378896774190535,1,1,2,2,4.8,1,2,51.0,104.68492889404297,0,0,2,0,0,2294.json,NotBuggy
4,0.34492260217666626,0.8191670927382697,0,0,0,1,3.46,0,0,19.0,125.91468811035156,0,1,0,0,0,1843.json,NotBuggy
10,0.3374297618865967,0.027039611150401013,2,1,3,2,5.6,1,3,57.0,103.89303588867188,0,0,2,0,0,2249.json,NotBuggy
4,0.8231902718544006,0.8953832850260476,0,0,0,1,3.46,0,0,16.0,127.25547790527344,0,0,0,0,0,3815.json,NotBuggy
4,0.0025868702214211226,0.5531994716369646,0,0,0,1,3.46,0,0,26.0,123.94486236572266,0,2,0,0,0,4587.json,NotBuggy
5,0.3355536460876465,0.11008244392718174,0,0,0,1,3.92,0,5,40.0,117.7408218383789,0,1,2,0,0,8517.json,NotBuggy
7,0.7718167304992676,0.6834928638189275,1,1,2,2,5.6,1,0,30.0,113.55591583251953,0,0,0,0,0,3848.json,NotBuggy
4,0.5693047642707825,0.8578927751718063,0,0,0,1,3.46,0,0,18.0,126.19583892822266,0,1,0,0,0,6177.json,Buggy
4,0.9162308573722839,0.9244455056487231,0,0,0,1,3.46,0,0,16.0,127.25547790527344,0,0,0,0,0,274.json,NotBuggy
4,0.7479520440101624,0.5444237686970255,0,0,0,1,3.46,0,0,24.0,124.26470947265625,0,1,0,0,0,3599.json,NotBuggy
3,0.9458854794502258,0.9515937358385151,0,0,0,1,0.0,0,0,9.0,135.83412170410156,0,0,0,0,0,260.json,NotBuggy
