SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
15,0.04274492338299751,4,6,94.56640625,104.json,NotBuggy
19,0.0,4,21,86.04798889160156,21852.json,NotBuggy
14,9.412794024683535E-4,4,2,94.72486114501953,20823.json,NotBuggy
3,0.04314345866441727,1,1,129.81976318359375,21746.json,NotBuggy
4,0.006733680609613657,1,1,122.12659454345703,9640.json,NotBuggy
3,0.38081610202789307,1,1,131.28770446777344,761.json,NotBuggy
3,0.02721010334789753,1,0,132.4454345703125,20080.json,NotBuggy
10,0.0,3,16,100.51837158203125,2260.json,NotBuggy
31,0.0,8,14,77.73289489746094,14843.json,NotBuggy
2,0.907437264919281,1,0,137.8562469482422,7760.json,NotBuggy
12,0.019909683614969254,2,6,99.29071044921875,4953.json,NotBuggy
5,0.6509062051773071,1,1,122.167236328125,13448.json,NotBuggy
3,0.20014990866184235,1,0,130.7338104248047,9801.json,NotBuggy
26,0.0,6,27,79.58116912841797,10470.json,Buggy
3,0.18799708783626556,1,3,128.60531616210938,16880.json,NotBuggy
3,0.322725772857666,1,2,130.44261169433594,20426.json,NotBuggy
3,0.30652353167533875,1,0,131.9385528564453,17141.json,NotBuggy
2,0.923333466053009,1,0,140.82913208007812,22852.json,NotBuggy
4,0.36114802956581116,1,2,124.361083984375,16005.json,NotBuggy
3,0.7421385049819946,1,1,131.60296630859375,17150.json,NotBuggy
5,0.03096025623381138,2,1,118.51115417480469,20560.json,NotBuggy
2,0.994819164276123,1,0,140.82913208007812,13847.json,NotBuggy
3,0.8269935846328735,1,1,130.34019470214844,15403.json,Buggy
3,0.9419820308685303,1,0,133.59722900390625,21931.json,NotBuggy
3,0.0,1,3,125.24687957763672,1843.json,NotBuggy
4,0.0,1,1,121.70132446289062,5277.json,NotBuggy
11,0.047049615532159805,3,3,100.26251220703125,12309.json,NotBuggy
3,0.038313332945108414,1,0,129.57785034179688,474.json,NotBuggy
3,0.8283579349517822,1,0,130.7338104248047,5352.json,NotBuggy
3,0.5017055869102478,1,1,132.25152587890625,5916.json,NotBuggy
3,0.9477702379226685,1,0,133.59722900390625,6394.json,NotBuggy
3,0.5836777687072754,1,1,131.28770446777344,12174.json,NotBuggy
3,0.1927500069141388,1,1,128.50894165039062,6177.json,NotBuggy
3,0.8464732766151428,1,0,134.26058959960938,21211.json,NotBuggy
5,0.09260955452919006,2,1,120.0075454711914,12836.json,NotBuggy
9,0.03260931372642517,3,5,106.08460998535156,19018.json,NotBuggy
3,0.010612212121486664,1,1,129.57785034179688,274.json,NotBuggy
3,0.207870215177536,1,0,130.85629272460938,9750.json,NotBuggy
5,0.9824704527854919,1,2,120.7502212524414,22468.json,NotBuggy
34,0.0,11,39,72.3963394165039,10899.json,NotBuggy
3,0.842039167881012,1,0,132.9956512451172,21413.json,NotBuggy
3,0.07367919385433197,1,0,130.34019470214844,3599.json,NotBuggy
3,0.6328245401382446,1,0,132.4454345703125,260.json,NotBuggy
3,0.45473870635032654,1,0,131.75106811523438,7920.json,NotBuggy
4,0.5772870182991028,2,4,121.6757583618164,6974.json,NotBuggy
12,0.012729893438518047,2,2,100.41293334960938,15933.json,NotBuggy
4,0.1334502100944519,2,3,121.61000061035156,5181.json,NotBuggy
3,0.8248218894004822,1,0,133.59722900390625,21469.json,NotBuggy
8,0.7157684564590454,2,1,110.74185943603516,15918.json,NotBuggy
3,0.6989433765411377,1,1,130.85629272460938,2930.json,NotBuggy
3,0.008823506534099579,1,3,128.0374755859375,22191.json,NotBuggy
23,0.0017147311009466648,5,12,84.21884155273438,17016.json,NotBuggy
3,0.5316775441169739,1,1,130.7338104248047,7453.json,NotBuggy
34,1.2127638910897076E-4,8,11,74.41328430175781,10773.json,NotBuggy
10,0.002827661344781518,3,5,101.57451629638672,21521.json,NotBuggy
3,0.9240813851356506,1,0,133.59722900390625,11138.json,NotBuggy
12,1.5475842519663274E-4,2,17,96.20524597167969,21319.json,NotBuggy
3,0.9398099184036255,1,0,133.59722900390625,794.json,NotBuggy
2,0.9375988841056824,1,0,140.82913208007812,20412.json,NotBuggy
3,0.736964225769043,1,1,130.18890380859375,3191.json,NotBuggy
3,0.04543042555451393,1,0,131.46876525878906,11590.json,NotBuggy
3,0.07601456344127655,1,2,129.2378692626953,12805.json,NotBuggy
3,0.960357129573822,1,0,131.46876525878906,9979.json,NotBuggy
23,0.0017093176720663905,6,11,86.05191802978516,15807.json,NotBuggy
5,0.04109681025147438,2,2,117.77186584472656,20134.json,NotBuggy
3,0.31243622303009033,1,0,131.03103637695312,326.json,NotBuggy
3,0.9176490306854248,1,0,133.59722900390625,21242.json,NotBuggy
12,0.023867959156632423,4,3,97.55455780029297,5045.json,NotBuggy
9,0.2164517343044281,2,3,105.74180603027344,10336.json,NotBuggy
3,0.7815331220626831,1,1,129.7158966064453,4917.json,NotBuggy
3,0.26183342933654785,1,0,132.4454345703125,4180.json,NotBuggy
8,0.0018492713570594788,1,9,105.88146209716797,16446.json,NotBuggy
3,0.35772526264190674,1,2,128.50894165039062,4795.json,NotBuggy
3,0.7070155143737793,1,1,130.05470275878906,1731.json,NotBuggy
3,0.9881101250648499,1,0,129.37762451171875,15772.json,NotBuggy
4,0.3071318566799164,1,4,123.55950164794922,20283.json,NotBuggy
3,0.07682846486568451,1,0,133.59722900390625,11728.json,NotBuggy
8,0.01630363054573536,1,4,107.42060089111328,11685.json,NotBuggy
20,0.006681980099529028,4,11,88.89263916015625,22714.json,NotBuggy
3,0.488883912563324,1,0,132.4454345703125,8473.json,NotBuggy
4,0.09775110334157944,1,4,121.02215576171875,20567.json,NotBuggy
3,0.597951352596283,2,0,124.98518371582031,15842.json,NotBuggy
3,0.3553372919559479,1,0,131.03103637695312,2121.json,NotBuggy
3,0.9456626772880554,1,0,133.59722900390625,5570.json,NotBuggy
4,0.8000303506851196,1,0,125.27178192138672,12972.json,NotBuggy
3,0.19649511575698853,1,1,129.61952209472656,16469.json,NotBuggy
3,0.07689515501260757,1,1,129.2428436279297,2953.json,NotBuggy
9,1.484186213929206E-4,4,10,103.02967071533203,10234.json,NotBuggy
3,0.8771911859512329,1,0,132.9956512451172,21471.json,NotBuggy
3,0.8225943446159363,1,0,132.4454345703125,21231.json,NotBuggy
4,0.27612578868865967,1,2,123.47842407226562,7870.json,NotBuggy
37,0.0,8,15,71.45113372802734,18293.json,NotBuggy
36,0.0,9,23,72.45686340332031,20871.json,NotBuggy
13,0.01029567327350378,4,9,96.22001647949219,88.json,NotBuggy
3,0.6766259670257568,1,0,133.59722900390625,12122.json,NotBuggy
7,0.13430991768836975,2,7,111.76275634765625,20289.json,NotBuggy
23,0.0,6,20,82.5822982788086,9125.json,Buggy
26,0.0,7,17,79.84320068359375,14124.json,NotBuggy
13,0.0,1,9,97.6191177368164,7284.json,NotBuggy
3,0.03848569095134735,1,2,128.1388702392578,18132.json,NotBuggy
3,0.3387793302536011,1,0,133.59722900390625,11890.json,NotBuggy
3,0.5348673462867737,1,1,132.25152587890625,12814.json,NotBuggy
3,0.3333642780780792,1,0,128.53907775878906,14130.json,NotBuggy
3,0.5299520492553711,1,1,129.14646911621094,3156.json,NotBuggy
2,0.9151550531387329,1,0,139.56419372558594,9701.json,NotBuggy
3,0.3798450529575348,1,1,130.34019470214844,6292.json,NotBuggy
4,0.029990779235959053,1,2,121.90575408935547,12625.json,NotBuggy
5,0.011032105423510075,2,3,117.182861328125,20488.json,NotBuggy
4,0.31894081830978394,1,5,122.84404754638672,20282.json,NotBuggy
2,0.9151550531387329,1,0,139.56419372558594,20671.json,NotBuggy
3,0.7641180157661438,1,0,131.28770446777344,8305.json,NotBuggy
4,0.10613538324832916,1,2,123.65223693847656,20361.json,NotBuggy
3,0.9159431457519531,1,0,133.59722900390625,15054.json,NotBuggy
7,0.0,2,7,105.84227752685547,12011.json,NotBuggy
7,0.6387796998023987,2,1,113.060302734375,8351.json,NotBuggy
6,0.3723446726799011,1,6,113.84972381591797,22832.json,NotBuggy
3,0.07601456344127655,1,2,129.2378692626953,12806.json,NotBuggy
44,0.0,11,23,67.91221618652344,1747.json,NotBuggy
3,0.5299833416938782,1,0,133.59722900390625,12343.json,NotBuggy
15,0.0,3,18,91.32996368408203,10520.json,NotBuggy
5,0.39447247982025146,3,2,116.33476257324219,19292.json,NotBuggy
3,0.13905170559883118,1,1,131.43582153320312,194.json,NotBuggy
4,0.1186770647764206,1,3,122.85169219970703,16713.json,NotBuggy
40,8.215492707677186E-4,8,27,73.40280151367188,18486.json,NotBuggy
3,3.226779226679355E-4,1,3,126.20867156982422,6816.json,NotBuggy
4,2.3860277724452317E-4,1,10,119.12339782714844,1268.json,NotBuggy
4,0.5490074157714844,2,1,122.54744720458984,17858.json,NotBuggy
3,0.6180436015129089,1,1,131.28770446777344,17365.json,NotBuggy
3,0.8165181279182434,1,0,132.4454345703125,17358.json,NotBuggy
4,0.012573744170367718,1,3,122.5949478149414,17694.json,NotBuggy
4,0.008203824982047081,1,0,122.7774429321289,5395.json,NotBuggy
2,0.943891704082489,1,0,139.56419372558594,3881.json,NotBuggy
4,0.5768383145332336,1,2,122.93054962158203,16489.json,NotBuggy
3,0.0400974340736866,1,2,127.59099578857422,7625.json,NotBuggy
7,0.6565859317779541,2,1,113.060302734375,6135.json,NotBuggy
71,0.0,13,43,57.930965423583984,7498.json,NotBuggy
3,0.6461148858070374,1,1,131.28770446777344,15673.json,NotBuggy
3,0.12696698307991028,1,1,131.91592407226562,188.json,NotBuggy
22,0.020857008174061775,7,7,85.75454711914062,12308.json,NotBuggy
13,0.6362817883491516,4,0,97.82990264892578,15126.json,NotBuggy
15,0.06831725686788559,5,6,94.06331634521484,8540.json,NotBuggy
7,5.826032138429582E-4,2,9,108.65977478027344,20827.json,NotBuggy
11,0.005500731989741325,3,4,100.97896575927734,20173.json,NotBuggy
6,0.062324512749910355,1,5,113.84114837646484,16777.json,NotBuggy
19,0.25112366676330566,1,5,91.407958984375,15168.json,NotBuggy
3,0.025564933195710182,1,0,129.2378692626953,14119.json,NotBuggy
3,0.022038821130990982,1,3,127.76728820800781,20253.json,NotBuggy
6,0.161963552236557,2,3,115.48116302490234,22200.json,NotBuggy
3,0.0014808943960815668,1,1,127.50450134277344,20042.json,NotBuggy
