SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
3,0.8777850866317749,1,1,131.28770446777344,104.json,NotBuggy
4,0.9889757633209229,1,1,127.42622375488281,761.json,NotBuggy
6,0.1688295602798462,2,1,116.21601867675781,7760.json,NotBuggy
14,0.7662979960441589,4,1,99.3880386352539,4953.json,NotBuggy
2,0.9986361861228943,1,0,139.56419372558594,7289.json,NotBuggy
3,0.8691189289093018,1,0,133.59722900390625,6599.json,NotBuggy
4,0.1025218516588211,2,0,122.2049331665039,5747.json,NotBuggy
23,0.17145302891731262,7,4,86.42903900146484,2810.json,NotBuggy
6,0.930856466293335,2,1,118.98362731933594,2294.json,NotBuggy
7,0.9359785914421082,1,2,114.21487426757812,1843.json,NotBuggy
3,0.9361137747764587,1,0,133.59722900390625,2249.json,NotBuggy
13,8.103560539893806E-4,3,12,95.93299865722656,3815.json,NotBuggy
3,0.9923046827316284,1,2,130.05470275878906,3173.json,NotBuggy
3,0.7811253070831299,1,1,130.99049377441406,5277.json,NotBuggy
3,0.8132361173629761,1,0,132.9956512451172,4587.json,NotBuggy
3,0.446084588766098,1,0,132.25152587890625,474.json,NotBuggy
6,0.14399784803390503,2,3,114.4288101196289,5352.json,Buggy
11,0.5355637073516846,1,0,102.48518371582031,5916.json,NotBuggy
170,0.0,1,66,36.5216064453125,6394.json,NotBuggy
4,0.9894986748695374,1,0,126.19583892822266,8517.json,NotBuggy
3,0.18942169845104218,1,1,132.25152587890625,3848.json,NotBuggy
38,0.0,9,18,72.57170867919922,4535.json,NotBuggy
4,0.4569475054740906,1,2,126.1969985961914,6177.json,NotBuggy
3,0.8141681551933289,1,2,130.70933532714844,274.json,NotBuggy
3,0.047085054218769073,1,0,129.47398376464844,3599.json,NotBuggy
14,0.15632589161396027,6,0,97.85857391357422,260.json,NotBuggy
10,0.019057320430874825,1,2,103.65361022949219,7920.json,NotBuggy
5,0.29887285828590393,2,1,116.62464904785156,6974.json,NotBuggy
3,0.9689173698425293,1,0,130.18594360351562,5181.json,NotBuggy
6,0.977556049823761,1,1,118.11772155761719,3511.json,NotBuggy
7,0.26326465606689453,3,2,110.78065490722656,2930.json,NotBuggy
3,0.41284263134002686,1,0,132.25152587890625,8103.json,NotBuggy
3,0.9495165348052979,1,0,132.9956512451172,7453.json,NotBuggy
2,0.45732343196868896,1,0,139.56419372558594,2527.json,NotBuggy
1,0.9917068481445312,1,0,150.7931671142578,3466.json,NotBuggy
4,0.453424870967865,1,1,127.27810668945312,794.json,NotBuggy
15,0.1481529027223587,4,7,95.31534576416016,3191.json,NotBuggy
9,0.5780439972877502,1,6,107.23572540283203,26.json,NotBuggy
3,0.1303783357143402,1,0,131.1385955810547,326.json,NotBuggy
