SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
3,0.7958027720451355,1,0,132.4454345703125,104.json,NotBuggy
21,0.008962912485003471,4,9,87.564453125,1843.json,NotBuggy
14,0.01780790090560913,3,9,94.43236541748047,474.json,Buggy
9,0.013474694453179836,2,5,104.30687713623047,922.json,Buggy
4,0.8197059631347656,1,0,125.79222106933594,260.json,NotBuggy
3,0.3733134865760803,1,0,131.28770446777344,2527.json,NotBuggy
3,0.7067021727561951,1,1,132.25152587890625,26.json,NotBuggy
4,0.7991421818733215,1,0,125.79222106933594,326.json,NotBuggy
8,0.02071489952504635,2,5,107.41751861572266,2812.json,Buggy
11,0.7560816407203674,2,2,107.13067626953125,1454.json,NotBuggy
9,0.4301929175853729,2,3,107.27902221679688,1731.json,NotBuggy
3,0.41790494322776794,1,0,133.18099975585938,2546.json,NotBuggy
4,0.7495469450950623,1,0,125.79222106933594,2121.json,NotBuggy
4,0.20976465940475464,1,0,123.96263122558594,2094.json,NotBuggy
93,0.0,28,52,48.42460632324219,1475.json,NotBuggy
16,0.005055613815784454,3,7,92.71894073486328,88.json,Buggy
3,0.7026416659355164,1,1,130.99049377441406,2742.json,NotBuggy
9,0.5500848889350891,2,3,107.84432220458984,1747.json,NotBuggy
10,0.0013349358923733234,2,8,102.04037475585938,1581.json,NotBuggy
3,0.880047619342804,1,0,135.83412170410156,194.json,NotBuggy
5,0.511682391166687,2,1,118.92383575439453,1268.json,NotBuggy
4,0.45073339343070984,1,1,125.67974090576172,1871.json,NotBuggy
4,0.9360744953155518,1,0,128.936767578125,188.json,NotBuggy
3,0.15586312115192413,1,1,130.30841064453125,632.json,NotBuggy
4,0.9673378467559814,1,0,128.335205078125,1404.json,NotBuggy
4,0.8077273368835449,1,0,125.79222106933594,366.json,NotBuggy
21,0.0010532161686569452,2,7,86.1091079711914,154.json,NotBuggy
3,0.7683966755867004,1,0,132.4454345703125,2739.json,NotBuggy
10,9.214032907038927E-4,2,4,102.12874603271484,908.json,NotBuggy
6,0.6567857265472412,1,2,114.6588134765625,2710.json,NotBuggy
18,0.002505055395886302,4,13,90.77888488769531,799.json,NotBuggy
5,0.1801479011774063,1,2,119.57592010498047,544.json,NotBuggy
4,0.02215450070798397,1,2,123.10436248779297,1605.json,NotBuggy
44,0.0,6,19,69.90885162353516,1556.json,NotBuggy
4,0.3005369305610657,1,1,124.4649429321289,629.json,NotBuggy
4,0.8134622573852539,1,0,128.936767578125,1646.json,NotBuggy
13,0.09354725480079651,3,4,99.68614196777344,1402.json,NotBuggy
4,0.5307674407958984,1,0,126.19583892822266,884.json,NotBuggy
4,0.9311137199401855,1,0,128.936767578125,885.json,NotBuggy
21,0.07874003797769547,5,9,88.45153045654297,1601.json,NotBuggy
8,0.11790543049573898,2,3,108.78446960449219,572.json,NotBuggy
4,0.6387691497802734,1,1,125.67974090576172,1790.json,NotBuggy
3,0.8681986927986145,1,0,130.99049377441406,1136.json,NotBuggy
4,0.7618486285209656,1,0,126.62725830078125,319.json,NotBuggy
12,4.6126413508318365E-4,1,10,97.5270004272461,59.json,NotBuggy
22,0.012843238189816475,5,13,85.16786193847656,1469.json,NotBuggy
4,0.7022939920425415,1,0,126.62725830078125,370.json,NotBuggy
4,0.17265677452087402,1,1,124.4649429321289,651.json,NotBuggy
3,0.8367799520492554,1,0,131.9385528564453,510.json,NotBuggy
3,0.8178555965423584,1,0,133.59722900390625,2816.json,NotBuggy
4,0.2184639871120453,1,1,124.6862564086914,680.json,NotBuggy
4,0.9664027690887451,1,0,128.936767578125,549.json,NotBuggy
3,0.7364437580108643,1,1,131.75106811523438,1150.json,NotBuggy
4,0.8150073885917664,1,0,125.79222106933594,387.json,NotBuggy
4,0.7583714723587036,1,0,126.62725830078125,248.json,NotBuggy
3,0.9408955574035645,1,0,133.59722900390625,2801.json,NotBuggy
16,0.011205734685063362,4,10,93.75679016113281,95.json,NotBuggy
4,0.3993903398513794,1,2,123.96263122558594,120.json,NotBuggy
3,0.4514847993850708,1,0,132.9956512451172,1127.json,NotBuggy
4,0.38956218957901,1,1,125.67974090576172,1893.json,NotBuggy
8,0.2049023061990738,2,4,109.64305114746094,2481.json,NotBuggy
20,0.0025546224787831306,2,9,88.08897399902344,44.json,NotBuggy
3,0.937061607837677,1,0,132.9956512451172,1276.json,NotBuggy
3,0.5130431652069092,1,0,131.28770446777344,2566.json,NotBuggy
15,0.1615634560585022,6,6,95.05167388916016,2714.json,NotBuggy
3,0.8067767024040222,1,1,131.1535186767578,481.json,NotBuggy
4,0.7721176743507385,1,4,121.84000396728516,2789.json,NotBuggy
3,0.7562012672424316,1,0,132.4454345703125,1239.json,NotBuggy
12,4.129770095460117E-4,3,14,95.77702331542969,1046.json,Buggy
54,0.0,12,26,65.24838256835938,827.json,Buggy
23,0.004777810536324978,4,10,85.68473815917969,1856.json,NotBuggy
6,0.23402699828147888,2,2,111.88763427734375,2551.json,NotBuggy
4,0.7649180889129639,1,0,125.79222106933594,359.json,NotBuggy
12,0.22623439133167267,3,4,100.07637023925781,2809.json,NotBuggy
12,0.033336903899908066,2,2,100.62734985351562,1066.json,NotBuggy
3,0.7768514156341553,1,0,131.9385528564453,485.json,NotBuggy
4,0.9233944416046143,1,0,127.27810668945312,1730.json,NotBuggy
4,0.8642770648002625,1,0,127.27810668945312,124.json,NotBuggy
3,0.8437293767929077,1,0,132.086669921875,2523.json,NotBuggy
17,0.38592657446861267,4,6,93.87142944335938,2344.json,NotBuggy
4,0.8204854130744934,1,0,125.79222106933594,258.json,NotBuggy
4,0.7014667987823486,1,0,126.62725830078125,226.json,NotBuggy
4,0.8417919874191284,1,0,125.79222106933594,309.json,NotBuggy
4,0.5751814246177673,1,0,124.71717071533203,2140.json,NotBuggy
3,0.8772633075714111,1,2,130.05470275878906,2569.json,NotBuggy
10,0.01294819638133049,5,10,99.35419464111328,2579.json,NotBuggy
8,0.018799101933836937,2,10,107.96463012695312,2803.json,Buggy
4,0.0011739912442862988,1,4,121.68689727783203,1736.json,NotBuggy
20,0.006590639241039753,4,8,88.35962677001953,972.json,NotBuggy
4,0.7488735914230347,1,0,126.62725830078125,250.json,NotBuggy
5,0.2978772521018982,1,4,118.58592224121094,1772.json,NotBuggy
4,0.6816187500953674,1,0,126.62725830078125,306.json,NotBuggy
53,3.9321189979091287E-4,13,20,65.8280258178711,1028.json,Buggy
12,0.1277448982000351,3,7,98.34830474853516,2503.json,NotBuggy
4,0.6510538458824158,1,1,124.39620971679688,1852.json,NotBuggy
4,0.22144179046154022,1,1,124.95906829833984,1904.json,NotBuggy
4,0.7739533185958862,1,0,126.62725830078125,2103.json,NotBuggy
54,1.5461992006748915E-4,12,28,64.94498443603516,1666.json,NotBuggy
10,0.07193125784397125,2,4,103.95905303955078,2489.json,Buggy
4,0.6881301999092102,1,0,126.62725830078125,409.json,NotBuggy
4,0.8392370343208313,1,1,125.91468811035156,634.json,NotBuggy
4,0.6954191327095032,1,0,126.62725830078125,327.json,NotBuggy
26,0.07018011063337326,4,12,84.12809753417969,8.json,NotBuggy
4,0.42617908120155334,1,0,124.81353759765625,2054.json,NotBuggy
5,0.02160453610122204,1,2,118.3609390258789,1135.json,NotBuggy
4,0.9001692533493042,1,0,128.936767578125,1644.json,NotBuggy
3,0.9875554442405701,1,0,133.59722900390625,2750.json,NotBuggy
9,0.6590093374252319,2,1,108.76189422607422,1754.json,NotBuggy
3,0.6278027296066284,1,0,131.1535186767578,1129.json,NotBuggy
3,0.7899158596992493,1,0,133.59722900390625,495.json,NotBuggy
3,0.0867297425866127,1,1,129.69032287597656,1222.json,NotBuggy
12,5.739671760238707E-4,1,6,100.80984497070312,71.json,NotBuggy
3,3.7372109363786876E-4,1,2,127.02415466308594,1160.json,NotBuggy
4,0.6078125238418579,1,0,124.71717071533203,2061.json,NotBuggy
3,0.32342901825904846,1,0,131.28770446777344,2549.json,NotBuggy
14,0.0019708138424903154,3,13,96.69815063476562,2855.json,NotBuggy
4,0.7564056515693665,1,0,127.27810668945312,1890.json,NotBuggy
3,0.7880718111991882,1,0,134.26058959960938,2354.json,NotBuggy
3,0.48660483956336975,1,1,130.30841064453125,1298.json,NotBuggy
4,0.7977865934371948,1,0,127.27810668945312,2342.json,NotBuggy
3,0.7683966755867004,1,0,132.4454345703125,2723.json,NotBuggy
4,0.7859746813774109,1,0,125.79222106933594,225.json,NotBuggy
10,0.024215932935476303,2,6,103.00464630126953,1554.json,NotBuggy
4,0.8126866817474365,1,0,125.79222106933594,2111.json,NotBuggy
3,0.525043249130249,1,1,130.57513427734375,1231.json,NotBuggy
27,0.13744863867759705,4,10,83.71041870117188,1634.json,NotBuggy
23,0.0013140961527824402,6,8,84.07614135742188,2671.json,Buggy
44,0.0,8,29,68.16321563720703,2563.json,NotBuggy
4,0.614001989364624,1,0,124.71717071533203,2056.json,NotBuggy
7,0.021393684670329094,2,4,109.06884002685547,1208.json,NotBuggy
3,0.8522692918777466,1,0,133.59722900390625,2730.json,NotBuggy
4,0.08898163586854935,1,1,124.25267028808594,146.json,NotBuggy
3,0.5185463428497314,1,0,131.1535186767578,1137.json,NotBuggy
13,0.11919819563627243,4,4,97.41368103027344,2717.json,NotBuggy
4,0.6385791897773743,1,0,126.62725830078125,1589.json,NotBuggy
22,0.02796640619635582,5,9,86.47705078125,1603.json,NotBuggy
4,0.8981297612190247,1,0,126.94251251220703,1976.json,NotBuggy
3,0.45821595191955566,1,1,131.43582153320312,1264.json,NotBuggy
14,0.1263332962989807,2,7,98.13526916503906,1979.json,NotBuggy
7,0.7502651810646057,2,6,111.42000579833984,2649.json,NotBuggy
4,0.5943915247917175,1,0,124.71717071533203,2088.json,NotBuggy
16,0.04371124878525734,4,6,93.88004302978516,2683.json,NotBuggy
4,0.7022939920425415,1,0,126.62725830078125,405.json,NotBuggy
8,0.5804232358932495,2,3,111.47486877441406,845.json,NotBuggy
3,0.43014833331108093,1,1,131.60296630859375,1232.json,NotBuggy
4,0.8749716877937317,1,0,128.936767578125,1614.json,NotBuggy
32,0.0,5,22,78.21392059326172,868.json,Buggy
4,0.019635457545518875,1,0,123.75868225097656,300.json,NotBuggy
4,0.0013028705725446343,1,1,121.82937622070312,2182.json,NotBuggy
4,0.16120843589305878,1,0,128.936767578125,1237.json,NotBuggy
7,0.002668089000508189,1,3,110.78955078125,58.json,NotBuggy
7,0.3838571012020111,2,1,112.11597442626953,1658.json,NotBuggy
3,0.6846007704734802,1,0,133.59722900390625,529.json,NotBuggy
4,0.52045738697052,1,0,128.936767578125,1610.json,NotBuggy
3,0.06067996472120285,1,2,127.59099578857422,1246.json,NotBuggy
16,0.05614523962140083,4,6,94.10619354248047,2682.json,NotBuggy
4,0.6150990724563599,1,0,125.41301727294922,2119.json,NotBuggy
3,0.7443792819976807,1,0,135.83412170410156,5.json,NotBuggy
4,0.7996227741241455,1,1,125.91468811035156,638.json,NotBuggy
4,0.2901453673839569,1,0,123.87862396240234,296.json,NotBuggy
4,0.04469632729887962,1,0,123.37332153320312,2051.json,NotBuggy
4,0.8016893863677979,1,0,126.19583892822266,2044.json,NotBuggy
3,0.5057114362716675,1,2,129.93223571777344,2486.json,NotBuggy
4,0.21905788779258728,1,0,124.05243682861328,2048.json,NotBuggy
11,0.05723319947719574,3,7,103.1367416381836,98.json,NotBuggy
3,0.6483608484268188,1,0,132.61029052734375,1233.json,NotBuggy
3,0.07121510803699493,1,1,130.34019470214844,500.json,NotBuggy
3,0.6969180107116699,1,0,133.59722900390625,536.json,NotBuggy
5,0.005255645141005516,2,2,118.08222198486328,1913.json,NotBuggy
4,0.7587073445320129,1,0,126.62725830078125,2110.json,NotBuggy
10,0.0,1,14,100.42645263671875,625.json,NotBuggy
4,0.6537641286849976,1,1,125.67974090576172,1866.json,NotBuggy
4,0.7958737015724182,1,0,126.62725830078125,268.json,NotBuggy
4,0.701370120048523,1,0,127.27810668945312,1840.json,NotBuggy
4,0.5759156942367554,1,0,126.62725830078125,2138.json,NotBuggy
3,0.10036321729421616,1,2,128.50894165039062,1140.json,NotBuggy
23,0.20071586966514587,3,7,87.31710052490234,177.json,Buggy
5,0.5260777473449707,2,1,118.92383575439453,1295.json,NotBuggy
4,0.13906551897525787,1,2,125.27178192138672,1595.json,NotBuggy
117,0.0,7,111,44.7027587890625,1572.json,Buggy
3,0.4363850951194763,1,2,131.1385955810547,34.json,Buggy
5,0.35010775923728943,1,2,119.84819793701172,533.json,NotBuggy
4,0.824088990688324,1,0,125.79222106933594,2075.json,NotBuggy
4,0.7583714723587036,1,0,126.62725830078125,393.json,NotBuggy
4,0.7335971593856812,1,0,125.79222106933594,2123.json,NotBuggy
26,0.0,2,15,81.20863342285156,1574.json,NotBuggy
65,6.432477384805679E-4,10,22,62.43213653564453,2356.json,NotBuggy
3,0.9298409223556519,1,0,131.1385955810547,1290.json,NotBuggy
43,0.0,10,19,68.95770263671875,921.json,Buggy
5,0.03890670835971832,1,2,118.98002624511719,1134.json,NotBuggy
3,0.056461647152900696,1,3,128.4090576171875,2689.json,NotBuggy
4,0.4125712513923645,1,1,125.67974090576172,1889.json,NotBuggy
4,0.2897951304912567,1,1,124.09089660644531,666.json,NotBuggy
3,0.302564799785614,1,0,129.05665588378906,2517.json,NotBuggy
4,0.4894098937511444,1,1,125.30915069580078,1804.json,NotBuggy
82,0.0,13,26,55.19601058959961,2208.json,Buggy
23,0.013299211859703064,5,12,85.99441528320312,99.json,NotBuggy
10,0.031282681971788406,2,4,101.99267578125,1545.json,NotBuggy
4,0.6713870763778687,1,2,126.77537536621094,1670.json,NotBuggy
4,0.7378736138343811,1,0,126.62725830078125,371.json,NotBuggy
22,0.0020312517881393433,8,13,82.99238586425781,2593.json,Buggy
3,0.7085170149803162,1,1,129.93223571777344,1188.json,NotBuggy
7,0.09296717494726181,2,5,112.40554809570312,1694.json,NotBuggy
3,0.0477895550429821,1,3,128.4090576171875,2687.json,NotBuggy
4,0.17758576571941376,1,2,126.1969985961914,2588.json,NotBuggy
3,0.062355391681194305,1,1,127.94976043701172,509.json,NotBuggy
4,0.5880106091499329,1,1,125.67974090576172,1837.json,NotBuggy
4,0.7891650199890137,1,0,125.79222106933594,422.json,NotBuggy
4,0.8988301753997803,1,0,128.335205078125,581.json,NotBuggy
9,0.0,1,15,101.78178405761719,1013.json,Buggy
4,0.06921707093715668,1,0,123.21045684814453,394.json,NotBuggy
4,0.3088681399822235,1,0,128.936767578125,1885.json,NotBuggy
4,0.494239866733551,1,1,126.0733642578125,2194.json,NotBuggy
4,0.3872864842414856,1,0,128.13519287109375,1675.json,NotBuggy
4,0.0,1,2,120.13397216796875,1578.json,NotBuggy
4,0.8408745527267456,1,0,128.936767578125,165.json,NotBuggy
4,0.6433744430541992,1,1,125.67974090576172,1849.json,NotBuggy
5,0.00763792684301734,1,5,116.45709991455078,1732.json,NotBuggy
3,0.9580329656600952,1,0,133.59722900390625,2575.json,NotBuggy
6,0.6335762143135071,2,4,114.61321258544922,2570.json,NotBuggy
3,0.8226081728935242,1,1,130.18594360351562,1173.json,NotBuggy
40,2.1383225976023823E-4,7,23,71.71075439453125,596.json,Buggy
5,0.6153659820556641,1,4,117.86318969726562,2367.json,NotBuggy
14,0.001236338634043932,4,19,93.55978393554688,12.json,Buggy
17,0.0,3,13,88.62520599365234,927.json,Buggy
4,0.8860750198364258,1,0,128.936767578125,2830.json,NotBuggy
4,0.6045091152191162,1,0,124.71717071533203,2057.json,NotBuggy
3,0.36430811882019043,1,1,130.18594360351562,1143.json,NotBuggy
4,0.6179030537605286,1,0,126.62725830078125,883.json,NotBuggy
4,0.4458068013191223,1,0,124.81353759765625,2047.json,NotBuggy
3,0.9340141415596008,1,0,133.59722900390625,2756.json,NotBuggy
4,0.2342030555009842,1,1,125.30915069580078,2195.json,NotBuggy
17,0.049389492720365524,3,11,93.43287658691406,10.json,Buggy
4,0.3453035056591034,1,2,124.81353759765625,459.json,NotBuggy
8,0.8422415256500244,2,2,111.14976501464844,1285.json,NotBuggy
3,0.10029029846191406,1,1,130.34019470214844,542.json,NotBuggy
22,0.0,5,15,84.57510375976562,1022.json,Buggy
4,0.0021527514327317476,1,3,121.28150177001953,903.json,NotBuggy
4,0.613834023475647,1,0,126.62725830078125,2134.json,NotBuggy
3,0.7054428458213806,1,1,132.25152587890625,2770.json,NotBuggy
4,0.789405345916748,1,0,126.62725830078125,388.json,NotBuggy
3,0.4885103404521942,1,2,129.93223571777344,2807.json,NotBuggy
5,0.5260777473449707,2,1,118.92383575439453,1253.json,NotBuggy
4,0.7172751426696777,1,0,128.936767578125,207.json,NotBuggy
3,0.8522692918777466,1,0,133.59722900390625,2737.json,NotBuggy
4,0.797663688659668,1,0,125.79222106933594,399.json,NotBuggy
3,0.0654875859618187,1,2,128.41912841796875,1203.json,NotBuggy
17,9.581290651112795E-4,4,17,89.11973571777344,946.json,Buggy
4,0.17085914313793182,1,0,123.1362075805664,363.json,NotBuggy
3,0.23383033275604248,1,2,129.34671020507812,1200.json,NotBuggy
3,0.6423733830451965,2,5,126.13177490234375,1193.json,NotBuggy
10,0.9714126586914062,2,1,105.76141357421875,174.json,NotBuggy
3,0.9511439204216003,1,0,131.28770446777344,2443.json,NotBuggy
3,0.9458854794502258,1,0,135.83412170410156,2353.json,NotBuggy
4,0.4184410572052002,1,1,125.67974090576172,1901.json,NotBuggy
3,0.031044773757457733,1,1,128.92515563964844,1168.json,NotBuggy
4,0.8038632869720459,1,0,125.79222106933594,372.json,NotBuggy
12,0.07998625934123993,3,3,100.09516906738281,2340.json,NotBuggy
4,0.8408745527267456,1,0,128.936767578125,168.json,NotBuggy
3,0.8154504299163818,1,0,132.4454345703125,1220.json,NotBuggy
4,0.02589011751115322,1,2,124.04872131347656,1795.json,NotBuggy
4,0.83030104637146,1,0,125.79222106933594,375.json,NotBuggy
21,0.0012516912538558245,6,13,84.47269439697266,2595.json,NotBuggy
10,0.14186471700668335,3,4,103.96858978271484,2456.json,NotBuggy
8,0.06249726936221123,2,1,108.08633422851562,784.json,NotBuggy
4,0.10983429849147797,1,1,124.71717071533203,2165.json,NotBuggy
3,0.5896123647689819,1,1,130.7338104248047,2491.json,NotBuggy
4,0.9311137199401855,1,0,128.936767578125,2067.json,NotBuggy
4,0.6732010841369629,1,1,126.62725830078125,189.json,NotBuggy
3,0.9241965413093567,1,0,132.4454345703125,2440.json,NotBuggy
4,0.0,1,3,119.80474853515625,2384.json,NotBuggy
4,0.713667094707489,1,2,126.77537536621094,1680.json,NotBuggy
3,0.7130167484283447,1,1,132.086669921875,2805.json,NotBuggy
4,0.11212147772312164,1,2,124.4649429321289,1604.json,NotBuggy
13,0.6223533749580383,3,4,99.90740203857422,1244.json,NotBuggy
4,0.7434749007225037,1,0,125.79222106933594,2137.json,NotBuggy
4,0.7810280323028564,1,0,126.62725830078125,242.json,NotBuggy
7,0.6813866496086121,2,1,117.182373046875,1446.json,NotBuggy
21,0.04763157665729523,4,3,87.53617858886719,1532.json,NotBuggy
4,0.6926289200782776,1,0,126.62725830078125,272.json,NotBuggy
4,0.8020436763763428,1,1,125.91468811035156,644.json,NotBuggy
4,0.6130447387695312,1,0,124.71717071533203,2132.json,NotBuggy
4,0.7990702390670776,1,0,126.62725830078125,343.json,NotBuggy
24,0.014901225455105305,5,15,84.64437866210938,97.json,NotBuggy
5,0.4019263684749603,2,1,118.28404235839844,1206.json,NotBuggy
9,0.7599696516990662,2,3,106.87638092041016,193.json,NotBuggy
4,0.7489978671073914,1,0,127.27810668945312,74.json,NotBuggy
4,0.7543430328369141,1,0,125.91468811035156,1625.json,NotBuggy
22,1.528957363916561E-4,4,18,83.77400970458984,852.json,Buggy
4,0.35583415627479553,1,1,125.15930938720703,1857.json,NotBuggy
4,0.24246090650558472,1,1,124.4649429321289,639.json,NotBuggy
4,0.6176248788833618,1,1,125.67974090576172,1789.json,NotBuggy
4,0.04981585592031479,1,0,122.9537353515625,110.json,NotBuggy
8,0.6611930131912231,3,3,108.22147369384766,2761.json,NotBuggy
31,0.0,7,19,78.82283782958984,1659.json,NotBuggy
14,0.0705191045999527,3,10,96.76109313964844,471.json,NotBuggy
3,0.9813353419303894,1,0,133.59722900390625,2581.json,NotBuggy
21,0.0046319784596562386,4,9,88.70950317382812,2164.json,NotBuggy
18,0.12817083299160004,4,6,89.95512390136719,833.json,Buggy
5,0.5260777473449707,2,1,118.92383575439453,1267.json,NotBuggy
4,0.01558106392621994,1,0,122.53683471679688,121.json,NotBuggy
4,0.008823292329907417,1,4,121.90575408935547,1482.json,NotBuggy
8,0.7458978891372681,3,3,108.494873046875,2760.json,NotBuggy
3,0.9083850979804993,1,0,133.59722900390625,2788.json,NotBuggy
12,0.29901787638664246,3,6,99.50308227539062,1701.json,NotBuggy
7,0.2716705799102783,2,3,111.41020202636719,2661.json,NotBuggy
3,0.6923916935920715,1,1,130.99049377441406,2744.json,NotBuggy
9,0.512386679649353,2,2,107.58657836914062,1776.json,NotBuggy
