SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
9,0.9132406711578369,0.905926218820123,1,1,2,2,2.95,1,3,41.0,107.86027526855469,0,1,1,0,0,2249.json,Buggy
21,0.7002503275871277,0.16076055712228837,5,3,8,5,3.52,2,3,100.0,88.16680908203125,0,0,4,0,0,922.json,Buggy
2,0.9973500370979309,0.9613825294280185,0,0,0,1,1.89,0,0,9.0,142.4026641845703,0,0,0,0,0,6177.json,Buggy
7,0.31930673122406006,0.23240528020144197,1,1,2,2,3.02,1,0,43.0,111.41020202636719,0,1,0,0,0,6926.json,Buggy
33,0.09449027478694916,5.80646351657107E-5,1,1,2,3,6.99,3,9,154.0,78.3741683959961,0,1,1,0,0,8305.json,Buggy
55,3.670109435915947E-4,5.844514862657677E-9,2,4,6,5,8.24,4,21,262.0,66.8055419921875,0,1,3,0,0,5280.json,Buggy
6,0.002246759133413434,0.06549393576854076,0,0,0,1,5.5,0,1,48.0,113.39401245117188,0,1,0,0,0,4586.json,Buggy
18,0.26451388001441956,7.65390040229122E-4,1,1,2,3,3.88,2,7,105.0,90.52351379394531,0,1,1,0,0,7450.json,Buggy
16,0.6731811761856079,0.008058810638370517,5,4,9,5,4.99,3,1,86.0,93.11372375488281,0,1,4,0,0,6617.json,Buggy
19,0.7974371910095215,0.33221495151624464,3,2,5,3,2.26,2,4,99.0,90.13299560546875,1,0,4,0,0,8155.json,Buggy
7,0.0015722350217401981,0.0022814408606782665,0,0,0,1,1.8,0,4,66.0,108.91719055175781,0,5,1,0,0,7302.json,Buggy
3,0.3741116225719452,0.3655683098515599,0,0,0,1,1.89,0,1,29.0,127.76728820800781,0,1,0,0,0,3729.json,Buggy
4,0.8094661831855774,0.7275098328012146,0,0,0,1,2.0,0,2,24.0,124.361083984375,0,0,1,0,0,884.json,Buggy
3,0.0,0.017039142016429892,0,0,0,1,1.89,0,1,44.0,125.07545471191406,0,1,0,0,0,7379.json,Buggy
11,0.17254480719566345,0.15519638455481016,3,2,5,4,3.92,2,4,59.0,101.86613464355469,0,1,1,0,0,5821.json,Buggy
3,1.0534217290114611E-4,0.14187500469839714,0,0,0,1,1.89,0,5,37.0,126.67426300048828,0,1,0,0,0,8248.json,Buggy
3,0.36615628004074097,0.6125683460888023,0,0,0,1,1.89,0,1,27.0,128.31268310546875,0,1,0,0,0,5213.json,Buggy
7,0.23641687631607056,0.717319482868055,1,1,2,2,3.02,1,3,36.0,112.68669891357422,0,1,0,0,0,5152.json,Buggy
10,0.12330368161201477,0.029295786060068735,0,0,0,2,2.8,1,3,61.0,103.40232849121094,0,1,1,0,0,4568.json,Buggy
35,0.6560288667678833,0.007400695676985166,4,4,8,5,3.04,2,10,143.0,77.44761657714844,0,1,1,0,0,4136.json,Buggy
4,6.619711057282984E-4,0.03494172669626375,0,0,0,1,2.0,0,2,45.0,120.46957397460938,0,2,0,0,0,7287.json,Buggy
15,0.3137419521808624,0.06380316085254778,6,3,9,4,2.47,1,5,84.0,94.62648010253906,0,1,1,0,0,3546.json,Buggy
35,0.058986466377973557,2.193856430590906E-5,2,1,3,2,5.76,2,7,165.0,77.22217559814453,0,1,3,0,0,387.json,Buggy
7,0.002775051863864064,0.001235343512985383,1,1,2,2,2.56,1,2,66.0,108.57231903076172,0,2,0,0,0,7119.json,Buggy
8,0.5788800120353699,0.8709347782699707,0,0,0,2,3.12,1,3,32.0,111.30977630615234,0,0,0,0,0,6132.json,Buggy
7,0.01006605476140976,7.341231723538852E-4,0,0,0,1,2.56,0,4,73.0,108.20762634277344,0,1,1,0,0,7951.json,Buggy
6,0.2923327386379242,0.9121859045925615,1,1,2,2,3.27,1,3,30.0,116.30582427978516,0,0,0,0,0,5052.json,Buggy
49,0.01565290428698063,2.035741543679723E-7,7,12,19,13,5.39,5,7,205.0,68.04703521728516,0,1,7,0,0,2789.json,Buggy
16,0.8676989674568176,0.4542179892184763,3,3,6,5,3.67,2,3,76.0,94.09302520751953,0,0,3,0,0,1856.json,Buggy
15,0.86402827501297,0.6557417244614564,2,2,4,4,3.83,2,5,58.0,96.87604522705078,0,0,1,0,0,5903.json,Buggy
42,0.08635281771421432,3.2392790730750614E-6,11,8,19,11,5.98,4,11,198.0,71.14346313476562,0,0,7,0,0,3587.json,Buggy
3,0.44082170724868774,0.6494352348504334,0,0,0,1,1.89,0,1,25.0,128.8092498779297,0,1,0,0,0,6990.json,Buggy
29,0.5211208462715149,1.9612925677249738E-4,6,4,10,6,3.63,2,15,142.0,80.27429962158203,0,1,3,0,0,1730.json,Buggy
6,0.7248459458351135,0.43442788871144417,0,0,0,1,1.89,0,4,39.0,114.84461975097656,0,1,2,0,0,3872.json,Buggy
3,0.9538560509681702,0.9742395479082524,0,0,0,1,1.89,0,1,15.0,132.25152587890625,0,1,0,0,0,3871.json,Buggy
3,0.321124792098999,0.3012687193385753,0,0,0,1,1.89,0,1,30.0,127.51214599609375,0,1,0,0,0,2903.json,Buggy
29,0.5211208462715149,1.9612925677249738E-4,6,4,10,6,3.63,2,15,142.0,80.27429962158203,0,1,3,0,0,1736.json,Buggy
3,0.32915374636650085,0.07030324973852364,0,0,0,1,2.0,0,0,39.0,125.8741455078125,1,2,0,0,0,7332.json,Buggy
