SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
32,0.0,9,25,76.95838928222656,104.json,NotBuggy
3,0.3467482626438141,1,0,131.28770446777344,761.json,NotBuggy
3,0.8846587538719177,1,0,133.59722900390625,2260.json,NotBuggy
5,0.001208759844303131,2,1,115.58116149902344,2810.json,NotBuggy
7,0.023483578115701675,2,3,110.6667709350586,2294.json,NotBuggy
8,0.2190352976322174,2,3,109.326904296875,1843.json,NotBuggy
9,0.024784298613667488,2,8,104.71148681640625,2249.json,NotBuggy
3,0.3913886249065399,1,0,133.59722900390625,474.json,NotBuggy
3,0.9303749203681946,1,0,133.59722900390625,274.json,NotBuggy
4,0.43495574593544006,1,0,125.64796447753906,260.json,NotBuggy
3,0.3557947874069214,1,0,133.59722900390625,2930.json,NotBuggy
3,0.34300875663757324,1,3,128.51292419433594,2527.json,NotBuggy
3,0.2354249209165573,1,0,130.07347106933594,3191.json,NotBuggy
4,0.30611956119537354,1,0,124.58238983154297,26.json,NotBuggy
5,0.5175806283950806,2,0,119.00676727294922,326.json,NotBuggy
3,0.6397635340690613,1,1,132.79563903808594,2253.json,NotBuggy
7,0.6287558674812317,2,3,111.8573226928711,2013.json,NotBuggy
3,0.0651710256934166,1,1,129.34671020507812,2773.json,NotBuggy
9,0.012434826232492924,3,2,104.79460906982422,2121.json,NotBuggy
2,0.9492385983467102,1,0,139.56419372558594,2953.json,NotBuggy
3,0.5444715619087219,1,1,132.086669921875,2094.json,NotBuggy
4,0.863945722579956,1,0,124.92120361328125,1475.json,NotBuggy
9,0.2627224922180176,2,4,106.96635437011719,2742.json,NotBuggy
7,0.4836574196815491,2,7,111.73201751708984,858.json,NotBuggy
3,0.9062894582748413,1,1,132.086669921875,1747.json,NotBuggy
4,0.527093231678009,1,0,125.64796447753906,1581.json,NotBuggy
14,0.035630129277706146,4,5,95.80643463134766,839.json,NotBuggy
3,0.5963929295539856,1,0,133.59722900390625,1871.json,NotBuggy
3,0.8723758459091187,1,0,132.9956512451172,469.json,NotBuggy
3,0.7925316691398621,1,1,132.086669921875,821.json,NotBuggy
7,0.055848050862550735,2,3,110.00166320800781,2297.json,Buggy
4,0.5319974422454834,1,0,125.64796447753906,366.json,NotBuggy
12,0.10518079251050949,3,5,99.42290496826172,129.json,NotBuggy
6,0.5927544236183167,2,2,115.03083801269531,2739.json,NotBuggy
9,8.661192841827869E-4,2,7,103.30719757080078,152.json,NotBuggy
3,0.18164487183094025,1,0,133.59722900390625,452.json,NotBuggy
4,0.10308182239532471,1,1,123.55950164794922,855.json,NotBuggy
3,0.7520127296447754,1,0,131.03103637695312,3127.json,NotBuggy
4,0.1168547049164772,1,0,125.64796447753906,898.json,NotBuggy
3,0.5016558170318604,1,0,132.086669921875,1605.json,NotBuggy
58,0.0,16,51,60.18822479248047,1556.json,Buggy
3,0.13696321845054626,1,0,133.59722900390625,1646.json,NotBuggy
10,0.29119938611984253,2,5,102.35516357421875,2987.json,NotBuggy
6,0.36816200613975525,1,0,116.24044799804688,884.json,NotBuggy
3,0.663417398929596,1,1,131.60296630859375,885.json,NotBuggy
3,0.31792959570884705,1,0,132.086669921875,1601.json,NotBuggy
3,0.6573320031166077,1,1,132.25152587890625,2850.json,NotBuggy
9,0.010271056555211544,3,3,104.38741302490234,2310.json,Buggy
3,0.2866016626358032,1,1,132.25152587890625,754.json,NotBuggy
7,0.6223321557044983,2,1,113.13916015625,1790.json,NotBuggy
12,0.1586560755968094,2,2,100.98360443115234,319.json,NotBuggy
3,0.022562388330698013,1,0,133.59722900390625,1469.json,NotBuggy
2,0.996819794178009,1,0,142.4026641845703,2971.json,NotBuggy
3,0.7852165102958679,1,0,133.59722900390625,510.json,NotBuggy
14,0.02338179387152195,4,3,93.76946258544922,3149.json,NotBuggy
3,0.7603166699409485,1,0,133.59722900390625,876.json,NotBuggy
3,0.9467599391937256,1,0,133.59722900390625,30.json,NotBuggy
3,0.09348414093255997,1,1,129.14646911621094,2816.json,NotBuggy
13,0.017715925350785255,3,3,97.36382293701172,2785.json,NotBuggy
4,0.08191364258527756,1,1,123.1068344116211,387.json,NotBuggy
10,0.4676567316055298,3,2,105.3250732421875,2635.json,NotBuggy
10,5.304082878865302E-4,2,7,102.06786346435547,1813.json,NotBuggy
3,0.010737922973930836,1,1,128.712890625,248.json,NotBuggy
3,0.39422503113746643,1,0,130.07347106933594,1109.json,NotBuggy
3,0.4792228043079376,1,1,131.28770446777344,3129.json,NotBuggy
5,0.4183213710784912,2,1,119.7175064086914,3027.json,NotBuggy
3,0.7511216998100281,1,0,131.28770446777344,3197.json,NotBuggy
3,0.8864511847496033,1,0,133.59722900390625,2481.json,NotBuggy
3,0.8597431778907776,1,0,133.59722900390625,2566.json,NotBuggy
3,0.280313640832901,1,0,131.1535186767578,767.json,NotBuggy
2,0.933893084526062,1,0,139.56419372558594,481.json,NotBuggy
3,0.30029982328414917,1,0,131.1535186767578,2321.json,NotBuggy
18,0.06272953748703003,4,9,89.94532012939453,827.json,NotBuggy
3,0.6229742765426636,1,0,131.1535186767578,2257.json,NotBuggy
3,0.6207399964332581,1,0,131.9385528564453,3190.json,NotBuggy
4,0.08110356330871582,1,1,123.1068344116211,359.json,NotBuggy
3,0.7037466764450073,1,2,131.91592407226562,485.json,NotBuggy
4,0.14379660785198212,1,2,122.44184875488281,2869.json,NotBuggy
3,0.3354198932647705,1,0,133.59722900390625,2523.json,NotBuggy
3,0.02212289161980152,1,2,126.48982238769531,2994.json,NotBuggy
3,0.2927020788192749,1,0,133.59722900390625,18.json,NotBuggy
20,4.055827157571912E-4,7,1,85.8380126953125,258.json,NotBuggy
3,0.26919442415237427,1,1,129.93223571777344,309.json,NotBuggy
3,0.7117292284965515,1,1,128.4090576171875,2140.json,NotBuggy
3,0.9190999865531921,1,0,133.59722900390625,2569.json,NotBuggy
21,0.11291662603616714,6,10,89.85186767578125,2579.json,NotBuggy
4,0.4154146611690521,1,0,125.5254898071289,1736.json,NotBuggy
3,0.6686644554138184,1,1,132.25152587890625,2849.json,NotBuggy
3,0.49855542182922363,1,0,132.4454345703125,65.json,NotBuggy
4,0.2012494057416916,2,1,123.71485900878906,2258.json,NotBuggy
5,0.33625346422195435,1,2,119.23677062988281,1772.json,NotBuggy
