SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
4,0.7512565851211548,0.9150042111713717,0,0,0,1,1.73,0,1,18.0,126.19583892822266,0,1,0,0,0,3815.json,NotBuggy
3,0.347249299287796,0.8417996950620726,0,0,0,1,1.89,0,0,17.0,131.28770446777344,0,1,0,0,0,3511.json,NotBuggy
8,0.5609995722770691,0.6124343500618258,1,1,2,2,2.65,1,0,37.0,110.15780639648438,0,1,0,0,0,794.json,Buggy
4,0.8053211569786072,0.9541241844465032,0,0,0,1,1.73,0,0,13.0,128.335205078125,0,0,0,0,0,3191.json,Buggy
18,0.2719666361808777,0.6128981272007794,2,4,6,6,4.73,3,4,66.0,92.79053497314453,0,1,0,0,0,1454.json,Buggy
18,0.03454045578837395,0.9999856090454484,1,1,2,2,3.25,1,6,4.0,116.50724792480469,0,2,7,0,0,2546.json,NotBuggy
12,0.7411203980445862,0.9236736686622443,4,2,6,3,2.56,1,4,46.0,102.1607437133789,0,0,2,0,0,2773.json,Buggy
4,0.538820207118988,0.6281363787744111,0,0,0,1,1.73,0,2,22.0,124.91740417480469,0,1,0,0,0,2953.json,NotBuggy
3,0.9417726397514343,0.9811530236163047,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,2942.json,NotBuggy
4,0.6442633867263794,0.9142227940968479,0,0,0,1,1.73,0,1,18.0,126.19583892822266,0,1,0,0,0,1475.json,Buggy
6,0.3196620047092438,0.5093181376738851,0,0,0,1,2.98,0,4,32.0,115.94755554199219,0,0,1,0,0,2742.json,Buggy
10,0.6909192800521851,0.250057074535845,1,1,2,2,2.67,1,3,52.0,104.52688598632812,0,1,2,0,0,3743.json,Buggy
4,0.6336440443992615,0.9697862769081607,0,0,0,1,1.73,0,1,14.0,127.94984436035156,0,1,0,0,0,839.json,NotBuggy
14,0.09449616074562073,0.007042347214356248,2,2,4,3,2.62,1,6,79.0,96.42109680175781,0,1,3,0,0,2297.json,Buggy
10,0.11496451497077942,0.23282124463807669,1,1,2,2,2.67,1,3,51.0,104.87416076660156,0,2,1,0,0,2301.json,NotBuggy
11,0.4764673709869385,0.9624605091654601,4,3,7,2,2.72,1,6,40.0,104.59346008300781,0,0,1,0,0,2710.json,Buggy
4,0.9109201431274414,0.9746352277285663,0,0,0,1,1.73,0,0,15.0,127.42622375488281,0,1,0,0,0,799.json,NotBuggy
3,0.5975646376609802,0.8433953282472992,0,0,0,1,1.89,0,1,17.0,131.43582153320312,0,1,0,0,0,3846.json,NotBuggy
12,2.567024785093963E-4,9.11487049023732E-4,3,2,5,2,3.64,1,8,84.0,98.74243927001953,0,2,1,0,0,3045.json,Buggy
3,0.9326223731040955,0.963911506773457,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,3127.json,NotBuggy
4,0.9458140730857849,0.9375066603093875,0,0,0,1,1.73,0,0,17.0,126.62725830078125,0,1,0,0,0,3799.json,NotBuggy
4,0.9307262301445007,0.9666752594041597,0,0,0,1,1.73,0,0,15.0,127.42622375488281,0,1,0,0,0,1646.json,NotBuggy
15,0.025708366185426712,0.0021564910445643986,2,3,5,4,5.89,2,2,94.0,93.89090728759766,0,4,3,0,0,884.json,Buggy
3,0.161168172955513,0.8706084356347807,0,0,0,1,1.89,0,0,16.0,131.60296630859375,0,1,0,0,0,681.json,NotBuggy
4,0.7979804277420044,0.9703925005307524,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,3776.json,NotBuggy
3,0.5663295388221741,0.8355807080959751,0,0,0,1,1.89,0,1,19.0,130.34019470214844,0,0,0,0,0,2944.json,NotBuggy
15,0.05165398493409157,0.002875851788245046,3,2,5,3,4.41,2,7,84.0,94.70579528808594,0,2,3,0,0,3255.json,NotBuggy
4,0.636830747127533,0.9315306300545682,0,0,0,1,1.73,0,0,15.0,127.42622375488281,0,1,0,0,0,1805.json,NotBuggy
4,0.5819938778877258,0.943173720112583,0,0,0,1,1.73,0,0,15.0,127.42622375488281,0,1,0,0,0,1469.json,NotBuggy
7,0.3632502257823944,0.26152602280638676,0,0,0,1,3.33,0,1,39.0,112.21089935302734,0,1,1,0,0,2816.json,NotBuggy
4,0.6291235685348511,0.9394671866244212,0,0,0,1,1.73,0,1,15.0,127.42622375488281,0,0,0,0,0,2785.json,NotBuggy
7,0.2652929127216339,0.7275684683668322,0,0,0,1,5.42,0,5,33.0,113.54297637939453,0,1,0,0,0,3453.json,NotBuggy
10,0.1329602301120758,0.12967699990736034,2,2,4,3,4.08,2,3,55.0,104.06228637695312,0,1,2,0,0,1051.json,NotBuggy
5,0.24376295506954193,0.7906679021527562,0,0,0,1,3.2,0,2,24.0,120.96249389648438,0,0,0,0,0,2635.json,Buggy
33,2.987622865475714E-4,2.9985251378880302E-5,3,12,15,7,2.52,2,11,152.0,77.70635223388672,0,1,2,0,0,1813.json,Buggy
9,0.014755930751562119,0.03601103866395766,0,0,0,1,3.33,0,7,59.0,106.12340545654297,0,1,0,0,0,2801.json,NotBuggy
4,0.4034862220287323,0.8965911593985476,0,0,0,1,1.73,0,0,17.0,126.4930648803711,0,1,0,0,0,3197.json,NotBuggy
4,0.06353820860385895,0.23103119099488043,0,0,0,1,2.0,0,2,33.0,122.3560791015625,0,1,1,0,0,2481.json,NotBuggy
13,0.271261990070343,0.011379416960121866,3,2,5,3,4.11,1,8,79.0,97.62165069580078,0,1,3,0,0,2566.json,Buggy
