SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
3,0.9682111740112305,0.5427465634084278,0,0,0,1,3.77,0,0,21.0,129.7158966064453,0,1,0,0,0,260.json,NotBuggy
34,0.0035720637533813715,3.273782783693864E-7,9,8,17,9,4.59,4,9,185.0,75.7410659790039,0,2,5,0,0,188.json,Buggy
4,0.6500200629234314,0.6634300441642683,0,0,0,1,2.0,0,1,24.0,124.361083984375,0,1,0,0,0,544.json,NotBuggy
6,0.017594605684280396,0.009593174837785837,2,1,3,2,2.75,1,1,57.0,112.12055206298828,0,4,1,0,0,681.json,NotBuggy
3,0.7986206412315369,0.9695080830527559,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,572.json,NotBuggy
12,0.07108888030052185,0.009244726938494072,2,2,4,3,4.27,2,2,71.0,99.30610656738281,0,2,3,0,0,754.json,NotBuggy
10,0.11496398597955704,0.5187558000957533,1,1,2,2,3.2,1,1,44.0,105.6418685913086,0,1,1,0,0,1136.json,NotBuggy
3,8.561416761949658E-4,0.28012321414389607,0,0,0,1,1.89,0,1,29.0,127.76728820800781,0,2,0,0,0,680.json,NotBuggy
3,0.49917641282081604,0.7563680958129584,0,0,0,1,1.89,0,2,21.0,130.05470275878906,0,1,0,0,0,549.json,NotBuggy
3,0.7568941116333008,0.9295357870870403,0,0,0,1,1.89,0,0,15.0,131.9385528564453,0,0,0,0,0,359.json,NotBuggy
16,0.2769352197647095,0.40403416099890815,3,4,7,4,5.45,1,0,58.0,96.13129425048828,0,0,0,0,0,258.json,NotBuggy
3,0.04801766574382782,0.5736521781115088,0,0,0,1,1.89,0,1,24.0,128.92515563964844,0,1,0,0,0,409.json,NotBuggy
8,0.12239616364240646,0.7414837186495251,1,1,2,3,2.83,1,1,37.0,110.15101623535156,0,1,1,0,0,634.json,NotBuggy
31,0.001361279864795506,9.293699126727501E-7,7,6,13,5,2.8,1,13,177.0,78.50892639160156,0,2,5,0,0,1093.json,Buggy
4,0.12292540073394775,0.5744549773195514,0,0,0,1,9.8,0,2,27.0,123.65223693847656,0,1,0,0,0,1137.json,NotBuggy
