SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
3,0.4178309440612793,1,2,129.93223571777344,260.json,NotBuggy
4,0.8583095669746399,1,1,125.15930938720703,26.json,NotBuggy
5,0.014323589392006397,2,3,116.80448913574219,839.json,NotBuggy
3,0.9748580455780029,1,0,130.45266723632812,129.json,NotBuggy
6,0.03903110697865486,2,4,112.56766510009766,908.json,NotBuggy
15,0.006944682449102402,5,13,92.17318725585938,84.json,Buggy
9,0.8180657029151917,3,1,107.05233764648438,1075.json,NotBuggy
6,0.3234374523162842,2,4,113.4996109008789,614.json,NotBuggy
3,0.9161076545715332,1,0,133.59722900390625,1136.json,NotBuggy
6,0.9369364976882935,2,1,117.35027313232422,969.json,NotBuggy
5,1.349428202956915E-4,1,4,137.48837280273438,1066.json,NotBuggy
3,0.9748580455780029,1,0,130.45266723632812,124.json,NotBuggy
19,0.005357262212783098,6,19,87.38086700439453,258.json,NotBuggy
9,0.038013700395822525,3,4,106.32463073730469,65.json,NotBuggy
3,0.6701889038085938,1,1,131.28770446777344,899.json,NotBuggy
3,0.5993359684944153,1,0,131.75106811523438,1054.json,NotBuggy
2,0.7713577151298523,1,0,139.0139617919922,8.json,NotBuggy
8,0.0,1,7,104.6133804321289,1064.json,NotBuggy
3,0.844038724899292,2,1,129.58975219726562,1135.json,NotBuggy
3,0.7979755997657776,2,1,129.58975219726562,1129.json,NotBuggy
3,0.20817239582538605,1,1,128.92515563964844,620.json,NotBuggy
6,0.4595087766647339,1,4,115.4073257446289,1137.json,NotBuggy
3,0.47403082251548767,1,1,131.43582153320312,1264.json,NotBuggy
3,0.7673048973083496,1,0,131.9385528564453,1084.json,NotBuggy
3,0.8476499319076538,1,1,132.086669921875,296.json,NotBuggy
3,0.07568904757499695,1,2,128.62539672851562,1535.json,NotBuggy
12,0.74892657995224,1,0,103.7210922241211,625.json,NotBuggy
14,0.11104586720466614,4,7,96.213134765625,797.json,NotBuggy
3,0.7979755997657776,2,1,129.58975219726562,1134.json,NotBuggy
11,0.07530870288610458,5,5,100.0692367553711,1013.json,Buggy
3,0.8927819728851318,1,0,133.59722900390625,596.json,NotBuggy
3,1.6776809934526682E-4,1,2,126.63631439208984,1143.json,NotBuggy
8,0.4037178158760071,2,3,110.74185943603516,10.json,NotBuggy
5,0.0033789430744946003,1,2,117.40169525146484,1022.json,Buggy
12,6.020521395839751E-4,3,10,96.54133605957031,903.json,NotBuggy
10,0.07123372703790665,2,6,105.25951385498047,1061.json,NotBuggy
3,0.7064514756202698,1,1,131.28770446777344,889.json,NotBuggy
3,0.8714024424552917,1,0,133.59722900390625,1244.json,NotBuggy
3,0.49719807505607605,1,1,129.81976318359375,1446.json,NotBuggy
3,0.6443954706192017,1,0,132.9956512451172,1532.json,NotBuggy
3,0.7570710182189941,1,0,131.9385528564453,272.json,NotBuggy
3,0.7291600108146667,1,1,132.25152587890625,74.json,NotBuggy
3,0.17365531623363495,1,2,128.60531616210938,960.json,NotBuggy
16,0.001626669312827289,4,15,92.79309844970703,1019.json,NotBuggy
8,0.10228119045495987,2,3,107.74124908447266,611.json,NotBuggy
9,0.008523596450686455,3,1,103.9647445678711,1126.json,NotBuggy
8,0.3897966146469116,3,1,109.99791717529297,292.json,NotBuggy
3,0.5406850576400757,1,0,130.45266723632812,555.json,NotBuggy
3,0.4518290162086487,1,1,129.2428436279297,66.json,NotBuggy
3,0.3825625479221344,1,1,129.2428436279297,13.json,NotBuggy
6,0.9202156662940979,3,3,112.8931655883789,76.json,NotBuggy
7,0.11362539976835251,1,2,111.09032440185547,56.json,Buggy
3,0.8259879946708679,1,1,132.086669921875,295.json,NotBuggy
3,0.9534013867378235,1,0,130.99049377441406,1124.json,NotBuggy
16,0.002327708760276437,3,11,91.02965545654297,1106.json,NotBuggy
10,0.2468448430299759,4,2,103.46722412109375,647.json,NotBuggy
3,0.48999592661857605,1,1,131.28770446777344,1163.json,NotBuggy
3,0.8975899815559387,1,0,133.59722900390625,570.json,NotBuggy
9,0.20033635199069977,2,2,106.25163269042969,926.json,NotBuggy
5,0.022672979161143303,2,6,116.92403411865234,953.json,NotBuggy
3,0.8259879946708679,1,1,132.086669921875,259.json,NotBuggy
3,0.9302310943603516,1,0,133.59722900390625,264.json,NotBuggy
3,0.6911296248435974,1,1,132.25152587890625,1245.json,NotBuggy
3,0.7223497629165649,1,0,131.9385528564453,1300.json,NotBuggy
3,4.965492989867926E-4,1,3,128.60531616210938,1352.json,Buggy
3,0.4129889905452728,1,1,130.57513427734375,1042.json,NotBuggy
6,0.11611230671405792,1,5,113.25019073486328,1020.json,NotBuggy
4,0.8564577698707581,1,1,124.7987289428711,283.json,NotBuggy
3,0.6365111470222473,1,1,132.25152587890625,1235.json,NotBuggy
6,0.03445398434996605,1,5,114.9500732421875,1062.json,NotBuggy
3,0.3703180253505707,1,0,131.1535186767578,282.json,NotBuggy
3,0.9143728017807007,1,0,133.59722900390625,595.json,NotBuggy
3,0.26844438910484314,1,2,130.44261169433594,15.json,NotBuggy
3,0.7279043793678284,1,3,129.69032287597656,1351.json,Buggy
17,0.0,4,13,88.44634246826172,906.json,NotBuggy
6,0.9369364976882935,2,1,117.35027313232422,1014.json,NotBuggy
3,0.47280797362327576,1,0,131.28770446777344,1040.json,NotBuggy
7,0.035624969750642776,2,1,111.17379760742188,1032.json,Buggy
3,0.7266408801078796,1,1,131.43582153320312,291.json,NotBuggy
3,0.8979825377464294,1,0,133.59722900390625,266.json,NotBuggy
3,0.9695513248443604,1,0,130.18594360351562,1070.json,NotBuggy
5,0.32455846667289734,2,2,117.93148040771484,1349.json,Buggy
8,0.7705022692680359,2,5,108.00263214111328,762.json,Buggy
3,0.4978485703468323,1,1,129.7158966064453,16.json,NotBuggy
9,0.2170076072216034,3,4,105.14269256591797,904.json,NotBuggy
6,0.8292338252067566,1,0,117.71513366699219,382.json,NotBuggy
3,0.9428718686103821,1,0,133.59722900390625,77.json,NotBuggy
