SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
3,0.8525925278663635,0.8601153359954663,0,0,0,1,1.89,0,0,17.0,131.1535186767578,0,1,0,0,0,10057.json,NotBuggy
3,0.8039015531539917,0.9319580448538625,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,22900.json,NotBuggy
3,0.8906223177909851,0.9652802389954969,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,21329.json,NotBuggy
3,0.8094629645347595,0.8708451964329661,0,0,0,1,1.89,0,0,17.0,131.1535186767578,0,1,0,0,0,28873.json,NotBuggy
7,0.6927333474159241,0.9749533688333173,1,1,2,2,3.02,1,0,23.0,115.62542724609375,0,0,0,0,0,9065.json,NotBuggy
3,0.7528676986694336,0.9348522404678306,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,27771.json,NotBuggy
7,0.9274856448173523,0.9846349944215532,1,1,2,2,3.02,1,0,23.0,115.62542724609375,0,0,0,0,0,22601.json,NotBuggy
3,0.6800901293754578,0.7676109265151014,0,0,0,1,0.94,0,0,17.0,131.1535186767578,0,1,0,0,0,14871.json,NotBuggy
3,0.7784205675125122,0.9339480719174733,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,34059.json,NotBuggy
3,0.8184661865234375,0.8991482884774323,0,0,0,1,1.89,0,0,17.0,131.1535186767578,0,1,0,0,0,8422.json,NotBuggy
3,0.813483476638794,0.9448840028038507,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,33327.json,NotBuggy
3,0.9005928039550781,0.9706657198224962,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,31058.json,NotBuggy
3,0.7555317878723145,0.8416880697120563,0,0,0,1,1.89,0,0,17.0,131.1535186767578,0,1,0,0,0,14362.json,NotBuggy
3,0.3332524001598358,0.4819609274555857,0,0,0,1,3.77,0,1,19.0,130.45266723632812,0,1,0,0,0,6857.json,NotBuggy
3,0.8849456906318665,0.8690456329817067,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,3393.json,NotBuggy
3,0.5193129181861877,0.8113917082648934,0,0,0,1,1.89,0,1,18.0,130.85629272460938,0,2,0,0,0,23288.json,NotBuggy
7,0.9738975763320923,0.9837844873161549,1,1,2,2,3.02,1,0,23.0,115.62542724609375,0,0,0,0,0,8751.json,NotBuggy
3,0.5523322224617004,0.9224507576964288,0,0,0,1,1.89,0,0,15.0,132.43687438964844,0,0,0,0,0,20566.json,NotBuggy
3,0.7784205675125122,0.9339480719174733,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,10461.json,NotBuggy
3,0.7744444012641907,0.9334601352643754,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,10068.json,NotBuggy
3,0.9207181334495544,0.9529509953884809,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,31829.json,NotBuggy
3,0.8080093860626221,0.8974626701641685,0,0,0,1,1.89,0,0,17.0,131.1535186767578,0,1,0,0,0,28183.json,NotBuggy
3,0.5193129181861877,0.8113917082648934,0,0,0,1,1.89,0,1,18.0,130.85629272460938,0,2,0,0,0,10148.json,NotBuggy
3,0.7908466458320618,0.9611980109456884,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,29194.json,NotBuggy
18,0.0,4.887812688748475E-7,3,3,6,5,6.94,2,5,140.0,88.33048248291016,1,5,1,0,0,2234.json,NotBuggy
3,0.9296814799308777,0.9626485494611865,0,0,0,1,1.89,0,0,15.0,132.43687438964844,0,0,0,0,0,29641.json,NotBuggy
3,0.945192277431488,0.9683422056752935,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,34164.json,NotBuggy
