SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
3,0.7731126546859741,0.8403430768369708,0,0,0,1,3.77,0,1,15.0,132.25152587890625,0,0,0,0,0,104.json,NotBuggy
3,0.45311239361763,0.8451350680699004,0,0,0,1,3.77,0,1,15.0,132.25152587890625,0,0,0,0,0,21852.json,NotBuggy
3,0.484132319688797,0.8376056988432021,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,21746.json,NotBuggy
8,0.5180313587188721,0.14977097191029626,1,1,2,2,4.8,1,2,43.0,109.30997467041016,0,0,2,0,0,20080.json,NotBuggy
14,0.020584598183631897,0.007999099716109273,6,3,9,5,7.67,2,3,75.0,96.27725219726562,0,2,1,0,0,2260.json,NotBuggy
3,0.12837199866771698,0.5475985673770741,0,0,0,1,3.77,0,2,22.0,129.69032287597656,0,0,0,0,0,14843.json,NotBuggy
46,0.0,5.409515378896035E-18,19,13,32,13,11.18,3,10,295.0,66.78131103515625,0,2,9,0,0,4953.json,Buggy
5,0.4492529034614563,0.10146550148702191,0,0,0,1,3.77,0,2,43.0,117.03116607666016,0,2,1,0,0,9801.json,NotBuggy
18,0.011680935509502888,1.4037158376067852E-7,0,0,0,1,2.51,0,17,147.0,89.20122528076172,0,1,3,0,0,27723.json,NotBuggy
5,0.025398261845111847,0.3785129374964138,1,1,2,2,5.99,0,2,34.0,118.60858917236328,0,0,0,0,0,3678.json,NotBuggy
9,1.0554407344898209E-4,8.066725188146238E-4,5,3,8,3,7.65,2,5,73.0,103.90274810791016,0,4,1,0,0,17141.json,NotBuggy
14,0.0,7.439046379561693E-8,1,5,6,6,8.1,2,5,138.0,92.6630859375,0,1,0,0,0,16005.json,Buggy
14,0.0,1.2039724858697302E-5,2,2,4,3,4.28,1,7,111.0,94.5658950805664,0,2,0,0,0,17150.json,Buggy
3,0.16338561475276947,0.8507052037973055,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,20560.json,NotBuggy
16,0.0015667793340981007,5.728820321354117E-4,7,6,13,5,8.94,3,8,91.0,92.97576904296875,0,1,1,0,0,13847.json,NotBuggy
8,0.0028369673527777195,8.089727415243456E-4,0,0,0,2,5.2,1,4,72.0,106.1551284790039,0,0,3,0,0,2810.json,Buggy
3,0.9138447046279907,0.8694483633113246,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,1,0,0,0,15403.json,NotBuggy
3,0.18104998767375946,0.8519384910701087,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,21931.json,NotBuggy
3,0.0014745242660865188,0.13409350327572175,0,0,0,1,3.77,0,2,32.0,127.25540161132812,0,3,0,0,0,2249.json,Buggy
22,0.0017081779660657048,1.532777265385745E-4,4,6,10,7,12.37,4,9,112.0,86.12118530273438,0,3,1,0,0,3815.json,Buggy
1,0.9501954913139343,0.8508359832512615,0,0,0,1,0.0,0,0,11.0,152.05810546875,0,1,0,0,0,4587.json,NotBuggy
3,0.5822879076004028,0.8217704474207056,0,0,0,1,3.77,0,1,17.0,131.43582153320312,0,0,0,0,0,474.json,NotBuggy
4,0.13797079026699066,0.5879566365800066,0,0,0,1,4.0,0,1,23.0,124.48601531982422,0,2,0,0,0,24799.json,NotBuggy
22,0.0,1.555479340573498E-10,6,5,11,5,8.14,3,6,177.0,83.86018371582031,0,1,4,0,0,24811.json,NotBuggy
4,0.5077204704284668,0.7456367871798718,0,0,0,1,4.0,0,1,20.0,125.64796447753906,0,1,0,0,0,15594.json,NotBuggy
9,0.2593573331832886,0.365041246572832,2,2,4,3,5.9,0,2,44.0,107.3419189453125,0,1,1,0,0,5916.json,NotBuggy
4,0.32760000228881836,0.21627129855983135,1,1,2,2,4.0,0,1,33.0,122.2889404296875,0,1,0,0,0,922.json,NotBuggy
3,0.8589105010032654,0.8442644208385137,0,0,0,1,3.77,0,1,15.0,132.25152587890625,0,1,0,0,0,13704.json,NotBuggy
19,0.0,1.72654912439129E-7,8,7,15,7,8.95,4,9,137.0,87.24920654296875,0,1,1,0,0,3848.json,Buggy
30,1.9751595391426235E-4,1.991188962743993E-5,4,3,7,3,13.29,1,18,151.0,80.20469665527344,0,4,3,0,0,4535.json,Buggy
3,0.8322917222976685,0.9032770151235329,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,6177.json,NotBuggy
3,0.7487116456031799,0.8707860218588532,0,0,0,1,3.77,0,0,13.0,132.9956512451172,0,0,0,0,0,19690.json,NotBuggy
3,0.3089136481285095,0.6095862611670869,0,0,0,1,3.77,0,1,21.0,129.81976318359375,0,2,0,0,0,25228.json,NotBuggy
17,0.003753150347620249,1.4662524002475657E-10,3,3,6,4,4.31,0,18,166.0,88.30218505859375,0,3,7,0,0,24383.json,Buggy
5,0.13839823007583618,0.10779894369668885,1,1,2,2,5.99,1,1,37.0,117.91622161865234,0,1,0,0,0,21211.json,NotBuggy
7,0.304946631193161,0.42119381781934484,1,1,2,2,5.11,1,1,34.0,112.98392486572266,0,1,0,0,0,15691.json,NotBuggy
6,0.7322108745574951,0.40404884101082045,2,1,3,2,5.5,1,1,32.0,115.79641723632812,0,1,1,0,0,12836.json,NotBuggy
10,0.06812649965286255,0.025193030686030446,1,2,3,3,15.38,0,4,62.0,103.17794799804688,0,2,0,0,0,26916.json,Buggy
3,0.8533183336257935,0.9051443922428849,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,22468.json,NotBuggy
9,0.10227762907743454,0.2780914921066765,1,2,3,3,7.33,1,1,43.0,107.2382583618164,0,0,1,0,0,19360.json,NotBuggy
8,0.002778588095679879,0.0068066678270789676,0,0,0,1,9.59,0,4,59.0,107.55863189697266,0,5,0,0,0,21413.json,NotBuggy
2,0.9972320795059204,0.9036984480692647,0,0,0,1,3.77,0,0,11.0,140.82913208007812,0,1,0,0,0,21510.json,NotBuggy
66,0.0,4.271608645833379E-8,2,3,5,5,8.97,2,5,223.0,64.28632354736328,0,10,4,0,0,3599.json,NotBuggy
3,0.8279224634170532,0.8530695276943008,0,0,0,1,1.89,0,1,15.0,132.25152587890625,0,1,0,0,0,27362.json,NotBuggy
3,0.11996468901634216,0.5794766669042619,0,0,0,1,3.77,0,1,23.0,129.2428436279297,0,3,0,0,0,14296.json,NotBuggy
7,0.005716318264603615,0.004612779135481501,0,0,0,1,3.61,0,10,63.0,109.53719329833984,0,1,1,0,0,15933.json,NotBuggy
3,0.6448227167129517,0.866915980264406,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,21469.json,NotBuggy
3,0.4384029507637024,0.8047086638630551,0,0,0,1,3.77,0,1,17.0,131.43582153320312,0,0,0,0,0,3511.json,NotBuggy
8,0.008311484009027481,0.08022695871477495,3,2,5,3,7.75,2,3,51.0,108.4822998046875,0,2,0,0,0,3985.json,NotBuggy
2,0.9419869780540466,0.9697787433315809,0,0,0,1,0.0,0,0,8.0,143.36026000976562,0,0,0,0,0,18919.json,Buggy
10,0.004595662467181683,1.126498848899238E-4,1,2,3,3,6.65,0,1,89.0,101.16539001464844,0,0,3,0,0,11064.json,NotBuggy
3,0.9242963194847107,0.8958789185991605,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,26626.json,NotBuggy
3,0.5590627193450928,0.8554799358365981,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,22211.json,NotBuggy
3,0.6650146245956421,0.71746741414476,0,0,0,1,3.77,0,0,18.0,130.7338104248047,0,1,0,0,0,10773.json,NotBuggy
3,0.5956489443778992,0.8106143514688086,0,0,0,1,3.77,0,0,15.0,131.9385528564453,0,0,0,0,0,21521.json,NotBuggy
3,0.9668331742286682,0.8054904190160377,0,0,0,1,3.77,0,1,17.0,131.28770446777344,0,1,0,0,0,9731.json,NotBuggy
3,0.3413081765174866,0.6974891696078672,0,0,0,1,3.77,0,1,19.0,130.70933532714844,0,1,0,0,0,3466.json,NotBuggy
3,0.8257077932357788,0.7997717238110541,0,0,0,1,3.77,0,0,15.0,131.9385528564453,0,0,0,0,0,25101.json,NotBuggy
8,0.2031431943178177,0.2516822257821053,0,0,0,1,6.24,0,5,37.0,110.53216552734375,0,1,0,0,0,21319.json,Buggy
3,0.03460558131337166,0.5124156864740148,0,0,0,1,3.77,0,0,24.0,129.0215301513672,0,1,0,0,0,25798.json,NotBuggy
8,0.07049845159053802,0.1564066109650885,2,1,3,2,4.8,1,1,43.0,109.30997467041016,0,3,1,0,0,794.json,NotBuggy
3,0.43797361850738525,0.9163198265785979,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,20412.json,NotBuggy
5,0.49524596333503723,0.18275785339362027,0,0,0,1,3.61,0,5,39.0,117.72811889648438,1,1,1,0,0,27760.json,NotBuggy
4,0.5667524933815002,0.7587840873880204,0,0,0,1,4.0,0,0,20.0,125.64796447753906,0,1,0,0,0,3191.json,NotBuggy
1,0.9630111455917358,0.8684087975902833,0,0,0,1,0.0,0,0,12.0,151.39474487304688,0,0,0,0,0,26342.json,NotBuggy
1,0.9081260561943054,0.6977478516462189,0,0,0,1,0.0,0,1,15.0,149.88418579101562,0,0,0,0,0,26803.json,NotBuggy
16,0.027987100183963776,4.2368710990742833E-4,1,2,3,3,6.46,2,10,94.0,93.30967712402344,0,0,3,0,0,26.json,NotBuggy
9,0.17899765074253082,0.061432745619761295,4,3,7,3,5.33,1,3,51.0,106.28463745117188,0,1,0,0,0,15807.json,NotBuggy
3,0.5645781755447388,0.6265126044682949,0,0,0,1,3.77,0,1,20.0,129.9696044921875,0,0,0,0,0,326.json,NotBuggy
14,0.07121005654335022,7.601889157488367E-5,5,4,9,4,9.28,3,2,94.0,94.90763092041016,0,1,6,0,0,21242.json,NotBuggy
3,0.8264957666397095,0.9266130716280169,0,0,0,1,3.77,0,1,15.0,132.25152587890625,0,0,0,0,0,2812.json,Buggy
4,2.839176740963012E-4,0.24039031894212037,0,0,0,1,5.2,0,1,34.0,122.27970123291016,0,2,0,0,0,27151.json,NotBuggy
5,0.6020627021789551,0.7619536939745545,0,0,0,1,3.58,0,1,24.0,121.08496856689453,0,0,1,0,0,15187.json,NotBuggy
13,8.32216814160347E-4,1.8206499439257047E-4,6,4,10,5,9.33,2,4,94.0,96.3036117553711,0,2,2,0,0,5045.json,NotBuggy
3,0.5668315887451172,0.8093432218824966,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,19558.json,NotBuggy
3,0.010081164538860321,0.7815345799479553,0,0,0,1,3.77,0,0,15.0,131.9385528564453,0,0,0,0,0,3686.json,NotBuggy
3,0.7498369812965393,0.8965576728185956,0,0,0,1,4.0,0,1,12.0,133.80813598632812,0,0,0,0,0,10336.json,NotBuggy
4,0.8131487965583801,0.9738172207398105,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,26594.json,NotBuggy
3,0.24436970055103302,0.8559614489844727,0,0,0,1,3.77,0,0,15.0,131.9385528564453,0,0,0,0,0,4917.json,NotBuggy
3,0.5150432586669922,0.17269563656915582,0,0,0,1,3.77,0,1,28.0,127.94976043701172,0,0,0,0,0,4180.json,NotBuggy
3,0.8181297779083252,0.9329870749877858,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,16446.json,NotBuggy
8,2.751423744484782E-4,0.0018816063010722917,1,1,2,2,6.63,1,4,66.0,106.65180206298828,0,1,1,0,0,24571.json,NotBuggy
3,0.8611099720001221,0.8256041391503772,0,0,0,1,3.77,0,1,17.0,131.60067749023438,0,1,0,0,0,2013.json,Buggy
3,0.5074304938316345,0.4639567555848069,0,0,0,1,3.77,0,3,21.0,129.93223571777344,0,0,0,0,0,18744.json,NotBuggy
3,0.5642331838607788,0.7476239803084281,0,0,0,1,3.77,0,1,19.0,130.45266723632812,0,2,0,0,0,4795.json,NotBuggy
5,0.8178156018257141,0.6014483678763112,0,0,0,1,5.99,0,1,26.0,120.3299331665039,0,0,1,0,0,16315.json,Buggy
3,0.732208251953125,0.7722796338265009,0,0,0,1,3.77,0,1,19.0,130.57513427734375,0,2,0,0,0,1731.json,Buggy
5,0.46073123812675476,0.33288985752481837,0,0,0,1,3.92,0,1,28.0,119.59552764892578,0,1,0,0,0,2546.json,Buggy
4,0.4642264246940613,0.7591679183384251,0,0,0,1,4.0,0,2,17.0,126.77537536621094,0,0,0,0,0,25411.json,NotBuggy
3,0.07411415129899979,0.1916149889992762,0,0,0,1,3.77,0,0,28.0,128.0337677001953,0,1,0,0,0,15772.json,NotBuggy
12,0.13668687641620636,0.026148537658922878,2,2,4,3,4.44,0,1,70.0,99.79756927490234,0,2,1,0,0,6926.json,NotBuggy
3,0.659972071647644,0.7492634579991493,0,0,0,1,3.77,0,2,17.0,131.28770446777344,0,0,0,0,0,20283.json,NotBuggy
9,0.5812836289405823,0.1306829608986368,1,1,2,3,6.97,1,3,47.0,106.6463851928711,0,1,0,0,0,22714.json,NotBuggy
24,0.03933384269475937,1.1921957738514521E-5,5,4,9,5,9.09,3,9,139.0,83.88007354736328,0,1,5,0,0,2773.json,Buggy
3,0.0,0.09446061466462344,0,0,0,1,3.77,0,2,36.0,126.56407165527344,0,4,0,0,0,25946.json,NotBuggy
2,0.9925793409347534,0.9447068839026878,0,0,0,1,3.77,0,0,9.0,142.4026641845703,0,0,0,0,0,27621.json,NotBuggy
3,0.424762099981308,0.796394615960037,0,0,0,1,3.77,0,1,17.0,131.43582153320312,0,0,0,0,0,20567.json,NotBuggy
7,0.1510307341814041,0.21470710322416414,1,1,2,2,5.11,1,1,39.0,112.11737823486328,0,1,0,0,0,15842.json,Buggy
6,0.31180065870285034,0.31079336627083093,1,1,2,2,5.5,0,0,36.0,115.18394470214844,0,1,1,0,0,19092.json,NotBuggy
8,0.07413965463638306,0.07138592562093546,1,1,2,2,4.62,1,3,57.0,107.55785369873047,1,1,2,0,0,2121.json,NotBuggy
8,0.027041256427764893,0.05168595117015455,2,1,3,2,4.8,1,4,48.0,108.61510467529297,0,1,1,0,0,12972.json,NotBuggy
6,0.5627810955047607,0.9709372417431257,0,0,0,1,7.18,0,2,5.0,133.37442016601562,0,2,0,0,0,22768.json,NotBuggy
3,0.7515769004821777,0.7859574517044122,0,0,0,1,3.77,0,2,17.0,131.28770446777344,0,0,0,0,0,2953.json,NotBuggy
3,0.6930068731307983,0.8921753595882986,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,2094.json,Buggy
3,0.39006659388542175,0.5248137044870713,0,0,0,1,3.77,0,1,21.0,129.7158966064453,0,0,0,0,0,2942.json,NotBuggy
2,0.9765734076499939,0.9050366162823461,0,0,0,1,3.77,0,0,11.0,140.82913208007812,0,1,0,0,0,18592.json,NotBuggy
3,0.6179681420326233,0.7575755516927469,0,0,0,1,3.77,0,0,17.0,131.03103637695312,0,1,0,0,0,18219.json,NotBuggy
4,0.45390912890434265,0.8739427915853899,0,0,0,1,4.0,0,0,14.0,127.78498840332031,0,2,0,0,0,9290.json,NotBuggy
4,0.5074172019958496,0.04075963502937564,1,1,2,2,3.92,0,1,45.0,120.06814575195312,0,4,0,0,0,1475.json,NotBuggy
3,0.799354612827301,0.8675625781000663,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,21471.json,NotBuggy
3,0.12213841825723648,0.8837032101013881,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,21231.json,NotBuggy
10,0.20504724979400635,0.03499904016760471,1,1,2,3,7.2,2,2,54.0,103.89632415771484,0,2,1,0,0,18638.json,Buggy
3,0.31293076276779175,0.6488778561495006,0,0,0,1,3.77,0,1,20.0,130.18594360351562,0,1,0,0,0,22101.json,NotBuggy
