SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
10,0.02094964124262333,2,5,102.21648406982422,35375.json,NotBuggy
8,0.12553639709949493,3,4,109.1463394165039,46069.json,NotBuggy
3,0.9049652218818665,1,0,131.28770446777344,40899.json,NotBuggy
3,0.471630334854126,1,3,130.44261169433594,2260.json,NotBuggy
3,0.8545146584510803,1,0,133.59722900390625,40884.json,NotBuggy
3,0.6230884790420532,1,0,133.59722900390625,34508.json,NotBuggy
9,0.5874843597412109,3,3,107.30836486816406,32082.json,NotBuggy
4,0.47695329785346985,1,1,124.6862564086914,31542.json,NotBuggy
3,0.19316734373569489,1,0,130.7338104248047,50303.json,NotBuggy
3,0.11502285301685333,1,1,132.25152587890625,13448.json,NotBuggy
3,0.6678178906440735,1,0,132.9956512451172,52023.json,NotBuggy
84,0.0,25,54,50.29146194458008,50620.json,Buggy
6,0.9483048319816589,2,2,115.18394470214844,36022.json,NotBuggy
3,0.6969732046127319,1,1,132.25152587890625,43539.json,NotBuggy
30,0.0,6,29,77.25641632080078,31928.json,NotBuggy
3,0.9113460183143616,1,0,133.59722900390625,6599.json,NotBuggy
4,0.1317516416311264,1,1,123.96263122558594,35437.json,Buggy
3,0.6994616389274597,1,1,130.99049377441406,47978.json,NotBuggy
10,0.0990743413567543,3,2,103.99352264404297,37266.json,Buggy
3,0.9352471232414246,1,1,132.4454345703125,35771.json,NotBuggy
4,0.07754938304424286,2,2,119.75467681884766,64677.json,NotBuggy
1,0.001846232102252543,1,1,148.53134155273438,3678.json,NotBuggy
3,0.6940732002258301,1,0,132.4454345703125,62951.json,NotBuggy
25,0.0,7,15,80.14692687988281,41415.json,NotBuggy
3,0.25251340866088867,1,0,132.43687438964844,50196.json,NotBuggy
4,0.58186936378479,1,2,125.27178192138672,52563.json,NotBuggy
3,0.9335397481918335,1,0,133.59722900390625,39530.json,NotBuggy
5,0.5817727446556091,2,0,118.07908630371094,54010.json,NotBuggy
3,0.9576540589332581,1,0,133.59722900390625,47602.json,NotBuggy
16,0.14117218554019928,4,5,93.05168151855469,37198.json,NotBuggy
3,0.9190999865531921,1,0,133.59722900390625,36747.json,NotBuggy
4,0.6286791563034058,1,0,124.6862564086914,51885.json,NotBuggy
3,0.8569045066833496,1,0,133.59722900390625,44784.json,NotBuggy
17,0.004105578176677227,4,5,91.07299041748047,39124.json,Buggy
