SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
3,0.8735559582710266,1,0,133.59722900390625,104.json,NotBuggy
3,0.3278059959411621,1,1,131.1535186767578,2260.json,NotBuggy
3,0.9323808550834656,1,0,133.59722900390625,3678.json,NotBuggy
13,4.968908615410328E-4,2,10,95.39812469482422,2294.json,NotBuggy
3,0.9351360201835632,1,1,133.18099975585938,2249.json,NotBuggy
5,0.7054272890090942,1,4,120.237548828125,3815.json,NotBuggy
15,0.013255108147859573,2,11,93.30255126953125,3173.json,NotBuggy
3,0.8987113833427429,1,0,130.70933532714844,474.json,NotBuggy
3,0.7196447849273682,1,0,133.59722900390625,922.json,NotBuggy
12,0.030057664960622787,1,3,101.03998565673828,3848.json,NotBuggy
4,0.16499225795269012,1,2,124.36514282226562,260.json,NotBuggy
3,0.7371817231178284,1,0,132.4454345703125,3511.json,NotBuggy
18,0.03780193626880646,3,5,91.60552215576172,2527.json,NotBuggy
3,0.15838423371315002,1,0,132.4454345703125,794.json,NotBuggy
6,0.7670981287956238,2,1,116.04551696777344,3191.json,NotBuggy
4,0.3607279360294342,1,0,126.19583892822266,26.json,NotBuggy
8,0.36245623230934143,3,2,108.79564666748047,326.json,NotBuggy
14,0.724189817905426,4,3,96.98869323730469,2812.json,NotBuggy
5,0.03591086342930794,2,1,119.3558120727539,3686.json,NotBuggy
3,0.6991968154907227,1,0,131.28770446777344,1454.json,NotBuggy
9,0.27138856053352356,2,5,105.43512725830078,2013.json,NotBuggy
3,0.703364908695221,1,0,133.59722900390625,1731.json,Buggy
6,0.563037633895874,2,0,117.45413208007812,2546.json,NotBuggy
10,0.15474602580070496,3,5,103.31035614013672,2773.json,NotBuggy
3,0.0,1,2,126.34735107421875,2094.json,NotBuggy
3,0.6596358418464661,1,0,131.9385528564453,2942.json,NotBuggy
7,0.029075277969241142,2,2,112.48956298828125,1475.json,NotBuggy
19,0.009453841485083103,3,2,89.72454071044922,88.json,NotBuggy
3,0.906355082988739,1,0,131.9385528564453,2742.json,NotBuggy
3,0.081022709608078,1,0,131.91592407226562,858.json,NotBuggy
6,0.3540840148925781,1,1,117.08370208740234,1747.json,NotBuggy
7,0.1672811508178711,2,2,110.56478881835938,1581.json,NotBuggy
4,0.6266914010047913,1,1,125.91468811035156,1268.json,NotBuggy
3,0.9026831388473511,1,0,130.85629272460938,839.json,NotBuggy
33,0.0,5,21,72.78308868408203,469.json,NotBuggy
3,0.7096608281135559,1,1,131.60296630859375,3881.json,NotBuggy
3,0.8924878835678101,1,0,133.59722900390625,188.json,NotBuggy
4,0.30279091000556946,1,0,125.02987670898438,632.json,NotBuggy
8,0.3412972688674927,2,2,109.5576400756836,821.json,NotBuggy
5,0.48004165291786194,1,3,118.14434051513672,2297.json,NotBuggy
3,0.890437126159668,1,0,133.59722900390625,1528.json,NotBuggy
4,0.08131259679794312,1,3,123.19084167480469,1404.json,NotBuggy
9,0.037403710186481476,1,3,108.47972106933594,366.json,NotBuggy
3,0.7276448607444763,1,0,130.7338104248047,154.json,NotBuggy
4,0.6258825063705444,1,0,125.64796447753906,129.json,NotBuggy
3,0.04531949758529663,1,0,129.7158966064453,2739.json,NotBuggy
3,0.19942255318164825,1,0,133.59722900390625,908.json,NotBuggy
3,0.10377071797847748,1,0,133.59722900390625,2301.json,NotBuggy
3,0.005944863893091679,1,1,127.94110107421875,2710.json,NotBuggy
4,0.13205890357494354,1,0,125.27178192138672,799.json,NotBuggy
3,0.7414596080780029,1,0,131.1535186767578,152.json,NotBuggy
6,0.13008667528629303,2,0,116.7609634399414,452.json,NotBuggy
15,0.08436035364866257,2,5,95.8880615234375,3846.json,NotBuggy
4,0.704922080039978,1,0,125.64796447753906,855.json,NotBuggy
32,0.0,5,15,76.291259765625,544.json,NotBuggy
19,0.05150831863284111,5,4,88.22992706298828,1423.json,NotBuggy
4,0.1790732592344284,1,1,123.56243133544922,898.json,NotBuggy
17,0.005732166580855846,5,5,91.9526138305664,574.json,NotBuggy
3,0.17382289469242096,1,1,130.70933532714844,1075.json,NotBuggy
3,0.22346168756484985,1,1,131.28770446777344,614.json,NotBuggy
3,0.7426425814628601,1,0,133.59722900390625,1605.json,NotBuggy
29,0.08757420629262924,5,14,79.6001968383789,1556.json,NotBuggy
4,0.5693768262863159,1,0,125.02987670898438,629.json,NotBuggy
3,0.8057711124420166,1,2,131.28770446777344,3711.json,NotBuggy
3,0.9876420497894287,1,1,131.1535186767578,3799.json,NotBuggy
3,0.00210087513551116,1,1,128.51292419433594,3729.json,Buggy
4,0.6513165235519409,1,2,126.94023132324219,3793.json,NotBuggy
7,0.23378118872642517,2,0,111.29065704345703,1402.json,NotBuggy
3,0.8425434231758118,1,0,131.91592407226562,884.json,NotBuggy
10,0.05839760601520538,2,6,105.5951156616211,885.json,NotBuggy
3,0.838780403137207,1,0,132.4454345703125,1601.json,NotBuggy
3,0.887287437915802,1,0,130.70933532714844,681.json,NotBuggy
3,0.7460660934448242,1,0,131.9385528564453,2850.json,NotBuggy
6,0.015952562913298607,1,4,113.12964630126953,3537.json,NotBuggy
11,0.483102023601532,3,3,100.1884765625,2310.json,NotBuggy
3,0.00210087513551116,1,1,128.51292419433594,3661.json,Buggy
30,0.027930457144975662,5,10,78.57656860351562,3121.json,Buggy
17,0.005732166580855846,5,5,91.9526138305664,572.json,NotBuggy
3,0.8405749201774597,1,1,132.25152587890625,3625.json,NotBuggy
3,0.5099133849143982,1,0,132.4454345703125,754.json,NotBuggy
5,0.6547514796257019,1,1,118.5140380859375,1790.json,NotBuggy
6,0.2619885802268982,1,2,116.89459228515625,1136.json,NotBuggy
7,0.022769954055547714,2,6,110.30502319335938,3823.json,NotBuggy
23,0.04206232726573944,5,5,85.90999603271484,319.json,NotBuggy
3,0.7232409715652466,1,0,130.70933532714844,925.json,NotBuggy
7,0.32840681076049805,2,3,109.44398498535156,2906.json,NotBuggy
4,2.641209866851568E-4,1,2,122.11019134521484,3821.json,NotBuggy
10,0.5476338863372803,3,2,106.74620056152344,59.json,NotBuggy
5,0.17049065232276917,1,1,119.1451187133789,1805.json,NotBuggy
30,0.0,3,9,81.74244689941406,1469.json,NotBuggy
11,0.5837119817733765,3,3,102.18502807617188,3395.json,NotBuggy
11,0.0760420560836792,3,1,103.62164306640625,370.json,NotBuggy
5,0.13909564912319183,1,1,117.59877014160156,969.json,NotBuggy
3,0.04388086870312691,1,0,133.59722900390625,651.json,NotBuggy
11,0.25707459449768066,3,2,101.46054077148438,510.json,NotBuggy
3,0.9026831388473511,1,0,130.85629272460938,876.json,NotBuggy
4,0.1253744661808014,1,0,125.64796447753906,30.json,NotBuggy
3,0.049642983824014664,1,1,129.34671020507812,2816.json,NotBuggy
3,0.6312618851661682,1,1,130.85629272460938,680.json,NotBuggy
3,0.8957158327102661,1,0,133.59722900390625,549.json,NotBuggy
6,0.5838833451271057,2,2,115.12547302246094,1460.json,NotBuggy
4,0.6808558702468872,1,1,126.19583892822266,3546.json,NotBuggy
12,0.092753104865551,3,5,99.2678451538086,3453.json,NotBuggy
3,0.7426425814628601,1,0,133.59722900390625,387.json,NotBuggy
3,0.8840162754058838,1,0,130.57513427734375,1051.json,NotBuggy
10,0.6285843849182129,1,3,105.12295532226562,1813.json,NotBuggy
3,0.2480648308992386,1,0,129.12539672851562,3617.json,NotBuggy
6,0.43366286158561707,2,1,117.77888488769531,248.json,NotBuggy
3,0.8814592957496643,1,0,133.59722900390625,2801.json,NotBuggy
4,0.6887132525444031,1,0,125.64796447753906,120.json,NotBuggy
3,0.3632887601852417,1,2,129.69032287597656,3802.json,NotBuggy
34,0.0027945293113589287,5,16,75.3852767944336,3027.json,NotBuggy
10,0.04068605229258537,1,1,107.83504486083984,2481.json,NotBuggy
