SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
3,0.4003453254699707,1,0,133.59722900390625,10057.json,NotBuggy
3,0.850714921951294,1,0,132.4454345703125,21329.json,NotBuggy
9,0.7945773005485535,3,4,107.07196044921875,22601.json,NotBuggy
5,0.6118259429931641,1,2,118.2244644165039,25914.json,NotBuggy
6,0.7235206365585327,2,1,117.25019073486328,25025.json,NotBuggy
3,0.7967643141746521,1,0,130.85629272460938,24847.json,NotBuggy
3,0.3851919174194336,1,0,132.4454345703125,36798.json,NotBuggy
3,0.07853323966264725,1,2,127.36779022216797,14362.json,NotBuggy
3,0.7737541794776917,1,0,133.59722900390625,40749.json,NotBuggy
3,0.48473113775253296,1,1,132.25152587890625,6857.json,NotBuggy
5,0.31665095686912537,1,0,123.16044616699219,23288.json,NotBuggy
16,0.05479653552174568,5,5,92.19267272949219,8751.json,NotBuggy
10,0.22333918511867523,3,2,102.52298736572266,20566.json,NotBuggy
4,0.0024444821756333113,1,3,120.3629150390625,39166.json,NotBuggy
3,0.8509150147438049,1,0,133.59722900390625,21098.json,NotBuggy
3,0.5222123861312866,1,1,132.086669921875,10148.json,NotBuggy
3,0.5889713764190674,2,1,127.03739166259766,16668.json,NotBuggy
3,0.8320688009262085,1,0,132.4454345703125,2730.json,Buggy
3,0.8776865601539612,1,1,130.18594360351562,22112.json,NotBuggy
12,0.03389329835772514,2,4,100.36510467529297,7980.json,NotBuggy
4,2.155071124434471E-4,1,3,120.35262298583984,40174.json,NotBuggy
1,0.010870453901588917,1,0,148.95103454589844,9743.json,NotBuggy
4,0.339455246925354,1,1,125.64796447753906,16031.json,NotBuggy
5,0.5757274627685547,2,1,119.75089263916016,9829.json,NotBuggy
3,0.7164233922958374,1,1,131.28770446777344,20603.json,NotBuggy
3,0.10430236905813217,1,1,130.07347106933594,18876.json,NotBuggy
5,0.008771993219852448,1,3,116.0323715209961,25822.json,NotBuggy
3,0.7212510108947754,1,0,133.59722900390625,20651.json,NotBuggy
3,0.3095441460609436,1,0,130.236328125,41634.json,NotBuggy
