SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
3,0.8452727794647217,1,1,130.85629272460938,104.json,NotBuggy
3,0.3795568346977234,1,0,133.59722900390625,20823.json,NotBuggy
3,0.6298864483833313,1,2,131.91592407226562,21746.json,NotBuggy
3,0.6750948429107666,1,3,129.2378692626953,761.json,NotBuggy
8,0.008498412556946278,1,5,108.21082305908203,20080.json,NotBuggy
3,0.0012251861626282334,1,1,128.21994018554688,2260.json,NotBuggy
7,0.04047676920890808,2,3,109.9588851928711,14843.json,NotBuggy
3,0.9674601554870605,1,0,133.59722900390625,7760.json,NotBuggy
5,0.0026267357170581818,1,3,117.66175079345703,4953.json,NotBuggy
10,0.14287278056144714,1,5,104.64515686035156,13448.json,NotBuggy
3,0.9240196347236633,1,0,133.59722900390625,7289.json,NotBuggy
3,0.546697735786438,1,1,129.7158966064453,9801.json,NotBuggy
13,0.009379517287015915,3,3,97.52046203613281,10470.json,NotBuggy
4,0.5475952625274658,1,2,123.75868225097656,16880.json,NotBuggy
4,0.1226806566119194,1,0,124.361083984375,17071.json,Buggy
3,0.0015450030332431197,1,1,128.4090576171875,20426.json,NotBuggy
3,0.5935533046722412,1,0,134.26058959960938,3678.json,NotBuggy
4,0.9495622515678406,2,0,121.47132873535156,22852.json,NotBuggy
3,0.006279556546360254,1,2,125.74343872070312,5747.json,NotBuggy
3,0.0,1,0,124.9938735961914,17150.json,NotBuggy
3,0.10273506492376328,1,3,128.1388702392578,13847.json,NotBuggy
6,0.7436435222625732,1,4,116.36531829833984,2810.json,NotBuggy
3,0.44239553809165955,1,0,132.25152587890625,2294.json,NotBuggy
3,0.34765198826789856,1,1,129.93223571777344,15403.json,NotBuggy
3,0.9639779329299927,1,3,129.36033630371094,2249.json,NotBuggy
5,0.17799703776836395,2,3,117.84797668457031,3815.json,NotBuggy
8,0.14234815537929535,2,0,107.22718048095703,3173.json,NotBuggy
5,0.2720218300819397,1,3,118.90116882324219,5277.json,NotBuggy
8,0.038192883133888245,1,0,109.4000015258789,12309.json,NotBuggy
9,0.8055264353752136,3,1,106.92947387695312,4587.json,NotBuggy
9,3.634402819443494E-4,3,2,104.74285888671875,474.json,NotBuggy
6,0.0017871955642476678,1,3,113.56543731689453,5352.json,NotBuggy
3,0.7311904430389404,1,1,130.57513427734375,15594.json,NotBuggy
12,0.5640605688095093,3,4,102.31301879882812,5916.json,NotBuggy
4,0.002752066822722554,1,2,121.68689727783203,18965.json,NotBuggy
3,0.024478569626808167,1,0,129.49453735351562,6394.json,NotBuggy
3,0.7099959254264832,1,1,131.43582153320312,8517.json,NotBuggy
6,0.1457214057445526,2,2,113.80038452148438,922.json,Buggy
3,0.7367488145828247,1,2,131.91592407226562,13704.json,NotBuggy
3,0.0066739278845489025,1,2,128.53907775878906,12174.json,NotBuggy
3,0.14762939512729645,1,3,128.8092498779297,3848.json,NotBuggy
3,0.6522930264472961,1,1,130.34019470214844,12067.json,NotBuggy
3,0.0030801997054368258,1,2,127.76728820800781,4535.json,NotBuggy
9,0.0,1,3,104.08475494384766,6177.json,NotBuggy
8,0.0,1,5,105.2942886352539,13200.json,NotBuggy
13,0.011738850735127926,3,7,96.90167236328125,21211.json,NotBuggy
3,0.78392493724823,1,1,130.07347106933594,15691.json,NotBuggy
5,0.0033296255860477686,1,4,116.97151184082031,12836.json,NotBuggy
3,0.8207865953445435,1,0,133.59722900390625,19018.json,NotBuggy
3,0.0026119514368474483,1,0,127.17938995361328,274.json,NotBuggy
7,0.31641045212745667,2,3,111.53256225585938,9750.json,NotBuggy
10,0.06136171519756317,2,2,104.55162811279297,22468.json,NotBuggy
3,0.5588507652282715,1,1,130.85629272460938,19360.json,NotBuggy
3,0.610572874546051,1,0,130.621337890625,10899.json,NotBuggy
4,0.017190665006637573,1,1,120.82833862304688,21413.json,NotBuggy
3,0.0030056301038712263,1,1,128.1235809326172,21510.json,Buggy
9,0.0,1,6,103.07127380371094,3599.json,NotBuggy
3,0.25844141840934753,1,2,129.4591827392578,260.json,NotBuggy
4,0.052352748811244965,1,1,121.90575408935547,14296.json,NotBuggy
3,0.09652337431907654,1,0,134.26058959960938,7920.json,NotBuggy
19,0.19864320755004883,6,3,89.40473175048828,6974.json,NotBuggy
3,0.9364368915557861,1,0,132.4454345703125,15933.json,NotBuggy
5,0.8215252757072449,1,2,121.91352844238281,5181.json,NotBuggy
6,0.6747978925704956,2,2,114.82393646240234,15918.json,NotBuggy
3,0.7234928011894226,1,1,130.99049377441406,3985.json,NotBuggy
4,0.2576148509979248,1,2,122.3560791015625,22191.json,NotBuggy
2,0.9554787874221802,1,0,142.4026641845703,18919.json,NotBuggy
3,0.45764127373695374,1,0,131.03103637695312,17016.json,Buggy
6,0.2189917415380478,1,2,112.97779083251953,22211.json,NotBuggy
18,0.0,2,18,88.55028533935547,8103.json,NotBuggy
3,0.9208518862724304,1,0,132.9956512451172,7453.json,NotBuggy
28,0.0,5,8,82.58635711669922,10773.json,NotBuggy
9,0.3396640419960022,1,2,107.80191802978516,2527.json,NotBuggy
4,0.07937068492174149,1,2,121.62992095947266,21521.json,NotBuggy
5,0.006183112971484661,1,5,116.7927474975586,9731.json,Buggy
3,0.7707116007804871,1,0,129.58164978027344,11138.json,NotBuggy
