SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
7,0.04965473711490631,0.00666346768819332,1,1,2,2,1.28,1,4,56.0,109.71534729003906,0,3,1,0,0,104.json,NotBuggy
6,0.8140212893486023,0.6348215580138524,2,2,4,2,1.37,1,1,28.0,116.57478332519531,0,0,0,0,0,58709.json,NotBuggy
3,0.544666051864624,0.9277935043525718,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,21852.json,NotBuggy
3,0.00993816927075386,0.2628501411128731,0,0,0,1,0.94,0,4,32.0,127.25540161132812,0,2,0,0,0,48547.json,NotBuggy
4,0.10780538618564606,0.6535496132106186,0,0,0,1,1.0,0,1,26.0,123.75868225097656,0,1,0,0,0,54818.json,NotBuggy
6,0.6716088056564331,0.3639793837927613,0,0,0,1,2.82,0,1,37.0,115.04825592041016,0,2,1,0,0,20823.json,NotBuggy
7,0.1277834177017212,0.004938815974659481,1,1,2,2,0.9,0,5,59.0,109.31124114990234,0,1,2,0,0,21746.json,NotBuggy
3,0.8806297183036804,0.9502262457967162,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,9640.json,NotBuggy
3,0.7127098441123962,0.8725067484494899,0,0,0,1,0.94,0,0,14.0,132.4454345703125,0,0,0,0,0,23917.json,NotBuggy
3,0.385569304227829,0.6927973880759684,0,0,0,1,0.94,0,3,21.0,129.81976318359375,0,0,0,0,0,70329.json,NotBuggy
4,0.0,0.0067659442780699415,0,0,0,1,1.0,0,2,55.0,119.42608642578125,0,3,0,0,0,761.json,NotBuggy
3,0.5383654236793518,0.8241076136952775,0,0,0,1,0.94,0,1,17.0,131.28770446777344,0,1,0,0,0,40899.json,NotBuggy
3,0.8641944527626038,0.9452492521865663,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,72448.json,NotBuggy
3,0.8844341039657593,0.550450555588013,1,1,2,2,0.94,0,0,26.0,128.4791717529297,0,1,0,0,0,20080.json,NotBuggy
3,0.3209988474845886,0.5436708955740374,0,0,0,1,0.94,0,1,20.0,130.07347106933594,0,1,0,0,0,40884.json,NotBuggy
3,0.53144770860672,0.8600631620409827,0,0,0,1,0.94,0,0,16.0,131.75106811523438,0,0,0,0,0,72347.json,NotBuggy
14,0.0025026474613696337,1.2142917140580835E-4,0,0,0,3,1.64,2,5,94.0,95.1702651977539,0,3,5,0,0,74650.json,NotBuggy
38,0.0,3.318204451515313E-10,9,4,13,6,2.94,2,29,219.0,73.39063262939453,1,2,1,0,0,39296.json,NotBuggy
1,0.9802452921867371,0.878948158376689,0,0,0,1,0.0,0,0,12.0,151.39474487304688,0,0,0,0,0,76645.json,NotBuggy
6,0.22679859399795532,0.32499167622869796,0,0,0,1,2.49,0,3,37.0,115.04825592041016,0,2,1,0,0,34508.json,NotBuggy
3,0.8969882726669312,0.9667358966657048,0,0,0,1,0.94,0,0,11.0,134.26058959960938,0,0,0,0,0,32082.json,NotBuggy
5,0.3243776261806488,0.043527406261958126,0,0,0,1,0.98,0,2,44.0,116.80007934570312,0,1,2,0,0,14843.json,NotBuggy
3,0.8632985949516296,0.9765293752770734,0,0,0,1,0.94,0,0,11.0,134.26058959960938,0,0,0,0,0,7760.json,NotBuggy
