SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
3,0.21142295002937317,1,1,130.45266723632812,21852.json,NotBuggy
3,0.476007878780365,1,1,131.28770446777344,20823.json,NotBuggy
3,0.5555664300918579,1,0,130.85629272460938,9640.json,NotBuggy
3,0.20306620001792908,1,2,129.57785034179688,23917.json,NotBuggy
2,0.9488450884819031,1,0,142.4026641845703,20080.json,Buggy
3,0.45973777770996094,1,0,133.59722900390625,39296.json,NotBuggy
3,0.7176187634468079,1,0,132.4454345703125,34508.json,NotBuggy
26,0.00625523691996932,7,8,82.11035919189453,32082.json,Buggy
5,1.884735975181684E-4,1,2,115.2137222290039,7760.json,Buggy
3,0.6866081357002258,1,0,132.4454345703125,4953.json,NotBuggy
15,0.007448168937116861,4,15,92.9408950805664,27723.json,NotBuggy
4,0.5001185536384583,1,2,125.27178192138672,39257.json,NotBuggy
3,0.9195706844329834,1,0,132.086669921875,6599.json,NotBuggy
5,0.7177274227142334,1,4,117.66175079345703,10470.json,Buggy
3,0.9440113306045532,1,0,133.59722900390625,37266.json,NotBuggy
3,0.7291566729545593,1,0,132.4454345703125,16880.json,NotBuggy
3,0.940879762172699,1,0,133.59722900390625,20426.json,NotBuggy
3,0.5855357646942139,1,0,129.7158966064453,3678.json,NotBuggy
7,0.1268766075372696,1,5,111.91390228271484,22852.json,NotBuggy
15,0.1124691292643547,4,8,93.37578582763672,16005.json,Buggy
3,0.8898017406463623,1,0,132.9956512451172,5747.json,NotBuggy
3,0.2472735494375229,1,0,133.59722900390625,17150.json,NotBuggy
3,0.9522537589073181,1,0,133.59722900390625,29871.json,NotBuggy
3,0.9416040182113647,1,0,131.60296630859375,29353.json,NotBuggy
5,0.7035136222839355,1,3,118.74115753173828,21931.json,NotBuggy
3,0.7876358032226562,1,0,132.4454345703125,3815.json,NotBuggy
6,0.16457143425941467,1,4,112.781982421875,3173.json,NotBuggy
3,0.9333015084266663,1,0,133.59722900390625,24799.json,NotBuggy
3,0.7302272915840149,1,0,131.60296630859375,5352.json,NotBuggy
11,0.09244679659605026,3,5,100.97896575927734,15594.json,NotBuggy
3,0.5855357646942139,1,0,129.7158966064453,5916.json,NotBuggy
3,0.0028569549322128296,1,2,127.8611831665039,18965.json,NotBuggy
3,0.8898017406463623,1,0,132.9956512451172,6394.json,NotBuggy
28,0.0,6,9,80.84322357177734,23870.json,NotBuggy
4,0.3575651943683624,1,0,125.64796447753906,32781.json,NotBuggy
12,0.06476937234401703,3,6,98.53768157958984,12174.json,Buggy
3,0.7730385661125183,1,0,132.4454345703125,28773.json,NotBuggy
3,0.5855357646942139,1,0,129.7158966064453,3848.json,NotBuggy
3,0.43697622418403625,2,1,128.91647338867188,12067.json,NotBuggy
2,0.9420626163482666,1,0,142.4026641845703,34035.json,NotBuggy
8,0.11136435717344284,2,4,109.64305114746094,19690.json,NotBuggy
3,0.5716535449028015,1,1,131.28770446777344,33049.json,NotBuggy
