SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
8,0.005015731323510408,3,4,106.5818099975586,104.json,NotBuggy
3,0.3257022798061371,1,2,129.81976318359375,2260.json,NotBuggy
46,0.0,11,15,67.61479187011719,2810.json,NotBuggy
27,0.0,4,12,79.5721206665039,2294.json,NotBuggy
5,0.4678407907485962,1,0,119.57592010498047,1843.json,NotBuggy
3,0.950273871421814,1,0,130.34019470214844,2249.json,NotBuggy
4,0.4598338007926941,1,1,127.42622375488281,922.json,NotBuggy
4,0.24182355403900146,1,1,123.87862396240234,2527.json,NotBuggy
3,0.13333909213542938,1,0,128.7513427734375,26.json,NotBuggy
10,0.4615934193134308,3,5,105.43936920166016,2812.json,NotBuggy
4,0.13384617865085602,1,1,123.28931427001953,2253.json,NotBuggy
3,0.6491664052009583,1,1,132.086669921875,1454.json,NotBuggy
4,0.07565971463918686,1,1,123.39956665039062,1731.json,NotBuggy
3,0.667165219783783,1,0,131.28770446777344,2773.json,NotBuggy
3,0.4760749638080597,1,1,133.18099975585938,2742.json,NotBuggy
3,0.4029526710510254,1,0,133.59722900390625,858.json,NotBuggy
3,0.5182741284370422,1,1,132.25152587890625,1747.json,NotBuggy
4,0.046820320188999176,1,1,124.361083984375,1581.json,NotBuggy
9,0.34294337034225464,2,4,103.91155242919922,194.json,NotBuggy
4,0.0064774868078529835,1,0,122.21172332763672,1268.json,NotBuggy
8,0.8968273401260376,2,1,110.44676971435547,839.json,NotBuggy
3,0.10873722285032272,1,0,131.28770446777344,1871.json,NotBuggy
12,0.47036030888557434,4,3,99.15433502197266,469.json,Buggy
16,0.003635177155956626,2,10,92.56348419189453,188.json,NotBuggy
7,3.689116856548935E-4,1,1,111.2971420288086,1528.json,NotBuggy
3,0.5786361694335938,1,0,133.59722900390625,154.json,NotBuggy
19,0.012824331410229206,9,6,88.7609634399414,129.json,NotBuggy
3,0.43394872546195984,1,1,132.086669921875,2739.json,NotBuggy
2,0.9517781138420105,1,0,142.4026641845703,908.json,NotBuggy
5,0.12336079031229019,1,0,118.4075698852539,2301.json,NotBuggy
3,0.9381090402603149,1,0,133.59722900390625,2710.json,NotBuggy
3,0.07850328832864761,1,0,133.59722900390625,152.json,NotBuggy
11,0.01508924551308155,2,2,100.36469268798828,84.json,NotBuggy
3,0.5739086866378784,1,1,132.61029052734375,855.json,NotBuggy
3,0.31332799792289734,1,0,131.28770446777344,574.json,NotBuggy
5,0.8944825530052185,1,1,121.77933502197266,2191.json,NotBuggy
4,0.2454424351453781,1,1,124.91740417480469,1605.json,NotBuggy
5,0.022281574085354805,1,1,119.52128601074219,1556.json,NotBuggy
3,0.7268518209457397,1,0,128.436279296875,1646.json,NotBuggy
3,0.6966894865036011,1,1,132.086669921875,885.json,NotBuggy
4,0.1870705783367157,1,1,125.15930938720703,1601.json,NotBuggy
3,0.5734537839889526,1,0,131.28770446777344,572.json,NotBuggy
4,0.0635003000497818,1,0,123.56243133544922,1790.json,NotBuggy
3,0.8679041862487793,1,0,132.9956512451172,1136.json,NotBuggy
19,0.02470104955136776,5,7,88.03719329833984,925.json,NotBuggy
10,0.0030878635589033365,2,3,102.2047119140625,59.json,NotBuggy
6,0.27636390924453735,2,2,115.48116302490234,1805.json,NotBuggy
4,0.11884072422981262,1,0,123.39956665039062,1469.json,NotBuggy
3,0.5271203517913818,1,2,129.2428436279297,510.json,NotBuggy
4,0.1167292669415474,1,1,122.3560791015625,876.json,NotBuggy
3,0.12637574970722198,1,1,131.28770446777344,2816.json,NotBuggy
3,0.4568289816379547,1,0,129.9696044921875,2785.json,NotBuggy
3,0.9283173680305481,1,1,130.70933532714844,1460.json,NotBuggy
1,0.9915579557418823,1,0,148.95103454589844,2635.json,NotBuggy
3,0.9388055205345154,1,0,130.99049377441406,1813.json,NotBuggy
3,0.8638911247253418,1,0,133.59722900390625,248.json,NotBuggy
3,0.18900884687900543,1,0,133.59722900390625,2801.json,NotBuggy
8,0.11315561085939407,3,2,108.38510131835938,95.json,NotBuggy
3,0.10136612504720688,1,0,132.4454345703125,120.json,NotBuggy
7,1.0553818719927222E-4,2,5,108.05938720703125,1127.json,NotBuggy
3,0.6595602035522461,1,0,133.59722900390625,1893.json,NotBuggy
2,0.7874348163604736,1,0,136.7544708251953,182.json,NotBuggy
3,0.35020652413368225,1,0,133.59722900390625,163.json,NotBuggy
5,0.0,1,7,115.40190887451172,2481.json,NotBuggy
3,0.6879553198814392,1,0,131.9385528564453,1276.json,NotBuggy
3,0.41954174637794495,1,2,130.70933532714844,2566.json,Buggy
3,0.9345443248748779,1,0,133.59722900390625,2714.json,NotBuggy
3,0.1889599859714508,1,0,133.59722900390625,2789.json,NotBuggy
3,0.7956857085227966,1,0,128.62307739257812,2321.json,NotBuggy
3,0.44255876541137695,1,0,131.28770446777344,1046.json,NotBuggy
3,0.30258968472480774,1,2,129.81976318359375,2257.json,NotBuggy
3,0.9991223216056824,1,1,133.18099975585938,2809.json,NotBuggy
15,0.4783593714237213,4,3,92.7414321899414,1066.json,NotBuggy
3,0.82071852684021,1,0,133.59722900390625,124.json,NotBuggy
4,0.01688196137547493,1,2,122.60694122314453,2523.json,NotBuggy
13,0.0019715006928890944,1,2,97.35416412353516,2344.json,NotBuggy
3,0.6598840355873108,1,0,131.28770446777344,18.json,NotBuggy
2,0.9833906888961792,1,0,139.0139617919922,226.json,NotBuggy
32,0.0,8,30,74.66746520996094,1049.json,NotBuggy
3,0.7757787704467773,1,1,132.25152587890625,2569.json,NotBuggy
3,0.018576253205537796,1,1,128.62307739257812,1315.json,NotBuggy
3,0.019388848915696144,1,2,128.50894165039062,2579.json,NotBuggy
12,0.06241372600197792,4,4,96.93576049804688,2803.json,NotBuggy
3,0.0,1,1,126.44578552246094,1736.json,NotBuggy
9,0.014124739915132523,3,6,105.32933044433594,972.json,NotBuggy
12,0.048301246017217636,4,6,98.51189422607422,65.json,NotBuggy
