SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
3,0.654025673866272,0.9248499802479367,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,104.json,NotBuggy
3,0.5260826349258423,0.9231060695399249,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,21746.json,NotBuggy
6,0.189106747508049,0.0864539079037567,1,1,2,2,9.98,0,4,42.0,113.96991729736328,0,3,1,0,0,23917.json,NotBuggy
11,0.037794794887304306,0.009817487361490036,2,2,4,3,5.12,1,3,70.0,101.10059356689453,0,1,0,0,0,2260.json,NotBuggy
3,0.29677724838256836,0.9051126985608569,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,14843.json,NotBuggy
3,0.5435603260993958,0.9370452056651369,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,7760.json,NotBuggy
4,0.25574344396591187,0.6504860269406796,0,0,0,1,4.0,0,0,22.0,124.91740417480469,0,1,0,0,0,4953.json,NotBuggy
3,0.8831312656402588,0.9101103906132773,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,13448.json,NotBuggy
3,0.4890746772289276,0.8135206213611376,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,9801.json,NotBuggy
3,0.5204674601554871,0.676746407952651,0,0,0,1,3.77,0,2,18.0,130.99049377441406,0,0,0,0,0,6599.json,NotBuggy
3,0.6016161441802979,0.828749499503328,0,0,0,1,3.77,0,1,18.0,130.85629272460938,0,1,0,0,0,10470.json,NotBuggy
4,0.6725901365280151,0.9600275472501472,0,0,0,1,3.46,0,0,12.0,128.936767578125,0,0,0,0,0,16880.json,NotBuggy
3,0.8513831496238708,0.9123945097631886,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,17071.json,NotBuggy
4,0.8444754481315613,0.3872775779026917,1,1,2,2,4.0,0,2,29.0,122.96084594726562,0,0,1,0,0,20426.json,NotBuggy
3,0.1537298560142517,0.7432295294141368,0,0,0,1,3.77,0,2,18.0,131.1385955810547,0,0,0,0,0,17141.json,NotBuggy
3,0.4290115535259247,0.8192415335803858,0,0,0,1,3.77,0,0,17.0,131.03103637695312,0,0,0,0,0,22852.json,NotBuggy
16,4.5713421422988176E-4,1.369903868779971E-6,1,1,2,2,5.35,1,9,113.0,91.87138366699219,0,5,3,0,0,16005.json,NotBuggy
8,0.173176571726799,0.18098127954000612,1,1,2,2,5.06,1,5,48.0,108.80433654785156,0,2,0,0,0,5747.json,NotBuggy
3,0.8273748159408569,0.7282111556165003,0,0,0,1,3.77,0,0,17.0,131.28770446777344,0,1,0,0,0,17150.json,NotBuggy
19,0.04318520054221153,0.07892123118612672,1,7,8,9,7.56,2,1,71.0,90.74292755126953,0,0,0,0,0,20560.json,NotBuggy
7,0.472714364528656,0.5827585500570254,1,1,2,2,6.05,1,2,32.0,113.2991714477539,0,1,0,0,0,2810.json,NotBuggy
6,0.4848284125328064,0.04328039437519308,2,2,4,3,5.5,1,1,45.0,113.16763305664062,0,2,0,0,0,15403.json,NotBuggy
3,0.0985480397939682,0.45919741427830935,0,0,0,1,3.77,0,1,24.0,128.92515563964844,0,2,0,0,0,29353.json,NotBuggy
16,0.012754014693200588,8.85267065298969E-4,3,2,5,4,7.94,1,13,93.0,93.32321166992188,0,0,2,0,0,1843.json,NotBuggy
35,0.0,9.713138902070775E-18,0,0,0,7,6.68,1,35,299.0,73.05079650878906,0,1,11,0,0,2249.json,NotBuggy
3,0.7305947542190552,0.8652839307061077,0,0,0,1,3.77,0,1,15.0,132.086669921875,0,0,0,0,0,3815.json,NotBuggy
3,0.25101739168167114,0.5052319838718781,0,0,0,1,3.77,0,0,24.0,129.0215301513672,0,2,0,0,0,29594.json,NotBuggy
3,0.7808510661125183,0.5758792710034337,1,1,2,2,3.77,0,1,22.0,129.4603271484375,0,1,0,0,0,12309.json,NotBuggy
4,0.32212308049201965,0.7258910452836113,0,0,0,1,4.0,0,0,20.0,125.41301727294922,0,1,0,0,0,4587.json,NotBuggy
42,0.0018179273465648293,6.145083493277751E-10,5,6,11,10,8.97,3,13,205.0,71.1529541015625,0,3,1,0,0,24799.json,NotBuggy
4,0.5548067092895508,0.7047700851863099,0,0,0,1,4.0,0,2,21.0,125.39425659179688,0,1,0,0,0,5352.json,NotBuggy
14,0.18139304220676422,0.8139318168583333,3,3,6,4,4.03,2,6,65.0,97.70198822021484,0,1,0,0,0,30505.json,NotBuggy
6,0.08956993371248245,0.7534382030705278,1,1,2,2,5.5,1,0,26.0,117.25019073486328,0,1,0,0,0,5916.json,NotBuggy
1,0.14965951442718506,0.714861197148464,0,0,0,1,0.0,0,2,18.0,148.7880096435547,0,0,0,0,0,18538.json,NotBuggy
3,0.5499808192253113,0.7588162796894108,0,0,0,1,3.77,0,1,18.0,130.99049377441406,0,1,0,0,0,18965.json,NotBuggy
3,0.8675531148910522,0.9075660891843647,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,6394.json,NotBuggy
3,0.158576101064682,0.41071254981660743,0,0,0,1,3.77,0,1,22.0,129.47398376464844,0,1,0,0,0,29478.json,NotBuggy
4,0.5204862356185913,0.7860178283054406,0,0,0,1,4.0,0,1,20.0,125.5254898071289,0,1,0,0,0,23870.json,NotBuggy
