SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
3,0.46513187885284424,1,1,131.28770446777344,35375.json,NotBuggy
3,0.8956403136253357,1,1,133.18099975585938,21852.json,NotBuggy
9,0.03193659707903862,3,6,103.5172119140625,21746.json,NotBuggy
3,0.9281377196311951,1,0,133.59722900390625,9640.json,NotBuggy
19,0.02127097360789776,5,8,89.79621124267578,761.json,NotBuggy
2,0.550835371017456,1,0,138.17149353027344,40899.json,NotBuggy
16,0.0020333167631179094,1,14,92.85896301269531,2260.json,NotBuggy
12,0.7625371217727661,3,3,102.27503204345703,39296.json,NotBuggy
3,0.8580987453460693,1,0,132.9956512451172,34508.json,NotBuggy
3,0.17427943646907806,1,2,128.41912841796875,32082.json,NotBuggy
6,0.6859918236732483,1,1,117.89640808105469,14843.json,NotBuggy
3,0.7222368717193604,1,1,132.25152587890625,7760.json,NotBuggy
3,0.767372727394104,1,0,131.60296630859375,4953.json,NotBuggy
3,0.34106865525245667,1,1,130.18594360351562,9801.json,NotBuggy
11,0.010280127637088299,2,1,99.4310302734375,36022.json,NotBuggy
4,0.661765456199646,2,2,122.61405181884766,16880.json,NotBuggy
3,0.7589627504348755,1,1,131.60296630859375,17071.json,NotBuggy
3,0.913798451423645,1,0,133.59722900390625,20426.json,NotBuggy
8,0.5241875648498535,2,2,108.3597412109375,35771.json,NotBuggy
3,0.5244002938270569,1,1,130.34019470214844,17141.json,NotBuggy
3,0.37816229462623596,1,1,132.61029052734375,22852.json,NotBuggy
3,0.45635613799095154,1,1,133.80813598632812,16005.json,Buggy
12,0.027887729927897453,3,8,97.79852294921875,5747.json,NotBuggy
10,0.2541966140270233,4,7,102.27090454101562,39530.json,NotBuggy
3,0.6866558194160461,1,1,131.60296630859375,2810.json,NotBuggy
4,0.8900967240333557,2,1,123.82243347167969,2294.json,NotBuggy
8,0.05864551663398743,2,5,107.29112243652344,38954.json,NotBuggy
6,0.33888328075408936,2,1,116.231689453125,37198.json,NotBuggy
3,0.05955076217651367,1,1,129.34671020507812,29353.json,NotBuggy
