SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
3,0.649228036403656,1,1,132.61029052734375,104.json,NotBuggy
3,0.45002979040145874,1,0,133.59722900390625,761.json,NotBuggy
3,0.8279268145561218,1,1,131.60296630859375,6599.json,NotBuggy
6,0.20424744486808777,1,3,114.78617095947266,5747.json,NotBuggy
3,0.18117117881774902,1,1,129.69032287597656,2294.json,NotBuggy
3,0.7820066809654236,1,0,130.07347106933594,1843.json,NotBuggy
3,0.18480709195137024,1,1,129.69032287597656,2249.json,NotBuggy
3,0.28269803524017334,1,0,132.4454345703125,3815.json,NotBuggy
3,0.3541962504386902,1,1,130.7338104248047,3173.json,NotBuggy
3,0.1550312340259552,1,0,129.2378692626953,4587.json,NotBuggy
3,0.9876028895378113,1,0,132.086669921875,5352.json,NotBuggy
15,0.005503632593899965,4,9,93.80345153808594,922.json,NotBuggy
3,0.7319387197494507,1,0,132.61029052734375,3848.json,NotBuggy
3,0.3691707253456116,1,1,130.07347106933594,4535.json,NotBuggy
3,0.6987584233283997,1,0,131.28770446777344,6177.json,NotBuggy
5,9.414184023626149E-4,1,4,115.69420623779297,274.json,NotBuggy
3,0.6966673135757446,1,0,132.61029052734375,3599.json,NotBuggy
3,0.7016756534576416,1,1,132.25152587890625,260.json,NotBuggy
3,0.005118012893944979,1,1,128.1235809326172,3511.json,NotBuggy
3,0.005118012893944979,1,1,128.1235809326172,3985.json,NotBuggy
3,0.4188118577003479,1,1,129.93223571777344,2930.json,NotBuggy
3,0.4451378881931305,1,1,130.7338104248047,794.json,NotBuggy
3,0.3153530955314636,1,1,130.7338104248047,3191.json,NotBuggy
26,0.0,6,37,76.78123474121094,26.json,Buggy
4,0.9624051451683044,1,0,125.02987670898438,326.json,NotBuggy
3,0.19365328550338745,1,1,129.69032287597656,2253.json,NotBuggy
2,0.5314443111419678,1,0,139.0139617919922,1454.json,NotBuggy
3,0.46994948387145996,1,1,129.93223571777344,4180.json,NotBuggy
3,0.7747223377227783,1,1,130.85629272460938,4795.json,NotBuggy
3,0.7060662508010864,1,1,132.25152587890625,6926.json,NotBuggy
6,0.2133783996105194,2,3,113.9074478149414,2121.json,NotBuggy
6,0.7858262062072754,1,0,117.0948257446289,5570.json,NotBuggy
