SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
4,0.6933075785636902,1,0,125.64796447753906,9640.json,NotBuggy
6,5.375576438382268E-4,1,4,114.08087921142578,23917.json,NotBuggy
4,0.6363412737846375,1,1,125.27178192138672,761.json,NotBuggy
4,0.845005214214325,2,5,123.23312377929688,20080.json,NotBuggy
5,0.03033890388906002,2,2,116.99176788330078,2260.json,NotBuggy
4,0.4230302572250366,1,0,125.64796447753906,14843.json,NotBuggy
4,0.47951486706733704,1,0,125.64796447753906,13448.json,NotBuggy
3,0.3597126305103302,1,0,128.62307739257812,7289.json,NotBuggy
3,0.025194833055138588,1,2,127.33940887451172,27723.json,Buggy
3,0.6911267042160034,1,0,130.99049377441406,10470.json,NotBuggy
3,0.9553680419921875,1,0,131.28770446777344,16880.json,NotBuggy
3,0.7019529342651367,1,2,131.91592407226562,17141.json,NotBuggy
4,0.612019419670105,1,1,123.85247039794922,16005.json,NotBuggy
3,0.8041414618492126,1,0,133.59722900390625,5747.json,NotBuggy
3,0.01772361807525158,1,1,130.85745239257812,17150.json,NotBuggy
15,0.0,11,9,88.08126068115234,13847.json,NotBuggy
3,0.6549341678619385,1,2,131.28770446777344,2294.json,NotBuggy
9,0.30492159724235535,2,4,106.87126159667969,15403.json,NotBuggy
3,0.01005786657333374,1,1,129.57785034179688,5277.json,NotBuggy
3,0.19496245682239532,1,2,129.2378692626953,12309.json,NotBuggy
10,0.011664516292512417,3,7,102.35441589355469,4587.json,NotBuggy
6,0.006068678107112646,1,4,111.54225158691406,474.json,NotBuggy
3,0.8613207936286926,1,0,133.59722900390625,5352.json,NotBuggy
4,0.6535928249359131,1,1,123.85247039794922,15594.json,NotBuggy
4,0.08672352880239487,1,1,124.48601531982422,5916.json,Buggy
4,0.4568827450275421,1,0,125.64796447753906,18965.json,NotBuggy
3,0.758818507194519,1,1,131.28770446777344,8517.json,NotBuggy
7,0.17935582995414734,2,3,111.72637939453125,13704.json,NotBuggy
4,0.0021528895013034344,1,6,120.59892272949219,4535.json,NotBuggy
3,0.007896238937973976,1,3,127.68843078613281,6177.json,NotBuggy
4,0.3815121054649353,1,1,124.4649429321289,19690.json,NotBuggy
3,0.8357557654380798,1,0,132.4454345703125,13200.json,NotBuggy
4,0.6314100623130798,1,1,123.85247039794922,15691.json,NotBuggy
3,0.1559181958436966,1,0,130.30841064453125,12836.json,NotBuggy
3,0.3096684515476227,1,1,129.7158966064453,26916.json,NotBuggy
13,0.0,4,11,94.6339340209961,9750.json,NotBuggy
7,0.0482596792280674,2,8,109.10287475585938,19360.json,NotBuggy
3,0.006424952298402786,1,0,127.94110107421875,260.json,NotBuggy
18,0.4365594685077667,1,0,91.83281707763672,14296.json,NotBuggy
4,0.5190767645835876,1,1,123.85247039794922,15933.json,NotBuggy
9,0.012453045696020126,1,3,104.8184814453125,5181.json,NotBuggy
3,0.8278688192367554,1,0,131.75106811523438,27694.json,NotBuggy
4,0.08280185610055923,1,2,122.5160903930664,15918.json,NotBuggy
4,0.9081739783287048,1,0,123.94486236572266,3985.json,NotBuggy
3,0.034039583057165146,1,2,128.31268310546875,22191.json,NotBuggy
3,0.009618930518627167,1,1,129.57785034179688,17016.json,NotBuggy
7,0.0017119579715654254,1,12,107.82949829101562,25468.json,NotBuggy
3,0.9364921450614929,1,1,133.18099975585938,23461.json,NotBuggy
7,0.7257262468338013,1,1,114.69290161132812,8103.json,NotBuggy
6,0.6821374297142029,2,3,114.83138275146484,10773.json,NotBuggy
9,0.0,1,11,105.39209747314453,2527.json,NotBuggy
7,0.06908109039068222,3,3,110.29295349121094,27192.json,NotBuggy
3,0.45387002825737,1,0,133.59722900390625,11138.json,NotBuggy
3,0.6889553666114807,1,0,130.99049377441406,3466.json,NotBuggy
3,0.8815213441848755,1,0,132.4454345703125,21319.json,NotBuggy
3,0.7853241562843323,1,0,133.59722900390625,25915.json,NotBuggy
11,0.0031442835461348295,3,7,99.54837799072266,25798.json,NotBuggy
4,0.001681012217886746,1,3,121.90362548828125,12805.json,NotBuggy
3,0.35828033089637756,1,1,132.25152587890625,9979.json,NotBuggy
12,0.4896889925003052,4,4,98.54283142089844,27668.json,NotBuggy
4,0.605221152305603,1,1,123.85247039794922,15807.json,NotBuggy
4,0.1478194296360016,1,3,121.47811889648438,23338.json,NotBuggy
3,0.096710205078125,1,2,129.58164978027344,21242.json,NotBuggy
3,0.22474700212478638,1,3,129.69032287597656,26411.json,NotBuggy
3,0.05857674404978752,1,1,129.2378692626953,27151.json,NotBuggy
10,0.46389174461364746,2,5,100.8184814453125,2253.json,Buggy
11,0.02005007304251194,3,10,100.40142059326172,19558.json,NotBuggy
8,0.12665291130542755,1,1,109.12629699707031,24719.json,NotBuggy
3,0.07484221458435059,1,2,130.05470275878906,26594.json,NotBuggy
8,0.0,1,0,108.82205963134766,4180.json,NotBuggy
4,0.11863570660352707,1,2,122.5160903930664,16446.json,NotBuggy
3,0.33241939544677734,1,0,131.03103637695312,23472.json,NotBuggy
11,0.3347945213317871,3,2,102.5993423461914,4795.json,NotBuggy
4,0.5172902345657349,1,1,123.85247039794922,16315.json,NotBuggy
34,0.0,5,21,74.37184143066406,26227.json,Buggy
19,0.0,2,36,87.24494934082031,2546.json,NotBuggy
7,0.020533990114927292,2,8,108.97013092041016,25411.json,NotBuggy
4,0.5674010515213013,1,1,123.85247039794922,15772.json,NotBuggy
3,0.8613207936286926,1,0,133.59722900390625,20283.json,NotBuggy
