SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
4,0.746491551399231,0.9323737905627357,0,0,0,1,1.73,0,0,18.0,126.19583892822266,0,1,0,0,0,104.json,NotBuggy
29,0.0010109939612448215,5.701263824651669E-6,1,3,4,5,3.7,2,15,150.0,80.30010223388672,0,2,7,0,0,9640.json,NotBuggy
4,0.2309723198413849,0.9178755976231215,0,0,0,1,1.73,0,0,15.0,127.42622375488281,0,1,0,0,0,2260.json,NotBuggy
7,0.6529102325439453,0.9055482627170034,1,1,2,2,2.8,0,1,27.0,114.35646057128906,0,0,0,0,0,4953.json,NotBuggy
5,0.45848485827445984,0.9682600135800425,0,0,0,1,1.96,0,2,19.0,122.74693298339844,0,0,0,0,0,13448.json,NotBuggy
9,0.8414660096168518,0.9262081799148274,1,1,2,2,2.8,1,2,35.0,108.84590148925781,0,1,1,0,0,9801.json,NotBuggy
4,0.7371699213981628,0.9855745311864439,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,10470.json,NotBuggy
6,0.9286176562309265,0.9052303627922271,1,1,2,2,2.98,0,0,25.0,117.25389862060547,0,0,0,0,0,2810.json,NotBuggy
4,0.37188589572906494,0.9721046136972499,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,2294.json,NotBuggy
27,0.03732345253229141,7.174989543801255E-5,3,3,6,4,4.99,3,7,141.0,82.12770080566406,0,3,3,0,0,2249.json,NotBuggy
19,0.17484420537948608,0.0012177226652390128,5,4,9,5,4.18,2,6,100.0,89.40869903564453,0,1,4,0,0,3173.json,NotBuggy
5,0.37845557928085327,0.8156651093239221,0,0,0,1,1.96,0,2,23.0,120.96746826171875,0,0,0,0,0,5277.json,NotBuggy
4,0.2630867660045624,0.9621271967642466,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,12309.json,NotBuggy
4,0.08180836588144302,0.9593460595151632,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,5352.json,NotBuggy
3,0.574485719203949,0.9013344847620592,0,0,0,1,0.0,0,0,14.0,132.4454345703125,0,2,0,0,0,5916.json,NotBuggy
4,4.089000285603106E-4,0.8956735474113957,0,0,0,1,1.73,0,1,17.0,126.62725830078125,0,1,0,0,0,6394.json,NotBuggy
4,0.7048377394676208,0.9649280853842744,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,8517.json,NotBuggy
4,0.7808895707130432,0.9804995942609079,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,922.json,NotBuggy
4,0.6795369386672974,0.9065203968695764,0,0,0,1,1.73,0,1,18.0,126.4781494140625,0,1,0,0,0,12174.json,NotBuggy
4,0.03254225477576256,0.5296602294565492,0,0,0,1,1.73,0,4,26.0,123.8484878540039,0,0,0,0,0,3848.json,NotBuggy
14,0.25011029839515686,0.020079876657080963,1,1,2,3,2.37,1,3,72.0,96.77574157714844,0,1,3,0,0,12067.json,NotBuggy
4,0.8464279174804688,0.9530366472232745,0,0,0,1,1.73,0,0,15.0,127.42622375488281,0,1,0,0,0,4535.json,NotBuggy
4,0.5174344182014465,0.9499048007000653,0,0,0,1,1.73,0,0,15.0,127.42622375488281,0,1,0,0,0,3599.json,NotBuggy
4,0.6856302618980408,0.9686369620421755,0,0,0,1,1.73,0,1,17.0,126.77537536621094,0,1,0,0,0,14296.json,NotBuggy
4,0.8980556726455688,0.9379864655629326,0,0,0,1,1.73,0,0,15.0,127.42622375488281,0,1,0,0,0,6974.json,NotBuggy
4,0.5519900321960449,0.7037319234397705,0,0,0,1,1.73,0,2,22.0,124.91740417480469,0,1,0,0,0,11064.json,NotBuggy
4,0.36336269974708557,0.9569660598119261,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,8103.json,NotBuggy
14,0.11966290324926376,0.16251840959964478,0,0,0,1,2.78,1,4,66.0,97.77181243896484,0,0,1,0,0,10773.json,NotBuggy
3,0.9948335289955139,0.956688404397141,0,0,0,1,1.73,0,0,11.0,134.26058959960938,1,1,0,0,0,11138.json,NotBuggy
29,0.32596856355667114,6.20172546014077E-5,5,9,14,8,3.88,4,4,135.0,80.10342407226562,0,1,5,0,0,3466.json,NotBuggy
4,0.8220357894897461,0.9659131959094502,0,0,0,1,1.73,0,1,17.0,126.77537536621094,0,1,0,0,0,26.json,NotBuggy
4,0.9333364963531494,0.9773849737824571,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,326.json,NotBuggy
12,0.6753794550895691,0.49953542210518864,2,2,4,4,3.59,1,1,51.0,101.15978240966797,0,0,2,0,0,2812.json,NotBuggy
4,0.8122823238372803,0.9613679817256515,0,0,0,1,1.73,0,0,13.0,128.335205078125,0,0,0,0,0,5045.json,NotBuggy
4,0.3803486227989197,0.9016924855432954,0,0,0,1,3.46,0,0,13.0,128.335205078125,0,0,0,0,0,4917.json,NotBuggy
3,0.6487510800361633,0.9577525068721185,0,0,0,1,0.0,0,0,14.0,132.4454345703125,0,2,0,0,0,2013.json,NotBuggy
4,0.5329918265342712,0.9613133859333388,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,4795.json,NotBuggy
3,0.8987840414047241,0.9816283285428286,0,0,0,1,0.0,0,0,9.0,135.83412170410156,0,0,0,0,0,2546.json,NotBuggy
11,0.003397892927750945,8.379488524397278E-4,1,1,2,2,2.3,0,6,79.0,100.31523132324219,0,4,2,0,0,6926.json,NotBuggy
4,0.8027678728103638,0.8654763228891308,1,1,2,2,1.73,0,1,20.0,125.29549407958984,0,0,0,0,0,11728.json,NotBuggy
70,0.0,5.321779834447094E-20,2,6,8,11,3.19,5,14,369.0,59.364864349365234,0,1,11,0,0,11685.json,NotBuggy
4,0.8468436002731323,0.8089595544905612,0,0,0,1,1.73,0,1,20.0,125.5254898071289,0,0,0,0,0,2773.json,NotBuggy
11,0.12899325788021088,0.7280073285976185,0,0,0,2,2.67,1,2,41.0,104.33570861816406,0,2,0,0,0,2121.json,NotBuggy
19,0.6061801314353943,0.9847600840880408,2,1,3,3,3.75,2,4,49.0,94.38778686523438,0,0,0,0,0,2942.json,NotBuggy
4,0.9377694725990295,0.9893046327384003,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,10234.json,NotBuggy
4,0.881812572479248,0.9690162711643281,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,1475.json,NotBuggy
4,0.007473643869161606,0.6854174544407649,0,0,0,1,1.73,0,1,26.0,124.04872131347656,0,2,0,0,0,4376.json,NotBuggy
4,0.7009488344192505,0.9461304992805988,0,0,0,1,1.73,0,0,17.0,126.62725830078125,0,1,0,0,0,88.json,NotBuggy
5,0.7041900753974915,0.8664195542821665,0,0,0,1,1.96,0,1,20.0,121.79808807373047,0,1,0,0,0,2742.json,NotBuggy
21,0.07999612390995026,0.05543585332465312,2,2,4,5,4.08,2,8,86.0,88.8232650756836,0,1,2,0,0,4257.json,NotBuggy
4,0.7121073603630066,0.9764054239544847,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,14124.json,NotBuggy
6,0.08818139880895615,0.32101241535781755,0,0,0,1,2.0,0,2,39.0,114.84461975097656,0,1,1,0,0,11890.json,NotBuggy
4,0.7862881422042847,0.8662125053066113,0,0,0,1,1.73,0,1,20.0,125.41301727294922,0,1,0,0,0,12814.json,NotBuggy
4,0.8947298526763916,0.9794431831608882,0,0,0,1,1.73,0,0,13.0,128.335205078125,0,0,0,0,0,14130.json,NotBuggy
4,0.8036959171295166,0.9724912826836734,0,0,0,1,1.73,0,0,14.0,127.78498840332031,0,0,0,0,0,12011.json,NotBuggy
4,0.9285763502120972,0.972744566615603,0,0,0,1,1.73,0,0,13.0,128.335205078125,0,0,0,0,0,858.json,NotBuggy
5,0.35541704297065735,0.8521917128247944,0,0,0,1,1.96,0,1,26.0,119.98089599609375,0,3,0,0,0,1747.json,NotBuggy
23,5.764835514128208E-4,1.7754857335694975E-7,2,2,4,4,2.97,1,17,157.0,83.71521759033203,0,3,5,0,0,14257.json,Buggy
4,0.6464821696281433,0.9693209910823191,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,194.json,NotBuggy
4,0.784650981426239,0.9292066406337549,0,0,0,1,1.73,0,0,15.0,127.27810668945312,0,1,0,0,0,6816.json,NotBuggy
4,0.8885133266448975,0.9852308132294365,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,1871.json,NotBuggy
9,0.09444911777973175,0.008640233273236441,3,3,6,3,2.95,0,4,64.0,104.6295166015625,0,1,1,0,0,3881.json,NotBuggy
4,0.5327420830726624,0.9061463329324927,0,0,0,1,1.73,0,0,17.0,126.62725830078125,0,1,0,0,0,7625.json,NotBuggy
4,0.31312811374664307,0.9189562782963717,0,0,0,1,1.73,0,0,15.0,127.42622375488281,0,1,0,0,0,6135.json,NotBuggy
4,0.4933786690235138,0.9705358366765827,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,188.json,NotBuggy
4,0.5229079723358154,0.9477465423135849,0,0,0,1,1.73,0,1,15.0,127.59107971191406,0,0,0,0,0,12308.json,NotBuggy
4,0.9333364963531494,0.9773849737824571,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,7683.json,NotBuggy
11,0.29856905341148376,0.7505695875800128,1,3,4,4,3.74,2,0,38.0,104.47029113769531,0,1,0,0,0,821.json,NotBuggy
3,0.6292086243629456,0.9362045364934852,0,0,0,1,0.0,0,0,14.0,132.4454345703125,0,2,0,0,0,8813.json,NotBuggy
10,0.1953810155391693,0.11892003053347433,1,1,2,2,2.4,1,4,53.0,104.48490142822266,1,1,2,0,0,5029.json,NotBuggy
4,0.43913736939430237,0.8978954993101381,0,0,0,1,1.73,0,1,19.0,126.04888916015625,0,1,0,0,0,13865.json,NotBuggy
6,0.6024222373962402,0.5496814333337506,0,0,0,1,2.0,0,4,34.0,115.88497924804688,0,0,1,0,0,3986.json,NotBuggy
4,0.927918016910553,0.9844790182698286,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,13694.json,NotBuggy
7,0.3670138120651245,0.833356042286576,0,0,0,2,2.8,0,1,30.0,113.55591583251953,0,0,2,0,0,14224.json,NotBuggy
4,0.010720613412559032,0.51822537484201,0,0,0,1,1.73,0,4,28.0,123.37332153320312,0,0,0,0,0,14176.json,NotBuggy
5,0.5527915954589844,0.8639310420064272,0,0,0,1,1.96,0,0,22.0,121.41495513916016,0,2,0,0,0,9171.json,NotBuggy
4,0.5754697322845459,0.9150896161868317,0,0,0,1,1.73,0,0,17.0,126.37059020996094,0,0,0,0,0,1404.json,Buggy
4,0.7448874711990356,0.9481129668659689,0,0,0,1,1.73,0,1,17.0,126.77537536621094,0,1,0,0,0,366.json,NotBuggy
8,0.012922507710754871,0.15866602308268424,0,0,0,1,6.61,0,5,50.0,108.82205963134766,0,3,1,0,0,5126.json,NotBuggy
4,0.45584407448768616,0.907638125812171,0,0,0,1,1.73,0,1,18.0,126.33003997802734,0,1,0,0,0,154.json,NotBuggy
4,0.8361164927482605,0.9397625445212551,0,0,0,1,1.73,0,0,17.0,126.62725830078125,0,1,0,0,0,9775.json,NotBuggy
4,0.5236825942993164,0.9292230638646953,0,0,0,1,1.73,0,0,15.0,127.42622375488281,0,1,0,0,0,8154.json,NotBuggy
4,0.1280072033405304,0.8277323384754709,0,0,0,1,1.73,0,1,21.0,125.27178192138672,0,1,0,0,0,10582.json,NotBuggy
19,0.001278831623494625,9.03410215456411E-7,3,3,6,3,3.26,1,7,136.0,88.33604431152344,0,3,3,0,0,4685.json,NotBuggy
7,0.6824743151664734,0.49836004802772005,1,1,2,2,3.33,0,2,33.0,113.060302734375,0,1,0,0,0,5517.json,NotBuggy
4,0.7658536434173584,0.9287384497901748,0,0,0,1,1.73,0,0,17.0,126.62725830078125,0,1,0,0,0,129.json,NotBuggy
5,0.820037305355072,0.9450628750211092,0,0,0,1,1.96,0,0,16.0,123.19338989257812,0,1,0,0,0,2739.json,NotBuggy
4,0.9188694953918457,0.9781542724226904,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,14247.json,NotBuggy
5,0.32894107699394226,0.7950436845374113,2,1,3,2,3.2,0,2,26.0,120.20379638671875,0,1,0,0,0,6326.json,NotBuggy
4,0.15763990581035614,0.8199999115072151,0,0,0,1,1.73,0,1,22.0,125.02987670898438,0,2,0,0,0,4550.json,NotBuggy
4,0.5535876750946045,0.9587741058728447,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,8864.json,NotBuggy
24,0.27813175320625305,3.3365437544700087E-4,6,5,11,7,3.83,2,6,118.0,84.153564453125,0,0,3,0,0,7655.json,Buggy
4,0.6833875179290771,0.9640148205726445,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,8581.json,NotBuggy
4,0.8870490193367004,0.9686300322848064,0,0,0,1,1.73,0,0,13.0,128.335205078125,0,0,0,0,0,12130.json,NotBuggy
4,0.1234213337302208,0.8902435076788847,0,0,0,1,1.73,0,1,22.0,125.02987670898438,0,2,0,0,0,14302.json,NotBuggy
4,0.1782742738723755,0.9049617456145009,0,0,0,1,1.73,0,0,17.0,126.62725830078125,0,1,0,0,0,2301.json,NotBuggy
16,0.24392367899417877,0.15980033542195968,4,4,8,5,3.38,1,3,78.0,94.11441040039062,0,2,1,0,0,3418.json,NotBuggy
4,0.33257976174354553,0.9582334151893892,0,0,0,1,1.73,0,1,15.0,127.59107971191406,0,0,0,0,0,2710.json,NotBuggy
7,0.9711838364601135,0.7993730901794911,1,1,2,2,2.51,0,2,37.0,112.32101440429688,0,1,1,0,0,9206.json,Buggy
4,0.8099863529205322,0.5220246106172755,0,0,0,1,1.73,0,0,22.0,124.62736511230469,0,2,0,0,0,12198.json,NotBuggy
5,0.26237085461616516,0.9264916622273149,0,0,0,1,1.96,0,2,20.0,122.167236328125,0,0,0,0,0,5280.json,NotBuggy
4,0.6948357820510864,0.8462895242102075,0,0,0,1,1.73,0,1,20.0,125.5254898071289,0,1,0,0,0,8593.json,NotBuggy
16,0.004332215059548616,1.084890943289011E-4,7,6,13,5,8.02,1,8,105.0,91.97159576416016,0,3,1,0,0,799.json,NotBuggy
20,0.41142168641090393,0.974932152837333,0,0,0,1,3.64,2,3,67.0,92.10340881347656,0,0,1,0,0,10368.json,Buggy
20,0.10534472018480301,0.5022532273380632,3,4,7,6,4.36,2,2,74.0,90.38677978515625,0,1,3,0,0,152.json,NotBuggy
5,0.8077213168144226,0.14236605928201343,1,1,2,2,1.96,0,2,36.0,117.72510528564453,0,0,1,0,0,12114.json,Buggy
17,0.47365906834602356,0.9802089906964483,2,4,6,5,4.84,3,3,55.0,95.12897491455078,0,0,1,0,0,3846.json,Buggy
4,0.43550965189933777,0.9117636215545114,0,0,0,1,1.73,0,0,17.0,126.62725830078125,0,1,0,0,0,84.json,NotBuggy
4,0.8540695309638977,0.9895398053286154,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,6162.json,NotBuggy
3,0.5874399542808533,0.9545293292794029,0,0,0,1,0.0,0,0,14.0,132.4454345703125,0,2,0,0,0,13912.json,NotBuggy
4,0.8700870871543884,0.9855300130938554,0,0,0,1,1.73,0,0,14.0,127.78498840332031,0,1,0,0,0,13907.json,NotBuggy
4,0.49425745010375977,0.7757665235602279,0,0,0,1,1.73,0,1,21.0,125.0554428100586,0,1,0,0,0,11772.json,NotBuggy
7,0.3312864303588867,0.2594591320946932,1,1,2,2,2.8,0,3,42.0,111.41561126708984,0,1,1,0,0,6120.json,NotBuggy
22,1.4412526797968894E-4,8.22621748556849E-7,7,9,16,8,2.63,1,12,152.0,84.10395050048828,0,1,2,0,0,10149.json,NotBuggy
4,0.14106379449367523,0.6872718501488185,0,0,0,1,1.73,0,1,25.0,124.1488037109375,0,1,0,0,0,4586.json,NotBuggy
4,0.4070762097835541,0.9192300436251607,0,0,0,1,1.73,0,2,18.0,126.33003997802734,0,0,0,0,0,1423.json,NotBuggy
3,0.9042526483535767,0.963889523532271,0,0,0,1,0.0,0,0,11.0,134.26058959960938,0,0,0,0,0,3127.json,NotBuggy
4,0.7114385366439819,0.9466649922092072,0,0,0,1,1.73,0,0,15.0,127.42622375488281,0,1,0,0,0,8698.json,NotBuggy
6,0.9251568913459778,0.5134590722557463,1,1,2,2,2.98,0,3,38.0,114.98680114746094,0,1,0,0,0,10256.json,NotBuggy
11,0.04345891997218132,0.008026876457859934,2,2,4,3,2.95,1,5,73.0,100.78462982177734,0,1,3,0,0,4898.json,NotBuggy
10,0.0010639565298333764,3.450685596046456E-4,0,0,0,2,2.8,1,13,90.0,101.51789093017578,0,2,2,0,0,12636.json,NotBuggy
6,0.4984455704689026,0.48948289619218205,0,0,0,1,1.89,0,2,32.0,115.8733139038086,0,1,1,0,0,10073.json,NotBuggy
6,0.7773944139480591,0.7633204611548003,1,1,2,2,2.98,0,1,28.0,116.57478332519531,0,1,0,0,0,12821.json,NotBuggy
5,0.7345017790794373,0.9830330103865249,1,1,2,2,3.2,0,2,25.0,120.40774536132812,0,1,0,0,0,10204.json,NotBuggy
1,0.9864998459815979,0.912607609729468,0,0,0,1,0.0,0,1,13.0,150.978515625,0,0,0,0,0,7302.json,Buggy
5,0.6690784692764282,0.8615161575554082,0,0,0,1,1.96,0,3,21.0,121.77933502197266,0,1,0,0,0,1556.json,Buggy
26,0.003534518415108323,3.547663512134781E-5,6,6,12,7,4.21,3,9,131.0,82.18197631835938,0,3,4,0,0,4623.json,NotBuggy
