SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
25,0.0015112629625946283,3.469242235314306E-8,13,11,24,8,11.29,3,11,160.0,81.73638916015625,0,1,7,0,0,7760.json,NotBuggy
12,0.004020887427031994,4.6869653761928703E-4,3,3,6,3,6.93,2,6,82.0,98.63774871826172,0,3,2,0,0,4953.json,NotBuggy
4,0.36988502740859985,0.7907994070263121,0,0,0,1,4.0,0,0,20.0,125.64796447753906,0,1,0,0,0,7289.json,NotBuggy
3,0.9660810232162476,0.9305234314321194,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,9801.json,NotBuggy
10,0.035398099571466446,9.668577159077086E-5,1,2,3,3,6.97,0,10,85.0,101.40451049804688,0,4,0,0,0,6599.json,NotBuggy
5,0.10802792012691498,0.20036934634233514,0,0,0,1,7.16,0,2,32.0,118.69044494628906,0,2,0,0,0,5747.json,NotBuggy
3,0.572316586971283,0.8967985059289825,0,0,0,1,3.77,0,1,14.0,132.79563903808594,0,0,0,0,0,2810.json,NotBuggy
3,0.10083722323179245,0.29167616677873714,0,0,0,1,3.77,0,2,25.0,128.62307739257812,0,0,0,0,0,2294.json,NotBuggy
5,0.8031411170959473,0.7749643056677654,0,0,0,1,3.92,0,0,21.0,121.6568603515625,0,0,0,0,0,1843.json,NotBuggy
13,0.024246161803603172,9.321676202017482E-4,5,3,8,3,6.68,2,0,85.0,97.19678497314453,0,6,3,0,0,3173.json,NotBuggy
3,0.8826624155044556,0.9094689161740248,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,5277.json,NotBuggy
3,0.6675768494606018,0.7221391891656823,0,0,0,1,3.77,0,1,19.0,130.70933532714844,0,0,0,0,0,4587.json,NotBuggy
3,0.7460553646087646,0.8665556335280159,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,474.json,NotBuggy
3,0.7443118095397949,0.759025000548612,0,0,0,1,3.77,0,1,18.0,130.85629272460938,0,1,0,0,0,5352.json,NotBuggy
3,0.9168313145637512,0.9347994805132445,0,0,0,1,3.77,0,0,11.0,134.26058959960938,0,0,0,0,0,5916.json,NotBuggy
2,0.9529334306716919,0.8992999926991827,0,0,0,1,3.77,0,0,10.0,141.56829833984375,0,1,0,0,0,6394.json,NotBuggy
3,0.9486474990844727,0.8919703816074223,0,0,0,1,3.77,0,0,13.0,132.9956512451172,0,0,0,0,0,8517.json,NotBuggy
3,0.35424816608428955,0.667780168254441,0,0,0,1,3.77,0,0,18.0,130.99049377441406,0,0,0,0,0,3848.json,NotBuggy
3,0.8801743984222412,0.8276315347342924,0,0,0,1,3.77,0,0,15.0,132.086669921875,0,1,0,0,0,6177.json,NotBuggy
42,0.0,5.88814288029826E-10,2,2,4,2,13.27,2,17,202.0,72.94142150878906,0,1,6,0,0,3599.json,Buggy
3,0.7283334136009216,0.3058281321254651,0,0,0,1,3.77,0,1,23.0,129.2428436279297,0,1,0,0,0,260.json,NotBuggy
3,0.9194406867027283,0.9106603263436025,0,0,0,1,3.77,0,0,13.0,132.9956512451172,0,0,0,0,0,6974.json,NotBuggy
3,0.9618315696716309,0.5630722449912474,0,0,0,1,3.77,0,0,24.0,129.12539672851562,0,2,0,0,0,5181.json,NotBuggy
3,0.6950467228889465,0.8023645308678041,0,0,0,1,3.77,0,1,15.0,132.086669921875,0,0,0,0,0,3511.json,NotBuggy
6,0.22917571663856506,0.016297056015712595,1,1,2,2,5.5,0,2,53.0,112.7602767944336,0,1,2,0,0,3985.json,NotBuggy
6,0.41066625714302063,0.29497595883884475,0,0,0,1,5.5,0,3,33.0,115.71329498291016,0,2,0,0,0,2930.json,NotBuggy
7,0.6251636743545532,0.10216132371518641,1,1,2,2,5.11,1,2,42.0,111.53256225585938,0,0,0,0,0,8103.json,Buggy
3,0.5721471309661865,0.7239997987056154,0,0,0,1,3.77,0,1,19.0,130.70933532714844,0,0,0,0,0,7453.json,NotBuggy
3,0.9573522210121155,0.9238971990166102,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,2527.json,NotBuggy
1,0.9873111844062805,0.820303090460086,0,0,0,1,0.0,0,0,12.0,151.39474487304688,0,0,0,0,0,9731.json,NotBuggy
3,0.6970959305763245,0.8611754168799823,0,0,0,1,3.77,0,1,13.0,133.18099975585938,0,0,0,0,0,3191.json,NotBuggy
3,0.7057620882987976,0.7943171215365972,0,0,0,1,3.77,0,0,16.0,131.91592407226562,0,0,0,0,0,9979.json,NotBuggy
17,0.03239813074469566,0.0010625369077897086,2,2,4,3,6.75,2,7,88.0,92.54732513427734,0,2,3,0,0,326.json,NotBuggy
4,0.5927073955535889,0.5785318195752858,0,0,0,1,4.0,0,2,24.0,124.4649429321289,0,1,0,0,0,2812.json,NotBuggy
3,0.8810592889785767,0.854957997882506,0,0,0,1,3.77,0,0,15.0,132.43687438964844,0,0,0,0,0,2253.json,NotBuggy
16,0.28413355350494385,0.015952855428079237,2,2,4,3,10.76,3,8,73.0,94.62442016601562,0,0,1,0,0,3686.json,Buggy
3,0.7344505190849304,0.6399403916804964,0,0,0,1,3.77,0,1,19.0,130.45266723632812,0,1,0,0,0,10336.json,NotBuggy
12,0.03669263422489166,0.006733459559587243,9,6,15,4,7.63,3,7,73.0,99.34935760498047,0,1,0,0,0,4917.json,NotBuggy
3,0.5353420972824097,0.9098642293461492,0,0,0,1,4.0,0,0,12.0,133.59722900390625,0,0,0,0,0,4180.json,NotBuggy
3,0.6568334102630615,0.7746769081193425,0,0,0,1,3.77,0,0,18.0,130.85629272460938,0,1,0,0,0,2013.json,NotBuggy
